entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,m01,{{TAG:000E:0000:000103CD}}writer,{{TAG:000E:0000:010103CD}}escritor,{{TAG:000E:0000:010105CD}}écrivain,{{TAG:000E:0000:010206CD}}scrittore,{{TAG:000E:0000:010103CD}}Schriftsteller,{{TAG:000E:0000:000103CD}}yazar
1,m02,{{TAG:000E:0000:000103CD}}painter,{{TAG:000E:0000:010103CD}}pintor,{{TAG:000E:0000:010103CD}}peintre,{{TAG:000E:0000:010105CD}}pittore,{{TAG:000E:0000:010103CD}}Maler,{{TAG:000E:0000:000103CD}}ressam
2,m03,{{TAG:000E:0000:000103CD}}cartoonist,{{TAG:000E:0000:010103CD}}dibujante,{{TAG:000E:0000:010103CD}}dessinateur,{{TAG:000E:0000:010105CD}}fumettista,{{TAG:000E:0000:010103CD}}Comiczeichner,{{TAG:000E:0000:000103CD}}karikatürist
3,m04,{{TAG:000E:0000:000103CD}}doctor,{{TAG:000E:0000:010103CD}}médico,{{TAG:000E:0000:010103CD}}docteur,{{TAG:000E:0000:010105CD}}medico,{{TAG:000E:0000:010103CD}}Arzt,{{TAG:000E:0000:000103CD}}doktor
4,m05,{{TAG:000E:0000:000203CD}}architect,{{TAG:000E:0000:010103CD}}arquitecto,{{TAG:000E:0000:010105CD}}architecte,{{TAG:000E:0000:010108CD}}architetto,{{TAG:000E:0000:010103CD}}Architekt,{{TAG:000E:0000:000203CD}}mimar
5,m06,{{TAG:000E:0000:000103CD}}dancer,{{TAG:000E:0000:010103CD}}bailarín,{{TAG:000E:0000:010103CD}}danseur étoile,{{TAG:000E:0000:010105CD}}ballerino,{{TAG:000E:0000:010103CD}}Tänzer,{{TAG:000E:0000:000103CD}}dansçı
6,m07,{{TAG:000E:0000:000103CD}}hairstylist,{{TAG:000E:0000:010103CD}}peluquero,{{TAG:000E:0000:010103CD}}coiffeur,{{TAG:000E:0000:010105CD}}parrucchiere,{{TAG:000E:0000:010103CD}}Friseur,{{TAG:000E:0000:000103CD}}kuaför
7,m08,{{TAG:000E:0000:000103CD}}designer,{{TAG:000E:0000:010103CD}}diseñador,{{TAG:000E:0000:010103CD}}styliste,{{TAG:000E:0000:010108CD}}arredatore d'interni,{{TAG:000E:0000:010103CD}}Designer,{{TAG:000E:0000:000103CD}}tasarımcı
8,m09,{{TAG:000E:0000:000103CD}}photographer,{{TAG:000E:0000:010103CD}}fotógrafo,{{TAG:000E:0000:010103CD}}photographe,{{TAG:000E:0000:010105CD}}fotografo,{{TAG:000E:0000:010103CD}}Fotograf,{{TAG:000E:0000:000103CD}}fotoğrafçı
9,m0A,{{TAG:000E:0000:000103CD}}journalist,{{TAG:000E:0000:010103CD}}periodista,{{TAG:000E:0000:010103CD}}journaliste,{{TAG:000E:0000:010105CD}}giornalista,{{TAG:000E:0000:010103CD}}Journalist,{{TAG:000E:0000:000103CD}}gazeteci
10,m0B,{{TAG:000E:0000:000103CD}}lawyer,{{TAG:000E:0000:010103CD}}abogado,{{TAG:000E:0000:010105CD}}avocat,{{TAG:000E:0000:010108CD}}avvocato,{{TAG:000E:0000:010103CD}}Rechtsanwalt,{{TAG:000E:0000:000103CD}}avukat
11,m0C,{{TAG:000E:0000:000103CD}}poet,{{TAG:000E:0000:010103CD}}poeta,{{TAG:000E:0000:010103CD}}poète,{{TAG:000E:0000:010105CD}}poeta,{{TAG:000E:0000:010103CD}}Dichter,{{TAG:000E:0000:000103CD}}şair
12,m0D,{{TAG:000E:0000:000103CD}}movie director,{{TAG:000E:0000:010103CD}}director de cine,{{TAG:000E:0000:010103CD}}réalisateur,{{TAG:000E:0000:010105CD}}regista,{{TAG:000E:0000:010103CD}}Filmregisseur,{{TAG:000E:0000:000103CD}}film yönetmeni
13,m0E,{{TAG:000E:0000:000103CD}}model,{{TAG:000E:0000:010103CD}}modelo,{{TAG:000E:0000:010103CD}}top modèle,{{TAG:000E:0000:010105CD}}modello,{{TAG:000E:0000:030105CD}}Model,{{TAG:000E:0000:000103CD}}manken
14,m0F,{{TAG:000E:0000:000103CD}}pro golfer,{{TAG:000E:0000:010103CD}}golfista,{{TAG:000E:0000:010103CD}}golfeur,{{TAG:000E:0000:010105CD}}giocatore di golf,{{TAG:000E:0000:010103CD}}Profigolfer,{{TAG:000E:0000:000103CD}}profesyonel golfçü
15,m10,{{TAG:000E:0000:000103CD}}baseball player,{{TAG:000E:0000:010103CD}}ciclista,{{TAG:000E:0000:010103CD}}joueur de tennis,{{TAG:000E:0000:010105CD}}pilota di Formula 1,{{TAG:000E:0000:010103CD}}Baseballspieler,{{TAG:000E:0000:000103CD}}beyzbolcu
16,m11,{{TAG:000E:0000:000103CD}}soccer player,{{TAG:000E:0000:010103CD}}futbolista,{{TAG:000E:0000:010103CD}}joueur de foot,{{TAG:000E:0000:010105CD}}calciatore,{{TAG:000E:0000:010103CD}}Fußballspieler,{{TAG:000E:0000:000103CD}}futbolcu
17,m12,{{TAG:000E:0000:000103CD}}rugby player,{{TAG:000E:0000:010103CD}}tenista,{{TAG:000E:0000:010103CD}}joueur de rugby,{{TAG:000E:0000:010206CD}}sciatore,{{TAG:000E:0000:010103CD}}Rugbyspieler,{{TAG:000E:0000:000103CD}}ragbi oyuncusu
18,m13,{{TAG:000E:0000:000103CD}}basketball player,{{TAG:000E:0000:010103CD}}baloncestista,{{TAG:000E:0000:010103CD}}joueur de basket,{{TAG:000E:0000:010105CD}}giocatore di basket,{{TAG:000E:0000:010103CD}}Basketballspieler,{{TAG:000E:0000:000103CD}}basketbolcu
19,m14,{{TAG:000E:0000:000103CD}}boxer,{{TAG:000E:0000:010103CD}}boxeador,{{TAG:000E:0000:010103CD}}boxeur,{{TAG:000E:0000:010105CD}}pugile,{{TAG:000E:0000:010103CD}}Boxer,{{TAG:000E:0000:000103CD}}boksör
20,m15,{{TAG:000E:0000:000103CD}}pro wrestler,{{TAG:000E:0000:010103CD}}presentador,{{TAG:000E:0000:010103CD}}catcheur,{{TAG:000E:0000:010105CD}}lottatore di catch,{{TAG:000E:0000:010103CD}}Profi-Wrestler,{{TAG:000E:0000:000103CD}}profesyonel güreşçi
21,m16,{{TAG:000E:0000:000103CD}}race-car driver,{{TAG:000E:0000:010103CD}}piloto de carreras,{{TAG:000E:0000:010103CD}}pilote de rallye,{{TAG:000E:0000:010105CD}}ciclista,{{TAG:000E:0000:010103CD}}Rennfahrer,{{TAG:000E:0000:000103CD}}yarış pilotu
22,m17,{{TAG:000E:0000:000103CD}}sumo wrestler,{{TAG:000E:0000:010103CD}}gimnasta,{{TAG:000E:0000:010103CD}}sumotori,{{TAG:000E:0000:010105CD}}lottatore di sumo,{{TAG:000E:0000:010103CD}}Sumoringer,{{TAG:000E:0000:000103CD}}sumo güreşçisi
23,m18,{{TAG:000E:0000:000103CD}}mayor,{{TAG:000E:0000:010103CD}}alcalde,{{TAG:000E:0000:010103CD}}maire,{{TAG:000E:0000:010105CD}}sindaco,{{TAG:000E:0000:010103CD}}Bürgermeister,{{TAG:000E:0000:000103CD}}belediye başkanı
24,m19,{{TAG:000E:0000:000103CD}}police officer,{{TAG:000E:0000:010103CD}}policía,{{TAG:000E:0000:010103CD}}policier,{{TAG:000E:0000:010105CD}}poliziotto,{{TAG:000E:0000:010103CD}}Polizist,{{TAG:000E:0000:000103CD}}polis
25,m1A,{{TAG:000E:0000:000103CD}}firefighter,{{TAG:000E:0000:010103CD}}bombero,{{TAG:000E:0000:010103CD}}pompier,{{TAG:000E:0000:010105CD}}pompiere,{{TAG:000E:0000:010103CD}}Feuerwehrmann,{{TAG:000E:0000:000103CD}}itfaiyeci
26,m1B,{{TAG:000E:0000:000103CD}}politician,{{TAG:000E:0000:010103CD}}político,{{TAG:000E:0000:010105CD}}homme politique,{{TAG:000E:0000:010105CD}}politico,{{TAG:000E:0000:010103CD}}Politiker,{{TAG:000E:0000:000103CD}}politikacı
27,m1C,{{TAG:000E:0000:000103CD}}detective,{{TAG:000E:0000:010103CD}}detective,{{TAG:000E:0000:010103CD}}détective,{{TAG:000E:0000:010105CD}}detective,{{TAG:000E:0000:010103CD}}Detektiv,{{TAG:000E:0000:000103CD}}dedektif
28,m1D,{{TAG:000E:0000:000103CD}}professor,{{TAG:000E:0000:010103CD}}profesor,{{TAG:000E:0000:010103CD}}prof de fac,{{TAG:000E:0000:010105CD}}professore,{{TAG:000E:0000:010103CD}}Professor,{{TAG:000E:0000:000103CD}}profesör
29,m1E,{{TAG:000E:0000:000103CD}}teacher,{{TAG:000E:0000:010103CD}}científico,{{TAG:000E:0000:010105CD}}instituteur,{{TAG:000E:0000:010105CD}}maestro,{{TAG:000E:0000:010103CD}}Lehrer,{{TAG:000E:0000:000103CD}}öğretmen
30,m1F,{{TAG:000E:0000:000103CD}}programmer,{{TAG:000E:0000:010103CD}}programador,{{TAG:000E:0000:010103CD}}programmeur,{{TAG:000E:0000:010105CD}}programmatore,{{TAG:000E:0000:010103CD}}Programmierer,{{TAG:000E:0000:000103CD}}programcı
31,m20,{{TAG:000E:0000:000103CD}}chef,{{TAG:000E:0000:010103CD}}cocinero,{{TAG:000E:0000:010103CD}}chef cuisinier,{{TAG:000E:0000:010206CD}}chef,{{TAG:000E:0000:010103CD}}Koch,{{TAG:000E:0000:000103CD}}şef
32,m21,{{TAG:000E:0000:000103CD}}carpenter,{{TAG:000E:0000:010103CD}}carpintero,{{TAG:000E:0000:010103CD}}charpentier,{{TAG:000E:0000:010105CD}}falegname,{{TAG:000E:0000:010103CD}}Zimmermann,{{TAG:000E:0000:000103CD}}marangoz
33,m22,{{TAG:000E:0000:000103CD}}forest ranger,{{TAG:000E:0000:010103CD}}guardabosques,{{TAG:000E:0000:010103CD}}garde forestier,{{TAG:000E:0000:020307CD}}guardia forestale,{{TAG:000E:0000:010103CD}}Förster,{{TAG:000E:0000:000103CD}}orman korucusu
34,m23,{{TAG:000E:0000:000203CD}}archaeologist,{{TAG:000E:0000:010103CD}}arqueólogo,{{TAG:000E:0000:010105CD}}archéologue,{{TAG:000E:0000:010108CD}}archeologo,{{TAG:000E:0000:010103CD}}Archäologe,{{TAG:000E:0000:000203CD}}arkeolog
35,m24,{{TAG:000E:0000:000103CD}}fisherman,{{TAG:000E:0000:010103CD}}pescador,{{TAG:000E:0000:010103CD}}marin pêcheur,{{TAG:000E:0000:010105CD}}pescatore,{{TAG:000E:0000:010103CD}}Fischer,{{TAG:000E:0000:000103CD}}balıkçı
36,m25,{{TAG:000E:0000:000203CD}}astronaut,{{TAG:000E:0000:010103CD}}astronauta,{{TAG:000E:0000:010105CD}}astronaute,{{TAG:000E:0000:010108CD}}astronauta,{{TAG:000E:0000:010103CD}}Astronaut,{{TAG:000E:0000:000203CD}}astronot
37,m26,{{TAG:000E:0000:000103CD}}pilot,{{TAG:000E:0000:010103CD}}piloto de avión,{{TAG:000E:0000:010103CD}}pilote d'avion,{{TAG:000E:0000:010105CD}}pilota di aerei,{{TAG:000E:0000:010103CD}}Pilot,{{TAG:000E:0000:000103CD}}pilot
38,m27,{{TAG:000E:0000:000103CD}}superhero,{{TAG:000E:0000:010103CD}}superhéroe,{{TAG:000E:0000:010103CD}}super-héros,{{TAG:000E:0000:010105CD}}supereroe,{{TAG:000E:0000:010103CD}}Superheld,{{TAG:000E:0000:000103CD}}süper kahraman
39,m28,{{TAG:000E:0000:000103CD}}CEO,{{TAG:000E:0000:010103CD}}traductor,{{TAG:000E:0000:010103CD}}PDG,{{TAG:000E:0000:010105CD}}manager,{{TAG:000E:0000:010103CD}}Firmenchef,{{TAG:000E:0000:000103CD}}şirket yöneticisi
