entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"A surprise for 
!","¡Sorpresita para 
!","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","Sorpresa per 
!","Überraschung, 
!","
 için bir sürpriz!"
1,002,"Dear 
,","Querid{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:120054007200E800730020006300680065007200140054007200E8007300200063006800E80072006500}} 
,","Attenzione, 
!","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Sevgili 
,"
2,003,"To kindhearted 
,","Para el aura de 
:","Hello 
 !","{{TAG:000E:0006:100041006C00200064006F006C0063006500140041006C006C006100200064006F006C0063006500}} 
!","Für 
.","İyi kalpli
,"
3,004,"Hey, 
!","¡Holita, 
!","Coucou 
 !","Salut 
!","Huhu, 
!","Hey 
!"
4,005,"Hello, 
,","Hola, 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","Salut 
!","Hallöchen, 
!","Merhaba 
,"
5,006,That reminds me!,"Ahora que caigo, 
:","{{TAG:000E:0006:120054007200E800730020006300680065007200140054007200E8007300200063006800E80072006500}} 
,","A proposito, 
!","Alles klar, 
?",Aklıma gelmişken!
6,007,"OK, here it is!","¡Para mi querid{{TAG:000E:0006:02006F0002006100}} 
!","Hola 
 !",C'è una cosina per te!,"{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Tamam, işte!"
7,008,"For 
. Shhh!","Para 
:","Coucou 
 !","Un cadeau per 
!","Für 
, aber pssst!","
 için. Şşşt!"
8,009,"Guess what, 
!","¡Adivina, 
!","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","Ecco qua, 
!",Überraschung!,"Bil bakalım, 
!"
9,010,"Dear reliable 
,","A mi vecinit{{TAG:000E:0006:02006F0002006100}} 
:","{{TAG:000E:0006:080043006800650072000A0043006800E80072006500}} 
,","Bonjour 
!","{{TAG:000E:0006:0C004C00690065006200650072000A004C006900650062006500}} 
!","Sevgili güvenilir
,"
