entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Hey, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}¡Hola, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Hé, {{TAG:0005:0008:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Hola, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0020:}}Hey, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Hey,{{TAG:0005:0008:}}!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} just agreed to dance
with me right now{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} está a punto de
mostrarme lo que ha aprendido
en sus clases de baile{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} était sur le point de me
montrer ses talents de danseur{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} mi ha appena detto che
vuole mostrarmi uno dei suoi passi
di danza{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} hat gerade leichtfertig
zugestimmt, für mich zu tanzen...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:0025:}}{{TAG:0011:0001:0000}}az önce benimle dans etmeyi
kabul etti{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}Here I go{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:002A:}}{{TAG:0011:0001:0100}}!{{TAG:0007:0000:10000000}}
{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0003:002C:}}{{TAG:0007:0000:1E000000}}{{TAG:0003:002C:}}What do you think?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}¡Allá voy, {{TAG:0007:0000:08000000}}{{TAG:0003:002A:}}{{TAG:0011:0001:0100}}{{TAG:0003:002A:}}!{{TAG:0007:0001:}}
Y bien{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0003:002C:}}{{TAG:0007:0001:}}{{TAG:0003:002C:}} ¿Qué te parece?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0007:0000:20000000}}C'est parti, {{TAG:0007:0000:08000000}}regarde un peu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0003:002A:}}{{TAG:0007:0000:3C000000}}{{TAG:0000:0004:}}{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0003:002C:}}{{TAG:0007:0000:3C000000}}{{TAG:0003:002C:}}{{TAG:0000:0004:}}Alors, qu'est-ce que tu dis de ça,
{{TAG:0011:0001:0100}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}Ecco qua{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:002A:}}{{TAG:0011:0001:0100}}!{{TAG:0007:0001:}}
{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0003:002C:}}{{TAG:0007:0000:1E000000}}{{TAG:0003:002C:}} Che te ne pare?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}}Dann leg ich mal los...{{TAG:0007:0000:20000000}}
{{TAG:0003:002A:}}{{TAG:0011:0001:0100}}!{{TAG:0007:0001:}}
{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0003:002C:}}{{TAG:0007:0001:}}{{TAG:0003:002C:}}Na, was meinst du?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0007:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0005:}}{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}Başlıyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:002A:}}{{TAG:0011:0001:0100}}!{{TAG:0007:0000:10000000}}
{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0003:002C:}}{{TAG:0007:0000:1E000000}}{{TAG:0003:002C:}}Nasıl buldun?{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Huh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:20000000}} {{TAG:0003:0009:}}I don't know what to say{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0000:0004:}}{{TAG:0003:0024:}}Hmm. You practiced a lot, huh?{{TAG:0007:0000:20000000}}
{{TAG:0003:001B:}}Still,{{TAG:0007:0000:08000000}} striking a pose twice might be
a little too much,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:20000000}} {{TAG:0003:0009:}}No sé qué decir{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0007:0000:20000000}}
{{TAG:0003:0025:}}Se nota que has practicado mucho.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Aun así,{{TAG:0007:0000:08000000}} repetir la misma pose
dos veces seguidas al final no
es muy original, cielín.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Eh bien{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0009:}}Ça me laisse assez
perplexe{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Hmmm. On voit que tu t'es
beaucoup entraîné, soit.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Mais, tout de même,{{TAG:0007:0000:08000000}} deux fois le
même mouvement dans une mesure,
c'est un peu trop,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:20000000}} {{TAG:0003:0009:}}Non so che dire{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Mmmh, ti sei allenato tanto, vero?{{TAG:0007:0000:20000000}}
{{TAG:0003:0000:}}Tuttavia,{{TAG:0007:0000:08000000}} ammiccare due volte
nello stesso passo forse è troppo...{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Also...{{TAG:0007:0000:14000000}} Tja...{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Ich weiß gar nicht,
was ich dazu nun sagen soll.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Du hast sicher viel geübt.{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Aber ist
es nicht etwas extrem, diese Pose
gleich zweimal zu machen?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:0003:000F:}}Ha{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:20000000}}{{TAG:0003:0009:}}Ne diyeceğimi bilemedim{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}{{TAG:0000:0004:}}{{TAG:0003:0024:}}
Bayağı çalışmışsın, ha?{{TAG:0007:0000:20000000}}
{{TAG:0003:001B:}}Yine de,{{TAG:0007:0000:08000000}} iki kez poz vermek
biraz fazla olmuş olabilir,{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}All right, I hear you loud and clear{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Next time{{TAG:0007:0000:08000000}} I'll show you a dance {{TAG:0003:0023:}}you
won't be disappointed with!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}¡Tomo nota!{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}¡La próxima vez{{TAG:0007:0000:08000000}} te voy a dejar{{TAG:0003:0023:}}
totalmente patidifusa!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:000F:}}Ah ouais ?! {{TAG:0007:0000:0F000000}}Parce que tu t'y
connais, peut-être{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0000:0004:}}{{TAG:0003:0006:}}OK, attends un peu ! {{TAG:0007:0000:0F000000}}La prochaine
fois je te montrerai ma maîtrise du
slow !
{{TAG:0003:0024:}}Aucune nana ne résiste à ça ! {{TAG:0007:0000:0F000000}}Hé hé.","{{TAG:000C:0000:}}{{TAG:000C:0005:}}OK, ricevuto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. forte e chiaro!{{TAG:0007:0000:20000000}}
{{TAG:0003:0025:}}La prossima volta{{TAG:0007:0000:08000000}} ti mostrerò
un passo {{TAG:0003:0023:}}che ti farà impazzire!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}Ich hab schon verstanden...{{TAG:0000:0004:}}{{TAG:0003:0006:}}Aber nächstes Mal leg ich einen
Tanz aufs Parkett, an dem es
nichts auszusetzen gibt!","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:0003:0009:}}Tamam, mesajını aldım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Bir dahaki sefere{{TAG:0007:0000:08000000}} seni hayal
kırıklığına uğratmayacak bir
dans göstereceğim!{{TAG:0003:0023:}}"
5,006,,,,,,
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, hey, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}¡Ah, hola, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Hé, {{TAG:0005:0008:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, hola, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:08000000}}{{TAG:0003:000F:}}Hey, {{TAG:0005:0008:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0003:}}{{TAG:000C:0002:}}{{TAG:000C:0003:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Aa, selam{{TAG:0005:0008:}}!{{TAG:000C:0009:}}"
