entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0002:0300040005000800}},{{TAG:0009:0002:0300040005000800}},{{TAG:0009:0002:0300040005000800}},{{TAG:0009:0002:0300040005000800}},{{TAG:0009:0002:0300040005000800}},{{TAG:0009:0002:0300040005000800}}
1,002,{{TAG:0009:0001:060007000800}},{{TAG:0009:0001:060007000800}},{{TAG:0009:0001:060007000800}},{{TAG:0009:0001:060007000800}},{{TAG:0009:0001:060007000800}},{{TAG:0009:0001:060007000800}}
2,003,"So{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}how's your town in comparison
to ours?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:0008:0001:0C0000000D0000000E000000}}
It's a bigger city.
It's more country.
It's the same.","Dime,{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}¿cómo es tu pueblo
si lo comparas con este,
{{TAG:0005:0007:}}?{{TAG:0008:0001:0C0000000D0000000E000000}}
Una metrópolis
Una aldea
Más o menos igual","Alors,{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}elle est comment ta ville,
comparée à la nôtre,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} ?{{TAG:0008:0001:0C0000000D0000000E000000}}
C'est plus grand.
C'est plus bucolique.
C'est kif-kif.","Dimmi un po',{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}com'è la tua città
in confronto alla nostra,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?{{TAG:0008:0001:0C0000000D0000000E000000}}
È più grande.
C'è più campagna.
È uguale.","Sag mal,{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}wie ist eigentlich deine
Stadt im Vergleich mit unserer,
{{TAG:0005:0007:}}?{{TAG:0008:0001:0C0000000D0000000E000000}}
Größer.
Ländlicher.
Ungefähr gleich.","Yani{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}senin kasaban bizimkiyle kıyaslanınca
nasıl?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:0008:0001:0C0000000D0000000E000000}}
Daha büyük bir şehir.
Daha taşralı.
Aynı sayılır."
3,004,"By the way,{{TAG:0007:0000:10000000}} do you know what the
special fruit in this town is?{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:0008:0000:0F00150010002800}}
Yup, I know!
No, I don't.","Por cierto,{{TAG:0007:0000:10000000}} ¿sabes cuál es
la fruta autóctona del pueblo,
{{TAG:0005:0007:}}?{{TAG:0008:0000:0F00150010002800}}
¡Por supuesto!
Ni idea","Au fait,{{TAG:0007:0000:10000000}} tu sais quel fruit est propre
à cette ville,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}} ?{{TAG:0008:0000:0F00150010002800}}
Ouaip, je sais !
Non, je sais pas.","A proposito,{{TAG:0007:0000:10000000}} sai qual è il frutto
speciale di questa città,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?{{TAG:0008:0000:0F00150010002800}}
Certo!
No, non lo so.","Weißt du eigentlich, welche Frucht
in dieser Stadt heimisch ist,
{{TAG:0005:0007:}}?{{TAG:0008:0000:0F00150010002800}}
Ja, weiß ich!
Keine Ahnung.","Bu arada,{{TAG:0007:0000:10000000}} bu kasabanın özel meyvesini
biliyor musun?{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:0008:0000:0F00150010002800}}
Evet, biliyorum!
Hayır, bilmiyorum."
4,005,"{{TAG:0003:0024:}}Heh heh heh.{{TAG:0007:0000:10000000}} I know why you came
to visit our town today{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}You came to look for gossip about
the mayor of {{TAG:0005:0005:}},{{TAG:0007:0000:10000000}} right?
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?
{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:001C:00CD}}, huh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} I haven't heard
any real scandalous gossip lately.{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}Hey, instead,{{TAG:0007:0000:10000000}} why don't you just
interview me?{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}I promise I won't
disappoint! I'm all about scandals!","{{TAG:0003:0024:}}Je, je.{{TAG:0007:0000:10000000}} ¡Ya sé por qué estás
de visita en el pueblo!{{TAG:0000:0004:}}Vienes a ver si {{TAG:0005:001C:00CD}} lo
está haciendo bien al frente de
la alcaldía de {{TAG:000E:0003:}}{{TAG:0005:0005:}},{{TAG:0007:0000:10000000}} ¿eh?
{{TAG:0003:000B:}}Pues yo no concedo entrevistas
así por las buenas.{{TAG:0003:0025:}} {{TAG:0003:0023:}}¿Has hablado
ya con mi representante?","{{TAG:0003:0024:}}Hé hé,{{TAG:0007:0000:10000000}} je sais pourquoi t'es venu{{TAG:000E:0006:000002006500}}
nous rendre visite aujourd'hui{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}T'es là pour t'informer des
dernières rumeurs concernant le
maire {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}},{{TAG:0007:0000:10000000}} avoue !
{{TAG:0003:000B:}}Ouais, ben tu vas être déçu{{TAG:000E:0006:000002006500}}, {{TAG:0007:0000:10000000}}j'ai
rien entendu de bien scandaleux sur
{{TAG:0005:001C:00CD}} récemment{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0016:}} Hé, pourquoi tu m'interviewerais
pas moi plutôt ?{{TAG:0007:0000:10000000}}{{TAG:0003:0021:}} Chuis quand même
plus intéressant, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0024:}}Eh eh eh,{{TAG:0007:0000:10000000}} io lo so perché sei venut{{TAG:000E:0006:02006F0002006100}}
nella nostra città oggi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Sei qui in cerca di pettegolezzi
sul sindaco di {{TAG:0005:0005:}}!{{TAG:0007:0000:10000000}}
Dico bene, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?
{{TAG:0003:000B:}}Beh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ultimamente, non ho sentito
nessun gossip su {{TAG:0005:001C:00CD}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ehi, visto che ormai sei qui,{{TAG:0007:0000:10000000}} perché
non mi intervisti?{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}Giuro che
non ti deluderò. Adoro gli scandali!","{{TAG:0003:0024:}}Hehehe,{{TAG:0007:0000:0A000000}} ich weiß, warum du unsere
Stadt besuchst, {{TAG:0005:0007:}}...{{TAG:0000:0004:}}{{TAG:0003:0006:}}Du bist auf der Suche nach neuen
Gerüchten über das Stadtoberhaupt
von {{TAG:0005:0005:}}, stimmt's?
{{TAG:0003:000B:}}In letzter Zeit hab ich aber gar keine
skandalösen Gerüchte über
{{TAG:0005:001C:00CD}} gehört{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0025:}}Hey, warum machst du nicht einfach
ein Interview mit mir?{{TAG:0007:0000:14000000}} {{TAG:0003:0023:}}Ich werde
dich nicht enttäuschen!","{{TAG:0003:0024:}}Heh heh heh.{{TAG:0007:0000:10000000}} Bugün kasabamızı neden
ziyaret ettiğini biliyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}
{{TAG:0005:0005:}} başkanı hakkında dedikodu aramaya
geldin,{{TAG:0007:0000:10000000}} değil mi?
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?
{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}{{TAG:000E:0003:}}{{TAG:0005:001C:00CD}}, ha{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Son zamanlarda pek
skandal bir şey duymadım.{{TAG:0000:0004:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}
Onun yerine,{{TAG:0007:0000:10000000}} neden benimle röportaj
yapmıyorsun?{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}Söz, hayal kırıklığına uğratmam!
Skandal benden sorulur!"
5,006,"{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} is everyone doing
OK{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}since I left town?{{TAG:0008:0005:1800000019002800}}
Um...
I'm not sure.","{{TAG:0003:0009:}}Dime, {{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} ¿cómo va todo
en el pueblo desde que me marché?{{TAG:0008:0005:1800000019002800}}
Como siempre
No estoy segur{{TAG:000E:0006:02006F0002006100}}","{{TAG:0003:0009:}}Alors, {{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} tout se passe
bien dans ta ville depuis que je suis
parti ? {{TAG:0007:0000:08000000}}On me regrette pas trop ?{{TAG:0008:0005:1800000019000000}}
Comment dire...
Si, sans doute.","{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} come va in città
da quando me ne sono andato io?{{TAG:0008:0005:1800000019002800}}
Beh...
Non saprei.","{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}} wie geht's denn den
ganzen Leuten, seitdem ich die
Stadt verlassen hab?{{TAG:0008:0005:1800000019002800}}
Äh...
Kann ich nicht sagen.","{{TAG:0003:0009:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:10000000}} ben taşındığımdan beri herkes
iyi mi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0008:0005:1800000019002800}}
Şey...
Emin değilim."
6,007,"How's the town?{{TAG:0007:0000:20000000}} Has it changed
much since I left, {{TAG:0003:0017:}}{{TAG:0005:0008:}}?{{TAG:0008:0001:160015001700280019002800}}
It's changed!
It hasn't changed.
I don't know.","¿Qué tal el pueblo, {{TAG:0005:0008:}}?{{TAG:0007:0000:20000000}} {{TAG:0003:0017:}}
¿Ha cambiado mucho desde
que me mudé?{{TAG:0008:0001:160015001700280019002800}}
¡Un montón!
Sigue igual
No sabría decirte","Comment va la vie chez toi,
{{TAG:0005:0008:}} ?{{TAG:0007:0000:20000000}} {{TAG:0003:0017:}}La ville a beaucoup
changé depuis mon départ ?{{TAG:0008:0001:160015001700280019002800}}
Et comment !
Pas vraiment.
Je sais pas trop.","Come va in città?{{TAG:0007:0000:20000000}} È cambiata
da quando me ne sono andato,
{{TAG:0003:0017:}}{{TAG:0005:0008:}}?{{TAG:0008:0001:160015001700280019002800}}
Sì, è cambiata!
No, per niente.
Non saprei...","Hat sich die Stadt verändert,
seitdem ich weggezogen bin, {{TAG:0003:0017:}}
{{TAG:0005:0008:}}?{{TAG:0008:0001:160015001700280019002800}}
Und wie!
Nicht wirklich.
Weiß ich nicht.","Kasaba nasıl?{{TAG:0007:0000:20000000}} Ben gideli çok değişti mi,
{{TAG:0003:0017:}}{{TAG:0005:0008:}}?{{TAG:0008:0001:160015001700280019002800}}
Değişti!
Değişmedi.
Bilmiyorum."
7,008,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}When you're out and about{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}your
pockets get full pretty quickly,
don't they?
{{TAG:0003:0015:}}If that happens,{{TAG:0007:0000:0F000000}} you can leave an
item in the locker at the station. I
do it all the time.
{{TAG:0003:0025:}}If you leave your items in a locker
outside your town,{{TAG:0007:0000:0F000000}} you can pick 'em
up from the locker in your town.{{TAG:0007:0000:1E000000}}
{{TAG:0003:002C:}}So it's fine if you leave your stuff
here! No problem at all!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Oh, and if you have a closet or
other storage furniture in your
room,{{TAG:0007:0000:1E000000}} {{TAG:0003:0023:}}it's also connected here!","{{TAG:0003:000B:}}Lo malo de ir de viaje es que acabas
con los bolsillos abarrotados de
objetos.{{TAG:0007:0000:0A000000}} ¡Menudo rollo!
{{TAG:0003:0015:}}Si te pasa alguna vez, recuerda este
consejo de trotamundos:{{TAG:0007:0000:0A000000}} ¡usa las
taquillas de la estación!
{{TAG:0003:0025:}}Es más, si dejas un objeto en la
taquilla de otro pueblo, podrás
recogerlo en la taquilla del tuyo.{{TAG:0007:0000:1E000000}}
{{TAG:0003:002C:}}¡Los objetos se envían de una
taquilla a otra como por arte de
magia! ¡Así sí que es cómodo viajar!
Por cierto, las taquillas también {{TAG:0003:0023:}}
están conectadas con los armarios
y muebles similares de tu casa.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Au cours de tes déambulations, t'as
tendance à amasser plein de trucs
dans tes poches, pas vrai ?
{{TAG:0003:0025:}}Dans ce cas,{{TAG:0007:0000:0F000000}} utilise la consigne de la
gare pour te délester un peu ! {{TAG:0007:0000:08000000}}Moi,
je le fais tout le temps !
Et un objet déposé à la consigne
d'une autre ville peut être récupéré
dans la gare de ta ville.
{{TAG:0003:002C:}}Alors n'hésite pas à laisser ton
fourbi ici, il ne sera pas perdu !{{TAG:0000:0004:}}{{TAG:0003:0010:}}Oh, et si t'as une armoire chez toi
ou quelque chose dans le genre, tu
peux aussi y retrouver tes affaires !","{{TAG:0003:000B:}}Quando sei in giro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. le tasche
si riempiono piuttosto in fretta,
vero?
{{TAG:0003:0015:}}Quando ti serve,{{TAG:0007:0000:0F000000}} puoi lasciare
degli oggetti negli armadietti per
il deposito bagagli della stazione!
{{TAG:0003:0025:}}Lasciando gli oggetti negli
armadietti di un'altra città,
{{TAG:0007:0000:0F000000}}potrai ritirarli da quelli della tua.
{{TAG:0003:002C:}}Quindi, lascia pure qui quello che
vuoi! Non c'è problema!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Oh, gli armadietti della stazione
{{TAG:0007:0000:1E000000}}{{TAG:0003:0023:}}sono collegati anche agli armadi
e alle credenze di casa!","{{TAG:0003:000B:}}Unterwegs kann einem ganz schnell
mal der Platz in den Taschen
ausgehen...
{{TAG:0003:0015:}}In diesem Fall kannst du
Gegenstände im Schließfach am
Bahnhof aufbewahren!
{{TAG:0003:0025:}}Das funktioniert unabhängig davon,
ob du dich in deiner eigenen oder
einer anderen Stadt befindest.
Die Gegenstände lassen sich dann
einfach im Schließfach in deiner
Heimatstadt wieder abholen.
{{TAG:0003:002C:}}Du kannst also ohne Bedenken
alles hierlassen!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Hier hast du übrigens auch Zugriff
auf alles, was du in Kleiderschränken
oder ähnlichen Möbeln aufbewahrst.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Dışarıda dolaşırken{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ceplerin çabucak
doluyor, değil mi?
{{TAG:0003:0015:}}Öyle olursa{{TAG:0007:0000:0F000000}} istasyondaki dolaba bir eşya
bırakabilirsin. Ben hep yapıyorum.
{{TAG:0003:0025:}}Kendi kasaban dışında bir dolaba eşya
bırakırsan,{{TAG:0007:0000:0F000000}} kendi kasabandaki dolaptan geri
alabilirsin.{{TAG:0007:0000:1E000000}}
{{TAG:0003:002C:}}Yani eşyalarını burada bırakmanda sorun yok!{{TAG:0000:0004:}}{{TAG:0003:0006:}}
Bir de odanda dolap ya da başka saklama
mobilyan varsa,{{TAG:0007:0000:1E000000}} {{TAG:0003:0023:}}o da buraya bağlı!"
8,009,,,,,,
9,010,,,,,,
