entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0024:}}You couldn't deliver the present to
{{TAG:0011:0001:0000}}?{{TAG:0007:0001:}} {{TAG:0003:0025:}}Then let me have it
back.{{TAG:0007:0000:0A000000}} I'll take care of it later.","{{TAG:0003:0024:}}¿No has podido darle el paquete
a {{TAG:0011:0001:0000}}?{{TAG:0007:0001:}} {{TAG:0003:0025:}}No pasa nada.
{{TAG:0007:0000:0A000000}}Ya me ocuparé yo luego, cielo.","{{TAG:0003:0024:}}Alors comme ça, tu n'as pas pu
apporter son cadeau à {{TAG:0011:0001:0000}} ?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Autant me le rendre dans ce cas...{{TAG:0007:0000:0A000000}}
Je trouverai bien un moment pour
m'en occuper.","{{TAG:0003:0024:}}Ah, non hai potuto consegnare
il pacco {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}?{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Beh, allora ridammelo.{{TAG:0007:0000:0A000000}} Ci penso io!","{{TAG:0003:0024:}}Du konntest es nicht an {{TAG:0011:0001:0000}}
ausliefern?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Na, dann gib's eben wieder her, {{TAG:0007:0000:0A000000}}
dann mach ich's später selber.","{{TAG:0003:0024:}}Sanırım o hediye teslim
edilemedi. Sorun değil; {{TAG:0011:0001:0000}} {{TAG:0007:0001:}}{{TAG:0003:0025:}}
tarafına kendim götürürüm{{TAG:0007:0000:0A000000}}. Bana
geri verir misin?"
1,002,"{{TAG:0003:0024:}}You couldn't deliver my peace
offering to {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}In that case,{{TAG:0007:0000:08000000}} I should just deliver it
myself. {{TAG:0007:0000:14000000}}I'd like it back please.","{{TAG:0003:0024:}}¿Que no has podido entregar
mi ofrenda de paz a {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Tranqui, casi es mejor así.{{TAG:0007:0000:14000000}}
¿Me la devuelves?","{{TAG:0003:0024:}}Alors mon cadeau de réconciliation
pour {{TAG:0011:0001:0000}} n'est pas arrivé à
bon port ?
{{TAG:0003:0025:}}Tant pis, je m'en occuperai plus
tard !","{{TAG:0003:0024:}}Ah, a quanto pare non sei riuscit{{TAG:000E:0006:02006F0002006100}}
a consegnare il mio regalino
di scuse {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}, eh?
{{TAG:0003:0025:}}Forse avrei dovuto pensarci io
fin dall'inizio. {{TAG:0007:0000:14000000}}Me lo riprendo!","{{TAG:0003:0024:}}Du konntest mein Geschenk zur
Entschuldigung nicht an {{TAG:0011:0001:0000}}
ausliefern, hm?{{TAG:0000:0004:}}{{TAG:0003:0025:}}Ach, ich hätte das gleich von Anfang
an selbst in die Hand nehmen sollen.{{TAG:0007:0000:14000000}}
Ich nehm's mir wieder!","{{TAG:0003:0024:}}Sanırım o özür hediyesi teslim
edilemedi. Sorun değil; {{TAG:0011:0001:0000}} {{TAG:0000:0004:}}{{TAG:0003:0025:}}
tarafına {{TAG:0007:0000:08000000}}kendim götürürüm. Bana {{TAG:0007:0000:14000000}}
geri verir misin?"
2,003,"{{TAG:0003:0024:}}So,{{TAG:0007:0000:08000000}} you never returned what I'd
borrowed from {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0009:}}I guess I should have done it myself.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}OK, give it back.","{{TAG:0003:0024:}}¿Eh?{{TAG:0007:0000:14000000}} ¿Todavía no le has dado
el paquete a {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}¡Ay, bichejo! ¡Me pones en un apuro!{{TAG:0007:0000:14000000}}
Dámelo, porfa.","{{TAG:0003:0024:}}Si je comprends bien, tu n'as jamais
apporté à {{TAG:0011:0001:0000}} ce que je
t'avais confié ?
{{TAG:0003:0025:}}Comme quoi, on n'est jamais si bien
servi que par soi-même... Allez,
rends-moi ça, je le lui apporterai.","{{TAG:0003:0024:}}Ah,{{TAG:0007:0000:14000000}} non dirmi che non sei mai
andat{{TAG:000E:0006:02006F0002006100}} a restituire quella cosa
{{TAG:000E:0010:}} {{TAG:0011:0001:0000}}!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Lo sapevo, avrei dovuto pensarci io.{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}Va bene, ora ridammela!","{{TAG:0003:0024:}}Ach,{{TAG:0007:0000:14000000}} jetzt hast du das also gar
nicht zurückgegeben, was ich mir
von {{TAG:0011:0001:0000}} geliehen hatte!
{{TAG:0003:0025:}}Dann muss ich's eben selber
zurückbringen.{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}} Gib's wieder her!","{{TAG:0003:0024:}}Sanırım{{TAG:0007:0000:08000000}} o ödünç aldığım şey
teslim edilemedi. Sorun değil; {{TAG:0011:0001:0000}} {{TAG:0000:0004:}}{{TAG:0003:0009:}}
tarafına kendim götürürüm. Bana {{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}
geri verir misin?"
3,004,"{{TAG:0003:0024:}}I guess I should deliver it myself—{{TAG:0007:0000:14000000}}
{{TAG:0003:0000:}}you know, the stuff {{TAG:0011:0001:0000}} left
at my house.
{{TAG:0003:0025:}}Could I please have it back now,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0024:}}Lo he pensado, y creo que debería
entregarle el paquete a {{TAG:0011:0001:0000}}
yo misma.
{{TAG:0003:0025:}}Perdona por el lío.{{TAG:0007:0000:0A000000}}
¿Me lo devuelves, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0024:}}Au fond, je ferais mieux de rendre
ce truc à {{TAG:0011:0001:0000}} moi-même. Tu
sais, ce qu'{{TAG:000E:0008:00CD040069006C00080065006C006C00650002003000}} a oublié chez moi.
{{TAG:0003:0025:}}Tu l'as toujours ?{{TAG:0007:0000:0A000000}} Donne, je le lui
apporterai, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0024:}}Forse sarei dovuta andare io
a portare {{TAG:000E:0010:}} {{TAG:0011:0001:0000}} quella
cosa che aveva lasciato da me.
{{TAG:0003:0025:}}Scusa tanto, {{TAG:0007:0000:0A000000}}ma ora me la riprendo,
{{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0000}} hatte doch was bei mir
vergessen...{{TAG:0007:0000:14000000}} Und du hast gesagt,
du kümmerst dich drum...
Na, klingelt's?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Ach, gib's wieder
her,{{TAG:0007:0000:0A000000}} dann kümmere ich mich eben
doch selbst drum, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0024:}}Sanırım o unutulan eşya teslim {{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
edilemedi. Sorun değil; {{TAG:0011:0001:0000}}
tarafına kendim {{TAG:0003:0025:}}götürürüm. Bana
geri verir misin? {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}"
4,005,"{{TAG:0003:0024:}}Looks like you couldn't deliver that
package to {{TAG:0011:0001:0000}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Don't worry about it now. {{TAG:0007:0000:0A000000}}I'll go
ahead and take it back.","{{TAG:0003:0024:}}¿Al final no has podido llevarle
el paquete a {{TAG:0011:0001:0000}}?{{TAG:0000:0004:}}{{TAG:0003:0025:}}No te preocupes, calabacín.{{TAG:0007:0000:0A000000}}
Devuélvemelo y yo me ocupo.","{{TAG:0003:0024:}}De toute évidence, tu n'as pas
apporté son colis à {{TAG:0011:0001:0000}},
comme je te l'avais demandé...
{{TAG:0003:0025:}}Laisse tomber,{{TAG:0007:0000:0A000000}} je vais le lui donner
moi-même.","{{TAG:0003:0024:}}Oh, non sei riuscit{{TAG:000E:0006:02006F0002006100}} a consegnare 
{{TAG:000E:0010:}} {{TAG:0011:0001:0000}} il pacchettino che
ti avevo chiesto di {{TAG:000E:0008:00CD120070006F00720074006100720067006C006900100070006F0072007400610072006C0065000000}}!
{{TAG:0003:0025:}}Va bene, non preoccuparti...
{{TAG:0007:0000:0A000000}}Me ne occupo io.","{{TAG:0003:0024:}}Oh, du hattest wohl keine Zeit,
{{TAG:0011:0001:0000}} das Paket zu bringen,
wie du's versprochen hattest.
{{TAG:0003:0025:}}Na, egal. {{TAG:0007:0000:0A000000}}Gib's wieder her, dann
kümmere ich mich selbst darum.","{{TAG:0003:0024:}}Sanırım o yanlış gelen paket
teslim edilemedi. Sorun değil; {{TAG:0011:0001:0000}} {{TAG:0000:0004:}}{{TAG:0003:0025:}}
tarafına kendim götürürüm{{TAG:0007:0000:0A000000}}. Bana
geri verir misin?"
5,006,"{{TAG:0003:0024:}}I guess you couldn't deliver my
package to {{TAG:0011:0001:0000}} after all.{{TAG:0000:0004:}}{{TAG:0003:0025:}}I need to take care of it,{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}} so I'd like
it back please.","{{TAG:0003:0024:}}¡Ah! ¿No has podido llevarle
el paquete a {{TAG:0011:0001:0000}} como
te pedí?
{{TAG:0003:0025:}}Pues si no te importa, {{TAG:0007:0000:0A000000}}lo cojo
de vuelta.","{{TAG:0003:0024:}}Visiblement, tu n'as pas trouvé le
temps d'apporter à {{TAG:0011:0001:0000}}
l'objet que je t'avais confié...
{{TAG:0003:0025:}}Rends-le-moi, s'il te plaît.{{TAG:0007:0000:0A000000}} Je m'en
occuperai moi-même.","{{TAG:0003:0024:}}Mi sembra che tu non abbia
consegnato {{TAG:000E:0010:}} {{TAG:0011:0001:0000}}
il pacchettino che ti avevo dato!
{{TAG:0003:0025:}}Va bene, ridammelo {{TAG:0007:0000:14000000}}e ci penso io.","{{TAG:0003:0024:}}Oh, offenbar konntest du die
Lieferung an {{TAG:0011:0001:0000}} doch
nicht erledigen.
{{TAG:0003:0025:}}Na, gib's her, ich mach es selbst.","{{TAG:0003:0024:}}Sanırım o istenen paket teslim
edilemedi. Sorun değil; {{TAG:0011:0001:0000}}
tarafına{{TAG:0000:0004:}}{{TAG:0003:0025:}} kendim götürürüm. {{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}Bana
geri verir misin?"
6,007,"Sorry to have troubled you. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}I should
have realized it's best to deliver a
present in person!{{TAG:0003:0025:}}","Siento haberte involucrado, cielín.{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}¡Será mejor que se lo dé yo misma,
en persona!{{TAG:0003:0025:}}","Désolée de t'avoir dérang{{TAG:000E:0006:0200E9000400E9006500}}. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Bien
sûr, il est toujours préférable
d'offrir un cadeau en personne !{{TAG:0003:0025:}}","Mi dispiace averti disturbato. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Avrei
dovuto saperlo da sola che è meglio
consegnare i regalini di persona!{{TAG:0003:0025:}}","Ich wollte dir keine Umstände
machen. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Ich hätte mich von Anfang
an nicht davor drücken sollen...{{TAG:0003:0025:}}","Bu hediyeyi kendim vermem{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} daha
doğru. Seni uğraştırdığım için
özür dilerim.{{TAG:0003:0025:}}"
7,008,"Sorry to have troubled you. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}It's
better to apologize directly to
the injured party anyway!{{TAG:0003:0025:}}","Siento las molestias, cielo.{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}¡Pero será mejor que
se lo lleve en persona!{{TAG:0003:0025:}}","Désolée de t'avoir dérang{{TAG:000E:0006:0200E9000400E9006500}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Et puis
c'est mieux comme ça :{{TAG:0007:0000:14000000}} un cadeau,
ça se donne en mains propres !{{TAG:0003:0025:}}","Scusa il disturbo! {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}Se si ha qualcosa
da consegnare, è sempre meglio
andare di persona!{{TAG:0003:0025:}}","Ich wollte dir keine Umstände
machen. {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}So was macht man
wirklich besser selbst.{{TAG:0003:0025:}}","Özrümü kendim iletmem {{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}daha
doğru. Seni uğraştırdığım için
özür dilerim.{{TAG:0003:0025:}}"
8,009,"{{TAG:0003:0025:}}Sorry for the hassle. {{TAG:0007:0000:14000000}}I'm going to
take it over myself and apologize.","{{TAG:0003:000D:}}Perdona por las prisas. {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Ahora mismo iré a dárselo
y a disculparme.","{{TAG:0003:000D:}}Oui, tu as raison. {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Je vais prendre
sur moi et lui rapporter en
personne.","{{TAG:0003:000D:}}Scusami per il disturbo!
{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Ho deciso di andare io a restituirla
e di scusarmi di persona.","{{TAG:0003:000D:}}Entschuldige die Umstände!{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Ich liefere es selbst ab und
entschuldige mich noch mal.","{{TAG:0003:0025:}}Ödünç alan bendim; geri {{TAG:0007:0000:14000000}}vermek
de bana düşer. Seni
uğraştırdığım için özür dilerim."
9,010,"{{TAG:0003:0025:}}I'm sure {{TAG:0011:0001:0000}}'s worried about
it, {{TAG:0007:0000:0A000000}}so I'm going take it back ASAP.","{{TAG:0003:0025:}}Se lo llevaré ahora mismito.{{TAG:0007:0000:0A000000}}
¡Seguro que {{TAG:0011:0001:0000}} estará
muy preocupad{{TAG:000E:0008:00CD02006F00020061000000}}!","{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} doit être dans tous ses
états ! Je vais lui rapporter ça tout
de suite !","{{TAG:0003:0025:}}Sono sicura che {{TAG:0011:0001:0000}} stia
in pensiero per il suo pacchettino.
{{TAG:0007:0000:0A000000}}Glielo porterò di persona! Subito!","{{TAG:0003:0025:}}{{TAG:0011:0001:0000}} macht sich sicher schon
Sorgen!{{TAG:0007:0000:14000000}} Ich mach mich gleich auf
die Socken und liefere es ab.","{{TAG:0003:0025:}}Eminim {{TAG:0011:0001:0000}} bunun
için endişeleniyordur,{{TAG:0007:0000:0A000000}} o yüzden hemen
geri götüreceğim."
