entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:000A:0006:0900140011001300}},{{TAG:000A:0006:0900140011001300}},{{TAG:000A:0006:0900140011001300}},{{TAG:000A:0006:0900140011001300}},{{TAG:000A:0006:0900140011001300}},{{TAG:000A:0006:0900140011001300}}
2,003,{{TAG:000A:0006:0900140012001300}},{{TAG:000A:0006:0900140012001300}},{{TAG:000A:0006:0900140012001300}},{{TAG:000A:0006:0900140012001300}},{{TAG:000A:0006:0900140012001300}},{{TAG:000A:0006:0900140012001300}}
3,004,,,,,,
4,005,"{{TAG:0003:0006:}}I'm on patrol right now!{{TAG:0000:0004:}}If there's anyone suspicious, I'll
thumb wrestle 'em into submission!","{{TAG:0003:0006:}}¡Ahora mismo estoy de patrulla!{{TAG:0000:0004:}}Si veo a alguien sospechoso, ¡le
retaré a un duelo de pulgares!","{{TAG:0003:0006:}}C'est à mon tour de patrouiller en
ville !{{TAG:0000:0004:}}Au premier comportement suspect,
je me tiens prêt à neutraliser
l'individu au combat de pouces !","{{TAG:0003:0006:}}Sto sorvegliando la città
in questo momento.{{TAG:0000:0004:}}Se vedi qualcuno di sospetto, fai
un fischio che ci penso io!","{{TAG:0003:0006:}}Ich bin grad auf Streife!{{TAG:0000:0004:}}Ich setze meine Muskeln nämlich
für das Gute ein! {{TAG:0007:0000:28000000}}Sag mir Bescheid,
{{TAG:0007:0000:08000000}}wenn du mal was Auffälliges siehst!","{{TAG:0003:0006:}}Şu an devriyedeyim!{{TAG:0000:0004:}}Şüpheli birini
görürsem başparmak güreşiyle
hizaya getiririm!"
5,006,"{{TAG:0003:000B:}}Hmm. I feel like I've been down this
way already.{{TAG:0000:0004:}}{{TAG:0003:000D:}}Oops{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Where was the shop I
wanted to go to?","{{TAG:0003:000B:}}Hum. Yo creo que ya he pasado
por aquí, ¿no?{{TAG:0000:0004:}}{{TAG:0003:000D:}}Huy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¿Dónde está la tienda
a la que quería ir?","{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Je crois que je suis déjà
passé par là...{{TAG:0000:0004:}}{{TAG:0003:000D:}}Mince alors{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Dans quelle direction
je voulais aller, déjà ?","{{TAG:0003:000B:}}Mmmh... Ho l'impressione di essere
già passato per questa strada.{{TAG:0000:0004:}}{{TAG:0003:000D:}}A proposito{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Dov'è che era
il negozio che cercavo?","{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ich war hier doch schon mal!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Wo zur Hantel ist der Laden, {{TAG:0007:0000:08000000}}zu dem
ich wollte?!","{{TAG:0003:000B:}}Hımm. Sanki buradan daha önce geçtim.{{TAG:0000:0004:}}{{TAG:0003:000D:}}Hay
aksi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Gitmek istediğim
dükkân neredeydi?"
6,007,"All right!{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} It's another day of working
hard to maintain the peace in this
town!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","¡Muy bien!{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} ¡Aquí estamos otra vez
tratando de mantener la paz en
este pueblo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","Et voilà !{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} Encore une journée où
mes muscles ont maintenu la paix à
{{TAG:0005:0005:}} !{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0021:}}La città può dormire sonni tranquilli
quando ci sono i miei muscoli
a fare la guardia,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0021:}}Hahaaaa!{{TAG:0007:0000:14000000}}
Wieder einmal sorgt {{TAG:0005:0001:}}
für Recht und Ordnung...{{TAG:0007:0000:28000000}} und so!","Tamamdır!{{TAG:0007:0000:14000000}}{{TAG:0003:0021:}} Kasabanın huzurunu korumak
için sıkı çalışacağımız yeni bir gün
daha!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0001:}}I don't know what you're going to
buy, but don't spend too much of
your allowance, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}No sé qué vas a comprar, ¡pero
tampoco te vayas a gastar
toda la paga, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Je ne sais pas ce que tu comptes
t'acheter, mais fais attention à ne
pas trop dépenser d'un coup !","{{TAG:0003:0001:}}Non so cosa vuoi comprare, ma
faresti meglio a conservarti un po'
di spiccioli, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Keine Ahnung, was du hier alles
kaufen willst... {{TAG:0007:0000:28000000}}Aber ein paar Sternis
solltest du auch sparen, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Ne alacağını bilmiyorum ama harçlığının
hepsini bitirme,{{TAG:0005:0008:}}!"
8,009,"{{TAG:0003:000B:}}You came all the way here to shop?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}There must be something you really
want to buy, huh?","{{TAG:0003:000B:}}¿Has venido hasta aquí para
comprar?{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}¿Es porque tienen
algo que te interesa muchísimo?","{{TAG:0003:000B:}}Tu as fait le chemin jusqu'ici pour
t'acheter quelque chose ?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ho ho !{{TAG:0007:0000:14000000}} Tu dois vraiment avoir une
idée précise en tête, alors !","{{TAG:0003:000B:}}Hai fatto tutta questa strada
solo per far compere?{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Non avete
negozi nella tua città?","{{TAG:0003:000B:}}Du bist den ganzen weiten Weg
gekommen, {{TAG:0007:0000:08000000}}um hier einzukaufen?{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Du suchst wohl etwas Besonderes!","{{TAG:0003:000B:}}Alışveriş için ta buraya kadar
mı geldin?{{TAG:0007:0000:28000000}} {{TAG:0003:0001:}}Demek gerçekten çok istediğin
bir şey var, ha?"
9,010,"{{TAG:0003:0021:}}Please take your time looking
around the main street in this
town,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0021:}}Ya que estás aquí, tómate el tiempo
que quieras para mirar las tiendas
del pueblo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0021:}}Sois {{TAG:000E:0006:16006C00650020006200690065006E00760065006E00750018006C00610020006200690065006E00760065006E0075006500}} dans notre jolie
ville !{{TAG:0007:0000:14000000}} J'espère que tu apprécieras
ton séjour ici, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0021:}}Prenditi pure tutto il tempo che
vuoi per ammirare i miei muscoli.
Sono qui per questo,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0021:}}Nimm dir ruhig alle Zeit der Welt,{{TAG:0007:0000:08000000}}
um unsere Weltklasse-Einkaufsmeile
zu erkunden,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0021:}}Bu kasabanın Ana Caddesi'ni doya doya
gez,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
