entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,I love walking! - Katie,"De Cati, la andarina",J'adore me balader ! Cathie,Mi piace viaggiare! Micetta,Ich lauf gern herum! — Katja,Yürümeyi çok seviyorum! - Katie
1,002,- Katie,De Cati,Bisous ! Cathie,Micetta,— Katja,-Katie
2,003,- Katie the Kitten,De la gatita Cati,Hi hi ! Cathie,La gattina Micetta,"— Katja, das Kätzchen",-Yavru Katie
3,004,- Katie,De Cati,Cathie,Micetta,— Katja,-Katie
4,005,- Katie the Traveler,"De Cati, la viajera",Cathie l'exploratrice,"Micetta, la viaggiatrice","— Katja, die Abenteurerin",-Gezgin Katie
5,006,I love drawing! - Katie,"De Cati, la pintora",J'adore dessiner ! Cathie,Mi piace disegnare! Micetta,Ich zeichne gern! — Katja,Resim yapmayı çok seviyorum! - Katie
6,007,I'm a big girl now! - Katie,"De Cati, la aventurera",Je suis plus un bébé ! Cathie,Sono grande ora! Micetta,Ich bin schon groß! — Katja,Artık büyüdüm ben! - Katie
7,008,I'm not lost! - Katie,"De Cati, la encontrada",Plein de poutous ! Cathie,Non mi sono persa! Micetta,Ich verlauf mich nie! — Katja,Kaybolmadım ki! - Katie
8,009,,,,,,
9,010,,,,,,
10,011,I love walking! - Katie,"De Cati, la andarina",J'adore me balader ! Cathie,Mi piace viaggiare! Micetta,Ich lauf gern herum! — Katja,Yürümeyi çok seviyorum! - Katie
11,012,- Katie,De Cati,Bisous ! Cathie,Micetta,— Katja,-Katie
12,013,- Katie the Kitten,De la gatita Cati,Hi hi ! Cathie,La gattina Micetta,"— Katja, das Kätzchen",-Yavru Katie
13,014,- Katie,De Cati,Cathie,Micetta,— Katja,-Katie
14,015,- Katie the Traveler,"De Cati, la viajera",Cathie l'exploratrice,"Micetta, la viaggiatrice","— Katja, die Abenteurerin",-Gezgin Katie
15,016,I love drawing! - Katie,"De Cati, la pintora",J'adore dessiner ! Cathie,Mi piace disegnare! Micetta,Ich zeichne gern! — Katja,Resim yapmayı çok seviyorum! - Katie
16,017,I'm a big girl now! - Katie,"De Cati, la aventurera",Je suis plus un bébé ! Cathie,Sono grande ora! Micetta,Ich bin schon groß! — Katja,Artık büyüdüm ben! - Katie
17,018,I'm not lost! - Katie,"De Cati, la encontrada",Plein de poutous ! Cathie,Non mi sono persa! Micetta,Ich verlauf mich nie! — Katja,Kaybolmadım ki! - Katie
