entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0027:}}So{{TAG:0007:0000:08000000}} what do you think of my
furniture?{{TAG:000F:0005:00000000}}
It's nice.
Um...","{{TAG:0003:0027:}}Bueno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¿qué opinión te merecen
mis muebles?{{TAG:000F:0005:00000000}}
Son bonitos
Mmm...","{{TAG:0003:0027:}}Alors, qu'est-ce que tu dis de ma
déco ?{{TAG:000F:0005:00000000}}
Ça déménage !
Bof...","{{TAG:0003:0027:}}Allora{{TAG:0007:0000:14000000}} che ne pensi dei miei mobili?{{TAG:0007:0000:0A000000}}{{TAG:000F:0005:00000000}}
Carini!
Mmmh...","{{TAG:0003:0027:}}Du{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}}u?{{TAG:0007:0000:0A000000}} Wie findest du eigentlich
meine Möbel?{{TAG:000F:0005:00000000}}
Schön.
Äh...","{{TAG:0003:0027:}}Peki,{{TAG:0007:0000:08000000}} mobilyalarım hakkında ne düşünüyorsun?{{TAG:000F:0005:00000000}}
Güzel.
Şey..."
1,002,"{{TAG:0003:0027:}}So,{{TAG:0007:0000:03000000}} be honest now.{{TAG:0007:0000:0A000000}} How do you feel
about the way I've decorated?{{TAG:000F:0005:00000000}}
It's cool!
It's...different.","{{TAG:0003:0027:}}¿Y bien?{{TAG:0007:0000:14000000}} ¿Qué opinas de mi gusto
para la decoración?{{TAG:000F:0005:00000000}}
¡Es genial!
Es... diferente...","{{TAG:0003:0027:}}Bon, entre nous, qu'est-ce que tu
penses de ma déco ?{{TAG:000F:0005:00000000}}
T'es au top !
C'est original...","{{TAG:0003:0027:}}Dai, dimmi la verità.{{TAG:0007:0000:0A000000}} Che ne pensi
delle mie doti{{TAG:0007:0000:0A000000}} di arredatrice?{{TAG:000F:0005:00000000}}
Sei fantastica!
Sei molto originale...","{{TAG:0003:0027:}}Du{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}}u{{TAG:0007:0000:0A000000}},{{TAG:0007:0000:0A000000}} sag mal ehrlich...{{TAG:0000:0004:}}Wie findest du meine Einrichtung?{{TAG:000F:0005:00000000}}
Gefällt mir!
Hm, ungewöhnlich.","{{TAG:0003:0027:}}Peki,{{TAG:0007:0000:03000000}} dürüst ol.{{TAG:0007:0000:0A000000}} Dekorasyonumu nasıl buldun?{{TAG:000F:0005:00000000}}
Havalı!
...Farklı."
2,003,"{{TAG:0003:0025:}}I'm curious.{{TAG:0007:0000:0A000000}} What do you think
of the inside of my house,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?{{TAG:000F:0005:00000000}}
It's lovely.
It's lacking...","{{TAG:0003:0009:}}Me da cosa preguntar,{{TAG:0007:0000:0A000000}} pero{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¿qué opinas de la decoración?{{TAG:000F:0005:00000000}}
Está muy bien
Es bastante sosa","{{TAG:0003:0009:}}Je voulais te demander, juste par
curiosité... Qu'est-ce que tu penses
de ma déco ?{{TAG:000F:0005:00000000}}
Ta déco décoiffe !
Ce qui manque, c'est...","{{TAG:0003:0009:}}Sono curiosa!{{TAG:0007:0000:0A000000}} Che ne pensi
dell'arredamento del mio
pied-à-terre,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}?{{TAG:000F:0005:00000000}}
Delizioso.
Manca qualcosa...","{{TAG:0003:0009:}}Jetzt bin ich schon etwas neugierig.
{{TAG:0007:0000:0A000000}}Was sagst du denn dazu, wie ich
mein Haus eingerichtet habe?{{TAG:000F:0005:00000000}}
Ich find's toll.
Find ich nicht so toll.","{{TAG:0003:0025:}}Merak ediyorum.{{TAG:0007:0000:0A000000}} Evimin içini nasıl buldun,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}?{{TAG:000F:0005:00000000}}
Çok hoş.
Bir şey eksik..."
3,004,{{TAG:0003:0009:}}Oh!{{TAG:0007:0000:14000000}} I see{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},"{{TAG:0003:0009:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ya lo entiendo,{{TAG:0007:0000:0A000000}} no hace falta
que digas nada{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0009:}}Oh, je vois{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}",{{TAG:0003:0009:}}Oh!{{TAG:0007:0000:14000000}} Ho capito{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0009:}}Oh.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}} Verstehe{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}},{{TAG:0003:0009:}}Ah!{{TAG:0007:0000:14000000}} Anlıyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
4,005,"{{TAG:0003:0009:}}Oh.{{TAG:0007:0000:14000000}} Thanks for trying to be nice
anyway.","{{TAG:0003:0009:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Supongo que es tu manera de
decirme que no te acaba de gustar{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0009:}}Oh... {{TAG:0007:0000:14000000}}C'est gentil de me ménager,
mais je ne suis pas dupe...","{{TAG:0003:0009:}}Oh...{{TAG:0007:0000:14000000}} Lo so che stai cercando di
essere gentile,{{TAG:0007:0000:14000000}} ma comunque
non è una buona notizia...","{{TAG:0003:0009:}}Oh.{{TAG:0007:0000:14000000}} Ich weiß schon, dass du es nicht
böse meinst, aber das finde ich jetzt
trotzdem etwas enttäuschend...","{{TAG:0003:0009:}}Ah.{{TAG:0007:0000:14000000}} Yine de nazik olmaya çalıştığın
için teşekkürler."
5,006,"{{TAG:0003:000B:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Personally, I feel like I have
a nice collection of things.{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Pues yo creo que tengo
una casita bastante apañada.{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Eh bien moi, je trouve qu'il
y a tout ce qu'il faut !{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Personalmente, penso che{{TAG:0007:0000:0A000000}}
il mio arredamento abbia tutto
quello che serve.{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Also, ich finde schon, dass
ich es mir hier schön eingerichtet
habe.{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}","{{TAG:0003:000B:}}Ah{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Ben aslında güzel bir eşya
koleksiyonum olduğunu düşünüyorum.{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}"
6,007,"Oh, {{TAG:0007:0000:0A000000}}do you mean it?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Let me know if there's a piece of
furniture here that you like.{{TAG:0007:0000:14000000}} I might
be willing to part with it.","{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:0A000000}}¿lo dices de verdad?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Pues si hay algún mueble que
te guste mucho, {{TAG:0007:0000:0A000000}}te lo puedo vender.","{{TAG:0003:0010:}}Sans rire ?{{TAG:0007:0000:0A000000}} Merci !{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Tu veux acheter
quelque chose ?{{TAG:0007:0000:0A000000}} Profites-en, c'est
une offre exceptionnelle !","{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:0A000000}}dici sul serio?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Se vedi{{TAG:0007:0000:14000000}} qualcosa che ti piace,{{TAG:0007:0000:05000000}}
dimmelo. Sarei felice{{TAG:0007:0000:0A000000}} di regalartelo!","{{TAG:0003:0010:}}Oh, {{TAG:0007:0000:0A000000}}wirklich?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Also, wenn dir irgendeines meiner
Möbelstücke gefällt,{{TAG:0007:0000:0A000000}} würde ich es
sogar veräußern.","Ah, {{TAG:0007:0000:0A000000}}gerçekten mi?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Burada hoşuna giden
bir mobilya varsa söyle.{{TAG:0007:0000:14000000}} Belki ondan
ayrılmayı düşünebilirim."
7,008,"{{TAG:0003:0005:}}I'm so happy to hear that!{{TAG:0007:0001:}} {{TAG:0003:0001:}}If you see
a piece of furniture you like,{{TAG:0007:0000:08000000}} let me
know.{{TAG:0007:0001:}} I might let you have it.","{{TAG:0003:0005:}}¡Qué alegría me da oír eso!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Si hay algún mueble que te guste
mucho, {{TAG:0007:0000:0A000000}}dímelo y te lo puedo vender.","{{TAG:0003:0005:}}Oh, merci beaucoup !{{TAG:0007:0001:}} {{TAG:0003:0001:}}Tu sais, s'il y
a quelque chose qui te plaît, dis-le.{{TAG:0007:0001:}}
On pourra peut-être s'arranger.","{{TAG:0003:0005:}}Oh, che gioia le tue parole!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Se vedi
qualcosa che ti piace,{{TAG:0007:0000:0A000000}} dimmelo.{{TAG:0007:0001:}}
Puoi avere ciò che vuoi!","{{TAG:0003:0005:}}Oh, das freut mich aber!{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}Wenn du
ein Möbelstück siehst, das dir gut
gefällt, gebe ich es vielleicht her.","{{TAG:0003:0005:}}Bunu duyduğuma çok sevindim!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Hoşuna
giden bir mobilya görürsen,{{TAG:0007:0000:08000000}} söyle.{{TAG:0007:0001:}} Belki
sana verebilirim."
8,009,"{{TAG:0003:0010:}}Hearing you say that makes me so
happy, {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Do you like something in particular?{{TAG:0007:0000:14000000}}
I might consider giving it to you,
{{TAG:0005:0007:}}.","{{TAG:0003:0025:}}Muchas gracias por tus amables
palabras, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Si quieres comprarme algún
mueble, {{TAG:0007:0000:0A000000}}solo tienes que decirme
cuál te gusta más.","{{TAG:0003:0010:}}Oh, merci beaucoup, {{TAG:0003:0010:}}{{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:0025:}}Je peux te vendre quelque chose si
tu veux ! {{TAG:0007:0000:0A000000}}Alors si tu vois un truc qui
te plaît, dis-le-moi !","{{TAG:0003:0010:}}Oh, mi rendi così felice, {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Voglio regalarti qualcosa di mio.
{{TAG:0007:0000:05000000}}Scegli quello che ti piace di più!","{{TAG:0003:0010:}}Hihihi,{{TAG:0007:0000:08000000}} das freut mich aber,
{{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Du kannst jedes Möbelstück haben,
das dir gefällt,{{TAG:0007:0000:0A000000}} du musst es mir
nur sagen, dann verhandeln wir!","{{TAG:0003:0010:}}Bunu söylemen beni çok mutlu etti,
{{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Özellikle beğendiğin
bir şey var mı?{{TAG:0007:0000:14000000}}
Belki sana vermeyi düşünebilirim, {{TAG:0005:0007:}}."
9,010,"{{TAG:0003:0025:}}If you see something you like,{{TAG:0007:0000:08000000}} just
let me know!{{TAG:0007:0000:14000000}} I might part with it.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Although I hope you understand
there are some things I can't give
up,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0003:0025:}}","{{TAG:0003:0025:}}Avísame si ves alguna cosita que
te gustaría llevarte a casa.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Pero entiende que hay cosas de
las que no me puedo desprender,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.{{TAG:0003:0025:}}","{{TAG:0003:0025:}}Si tu as un coup de foudre pour un
élément de ma déco, dis-le-moi !{{TAG:0000:0004:}}{{TAG:0003:0024:}}Cela dit, je pense que tu comprends
qu'il y a des choses dont je ne peux
pas me séparer, {{TAG:0005:0007:}}.{{TAG:0003:0025:}}","{{TAG:0003:0025:}}Se vedi qualcosa che ti piace,
{{TAG:0007:0000:0A000000}}fammelo sapere!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Ma spero capirai{{TAG:0007:0000:0F000000}} che ci sono alcuni
oggetti{{TAG:0007:0000:0A000000}} da cui non potrei mai
separarmi,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.{{TAG:0003:0025:}}","{{TAG:0003:0025:}}Wenn dir was gefällt, musst du es
mir nur sagen!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Also, an ein paar Sachen hänge
ich schon sehr –{{TAG:0007:0000:08000000}} die kannst du
nicht haben,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.{{TAG:0003:0025:}}","{{TAG:0003:0025:}}Hoşuna giden bir şey görürsen,{{TAG:0007:0000:08000000}} hemen
söyle!{{TAG:0007:0000:14000000}} Belki ondan ayrılabilirim.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Ama
bazı şeylerden vazgeçemeyeceğimi umarım
anlarsın,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0003:0025:}}"
