label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"Das hier wird ein besonderer Kampf!\nNa, schon gespannt?",This is a special fight! Isn't that exciting?,"¡Qué emoción, pequeñurri! ¡Esta pelea\nva a ser lo más!",Combat exceptionnel en perspective !\nChuis sur les starting-blocks !,"Questa è una battaglia speciale!\nChe spasso, eh?",Dit wordt een speciaal gevecht. Ik zie dat je\nniet kunt wachten!,"Bu özel bir savaş! Heyecan verici, değil mi?"
CharaSerif_00_F,1,,,,,,,
CharaSerif_01_M,2,\u000E\u0000\u0002\u0002\u0096Ein Papier-Bomben-Kampf!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096A Paper Bomb Battle!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096¡Un combate de plastibombas!\u000E\u0000\u0002\u0002d,Un combat de bombes indolores !,\u000E\u0000\u0002\u0002\u0096Bombe carta à gogo!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Een papierbommengevecht!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Kâğıt Bomba Savaşı!\u000E\u0000\u0002\u0002d
CharaSerif_01_F,3,,,,,,,
CharaSerif_02_M,4,"Das mit dem Papier ist ja schon bekannt,\ndurch meinen feinen \u000E\u0000\u0003\u0004ﾑ＞Papierteller\u000E\u0000\u0003\u0004\u0000＀-Zauber.","Y'see, the ""paper"" part of it comes from my\ngood old \u000E\u0000\u0003\u0004ﾑ＞Paper Plates\u000E\u0000\u0003\u0004\u0000＀ skill.","Te explico: lo de ""plasti"" viene de la\ntécnica de los \u000E\u0000\u0003\u0004ﾑ＞platos de plástico\u000E\u0000\u0003\u0004\u0000＀.","J'dis « indolore » rapport à \u000E\u0000\u0003\u0004ﾑ＞Même pas mal\u000E\u0000\u0003\u0004\u0000＀,\nmon talent aux petits oignons.","Sai, ""carta"" perché ha a che fare con la mia\nbuona vecchia abilità \u000E\u0000\u0003\u0004ﾑ＞Piatti di carta\u000E\u0000\u0003\u0004\u0000＀!","""Papier"" vanwege mijn trouwe\n\u000E\u0000\u0003\u0004ﾑ＞Papieren bordjes\u000E\u0000\u0003\u0004\u0000＀-gave.","Görüyorsun ya, işin ""kâğıt"" kısmı benim\neski dostum \u000E\u0000\u0003\u0004ﾑ＞Kâğıt Tabaklar\u000E\u0000\u0003\u0004\u0000＀ yeteneğimden geliyor."
CharaSerif_02_F,5,,,,,,,
CharaSerif_03_M,6,"Zur Erinnerung, der sorgt dafür, dass Teller\nnur ein Zehntel ihres Schadens verursachen!","Which, quick refresher, makes plates do\na tenth of their normal damage.","Por si te habías olvidado, consiste en que\nlos platos hacen una décima parte de daño.","Qui, pour mémoire, divise par dix les dégâts\ninfligés par les assiettes.","Che, per darti una rinfrescatina alla memoria,\nriduce il danno dei piatti a un decimo!",Die ken je vast nog wel. Daardoor richten de\nbordjes maar een tiende van de schade aan.,Kısaca hatırlatayım: bu yetenek tabakların\nverdiği hasarı onda bire indirir.
CharaSerif_03_F,7,,,,,,,
CharaSerif_04_M,8,Die Bombe dagegen sorgt – wie du ja schon\nweißt – für GEWALTIGEN Schaden!,"And then the ""Bomb"" part is—you guessed\nit! That's where the real damage happens!",Pero la parte divertida es la de la bomba.\n¡Esa sí que hace pupa!,Et devine pourquoi j'dis « bombes » ?\nBingo ! C'est ça qui fait vraiment mal !,"E invece ""bombe"" perché... beh, ci arrivi da\nsolo! Con quelle sì che si fanno gran danni!","En ""bommen"" hoef ik zeker niet uit te leggen.\nDat is waar de echte klappen vallen!","Sonra da ""Bomba"" kısmı var—tahmin ettin!\nAsıl hasar orada oluyor!"
CharaSerif_04_F,9,,,,,"E invece ""bombe"" perché... beh, ci arrivi da\nsola! Con quelle sì che si fanno gran danni!",,
CharaSerif_05_M,10,\u000E\u0000\u0002\u0002\u0096Möge das Chaos beginnen!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Commence the chaos!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096¡Que comience el caos!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Place à la destruction !\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Che il caos ci sconvolga!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Iedereen klaar? Start!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Kargaşa başlasın!\u000E\u0000\u0002\u0002d
CharaSerif_05_F,11,,,,,,,
