entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}},{{TAG:0009:0001:040005000600}}
1,002,{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}},{{TAG:000A:0007:07000700070007000B000B00}}
2,003,{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}},{{TAG:0009:0001:0E000F001000}}
3,004,"{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} You caught me
taking a breather.","{{TAG:0003:000F:}}¡Ay,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}}{{TAG:0003:0000:}} Necesitaba
tomarme un descanso...","{{TAG:0003:0027:}}Hello,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Je fais une petite
pause. {{TAG:0007:0000:1E000000}}Faire du shopping à longueur
de journée, {{TAG:0007:0000:08000000}}c'est éreintant.","{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Scusa, ero assorta
nei miei pensieri. Sono venuta qui
a prendere una boccata d'aria.","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} Erwischt!{{TAG:0007:0000:28000000}} Ich entspanne mich
hier ein wenig von den Strapazen
des Alltags.","{{TAG:0003:000F:}}Ah,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Beni mola verirken yakaladın."
4,005,"{{TAG:0003:0001:}}I'm just relaxing and watching the
grass grow.","{{TAG:0003:0001:}}Me gusta sentarme aquí y ver
cómo crece la hierba.","{{TAG:0003:0001:}}Je regarde l'herbe pousser, {{TAG:0007:0000:14000000}}ça me
détend.","{{TAG:0003:0001:}}Guardare i fili d'erba mossi
dal vento mi rilassa...","{{TAG:0003:0001:}}Ich bin heute ganz phlegmatisch und
sehe dem Gras beim Wachsen zu.",{{TAG:0003:0001:}}Sadece dinlenip çimlerin büyümesini izliyorum.
5,006,"{{TAG:0003:0001:}}Don't mind me. {{TAG:0007:0000:08000000}}I just stopped to
smell the roses. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Wait{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} They were
around here somewhere{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0001:}}Ah, no te preocupes, cielín. {{TAG:0007:0000:10000000}}Quería
sentarme unos minutos. Aunque 
llevo más de una hora.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0001:}}Oh,{{TAG:0007:0000:10000000}} ne fais pas attention à moi. {{TAG:0007:0000:20000000}}Je
me suis arrêtée ici une minute pour
sentir les fleurs.
{{TAG:0003:0009:}}Mais{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Elles étaient là il y a un
instant{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0001:}}Mi sono fermata qui ad ammirare
le rose. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Ma cosa.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?
Erano qui un secondo fa!","{{TAG:0003:0001:}}Eine Pause in Ehren kann niemand
verwehren.","{{TAG:0003:0001:}}Bana aldırma. {{TAG:0007:0000:08000000}}Biraz durup gülleri
koklayayım dedim. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Bir dakika{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Şurada
bir yerde olmalılardı{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
6,007,{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}},{{TAG:0009:0001:080009000A00}}
7,008,"{{TAG:0003:0021:}}I'm just relaxing and appreciating
nature.{{TAG:0007:0000:10000000}} Why don't you join me?","{{TAG:0003:0001:}}La vida hay que tomársela con
calma, terroncín. {{TAG:0007:0000:14000000}}Siéntate conmigo
y disfruta de la naturaleza.","{{TAG:0003:0021:}}Je fais une petite pause.{{TAG:0007:0000:1E000000}} Veux-tu
t'asseoir ?","{{TAG:0003:0021:}}Ti va di farmi compagnia{{TAG:0007:0000:10000000}}
mentre mi godo tutto questo
bel verde e mi rilasso?","{{TAG:0003:0024:}}Ich entspanne mich nur ein wenig
in der idyllischen Ruhe der Natur.{{TAG:0007:0000:28000000}}
Möchtest du dich zu mir setzen?","{{TAG:0003:0021:}}Sadece dinlenip doğanın tadını
çıkarıyorum.{{TAG:0007:0000:10000000}} Neden sen de katılmıyorsun?"
8,009,"{{TAG:0003:0003:}}It's a fine day to just sit outside and
relax a little bit.{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Why don't you join
me?","{{TAG:0003:0003:}}Hace un día espléndido para
relajarse fuera de casa, flor.{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}
¿Quieres hacerme compañía?","{{TAG:0003:0003:}}J'aime bien m'asseoir ici et
observer la nature...{{TAG:0007:0000:2D000000}} {{TAG:0003:0025:}}Assieds-toi, {{TAG:0007:0000:10000000}}il y
a de la place pour deux.","{{TAG:0003:0003:}}È la giornata ideale per sedersi
un po' all'aperto e prendersela
comoda.{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Fermati anche tu!","{{TAG:0003:0025:}}Welch schöner Tag, um sich etwas
Ruhe zu gönnen.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}Wieso setzt du dich
nicht eine Weile zu mir?","{{TAG:0003:0003:}}Dışarıda oturup biraz dinlenmek
için güzel bir gün.{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Sen de katılsana?"
9,010,"Hey,{{TAG:0007:0000:08000000}} have a seat! {{TAG:0003:001D:}}{{TAG:0007:0000:10000000}}I was just sitting
here waiting for some company.","¡Clavelito, siéntate! {{TAG:0003:001D:}}{{TAG:0007:0000:10000000}}Cuéntame cómo
te va la vida.","Tiens,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} {{TAG:0003:001D:}}{{TAG:0007:0000:14000000}}Viens à côté de
moi. {{TAG:0007:0000:1E000000}}Je ne suis pas contre un peu de
compagnie.","Ciao,{{TAG:0007:0000:08000000}} vieni a sederti qui con me!
{{TAG:0003:001D:}}{{TAG:0007:0000:10000000}}Aspettavo giusto che arrivasse
qualcuno a farmi compagnia.","{{TAG:0003:0026:}}Ich grüße dich, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Setz
dich!{{TAG:0007:0000:14000000}} Ich hatte gehofft, dass mir
jemand Gesellschaft leistet.","Hey,{{TAG:0007:0000:08000000}} otursana! {{TAG:0003:001D:}}{{TAG:0007:0000:10000000}}Ben de tam birileri
gelsin diye bekliyordum."
