entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0009:}}I just realized that February 29th
only comes during leap years!{{TAG:0000:0004:}}{{TAG:0003:001B:}}A day this rare should probably be a
bigger deal.{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}} There should be, like, a
leap festival or something!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Gah! We're not ready!","{{TAG:0003:0009:}}Anda, me acabo de dar cuenta de
que solo es 29 de febrero cada
cuatro años...{{TAG:0000:0004:}}{{TAG:0003:001B:}}Pues siendo así, tiene que ser un
día muy especial.{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}} ¡Debería hacerse
un Festival Bisiesto o algo así!{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Ay, qué emoción!","{{TAG:0003:0009:}}J'viens juste de m'souvenir que le
29 février tombait que lors des
années bissextiles !
{{TAG:0003:001B:}}Un jour aussi rare mérite d'être
mieux traité !{{TAG:0007:0000:28000000}} {{TAG:0003:0005:}}Devrait y avoir une
fête bissextile ou un truc du genre !
{{TAG:0003:000D:}}Pfff ! On est vraiment mal
organisés !","{{TAG:0003:0009:}}Ho appena realizzato che
il 29 febbraio c'è solo
negli anni bisestili!
{{TAG:0003:001B:}}Un giorno così raro dovrebbe essere
festeggiato come si deve!{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}} Magari
restando svegli tutta la notte!
{{TAG:0003:000D:}}Uffa! Lo so, nessuno la pensa
come me! Non ancora per lo meno!","{{TAG:0003:0009:}}Hey,{{TAG:0007:0000:08000000}} heute ist ja der {{TAG:0000:0003:0200}}29. Februar{{TAG:0000:0003:FFFF}}!
{{TAG:0007:0000:14000000}}Das bedeutet, dass dieses Jahr
ein Schaltjahr ist!
{{TAG:0003:0023:}}Einen so seltenen Tag müsst man
doch feiern.{{TAG:0007:0000:28000000}}{{TAG:0003:0016:}} Was hältst du
von{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}Schaltfest?
Was?{{TAG:0003:000D:}}{{TAG:0007:0000:14000000}} Nein!{{TAG:0007:0000:14000000}} Ich hab noch
gar nichts vorbereitet!","{{TAG:0003:0009:}}Az önce fark ettim, 29 Şubat sadece
artık yıllarda geliyor!{{TAG:0000:0004:}}{{TAG:0003:001B:}} Bu kadar nadir
bir gün daha tantanalı olmalı bence.{{TAG:0007:0000:28000000}}{{TAG:0003:0005:}}
Artık Gün Festivali falan yapmalıyız!{{TAG:0000:0004:}}{{TAG:0003:000D:}}
Eyvah! Hiç hazırlığımız yok!"
1,002,"{{TAG:0003:0025:}}A normal year has 365 days, right?{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
And this year is a leap year, so it
has 366 days!
{{TAG:0003:0023:}}Talking about it gets me super
excited about time and space and
stuff like that!{{TAG:0009:0000:03000400}}","{{TAG:0003:0025:}}A ver, un año normal tiene 365 días,
¿no?{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Y este año, como es bisiesto,
¡tiene 366!
{{TAG:0003:0023:}}Buf, es que las cosas estas me
vuelven loca, ¡menuda movida!{{TAG:0009:0000:03000400}}","{{TAG:0003:0025:}}Une année classique comporte bien
365 jours, nan ?{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}} Du coup, une année
bissextile en compte 366, c'est ça ?
{{TAG:0003:0023:}}Hé hé, c'est l'genre de trucs qui
t'fait t'poser plein d'questions !{{TAG:0009:0000:03000400}}","{{TAG:0003:0025:}}Normalmente ci sono 365 giorni
in un anno, giusto?{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Quest'anno
però ha un giorno in più!
{{TAG:0003:0023:}}Più ne parlo e più mi sento
un puntino piccolissimo,
perso nello spazio e nel tempo!{{TAG:0009:0000:03000400}}","{{TAG:0003:0025:}}Ein Jahr hat doch 365 Tage, {{TAG:0007:0000:08000000}}hab ich
nicht recht?{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Aber dieses Jahr ist ein
Schaltjahr und hat ganze 366 Tage!
{{TAG:0003:0023:}}Ist das nicht total spannend
und abgefahren?{{TAG:0009:0000:03000400}}","{{TAG:0003:0025:}}Normal yıl 365 gün, değil mi?{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Bu yıl artık yıl, yani 366 gün!
{{TAG:0003:0023:}}Böyle konuşunca zaman, uzay falan
düşünmek acayip heyecan veriyor!{{TAG:0009:0000:03000400}}"
2,003,"{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Live every leap day
like it's your last leap day! Yeah!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} ¡Hay que vivir cada
año bisiesto como si fuese el
último! ¡A tope, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} Vis chaque jour
bissextil comme si c'était l'dernier,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Vivi ogni anno bisestile
come se fosse l'ultimo! Già!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Feier' jeden Schalttag,
als wär's der letzte, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Her Artık Gün’ü son Artık Gün’ünmüş
gibi yaşa! Aynen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0025:}}Heh. Talking about all this sciencey
stuff makes me feel super smart!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Ji, ji, ¡hablar de estas cosas tan
científicas me pone atómica!
¡Y eso que la ciencia no es lo mío!","{{TAG:0003:0025:}}Ouaip, chuis pas plus avancée, mais
au moins j'me sens futée à causer
d'un truc compliqué,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Eh. Parlare di queste cose
pseudoscientifiche mi fa sentire
intelligente, sì, {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hehe.{{TAG:0007:0000:14000000}} Ich hab zwar im Unterricht
kaum aufgepasst, {{TAG:0007:0000:08000000}}{{TAG:0003:0021:}}aber das hab ich
mir gemerkt! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Heh. Böyle bilimsel şeylerden konuşunca
kendimi acayip zeki hissediyorum!{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
4,005,"{{TAG:0003:0015:}}Leap years are famous for having an
extra day.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} But do you know why
there's an extra day?
{{TAG:0003:000B:}}We divide a year into an even 365
days, but a year is actually more
like 365.25 days long.
{{TAG:0003:0015:}}So those leftover quarter days
build until we have one full extra
day every fourth year!
{{TAG:0003:0005:}}It's like we're saving up bonus 
points to buy an extra day! Kinda
cool, huh? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Los años bisiestos son esos que
tienen un día de más. {{TAG:0007:0000:28000000}}{{TAG:0003:0017:}}¿Tú sabes
por qué es?
{{TAG:0003:000B:}}Dicen que al parecer dividimos los
años en 365 días, pero en realidad
duran 365,25{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¡Qué flipe!
{{TAG:0003:0015:}}Claro, si sumas ese tiempo de más,
¡acabas acumulando un día entero!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Es como ir juntando puntos para
conseguir una vida extra, ¿no? {{TAG:0007:0000:14000000}}
¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Tout l'monde sait qu'une année
bissextile compte un jour de plus.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Mais t'en connais la raison ?
{{TAG:0003:000B:}}On divise une année en 365 jours,
mais en fait, le nombre correct est
plus proche de 365,25.
{{TAG:0003:0015:}}Du coup, les quarts de jour restants
s'accumulent jusqu'à former un jour
supplémentaire tous les quatre ans !
{{TAG:0003:0005:}}Un peu comme si t'économisais des
points bonus pour t'offrir un jour
de plus ! Cool, hein,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Gli anni bisestili, si sa, hanno
un giorno in più.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Ma tu lo sai
perché?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Per noi un anno è composto da 365
giorni, ma in realtà è come se fosse
lungo 365,25 giorni.
{{TAG:0003:0015:}}Perciò ogni anno avanza un quarto
di giorno che, sommato a quelli
dei tre successivi, fa un giorno!
{{TAG:0003:0005:}}È come se mettessimo da parte
dei punti bonus per comprare
un giorno in più! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Schaltjahre haben einen Tag mehr.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}}
Weißte, {{TAG:0007:0000:08000000}}wieso das so ist?{{TAG:0000:0004:}}{{TAG:0003:000B:}}Die Erde braucht etwas länger
als 365 Tage, {{TAG:0007:0000:08000000}}um die Sonne zu
umkreisen.
{{TAG:0003:0015:}}Also nehmen wir alle vier Jahre
einen Tag dazu, {{TAG:0007:0000:08000000}}damit die Rechnung
halbwegs wieder aufgeht!
{{TAG:0003:0023:}}Mich erinnert das immer ein bissel
an Bonuspunkte, {{TAG:0007:0000:08000000}}die man irgend-
wann einlösen kann{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0015:}}Artık yıllar fazladan bir günleriyle
meşhur.{{TAG:0007:0000:28000000}}{{TAG:0003:0017:}} Peki o günün neden eklendiğini
biliyor musun? {{TAG:0003:000B:}} Bir yılı 365 gün diye
hesaplıyoruz ama aslında yaklaşık
365,25 gün sürüyor. {{TAG:0003:0015:}} O artan çeyrek
günler birikip dört yılda tam bir güne
dönüşüyor! {{TAG:0003:0005:}} Sanki bonus puan biriktirip
ekstra gün satın alıyoruz! Havalı, ha? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0009:}}Ack! It's a leap year! {{TAG:0003:001B:}}And of course
I'm totally unprepared. But what is
there to do, really?{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0009:}}¡Ay, que es año bisiesto! {{TAG:0003:001B:}}¡Y yo aquí
tan pancha como si nada! Aunque...
¿qué hay que hacer exactamente?{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0009:}}Mince, c'est une année bissextile !
{{TAG:0003:001B:}}Et bien sûr, chuis pas prête... Mais
prête pour quoi, au juste ?{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0009:}}Ah! Questo è un anno bisestile! {{TAG:0003:001B:}}E
io sono come sempre impreparata.
Ma che c'è da fare in realtà?{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0009:}}So ein Käse!{{TAG:0007:0000:14000000}} Wir haben ja 'n
Schaltjahr! {{TAG:0007:0000:14000000}}{{TAG:0003:001B:}}Und ich hab's
natürlich total verpeilt!{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0009:}}Amanın! Artık yılmış! {{TAG:0003:001B:}} Tabii ben yine
hazırlıksız yakalandım. Gerçi buna
nasıl hazırlanılır ki?{{TAG:0009:0001:080009000A00}}"
6,007,"{{TAG:0003:0015:}}It's cool that leap days only come
once every four years, but that's
pretty much all there is to 'em!{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0015:}}Es un pasote que sea año bisiesto
solo cada cuatro... Pero aparte de
eso, ¡tampoco es para tanto!{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0015:}}À part tomber une fois tous les
quatre ans, ces jours bissextils sont
vraiment d'aucune utilité !{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0015:}}Gli anni bisestili capitano una volta
ogni quattro anni, sì... non c'è altro
da dire a riguardo!{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0015:}}Schon cool, {{TAG:0007:0000:05000000}}dass wir alle vier Jahre
so ein Schaltjahr haben!{{TAG:0009:0001:080009000A00}}","{{TAG:0003:0015:}}Artık Gün’ün dört yılda bir gelmesi
havalı ama olayı da aşağı yukarı bu!{{TAG:0009:0001:080009000A00}}"
7,008,"{{TAG:0003:0015:}}I guess I should have started
planning something four years ago.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Debería haber empezado a planear
algo hace cuatro años...
¡Qué mal, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}J'aurais sans doute dû réfléchir à un
truc quatre ans plus tôt...{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Forse avrei dovuto organizzare
qualcosa quattro anni fa,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Ich hätte vor vier Jahren schon
mit den Partyvorbereitungen
anfangen sollen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Galiba bir şeyler planlamaya dört yıl
önce başlamalıydım. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:002B:}}Maybe I'll start working on some
stuff to do for the leap day that
happens four years from now{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:002B:}}Claro que también puedo empezar
a preparar algo para el siguiente
año bisiesto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}¡Qué buena idea!","{{TAG:0003:002B:}}J'devrais p't'être commencer à
réfléchir à un truc pour l'prochain
coup, dans quatre ans{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:002B:}}Forse posso cominciare a pensare
adesso a cosa fare per il prossimo
anno bisestile{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:002B:}}Vielleicht sollte ich mir jetzt
schon was für den nächsten
Schalttag ausdenken{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:002B:}}Belki dört yıl sonraki Artık Gün için
şimdiden bir şeyler planlamaya
başlarım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}"
9,010,"{{TAG:0003:0024:}}It's not like other events where
everyone buys clothes and presents
and bakes cookies, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0024:}}A ver, no es como en otros días,
que hay que comprar regalos,
o disfraces o cosas así...
¡Por eso me gusta, ji, ji, ji!{{TAG:0003:0025:}}","{{TAG:0003:0024:}}Ça vaut pas les autres fêtes où les
gens s'déguisent ou font la popote,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}","{{TAG:0003:0024:}}Questo qui non è come gli altri
eventi, in cui si comprano regali o
si preparano biscotti, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0024:}}Kuchen, {{TAG:0007:0000:08000000}}Plätzchen oder Geschenke
gibt's heute nicht! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:0024:}}Diğer etkinlikler gibi herkesin kıyafet,
hediye alıp kurabiye yaptığı bir gün
değil sonuçta, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
