index,label,English,French,German,Italian,Spanish,Turkish
0,DefaultLyrics_00,All other rappers I'm the best,Faites-moi de la place,"Jo, Mann, nick",Rappo senza freno,Quitad de en medio ya,Bütün rapçiler içinde en iyisi benim
1,DefaultLyrics_01,don't put me to the test,C'est moi le boss ici,"mit dem Kopf,",volete fermarmi?,que lo vais a flipar,sakın beni sınamaya kalkma
2,DefaultLyrics_02,you'd better dance or you're gonna be,C'est mon territoire mon palace,Ich bin MC Raptor-,Non provateci nemmeno,"Yo soy quien manda, la voy a armar","dans etsen iyi olur, yoksa"
3,DefaultLyrics_03,depressed,Venez,nado!,Ritmo funky,A tope,moralin dibe vurur
4,DefaultLyrics_04,like a button,Écoutez,Sind denn alle,Agitate,Sin parar,bir düğme gibi
5,DefaultLyrics_05,you ain't nothin',Mon rap à moi,pillepalle.,i fianchi,Mi rap genial,hiçbir şey değilsin
6,DefaultLyrics_06,unless you're switched on,Il est pas moisi,Alle hör'n nur noch,finché non siete stanchi,Cuando lo escuchéis,eğer açılmadıysan
7,DefaultLyrics_07,to my songs,Il sent le rap d'ici,Schlager.,La mia canzone,no podréis olvidar,benim şarkılarıma
8,DefaultLyrics_08,it isn't wrong,Goûtez-moi ça,Kauft doch lieber,è un razzo,ni las letras,yanlış değil
9,DefaultLyrics_09,to sing along,Est-ce que vous sentez,meine Platten!,a propulsione,ni el ritmo,eşlik edip söylemek
10,DefaultLyrics_10,I'm livin' the dream,Ce goût fruité,"Ihr wisst doch, ihr",Non mi,Querréis comprar,hayalimi yaşıyorum
11,DefaultLyrics_11,know what I mean?,Ce goût frais,wollt es auch.,smentisco,mi nuevo CD,ne demek istediğimi anladın mı?
12,DefaultLyrics_12,please buy my new C.D.!,C'est mon rap à fromage,Jetzt mit vier Tracks!,Compratemi il disco!,A la venta ya,lütfen yeni CD'mi satın al!
