entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000F:}}Wha—? No way!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Thank you!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Hopefully {{TAG:0011:0001:0000}} is putting it to
good use! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡No me lo puedo creer!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} ¡Gracias!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Seguro que {{TAG:0011:0001:0000}} le está
dando buen uso...","{{TAG:0003:000F:}}Ah ouais ?{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Cool, merci !{{TAG:0000:0004:}}{{TAG:0003:002B:}}J'espère {{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0000}} en fera bon
usage !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}...","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:08000000}}A proposito{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Grazie per aver
consegnato il regalo da parte mia!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Spero che {{TAG:0011:0001:0000}} ne farà buon
uso! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Boah, das gibt's doch nicht!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Danke!{{TAG:0000:0004:}}{{TAG:0000:0002:4B00}}{{TAG:0003:002B:}}Na, hoffentlich kann {{TAG:0011:0001:0000}} auch was
damit anfangen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0000:0002:6400}}","{{TAG:0003:000F:}}Ne-? Yok artık{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}! Sağ ol{{TAG:0000:0004:}}{{TAG:0003:002B:}}! Umarım {{TAG:0011:0001:0000}}
işine yarıyordur! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
1,002,{{TAG:0003:0010:}}Ah! {{TAG:0007:0000:08000000}}Thanks!,{{TAG:0003:0010:}}¡Anda! {{TAG:0007:0000:08000000}}¡Muchas gracias!,{{TAG:0003:0010:}}Ouais ?{{TAG:0007:0000:08000000}} Ben merci !,"{{TAG:0003:0010:}}Ah!{{TAG:0007:0000:08000000}} Beh... insomma, grazie!",{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:08000000}}Wie cool von dir!,{{TAG:0003:0010:}}Aa!{{TAG:0007:0000:08000000}} Sağ ol!
2,003,"{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}So?{{TAG:0007:0000:28000000}} What did they think?{{TAG:000F:0005:00002800}}
Let me tell you!
I don't remember...","{{TAG:0003:0017:}}¿Y bien?{{TAG:0007:0000:28000000}} ¿Qué te ha dicho?{{TAG:000F:0005:00002800}}
Mira, te cuento...
Se me ha olvidado","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Et ?{{TAG:0007:0000:14000000}} Une réaction d'sa part ?{{TAG:000F:0005:00002800}}
Alors...
Je sais plus trop.","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Allora?{{TAG:0007:0000:28000000}} Cosa ne ha pensato?{{TAG:000F:0005:00002800}}
Ora ti racconto tutto!
Non ricordo...","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Und?{{TAG:0007:0000:28000000}} Wie war's?{{TAG:000F:0005:00002800}}
Ich sag's dir!
Keine Ahnung...","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}.Ee{{TAG:0007:0000:28000000}}? Ne düşündüler?{{TAG:000F:0005:00002800}}
Anlatayım!
Hatırlamıyorum..."
3,004,"{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}So?{{TAG:0007:0000:28000000}} What did they think?{{TAG:000F:0005:00002800}}
I sort of opened it...
I don't remember.","{{TAG:0003:0017:}}Bueno...{{TAG:0007:0000:28000000}} ¿qué le ha parecido?{{TAG:000F:0005:00002800}}
Es que... lo he abierto
Ni me acuerdo","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Et ?{{TAG:0007:0000:14000000}} Une réaction d'sa part ?{{TAG:000F:0005:00002800}}
À vrai dire...
J'ai tout oublié !","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Allora?{{TAG:0007:0000:28000000}} Che ne ha pensato?{{TAG:000F:0005:00002800}}
Ecco... l'ho aperto.
Non ricordo.","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Und?{{TAG:0007:0000:28000000}} Wie ist es gelaufen?{{TAG:000F:0005:00002800}}
Äh... Hab's geöffnet!
Keine Ahnung...","{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}.Ee{{TAG:0007:0000:28000000}}? Ne düşündüler?{{TAG:000F:0005:00002800}}
Şey, biraz açtım...
Hatırlamıyorum."
4,005,"{{TAG:0003:0009:}}Really?


{{TAG:0003:001B:}}B-but{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}I've been so worried about
what they would think, I've hardly
eaten! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}¿De verdad? {{TAG:0003:001B:}}P-pero{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Y yo que
estaba tan preocupada que ni
he dormido... {{TAG:0007:0000:14000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}Sérieux ?!{{TAG:0000:0004:}}{{TAG:0003:001B:}}Raaaah là là{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Et moi qui m'faisais
tellement d'mouron qu'j'en avais
perdu l'appétit,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}...","{{TAG:0003:0009:}}Cooosa?!{{TAG:0000:0004:}}{{TAG:0003:001B:}}M-Ma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} E io che ero così ansiosa di
sapere cosa ne pensava! Ho pure
perso l'appetito! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}Echt jetzt?{{TAG:0000:0004:}}{{TAG:0003:001B:}}A-{{TAG:0007:0000:08000000}}aber{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ich wollte doch wissen,
wie's gelaufen ist! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}Cidden mi?{{TAG:0003:001B:}} A-ama.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}} Ne
düşünecekler diye o kadar dert
ettim ki doğru düzgün yemek bile
yiyemedim! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0012:}}What?!{{TAG:0007:0000:14000000}} You opened it?!{{TAG:0007:0001:}} {{TAG:0003:000D:}}Hold up!
{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}What is wrong with you?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Even if other people don't mind, I
sure as heck do!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}
I'm so disappointed!{{TAG:0007:0000:14000000}}","{{TAG:0003:0012:}}¡¿Cómo?!{{TAG:0007:0000:14000000}} ¡¿Que lo has abierto?!{{TAG:0007:0001:}}{{TAG:0003:000D:}}
¡Pero bueno!{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} ¿De qué vas?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Habrá gente a la que le dé
igual, ¡pero a mí no!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} ¡Me has
decepcionado!","{{TAG:0003:0012:}}Quoi ?!{{TAG:0007:0000:14000000}} T'as osé l'ouvrir ?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}J'hallucine{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}C'est quoi qui tourne
pas rond, chez toi ?
{{TAG:0003:0006:}}Ça lui a pas posé d'problème, tu
dis ?{{TAG:0007:0000:14000000}} M'en fiche. Moi ça m'dérange.{{TAG:0007:0000:14000000}}
{{TAG:0003:000C:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}} Chuis super déçue...","{{TAG:0003:0012:}}Cooosa?!{{TAG:0007:0000:14000000}} Hai aperto il pacco?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}Dico{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Ma che ti è preso?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Forse agli altri non cambia niente,
ma a me cambia TUTTO!{{TAG:0007:0000:28000000}}
{{TAG:0003:000C:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}} Che delusione!{{TAG:0007:0000:14000000}}","{{TAG:0003:0012:}}Was?!{{TAG:0007:0000:14000000}} DU hast es aufgemacht?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}Aber sonst geht's dir noch gut,
oder wie?! {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}Was ist dein Problem?
{{TAG:0003:0006:}}Anderen Leuten mag das ja egal
sein –{{TAG:0007:0000:14000000}} mir nicht!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}
Was für 'ne Enttäuschung!{{TAG:0007:0000:14000000}}","{{TAG:0003:0012:}}Ne?!{{TAG:0007:0000:14000000}} Sen mi açtın?{{TAG:0007:0001:}}!{{TAG:0003:000D:}} Dur{{TAG:0007:0000:08000000}} bakalım{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}!
...Neyin var senin{{TAG:0000:0004:}}{{TAG:0003:0006:}}? Başkası
umursamasa bile ben umursarım!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}
Çok hayal kırıklığına uğradım!{{TAG:0007:0000:14000000}}"
6,007,"{{TAG:0003:0012:}}What?!{{TAG:0007:0000:14000000}} You opened it?!{{TAG:0007:0001:}} {{TAG:0003:000D:}}Hold up!
{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}What is wrong with you?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Even if other people don't mind, I
sure as heck do!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}
I'm so disappointed!{{TAG:0007:0000:14000000}}","{{TAG:0003:0012:}}¡¿Qué?!{{TAG:0007:0000:14000000}} ¿Cómo que lo has abierto?{{TAG:0007:0001:}} {{TAG:0003:000D:}}
¡Para el carro!{{TAG:0003:0009:}} ¿Estás loc{{TAG:000E:0006:02006F0002006100}} o qué?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Habrá gente a la que le dé igual,
¡pero a mí no!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} ¡Vaya chasco me
acabo de llevar contigo!","{{TAG:0003:0012:}}Quoi ?!{{TAG:0007:0000:14000000}} T'as osé l'ouvrir ?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}J'hallucine{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0009:}}C'est quoi qui tourne
pas rond, chez toi ?!
{{TAG:0003:0006:}}Ça s'est pas vu, tu dis ?{{TAG:0007:0000:14000000}} M'en fiche.
Moi j'le sais, maintenant.{{TAG:0007:0000:14000000}}
{{TAG:0003:000C:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}.{{TAG:0007:0000:14000000}} Chuis super déçue...","{{TAG:0003:0012:}}Cooosa?!{{TAG:0007:0000:14000000}} Hai aperto il pacco?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}Dico{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Ma che ti è preso?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Anche se non ci ha fatto caso, resta
il fatto che IO lo so e mi dà fastidio!{{TAG:0007:0000:28000000}}
{{TAG:0003:000C:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}} Che delusione!{{TAG:0007:0000:14000000}}","{{TAG:0003:0012:}}Was?!{{TAG:0007:0000:14000000}} DU hast es aufgemacht?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}Sag mal, geht's noch?! {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}Was ist
dein Problem?
{{TAG:0003:0006:}}Du kannst doch so was nicht
einfach bringen!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}
Du hast mich echt total enttäuscht!{{TAG:0007:0000:14000000}}","{{TAG:0003:0012:}}Ne?!{{TAG:0007:0000:14000000}} Sen mi açtın?{{TAG:0007:0001:}}!{{TAG:0003:000D:}} Dur{{TAG:0007:0000:08000000}} bakalım{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}!
...Neyin var senin{{TAG:0000:0004:}}{{TAG:0003:0006:}}? Başkası
umursamasa bile ben umursarım!{{TAG:0007:0000:28000000}}{{TAG:0003:000C:}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:14000000}}
Çok hayal kırıklığına uğradım!{{TAG:0007:0000:14000000}}"
7,008,"{{TAG:0003:0016:}}They put it on?{{TAG:0007:0000:28000000}} {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Great!{{TAG:0007:0000:14000000}} I should go
see how they look!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}¿Se ha probado lo que le mandé?{{TAG:0003:0025:}}
¡Yupiii!{{TAG:0007:0000:14000000}} Debería ir a ver cómo le
queda, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0016:}}Ça l'a fait se changer cash{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Parfait !{{TAG:0007:0000:14000000}} Faut qu'j'aille voir c'que
ça donne !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0016:}}Ha indossato subito il mio regalo?{{TAG:0007:0000:28000000}}
{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Grandioso!{{TAG:0007:0000:14000000}} Dovrei andare subito
a vedere come sta!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}Und?{{TAG:0007:0000:08000000}} Wie sah es aus?{{TAG:0007:0000:28000000}} .{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Wirklich?
Cool!{{TAG:0007:0000:14000000}} Das muss ich mir angucken!","{{TAG:0003:0016:}}Giydi mi? ..{{TAG:0007:0000:28000000}}{{TAG:0007:0000:08000000}}.Harika{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}! Nasıl{{TAG:0007:0000:14000000}}
durduğunu gidip görmeliyim!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:000F:}}Huh?{{TAG:0007:0000:14000000}} They didn't try it on right
away?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Well,{{TAG:0007:0000:08000000}} I'll just go check on
'em later. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¿Cómo?{{TAG:0007:0000:14000000}} ¿Y no se probó lo que le
mandé? {{TAG:0003:0000:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Vaya,{{TAG:0007:0000:08000000}} tendré que
pasarme por su casa más tarde.","{{TAG:0003:000F:}}Ah bon ?{{TAG:0007:0000:14000000}} Ça s'est pas fini en séance
d'essayage ?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}OK,{{TAG:0007:0000:08000000}} j'lui rendrai une p'tite
visite plus tard,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}.","{{TAG:0003:000F:}}Eh!?{{TAG:0007:0000:14000000}} Non ha indossato subito
il mio regalo?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Beh,{{TAG:0007:0000:08000000}} forse è meglio che
più tardi passi a vedere che ne dice.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Ach so?{{TAG:0007:0000:14000000}} Die Klamotten sind immer
noch eingepackt?{{TAG:0000:0004:}}{{TAG:0003:0000:}}Hm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Ach,{{TAG:0007:0000:08000000}} ich geh da später mal
vorbei. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Ha?{{TAG:0007:0000:14000000}} Hemen denemedi mi? Hımm{{TAG:0000:0004:}}{{TAG:0003:0000:}}...{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Sonra{{TAG:0007:0000:08000000}} uğrayıp bakarım artık. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
9,010,"{{TAG:0003:000F:}}Huh?{{TAG:0007:0000:14000000}} They tried it on and then took
it off right away? {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0029:}}No way! {{TAG:0007:0000:14000000}}They
didn't like it?!
{{TAG:0003:0009:}}But they said that was their
favorite color!{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}Wow, they change
their mind quick! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¿Qué?{{TAG:0007:0000:14000000}} ¿Que se probó lo que le
mandé{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. y luego se lo quitó? {{TAG:0007:0000:14000000}}{{TAG:0003:0029:}}
¡Será posible! {{TAG:0007:0000:14000000}}¡¿No le gustó?!
{{TAG:0003:0009:}}Pero si me dijo que ese era su
color preferido...{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}¡Pues sí que
ha cambiado rápido de idea!","{{TAG:0003:000F:}}Hein ?!{{TAG:0007:0000:14000000}} Il lui a pas fallu deux minutes
pour l'essayer et l'enlever ?{{TAG:0007:0000:14000000}} {{TAG:0003:0029:}}La
poisse !{{TAG:0007:0000:14000000}} Ça lui a pas plu, donc ?!
{{TAG:0003:0009:}}J'ai pourtant choisi sa couleur
préférée !{{TAG:0007:0000:14000000}} {{TAG:0003:001B:}}Pfff, ces gens qui savent
pas c'qu'y veulent...{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Cooosa?!{{TAG:0007:0000:14000000}} Ha provato il mio regalo e
l'ha tolto subito? {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0029:}} Non ci credo!{{TAG:0007:0000:14000000}}
Allora non ho indovinato i suoi gusti!
{{TAG:0003:0009:}}Ma ero arcisicura che fosse il suo
colore preferito!{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}La gente cambia
idea in fretta! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Was?{{TAG:0007:0000:14000000}} Die Pflaume hat das Geschenk
sofort wieder ausgezogen? {{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0029:}}Das
gibt's nicht! 
{{TAG:0003:0009:}}Aber gestern hieß es noch:{{TAG:0007:0000:14000000}} „Oh, {{TAG:0007:0000:08000000}}das
ist meine absolute Lieblingsfarbe!“{{TAG:0007:0000:28000000}}
{{TAG:0003:001B:}}Einfach unfassbar!","{{TAG:0003:000F:}}Ha?{{TAG:0007:0000:14000000}} Giyip hemen çıkardı mı?
...Yok artık!{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}{{TAG:0003:0029:}} Beğenmedi{{TAG:0007:0000:14000000}} mi?!
Oysa en sevdiği{{TAG:0003:0009:}} renk olduğunu
söylemişti! Fikrini{{TAG:0007:0000:28000000}}{{TAG:0003:001B:}} de ne çabuk
değiştiriyor! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
