label,index,deu,eng,esp,fra,ita,nld,tur
MovieSerifText_3a_0001_M,0,Huch?,Huh?,¿Eh?,Hein ?,Eh?,Huh?,Ha?
MovieSerifText_3a_0001_F,1,,Huh?,,,,,Ha?
MovieSerifText_3a_0002_M,2,Wer ist das?,Do you see that?,¿Ves eso?,T'as vu ?,Hai visto?,Zie je dat?,Şunu görüyor musun?
MovieSerifText_3a_0002_F,3,,Do you see that?,,,,,Şunu görüyor musun?
MovieSerifText_3a_0003_M,4,Hm?,Hmm?,¿Mmm?,Quoi donc ?,Mmmh?,Hm?,Hım?
MovieSerifText_3a_0003_F,5,,,,,,,
MovieSerifText_3a_0004_M,6,Da versucht sich wohl\njemand zu verstecken.,Someone's trying to hide.,Alguien intenta esconderse.,"Oh, je vois... Essaie-t-elle\nde se cacher ?",Qualcuno cerca di nascondersi.,Iemand probeert\nzich te verstoppen.,Birisi saklanmaya çalışıyor.
MovieSerifText_3a_0004_F,7,,,,,,,
MovieSerifText_3a_0005_M,8,Hey! Was machst du da?,Hey! Whatcha doing?,¡Oye! ¿Qué haces?,Hé ! Tu fais quoi ?,Ehi! Che stai facendo?,Hé! Wat ben je aan het doen?,Hey! Ne yapıyorsun?
MovieSerifText_3a_0005_F,9,,Hey! Whatcha doing?,,,,,Hey! Ne yapıyorsun?
MovieSerifText_3a_0006_M,10,Huch!,Eh?,¿Eh?,Hein ?,Eh?,Wat?,Ha?
MovieSerifText_3a_0006_F,11,,,,,,,
MovieSerifText_3a_0007_M,12,"Oh, ich, äh...","Oh, I, uh...",Pues...,"Oh, euh... Je...","Oh, io...","Oh, ik, uhm...","Şey, ben, ıı..."
MovieSerifText_3a_0007_F,13,,,,,,,
MovieSerifText_3a_0008_M,14,Ich warte auf jemanden.,I'm watching for someone.,Busco a alguien.,Je cherche quelqu'un !,Sto aspettando qualcuno.,Ik wacht op iemand.,Birini bekliyorum.
MovieSerifText_3a_0008_F,15,,,,,,,
MovieSerifText_3a_0009_M,16,Aha.,Got it.,Vale.,Ah bon !,Capisco.,Oké.,Anladım.
MovieSerifText_3a_0009_F,17,,Got it.,,,,,Anladım.
MovieSerifText_3a_0010_M,18,"Und wird dir da nicht langweilig,\nso ganz allein?",And you're not bored out here\nby yourself?,¿Y no te aburres aquí sola?,Et tu t'ennuies pas trop toute\nseule ?,E non ti annoi qui tutta sola?,"En je verveelt je hier niet,\nzo helemaal alleen?",Burada tek başına dururken\nsıkılmıyor musun?
MovieSerifText_3a_0010_F,19,,And you're not bored out here\nby yourself?,,,,,Burada tek başına dururken\nsıkılmıyor musun?
MovieSerifText_3a_0023_M,20,Brauchst du Hilfe?,Do you need any help?,¿Te ayudo o algo?,T'as besoin d'aide ?,Ti serve una mano?,Heb je hulp nodig?,Bir yardıma ihtiyacın var mı?
MovieSerifText_3a_0023_F,21,,Do you need any help?,,,,,Bir yardıma ihtiyacın var mı?
MovieSerifText_3a_0011_M,22,Wie? Ach... Nein.,Huh? Oh... No.,"Eh, pues... no.",Hein ? Euh... Non...,Eh? Oh... No.,Wat? Oh... Nee.,Ha? Aa... Hayır.
MovieSerifText_3a_0011_F,23,,,,,,,
MovieSerifText_3a_0012_M,24,Alles okay.,I'm OK.,No hace falta.,Non merci.,È tutto a posto.,"Nee, dank je.",İyiyim.
MovieSerifText_3a_0012_F,25,,,,,,,
MovieSerifText_3a_0013_M,26,Hab ihn gefunden!,I just found him.,¡Ya lo he encontrado!,J'ai trouvé la personne que\nje cherchais.,Ho appena trovato chi cerco.,Ik heb hem net gevonden.,Aradığım kişiyi az önce buldum.
MovieSerifText_3a_0013_F,27,Hab sie gefunden!,I just found her.,¡Ya la he encontrado!,,,Ik heb haar net gevonden.,Aradığım kişiyi az önce buldum.
