index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,TextSkip,SKIP,PASSER,WEITER,SALTA,SALTAR,スキップ,SKIP,PASSER,SALTAR,ATLA,
1,Lv6Start_00,"To think that you've made it this far.
Aren't you a persistent little thing?","Et dire que tu es arrivé jusqu'ici.
Tu es très tenace.","⟦MSBT:0E000000020002006300⟧Dass du so weit gekommen bist... Was
bist du nur für ein zähes Kerlchen!⟦MSBT:0E000000020002006400⟧","E pensare che sei arrivato fin qui...
Non ti arrendi tanto facilmente, vero?","Mira quién ha logrado llegar hasta
aquí. Debo admitir que tienes agallas.","　まさかココまで たどり⟦MSBT:0E00000000000600020002006430⟧着くなんて、
　キミもしつこいねぇ。","To think that you've made it this far.
Aren't you a persistent little thing?","Et dire que tu es arrivé jusqu'ici.
Tu es très tenace.","Mira quién ha logrado llegar hasta
aquí. Debo admitir que tienes agallas.","Buralara kadar gelmen...
İnatçıymışsın.",
2,Lv6Start_01,But even you will kneel before us.,"Mais toi aussi, tu t'inclineras bientôt
devant nous.","Doch auch du wirst vor
uns niederknien.","Ma non potrai fare altro che
arrenderti anche tu.","Pero acabarás arrodillándote
ante nosotros.","しかし、
⟦MSBT:0E000000000008000200040059307930⟧全ての⟦MSBT:0E00000000000A00040006005B304B304430⟧世界を ⟦MSBT:0E00000000000800020004004A305530⟧治めんとする…",But even you will kneel before us.,"Mais toi aussi, tu t'inclineras bientôt
devant nous.","Pero acabarás arrodillándote
ante nosotros.",Ama sen bile bize diz çökeceksin.,
3,Lv6Start_02,"I, Taranza, cannot allow you to
interfere with Queen Sectonia's plans.","Tu ne dois pas interférer avec
les plans de la Reine Sectonia.","Ich, Taranza, kann dich nicht Königin
Sectonias Pläne durchkreuzen lassen.","⟦MSBT:0E000000020002005F00⟧Io, Taranza, non ti permetterò di
interferire con i piani di Queen Sectonia!⟦MSBT:0E000000020002006400⟧","Pues yo, Taraña, evitaré que arruines
los planes de la Reina Sectonia.","⟦MSBT:0E00000000000C0004000800583087304A304630⟧女王、セクトニア⟦MSBT:0E000000000008000200040055307E30⟧様のジャマは
この タランザが させないのね。","I, Taranza, cannot allow you to
interfere with Queen Sectonia's plans.","Tu ne dois pas interférer avec
les plans de la Reine Sectonia.","Pero yo, Taraña, evitaré que arruines
los planes de la Reina Sectonia.","Ben, Örümza, Kraliçe Sectonia'nın
planlarına karışmana izin veremem.",
4,Lv6Start_03,"Let me guess: you're here to save the
hero of the lower world.","Tu es venu sauver ce piètre héros
du monde d'en bas, c'est ça ?","⟦MSBT:0E000000020002006300⟧Lass mich raten: Du bist hier, um den 
Helden der Niederen Welt zu retten.⟦MSBT:0E000000020002006400⟧","Lasciami indovinare: sei qui per
salvare l'eroe del mondo inferiore.","Así que has venido a salvar al
debilucho héroe del mundo inferior...","キミは コイツを…
⟦MSBT:0E00000000000A000400060052304B304430⟧下界の⟦MSBT:0E00000000000C00040008008630463057308330⟧勇者を ⟦MSBT:0E00000000000800020004005F305930⟧助けたいんだろぉ？","Let me guess: you're here to save the
hero of the lower world.","Tu es venu sauver ce piètre héros
du monde d'en bas, c'est ça?","Así que has venido a salvar al
debilucho héroe del mundo inferior...","Tahmin edeyim: Alt Dünya'nın
kahramanını kurtarmaya geldin.",
5,Lv6Start_04,"The people of this land thought they
were clever.","On dirait que les gens de ce monde
ne réfléchissent pas beaucoup.","⟦MSBT:0E000000020002006400⟧Die Bewohner dieses Landes hielten
sich für schlau.⟦MSBT:0E000000020002006400⟧","Da queste parti si credono
intelligenti, pare.","Los habitantes de este mundo
se creyeron muy listos.",この⟦MSBT:0E00000000000800020004004F306B30⟧国のヤツらは、ホント～に おバカさんだよね。,"The people of this land thought they
were clever.","On dirait que les gens de ce monde
ne réfléchissent pas beaucoup.","Los habitantes de este mundo
se creyeron muy listos.","Bu diyarın halkı kendini
çok akıllı sandı.",
6,Lv6Start_05,"They thought they could use the
Dreamstalk to save their world.","Ils pensaient que la Tige des rêves
les sauverait.","⟦MSBT:0E000000020002006100⟧Sie dachten, dass sie die Traumranke
zur Rettung ihrer Welt nutzen könnten.⟦MSBT:0E000000020002006400⟧","Pensavano di usare la Pianta dei
Sogni per salvare il mondo inferiore.","¡⟦MSBT:0E000000020002006300⟧Pensaron que podrían usar la Planta
de ensueño para salvarse!⟦MSBT:0E000000020002006400⟧","ワールドツリーを⟦MSBT:0E000000000008000200040064304B30⟧使って、
⟦MSBT:0E00000000000A000400060052304B304430⟧下界に ⟦MSBT:0E00000000000800020004005F305930⟧助けを⟦MSBT:0E000000000008000200040082306830⟧求めようなんて…","They thought they could use the
Dreamstalk to save their world.","Ils pensaient que la Tige des rêves
les sauverait.","¡⟦MSBT:0E000000020002006300⟧Pensaron que podrían usar la Planta
de ensueño para salvarse!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Rüya Sarmaşığı'nı kullanıp
dünyalarını kurtaracaklarını sandılar.⟦MSBT:0E000000020002006400⟧",
7,Lv6Start_06,But I saw right through their plan.,Je connais leur plan depuis le début.,Doch ich durchschaute ihren Plan.,⟦MSBT:0E000000020002005D00⟧Conoscevo le loro intenzioni fin dall'inizio.⟦MSBT:0E000000020002006400⟧,Pero a⟦MSBT:0E000000020002006200⟧diviné su plan desde el principio.⟦MSBT:0E000000020002006400⟧,そんなの、お⟦MSBT:0E00000000000600020002007F30⟧見⟦MSBT:0E000000000008000200040068304A30⟧通し なんだよねっ。,But I saw right through their plan.,Je connais leur plan depuis le début.,Pero a⟦MSBT:0E000000020002006200⟧diviné su plan desde el principio.⟦MSBT:0E000000020002006400⟧,Ama planlarını hemen anladım.,
8,Lv6Start_07,"Well, since you're already here...","Bien, puisque tu as pris la peine
de venir ici...",Aber da du nun schon hier bist...,"Ma visto che hai fatto così tanta
strada per arrivare fin qui...",Aunque ya que estás aquí...,キミには ココまで⟦MSBT:0E00000000000600020002004D30⟧来た ごほうびに…,"Well, since you're already here...","Bien, puisque tu as pris la peine
de venir ici...",Aunque ya que estás aquí...,Madem buradasın...,
9,Lv6Start_08,I'll give you your precious hero back.,"Je vais te le rendre,
ton précieux héros.",⟦MSBT:0E000000020002006400⟧Erhältst du den großen Helden zurück.⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006100⟧... ti restituirò il tuo preziosissimo eroe.⟦MSBT:0E000000020002006400⟧,te devolveré a tu querido héroe.,この⟦MSBT:0E00000000000C00040008008630463057308330⟧勇者⟦MSBT:0E000000000008000200040055307E30⟧様と…,I'll give you your precious hero back.,"...je vais te le rendre,
ton précieux héros.",te devolveré a tu querido héroe.,⟦MSBT:0E000000020002005F00⟧O kıymetli kahramanını geri vereceğim.⟦MSBT:0E000000020002006400⟧,
