index,label,English,French,German,Italian,Spanish,Turkish
0,Load_Dlg_NeedFormatArc,"Save data is corrupted
and will be deleted.","Les données de sauvegarde sont
corrompues et vont être effacées.","Die Speicherdaten sind fehlerhaft
und müssen gelöscht werden.","I dati di salvataggio sono danneggiati
e verranno eliminati.","Los datos de guardado están
dañados y se van a borrar.","Kayıt verileri bozulmuş
ve silinecek."
1,Load_Dlg_FormatArcDoing,Deleting save data...,"Effacement des données
de sauvegarde...",Speicherdaten werden gelöscht...,"Eliminazione dei dati di salvataggio
in corso...",Borrando datos de guardado...,Kayıt verileri siliniyor...
2,Load_Dlg_WriteArcDoing,Creating save data...,"Création des données
de sauvegarde...",Speicherdaten erstellen...,"Creazione dei dati di salvataggio
in corso...",Creando datos de guardado...,Kayıt verileri oluşturuluyor...
3,Load_Dlg_NotifyLoadArcFailed,There is no save data.,Aucune donnée de sauvegarde.,Keine Speicherdaten gefunden.,Non ci sono dati di salvataggio.,No hay datos de guardado.,Kayıt verisi yok.
4,Load_Dlg_CreateSdDataDoing,"Creating Tomodachi Life
save data on the SD Card...","Création des données de
sauvegarde de Tomodachi
Life sur la carte SD...","Zusatzdaten für Tomodachi Life
werden angelegt...
Bitte die SD Card nicht entfernen.","Creazione dei dati aggiuntivi per
Tomodachi Life sulla scheda
SD in corso...","Creando datos adicionales de
Tomodachi Life en la tarjeta SD...","SD Kartta Tomodachi Life
kayıt verileri oluşturuluyor..."
5,Load_Dlg_NotifyContinueWithoutSd,"Some features such as SpotPass
are not available as the SD Card
extra data cannot be used.","Certaines fonctionnalités telles
que SpotPass sont indisponibles
car les données additionnelles
de la carte SD sont inutilisables.","Da Zusatzdaten auf SD Card nicht
verwendet werden können, stehen
einige Funktionen wie z. B.
SpotPass nicht zur Verfügung.","Impossibile utilizzare i dati aggiuntivi
della scheda SD.

Le funzioni che richiedono una
scheda SD, come ad esempio
SpotPass, non saranno disponibili.","No se han podido leer los datos
adicionales de la tarjeta SD.

Se desactivarán las funciones que
necesiten una tarjeta SD, como
SpotPass.","SD Kart ek verileri kullanılamadığı için
SpotPass gibi bazı özellikler
kullanılamayacak."
6,Load_Dlg_InvalidSdData,"Tomodachi Life extra data is
corrupted and will now be reset.","Les données additionnelles
de Tomodachi Life sont
corrompues et vont être
réinitialisées.","Die Zusatzdaten zu Tomodachi
Life sind beschädigt und müssen
neu erstellt werden.","I dati aggiuntivi per Tomodachi Life
sono danneggiati e verranno eliminati.","Los datos adicionales de
Tomodachi Life están dañados
y no se pueden usar.

Se crearán datos nuevos.","Tomodachi Life ek verileri
bozulmuş ve şimdi sıfırlanacak."
7,Load_Dlg_SdEjected,"The SD Card cannot be
recognised.",L'accès à la carte SD a échoué.,"Es konnte nicht auf die
SD Card zugegriffen werden.",Impossibile leggere la scheda SD.,"No se ha podido acceder
a la tarjeta SD.",SD Kart tanınamıyor.
8,Load_Dlg_Sd_MediaNotFound,"The SD Card cannot be
recognised.",L'accès à la carte SD a échoué.,"Es konnte nicht auf die
SD Card zugegriffen werden.",Impossibile leggere la scheda SD.,"No se ha podido acceder
a la tarjeta SD.",SD Kart tanınamıyor.
9,Load_Dlg_Dm_ConfirmCopy,"Tomodachi Life demo-version
data has been found. Do you
want to carry over this data?

(After you've started the game,
you won't be able to carry over
demo-version data.)","Des données de la version démo de
Tomodachi Life ont été trouvées.
Voulez-vous importer ces données ?

(Vous ne pourrez plus transférer ces
données une fois le jeu commencé.)","Demoversion von Tomodachi
Life gefunden. Speicherdaten
von Demoversion übernehmen?
(Nach Start des Spiels können die
Daten der Demoversion nicht mehr
importiert werden.)","È presente una versione demo di
Tomodachi Life. Vuoi trasferire
i dati della versione demo?

Dopo aver iniziato a giocare non
potrai più trasferire i dati della
versione demo.","Se ha encontrado una versión de prueba
de Tomodachi Life. ¿Quieres transferir
sus datos?

(Una vez iniciado el juego,
ya no podrás transferir los datos
de la versión de prueba.)","Tomodachi Life demo sürümüne ait
veriler bulundu. Bu veriler
aktarılacak mı?

(Oyuna başladıktan sonra demo
sürümü verilerini aktaramazsın.)"
10,Load_Dlg_Dm_CopyDoing,"Copying demo-version data...

Do not remove the SD Card
or Game Card.","Copie des données
de la version démo...

Ne retirez ni la carte de jeu,
ni la carte SD.","Daten der Demoversion werden
kopiert. Bitte entferne nicht die
SD Card/die Nintendo 3DS-Karte.","Copia dei dati della versione
demo in corso...

Non rimuovere la scheda
di gioco o la scheda SD.","Copiando los datos de la versión
de prueba...

No extraigas la tarjeta SD ni la
tarjeta de juego.","Demo sürümü verileri kopyalanıyor...

SD Kartı veya Oyun Kartını
çıkarmayın."
11,Load_Dlg_Dm_CopySuccess,"Demo-version data was carried
over.","Les données de la version démo
ont été importées.","Daten der Demoversion wurden
erfolgreich übertragen.","I dati della versione demo sono
stati trasferiti.","Se han transferido los datos
de la versión de prueba.",Demo sürümü verileri aktarıldı.
14,Load_Dlg_Dm_NoCopy,"Tomodachi Life demo-version
save data is corrupted.

The game will begin without
carrying over data.","Les données de sauvegarde de
la version démo de Tomodachi
Life sont corrompues.

Le jeu va être lancé sans
importation des données.","Die Speicherdaten zu Tomodachi Life:
Demoversion sind beschädigt.

Das Spiel wird ohne Übertragung
der Speicherdaten gestartet.","I dati di salvataggio della versione
demo di Tomodachi Life sono
danneggiati.

Il gioco inizierà senza trasferire
i dati.","Los datos de la versión de prueba
de Tomodachi Life están dañados.

El juego va a comenzar
sin transferir los datos.","Tomodachi Life demo sürümü
kayıt verileri bozulmuş.

Oyun, veriler aktarılmadan
başlatılacak."
15,Load_Dlg_Dm_NoFinishData,"The demo version has not been
played to a point where the save
data can be carried over.

The game will begin without
carrying over data.","Vous n'avez pas assez progressé
dans la version démo pour avoir
des données à importer.

Le jeu va être lancé sans
importation des données.","Die Demoversion wurde nicht
weit genug gespielt, um einen
Speicherstand zu erstellen.
Daten konnten nicht übertragen
werden.
Das Spiel wird ohne Übertragung
von Speicherdaten gestartet.","Non hai giocato la versione demo
fino a un punto che consente di
trasferire i dati di salvataggio.

Il gioco inizierà senza trasferire
i dati.","Como no has jugado lo suficiente a
la versión de prueba, no se pueden
transferir los datos de guardado.

El juego va a comenzar
sin transferir los datos.","Demo sürümü, kayıt verilerinin
aktarılabileceği noktaya kadar
oynanmamış.

Oyun, veriler aktarılmadan
başlatılacak."
16,Load_Dlg_Iv_ConfirmCopy,"Tomodachi Life: Welcome Version
data has been found. Do you
want to carry over this data?

(You won't be able to carry over
data after starting the game.)","Des données de Tomodachi Life :
version de bienvenue ont été trouvées.
Voulez-vous importer ces données ?

(Vous ne pourrez plus transférer ces
données une fois le jeu commencé.)","Es wurden Daten zu Tomodachi Life:
Willkommensversion gefunden.
Willst du diese Daten übernehmen?
(Nach Start des Spiels ist der
Import von Speicherdaten nicht
mehr möglich.)","È presente una versione di
benvenuto di Tomodachi Life.
Vuoi trasferire i dati della
versione di benvenuto?
Dopo aver iniziato a giocare non
potrai più trasferire i dati della
versione di benvenuto.","Se ha encontrado una versión de
bienvenida de Tomodachi Life.
¿Quieres transferir sus datos?

(Una vez iniciado el juego, ya no
podrás transferir los datos de la versión
de bienvenida de Tomodachi Life.)","Tomodachi Life: Welcome Version
verileri bulundu. Bu veriler
aktarılacak mı?

(Oyuna başladıktan sonra
verileri aktaramazsın.)"
17,Load_Dlg_Iv_CopyDoing,"Tomodachi Life: Welcome Version
data is being copied...

Do not remove the SD Card
or Game Card.","Copie des données de la
version de bienvenue de
Tomodachi Life...

Ne retirez ni la carte de jeu,
ni la carte SD.","Daten zu Tomodachi Life:
Willkommensversion werden
kopiert. Bitte entferne nicht die
SD Card/die Nintendo 3DS-Karte.","Copia dei dati di Tomodachi Life:
Versione di benvenuto in corso...

Non rimuovere la scheda
di gioco o la scheda SD.","Copiando los datos de la versión
de bienvenida de Tomodachi Life...

No extraigas la tarjeta SD ni la
tarjeta de juego.","Tomodachi Life: Welcome Version
verileri kopyalanıyor...

SD Kartı veya Oyun Kartını
çıkarmayın."
18,Load_Dlg_Iv_CopySuccess,"Tomodachi Life: Welcome Version
data was carried over.","Les données de la version de
bienvenue de Tomodachi Life
ont été importées.","Die Daten zu Tomodachi Life:
Willkommensversion wurden
erfolgreich übertragen.","I dati di Tomodachi Life: Versione
di benvenuto sono stati trasferiti.","Se han transferido los datos
de la versión de bienvenida
de Tomodachi Life.","Tomodachi Life: Welcome Version
verileri aktarıldı."
19,Load_Dlg_Iv_NoCopy,"Tomodachi Life: Welcome Version
save data is corrupted.

The game will begin without
carrying over data.","Les données de sauvegarde
de la version de bienvenue de
Tomodachi Life sont corrompues.

Le jeu va être lancé sans
importation des données.","Die Speicherdaten zu Tomodachi Life:
Willkommensversion sind beschädigt.
Das Spiel wird ohne Übertragung
der Speicherdaten gestartet.","I dati di salvataggio della versione
di benvenuto di Tomodachi Life
sono danneggiati.

Il gioco inizierà senza trasferire
i dati.","Los datos de la versión de bienvenida
de Tomodachi Life están dañados.

El juego va a comenzar
sin transferir los datos.","Tomodachi Life: Welcome Version
kayıt verileri bozulmuş.

Oyun, veriler aktarılmadan
başlatılacak."
20,Load_Dlg_Iv_NoFinishData,"Tomodachi Life: Welcome Version
has not been played to a point 
where the save data can be carried 
over.

The game will begin without
carrying over data.","Vous n'avez pas assez progressé
dans la version de bienvenue de
Tomodachi Life pour avoir des
données à importer.

Le jeu va être lancé sans
importation des données.","Tomodachi Life: Willkommensversion
wurde nicht weit genug gespielt, um
einen Speicherstand zu erstellen.
Es konnten keine Daten übertragen
werden.
Das Spiel wird ohne Übertragung
von Speicherdaten gestartet.","Non hai giocato la versione di
benvenuto di Tomodachi Life
fino a un punto che consente di
trasferire i dati di salvataggio.

Il gioco inizierà senza trasferire
i dati.","Como no has jugado lo suficiente a
la versión de bienvenida de
Tomodachi Life, no se pueden
transferir los datos de guardado.

El juego va a comenzar
sin transferir los datos.","Tomodachi Life: Welcome Version,
kayıt verilerinin aktarılabileceği
noktaya kadar oynanmamış.

Oyun, veriler aktarılmadan
başlatılacak."
21,Load_Dlg_Both_ConfirmCopy_00,"Tomodachi Life: Welcome Version
and demo version data have been 
found. Do you want to carry 
over this data?

(You won't be able to carry over
data after starting the game.)","Des données de la version démo
et de la version de bienvenue de
Tomodachi Life ont été trouvées.
Vous ne pouvez importer que les
données d'une seule version.
(Vous ne pourrez plus transférer ces
données une fois le jeu commencé.)","Es wurden sowohl Daten zu
Tomodachi Life: Willkommensversion
als auch zur Demo von
Tomodachi Life gefunden.
Willst du diese Daten übernehmen?","Sono presenti una versione di
benvenuto e una versione demo
di Tomodachi Life.
Puoi trasferire i dati di una sola
delle due versioni.
Dopo aver iniziato a giocare non
potrai più trasferire i dati.","Se han encontrado una versión de
bienvenida y una versión de prueba
de Tomodachi Life. Solo puedes
transferir los datos de una de ellas.

(Una vez iniciado el juego, ya no
podrás transferir los datos.)","Tomodachi Life: Welcome Version
ve demo sürümü verileri bulundu.
Bu veriler aktarılsın mı?

(Oyuna başladıktan sonra
verileri aktaramazsın.)"
