index,key,F,G,I,S,U,TR
0,MID_様子_ウード_前,"Que me vaut ce sourire ? Ma dernière
offensive était-elle si époustouflante ?","Warum das Lächeln? War meine letzte
Attacke wirklich so atemberaubend?","Perché quel sorriso? La mia mossa speciale
era veramente così sbalorditiva?","Qué día tan radiante, ¿eh? Lo aprovecharé
para practicar mi nuevo ataque definitivo.","Why the smile? Was my ultimate attack
truly that breathtaking?","Neden gülümseme? Nihai saldırim gerçekten
bu kadar nefes kesici miydi?"
1,MID_様子_ウード_前_無言,NOT USED,"Warum das Lächeln? War meine letzte
Attacke wirklich so atemberaubend?","Perché quel sorriso? La mia mossa speciale
era veramente così sbalorditiva?",NOT USED,NOT USED,KULLANILMADI
2,MID_様子_ウード_前_敬さん,"Que me vaut ce sourire ? Ma dernière
offensive était-elle si époustouflante ?","Warum das Lächeln? War meine letzte
Attacke wirklich so atemberaubend?","Perché quel sorriso? La mia mossa speciale
era veramente così sbalorditiva?","Qué día tan radiante, ¿eh? Lo aprovecharé
para practicar mi nuevo ataque definitivo.","Why the smile? Was my ultimate attack
truly that breathtaking?","Neden gülümseme? Nihai saldırim gerçekten
bu kadar nefes kesici miydi?"
3,MID_様子_ウード_後,"Non, je suis simplement heureux d'avoir
su maîtriser ma main exaltée. Chaos évité !","Nein, ich bin nur froh, dass ich meine
Schwerthand kontrollieren konnte. Puh!","No, sono solo fiero di essere riuscito a
tenere a bada la mia mano. Strage evitata!","¡Ya lo creo! Yo me voy a poner a practicar
mi última técnica de ataque ultraletal.","No, I'm just glad I've been able to keep my
sword hand in check. Apocalypse averted!","Hayır, kılıcımı dizginleyebildiğim için
mutluyum. Kıyamet önlendi!"
4,MID_様子_ウード_後_敬さん,"Non, je suis simplement heureux d'avoir
su maîtriser ma main exaltée. Chaos évité !","Nein, ich bin nur froh, dass ich meine
Schwerthand kontrollieren konnte. Puh!","No, sono solo fiero di essere riuscito a
tenere a bada la mia mano. Strage evitata!","¡Ya lo creo! Yo me voy a poner a practicar
mi última técnica de ataque ultraletal.","No, I'm just glad I've been able to keep my
sword hand in check. Apocalypse averted!","Hayır, kılıcımı dizginleyebildiğim için
mutluyum. Kıyamet önlendi!"
5,MID_様子_ウード_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_ウード_前_親子_子,"Dis-moi, ô ma puissante progéniture,
as-tu besoin de quelque chose ?","Meine allmächtige Nachkommenschaft!
Brauchst du irgendetwas?","Dimmi, mio onnipotente rampollo,
ti occorre qualcosa?","Dime, mi todopoderoso vástago,
¿necesitas algo?","Tell me, my almighty offspring,
do you need anything?","Söyle bana yüce yavrum, bir
şeye ihtiyacın var mı?"
7,MID_様子_ウード_後_親子_子,"Je t'ai, toi. De quoi d'autre pourrais-je bien
avoir besoin ?",Ich habe dich! Was brauche ich mehr?,Io ho te. Cos'altro potrei desiderare?,Te tengo a ti. ¿Qué más puedo querer?,I have you. What else could I possibly need?,"Sana sahibim. Başka neye ihtiyacım
olabilir ki?"
8,MID_様子_ウード_前_親子_母,"Mère, avez-vous besoin de quelque chose ?
Je me sens très dévoué, aujourd'hui.","Mutter, brauchst du etwas? Mich verlangt
danach, ein pflichtbewusster Sohn zu sein.","Mamma, ti occorre qualcosa? In questo
momento sono pervaso da devozione filiale.","Madre, ¿necesitas algo? Me han entrado
ganas de ser un ""hijo responsable"".","Mother, do you need anything?
I'm having a ""dutiful son"" moment.","Anne, bir şeye ihtiyacın var
mı? Bir ""görevli evlat"" ani yaşıyorum."
9,MID_様子_ウード_後_親子_母,"Pourquoi pas une arme de légende ? Oncle
Chrom possède sûrement ce qu'il faut...","Wie wäre es mit einer total heißen Waffe?
Vielleicht hat Onkel Chrom was Legendäres!","Che ne dici di un'arma fiammante? Chiedi a
zio Chrom se ha qualcosa di leggendario!","¿Qué te parecería un arma que eche humo?
¡Pídele algo legendario al tío Chrom!","How about a totally sweet new weapon?!
Ask Uncle Chrom for something legendary!","Tamamen yeni ve tatlı bir silaha ne
dersiniz? Chrom Amca'dan efsanevi bir şey
isteyin!"
