entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}It's interesting being in a dream,
isn't it, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Estar en un sueño es como estar
en el rodaje de una película retro,
¿no, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Intéressant comme concept, le rêve,
non ? {{TAG:000E:0003:}}{{TAG:0005:0007:}} ?","{{TAG:0003:0025:}}Non è male essere in un sogno,
eh, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Schon faszinierend, in einem Traum
zu sein, was, {{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Rüyanın içinde olmak ilginç, değil mi, {{TAG:0005:0007:}}?"
1,002,"{{TAG:0003:0025:}}Hey, we're both here! Neat to see
you, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Estamos los dos aquí!
¡Así me gusta, que sigas
mis pasos, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hé, t'es là aussi ! Marrant, ça.
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Ehi, ci sei anche tu!
Che bello vederti, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hey, du bist ja auch hier!{{TAG:0007:0000:14000000}}
Schön, dich zu sehen, {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Hey, ikimiz de buradayız! Seni görmek
güzel, {{TAG:0005:0007:}}!"
2,003,"{{TAG:0003:0024:}}I never thought I'd see you again!{{TAG:0007:0000:08000000}}
{{TAG:0003:0025:}}Good thing we have this dream to
connect us again,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0024:}}Pensaba que no te volvería a ver
ni en sueños, ¡pero me equivoqué,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0024:}}Hé, mais on se connaît...
Pratique, les rêves, pour se
retrouver, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0024:}}Non pensavo di poterti rivedere!
Forse era destino, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0024:}}Ich dachte nicht, dass ich dich
wiedersehe.{{TAG:0007:0000:14000000}} Und erst recht nicht
in meinem Traum, {{TAG:0005:0007:}}.","{{TAG:0003:0024:}}Seni bir daha göreceğimi hiç
sanmıyordum!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}İyi ki bu rüya bizi yeniden
buluşturdu,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0006:}}How did we get here?{{TAG:0007:0000:08000000}} Seems like
we've been sucked into a dream
world of some sort!{{TAG:0007:0000:08000000}} {{TAG:0003:0010:}}Fascinating!","{{TAG:0003:0006:}}¿Dónde estoy? ¿Qué hago aquí?
Parece una especie de sueño. Ojalá
no forme parte de un guion chungo...","{{TAG:0003:0006:}}Comment on a atterri dans ce rêve,
dis ? {{TAG:0007:0000:08000000}}Et surtout, {{TAG:0007:0000:0F000000}}c'est par où la
sortie ? {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0006:}}Ma come siamo arrivati qui?
Siamo tutti e due sprofondati
in questo sogno?","{{TAG:0003:0006:}}Wie sind wir hierhergekommen?{{TAG:0007:0000:14000000}}
Irgendwie sind wir einfach in diesem
Traum gelandet!","{{TAG:0003:0006:}}Buraya nasıl geldik?{{TAG:0007:0000:08000000}} Sanki bir tür rüya
âlemine çekildik!{{TAG:0007:0000:08000000}} {{TAG:0003:0010:}}Acayip ilginç!"
4,005,"{{TAG:0003:0025:}}Hi there! Hey, did you go and see
Mayor {{TAG:0011:0000:0000}}'s place?{{TAG:0007:0001:}}
It's still a tent! What a crazy life!","{{TAG:0003:0025:}}Eh, ¿te has fijado en la casa
de {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} ¡Vive en una tienda
de campaña pese a ser {{TAG:000E:0008:00CD0E0061006C00630061006C0064006500120061006C00630061006C00640065007300610002003000}}!","{{TAG:0003:0025:}}Hé ! T'es déjà allé{{TAG:000E:0006:000002006500}} voir là où vit le
maire de ce bled, {{TAG:0011:0000:0000}} ?{{TAG:0000:0004:}}{{TAG:0003:0002:}}C'est une tente ! Ha ha, la lose
attitude, je te dis pas !","{{TAG:0003:0025:}}Ehilà! Hai visto la casa del
sindaco {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} Abita ancora
in una tenda! Da non credere!","{{TAG:0003:0025:}}Hey, hast du schon {{TAG:000E:0012:0D001A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E000000}}
{{TAG:0011:0000:0000}} besucht?{{TAG:0007:0001:}} {{TAG:000E:0005:0400450072000600530069006500}} wohnt in
einem Zelt! {{TAG:0007:0000:14000000}}Verrückt, oder?","{{TAG:0003:0025:}}Selam! Başkan {{TAG:0011:0000:0000}}'ın evine baktın mı?{{TAG:0007:0001:}}
Hâlâ çadır! Ne hayat ama!"
5,006,"{{TAG:0003:0025:}}Hey there! So did you check out
Mayor {{TAG:0011:0000:0000}}'s house?{{TAG:0007:0001:}}
It's pretty small.
The mayor must be putting all of
{{TAG:000E:0005:06006800690073000600680065007200}} Bells into making this town as
great as possible!","{{TAG:0003:0025:}}Oye, ¿le has echado un ojo a la casa
de {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} ¡Es {{TAG:000E:0008:00CD140065006C00200061006C00630061006C006400650018006C006100200061006C00630061006C00640065007300610002003000}},
pero su casa es superpequeña!
¡A eso sí que lo llamo austeridad!
Seguro que tiene que estar
desviviéndose por el pueblo.","{{TAG:0003:0025:}}Hé ! T'as vu où vit le maire de cette
ville, {{TAG:0011:0000:0000}} ?{{TAG:0007:0001:}} C'est tout
minuscule.
{{TAG:0003:0023:}}Franchement, même les toilettes
chez moi sont pas aussi petites !
Enfin, chacun ses priorités.","{{TAG:0003:0025:}}Ehilà! Hai visto la casa
del sindaco {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}}
È piccola piccola...
Il sindaco starà investendo tutto
nella città per renderla ancora
più bella e accogliente!","{{TAG:0003:0025:}}Hey, hast du schon das Haus von
{{TAG:000E:0012:0D001A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E000000}} {{TAG:0011:0000:0000}}
gesehen?{{TAG:0007:0001:}} Es ist ziemlich klein.
{{TAG:000E:0005:0400450072000600530069006500}} gibt {{TAG:000E:0005:0A007300650069006E00650008006900680072006500}} Sternis wohl lieber
für die Verschönerung von ganz
{{TAG:0005:0005:}} aus.","{{TAG:0003:0025:}}Hey! Başkan {{TAG:0011:0000:0000}}'ın evini gördün
mü?{{TAG:0007:0001:}} Bayağı küçük. Başkan bütün {{TAG:000E:0005:06006800690073000600680065007200}} Bell'lerini
kasabayı güzelleştirmeye
harcıyor olmalı!"
6,007,"{{TAG:0003:0025:}}Hi there! Hey, have you seen
Mayor {{TAG:0011:0000:0000}}'s place yet?{{TAG:0007:0001:}}
It's still just one story.
{{TAG:0003:0015:}}The mayor must be spending a lot
of time growing the town instead
of building {{TAG:000E:0005:06006800690073000600680065007200}} house!","{{TAG:0003:0025:}}Vaya, ¿has visto bien la casa
de {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} ¡Es {{TAG:000E:0008:00CD140065006C00200061006C00630061006C006400650018006C006100200061006C00630061006C00640065007300610002003000}}
y su casa solo tiene un piso!
El trabajo en el ayuntamiento
no le debe de dar un respiro
para reformar su casa.","{{TAG:0003:0025:}}T'as vu la baraque {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0000:0000}}, le
maire de ce patelin ?{{TAG:0007:0001:}}{{TAG:0003:001B:}} C'est juste
un rez-de-chaussée, en gros.
{{TAG:0003:0015:}}Le prestige d'une ville se mesure à
la taille de la maison du maire, tu
crois pas ?","{{TAG:0003:0025:}}Ehilà! Hai visto la casa
del sindaco {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}}
Ha ancora solo un piano...
Il sindaco starà cercando di far
crescere la città poco a poco,
in modo uniforme.","{{TAG:0003:0025:}}Hey, hast du schon das Haus von
{{TAG:000E:0012:0D001A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E000000}} {{TAG:0011:0000:0000}}
gesehen? {{TAG:0007:0001:}}Es hat nur eine Etage.
{{TAG:000E:0005:220044006500720020004200FC0072006700650072006D00650069007300740065007200260044006900650020004200FC0072006700650072006D0065006900730074006500720069006E00}} nimmt sich
wohl die Zeit, ganz {{TAG:0005:0005:}}
gleichmäßig wachsen zu lassen.","{{TAG:0003:0025:}}Selam! Başkan {{TAG:0011:0000:0000}}'ın evini gördün mü?{{TAG:0007:0001:}}
Hâlâ tek katlı. {{TAG:0003:0015:}}Başkan, {{TAG:000E:0005:06006800690073000600680065007200}} evini
büyütmek yerine kasabayı büyütmeye
daha çok vakit ayırıyor herhâlde!"
7,008,"{{TAG:0003:0025:}}Hey there! So have you checked
out Mayor {{TAG:0011:0000:0000}}'s house yet?{{TAG:0007:0001:}}
It's large but isn't a two-story yet.
The mayor must be taking time to
do everything just right.","{{TAG:0003:0025:}}Una pregunta: ¿has visto la casa
de {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} Es bastante amplia,
pero aún no tiene dos pisos.
Se ve que su trabajo de {{TAG:000E:0008:00CD0E0061006C00630061006C0064006500120061006C00630061006C00640065007300610002003000}}
le ocupa tanto tiempo que no le
quedan horas para agrandarla.","{{TAG:0003:0025:}}Hé ! T'as vu la maison du maire du
coin, {{TAG:0011:0000:0000}} ?{{TAG:0000:0004:}}{{TAG:0003:0024:}}C'est grand, mais pour que ça ait
vraiment la classe, il faudrait
rajouter un étage, pas vrai ?","{{TAG:0003:0025:}}Ehilà! Hai visto la casa
del sindaco {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} È grande,
ma non ha ancora due piani...
Il sindaco starà aspettando di
aver sistemato la città prima
di ingrandire casa sua.","{{TAG:0003:0025:}}Hey, warst du schon mal bei
{{TAG:000E:0012:0D001A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E000000}} {{TAG:0011:0000:0000}}? {{TAG:0007:0001:}}
{{TAG:000E:0005:0400450072000600530069006500}} wohnt auf einer einzigen Etage.
{{TAG:000E:0005:0400450072000600530069006500}} lässt sich ganz schön Zeit mit
dem Ausbau.{{TAG:0007:0000:14000000}} Aber dafür hat alles,
was {{TAG:000E:0005:0400650072000600730069006500}} macht, Hand und Fuß.","{{TAG:0003:0025:}}Hey! Başkan {{TAG:0011:0000:0000}}'ın evine baktın
mı?{{TAG:0007:0001:}} Büyük ama henüz iki katlı değil. Başkan
her şeyi düzgün yapmak için ağırdan
alıyor olmalı."
8,009,"{{TAG:0003:0025:}}Hi there! Hey, have you seen
Mayor {{TAG:0011:0000:0000}}'s house yet?{{TAG:0007:0001:}}
It's got a second floor!
The mayor must need the extra
space for lots of cool stuff!","{{TAG:0003:0025:}}Buenas, ¿has visto la casa
de {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}} ¡Tiene dos pisos!{{TAG:0000:0004:}}Me pregunto qué guardará en
el segundo piso. ¡Seguro que
objetos de coleccionista!","{{TAG:0003:0025:}}Hé ! T'as vu la maison du maire
local, {{TAG:0011:0000:0000}} ?{{TAG:0000:0004:}}{{TAG:0003:0024:}}Y'a un étage, dis donc.{{TAG:0007:0000:08000000}} Ça en jette !
{{TAG:0007:0000:1E000000}}Je pense qu'on va bien s'entendre,
{{TAG:000E:0008:00CD06006C0075006900080065006C006C00650002003000}} et moi !","{{TAG:0003:0025:}}Ehilà! Hai visto la casa
del sindaco {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}}
Ora ha due piani!
Il sindaco avrà bisogno di spazio
per sistemare tutte le belle cose
che ha comprato!","{{TAG:0003:0025:}}Hey, hast du schon das Haus von
{{TAG:000E:0012:0D001A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E000000}} {{TAG:0011:0000:0000}}
gesehen?{{TAG:0007:0001:}} Es hat zwei Etagen.
{{TAG:000E:0005:0400450072000600530069006500}} hat wahrscheinlich haufenweise
abgefahrenes Zeug zu Hause, wenn
{{TAG:000E:0005:0400650072000600730069006500}} so viel Platz braucht.","{{TAG:0003:0025:}}Selam! Başkan {{TAG:0011:0000:0000}}'ın evini gördün mü?{{TAG:0007:0001:}}
İkinci kat çıkmış! Havalı eşyalarına
yer açmak için lazımdır kesin!"
9,010,"{{TAG:0003:0025:}}Hey there! Have you seen
Mayor {{TAG:0011:0000:0000}}'s house yet?{{TAG:0007:0001:}}
It's really huge!
A good mayor deserves to live in
such a big place, right?","{{TAG:0003:0025:}}Oye, ¿por casualidad has visto
la casa de {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}}
¡Es enoooorme!
La verdad es que una casa
tan imponente dice mucho
del pueblo.","{{TAG:0003:0025:}}Hé ! T'es allé{{TAG:000E:0006:000002006500}} voir la maison du
maire, {{TAG:0011:0000:0000}} ? {{TAG:0007:0000:1E000000}}C'est immense !{{TAG:0000:0004:}}{{TAG:0003:0015:}}Mais bon, c'est mérité. {{TAG:0007:0000:0F000000}}Quand on
est maire et qu'on a le pouvoir,{{TAG:0007:0000:08000000}} faut
le luxe qui va avec, non ?","{{TAG:0003:0025:}}Ehilà! Hai visto la casa
del sindaco {{TAG:0011:0000:0000}}?{{TAG:0007:0001:}}
È enorme!
Un buon sindaco si merita una casa
del genere, non trovi?","{{TAG:0003:0025:}}Hey, hast du schon das Haus von
{{TAG:000E:0012:0D001A004200FC0072006700650072006D006500690073007400650072001E004200FC0072006700650072006D0065006900730074006500720069006E000000}} {{TAG:0011:0000:0000}}
gesehen? {{TAG:0007:0001:}}Es ist wirklich riesig.
Aber {{TAG:000E:0005:2E00650069006E0020006700750074006500720020004200FC0072006700650072006D006500690073007400650072003200650069006E0065002000670075007400650020004200FC0072006700650072006D0065006900730074006500720069006E00}}
hat es verdient, in einem so großen
Haus zu wohnen, oder?","{{TAG:0003:0025:}}Hey! Başkan {{TAG:0011:0000:0000}}'ın evini gördün
mü?{{TAG:0007:0001:}} Gerçekten kocaman! İyi bir başkan böyle
büyük bir yerde yaşamayı hak
eder, değil mi?"
