entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0016:}}Hey!{{TAG:0007:0000:14000000}} So can I check out every
room? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:0016:}}¡Huy, huy!{{TAG:0007:0000:14000000}} Entonces, ¿me dejas ver
toooooda la casa? {{TAG:0007:0000:14000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0016:}}Dis !{{TAG:0007:0000:14000000}} Ça t'dérange si je jette un
coup d'œil aux autres pièces,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} ?","{{TAG:0003:0016:}}Ehi!{{TAG:0007:0000:14000000}} Posso farmi un giro per tutte
le altre stanze? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:0016:}}Hey!{{TAG:0007:0000:14000000}} Du lässt mich also in all
deinen Zimmern rumschnüffeln?
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?",{{TAG:0003:0016:}}Hey!{{TAG:0007:0000:14000000}} Bütün odalara bakabilir miyim? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?
1,002,"{{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Man, things are a bit crammed in,
aren't they?{{TAG:0000:0004:}}{{TAG:0003:001B:}}You got all this space, but maybe
you could rethink some of the 
placement! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}Buf{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Hay cosas por un tubo, ¿no?
{{TAG:0003:001B:}}Con la de espacio que tienes... ¡a
ver si lo aprovechas mejor!","{{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} C'est un peu l'bazar chez toi,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !{{TAG:0000:0004:}}{{TAG:0003:001B:}}À mon avis, tu devrais revoir
l'agencement d'ton mobilier...{{TAG:0007:0000:14000000}} C'est
pourtant pas la place qui manque !","{{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Sembrano esserci un po' troppe
cose in queste stanze. Oppure è
solo un'impressione.{{TAG:0000:0004:}}{{TAG:0003:001B:}}In effetti mi pare che spazio ce ne
sia. Dovresti solo sfruttarlo meglio!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Da drin bekommt man ja
Platzangst, findest du nicht?{{TAG:0000:0004:}}{{TAG:0003:001B:}}Also{{TAG:0007:0000:14000000}} du hast ja eigentlich genügend
Platz, nur die Aufteilung ist ein
bisschen zu kreativ! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}Vay, biraz sıkış tıkış olmuş, değil mi?{{TAG:0000:0004:}}{{TAG:0003:001B:}}Bu
kadar yerin var ama bazı şeylerin
yerini yeniden düşünsen fena
olmaz! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
2,003,"{{TAG:0003:0011:}}Ha!{{TAG:0007:0000:14000000}} Pretty messy in here, huh?!{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}This room really makes me want to
start cleaning! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}","{{TAG:0003:0011:}}¡Ahí va!{{TAG:0007:0000:14000000}} Menudo lío tienes aquí
montado, ¿no?{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Mira que el orden
no es lo mío, pero esto...{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}","{{TAG:0003:0011:}}Waouh !{{TAG:0007:0000:14000000}} Tu s'rais pas un peu
bordélique sur les bords ?!{{TAG:0007:0000:0A000000}}{{TAG:0000:0004:}}{{TAG:0003:000D:}}C'est un tel souk ici qu'j'aurais
presque envie d'tout ranger,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !{{TAG:0007:0000:0F000000}}{{TAG:0003:0000:}}","{{TAG:0003:0011:}}Però!{{TAG:0007:0000:14000000}} C'è un po' di confusione
da queste parti, eh?!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Questa stanza mi fa venire voglia
di mettermi a fare pulizie...{{TAG:0000:0004:}}... e io non sono una a cui piace
fare le faccende domestiche!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}","{{TAG:0003:0011:}}Ha!{{TAG:0007:0000:14000000}} Du hast hier aber 'n ganz
schönes Chaos{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:000D:}}Da will ich
direkt losputzen! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}","{{TAG:0003:0011:}}Hah!{{TAG:0007:0000:14000000}} Burası bayağı dağınık, ha?!{{TAG:0007:0000:28000000}}
{{TAG:0003:000D:}}Bu odayı görünce içimden hemen temizlik
yapmak geliyor! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}"
3,004,"{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:08000000}}what's with this?{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}You got
furniture-arranging ghosts or
something? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:000F:}}¡Oye! {{TAG:0007:0000:08000000}}Pero ¿esto qué es?{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}¿Eres
sonámbul{{TAG:000E:0006:02006F0002006100}} y te levantas por las
noches a desordenarlo todo?","{{TAG:0003:000F:}}Gné ?!{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Ce truc, là, tourné vers le
mur...{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Ça fait partie d'un genre de
rituel,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} ?!{{TAG:0007:0000:0A000000}}{{TAG:0003:0000:}}","{{TAG:0003:000F:}}Ehi, {{TAG:0007:0000:08000000}}come mai quel pezzo di
arredamento è girato verso il muro?{{TAG:0000:0004:}}{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}}Cos'è, una nuova moda? Oppure
ti piace fare la persona eccentrica?
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:08000000}}was soll das denn?{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}Hast du
Kobolde, die dir nachts heimlich
die Möbel verschieben oder was?","{{TAG:0003:000F:}}Hey, {{TAG:0007:0000:08000000}}bu ne böyle?{{TAG:0007:0000:28000000}} {{TAG:0003:0015:}}Mobilyaları duvara
çeviren hayaletlerin falan
mı var? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?"
4,005,"{{TAG:0003:000F:}}Whoa! {{TAG:0007:0000:14000000}}This room doesn't seem lived
in at all!{{TAG:0007:0000:14000000}} I mean{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}you can't eat or sit
or sleep in here!{{TAG:0000:0004:}}{{TAG:0003:000A:}}This room weirds me out a little bit.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Halaaaa! {{TAG:0007:0000:14000000}}¡Parece que aquí no vive
nadie!{{TAG:0007:0000:14000000}} A ver{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}} Es como una
habitación fantasma o algo así.{{TAG:0000:0004:}}{{TAG:0003:0014:}}De hecho, ¡me da un poco de
miedo y todo, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Waouh !{{TAG:0007:0000:14000000}} T'habites là, t'es {{TAG:000E:0006:06007300FB00720008007300FB0072006500}} ?!{{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}
OK{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0009:}}Et on peut savoir où tu dors ?
Par terre, j'imagine ?
{{TAG:0003:000A:}}Tu m'inquiètes, {{TAG:0005:0008:}},
vraiment...{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}...","{{TAG:0003:000F:}}Oh! {{TAG:0007:0000:14000000}}A giudicare da questa stanza,
sembra che qui non abiti nessuno!{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}Non c'è un letto, né un divano, né{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:000A:}}Tutto questo spazio vuoto mi fa
sentire un po' persa. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Boah! {{TAG:0007:0000:14000000}}Das nenn ich ja mal{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}
spartanisch. {{TAG:0007:0000:28000000}}{{TAG:0003:0009:}} Wo isst und
schläfst du denn?
{{TAG:0003:0028:}}Das Zimmer ist echt zu viel
für mich! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Vay! {{TAG:0007:0000:14000000}}Bu odada hiç yaşanmıyor
gibi!{{TAG:0007:0000:14000000}} Yani{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:14000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}burada ne yemek yiyebilirsin
ne oturabilirsin ne de uyuyabilirsin!{{TAG:0000:0004:}}{{TAG:0003:000A:}}Bu oda
beni biraz ürküttü. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
5,006,"{{TAG:0003:0015:}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} This room really lets me
see how you live.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} It's comforting!{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Esta sí que es una
habitación con todas las de la ley.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}
¡Qué gustito, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} J'vois qu'tu manques de
rien !{{TAG:0007:0000:0F000000}} {{TAG:0003:0025:}}Me v'là rassurée,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0015:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Da questa stanza posso
capire come vivi.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Non male direi!{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} So haust du also.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} Sieht ja
voll gemütlich aus! {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0015:}}Hımmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Bu oda nasıl yaşadığını bayağı
anlatıyor.{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} İç açıcı!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:000F:}}This room seems lonely{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Why don't
you put some stuff on the walls?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Or maybe it's none of my business.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Qué sitio más deprimente{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Oye,
puedes colgar algo en las paredes
o no sé...{{TAG:0003:0015:}} ¡Yo lo dejo caer!","{{TAG:0003:000F:}}C'est un peu tristoune, nan ?!{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Ça
t'dirait pas d'accrocher un truc ou
deux aux murs ?
{{TAG:0003:0015:}}Enfin bon, tu fais comme tu l'sens,
hein !{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Le pareti vuote mi mettono
un senso di tristezza{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Perché non ci appendi qualcosa?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ah, beh, forse non sono affari miei.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Das Zimmer ist etwas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} karg.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Haste
schon mal was von Wanddeko
gehört?{{TAG:0007:0000:14000000}} Ist nich' so dein Ding?
{{TAG:0003:001B:}}Na ja, {{TAG:0007:0000:08000000}}geht mich ja eigentlich auch
gar nichts an! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Bu oda biraz yalnız görünüyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Duvarlara bir şeyler assana?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Gerçi belki de
bana düşmez. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0012:}}Wow!{{TAG:0007:0000:14000000}} So this is your collection?{{TAG:0007:0000:28000000}}
{{TAG:0003:0024:}}I don't recognize a lot of this stuff.
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0012:}}¡Hala!{{TAG:0007:0000:14000000}} Así que esta es tu colección,
¿no?{{TAG:0007:0000:28000000}} {{TAG:0003:0024:}}Huy, qué cosas más... raritas
tienes por aquí...{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0012:}}Waouh !{{TAG:0007:0000:14000000}} D'où sortent tous ces
trucs ?!{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}C'est un vrai musée, ta
baraque,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}","{{TAG:0003:0012:}}Quanto stile!{{TAG:0007:0000:14000000}} Quindi questa è la tua
collezione di oggetti rari?{{TAG:0007:0000:28000000}} {{TAG:0003:0024:}}Non ne
riconosco nessuno... {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0012:}}Wow!{{TAG:0007:0000:14000000}} Das sind also deine Babys?{{TAG:0007:0000:28000000}}
{{TAG:0003:0024:}}Da sind ja echt total seltene Sachen
mit dabei! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0012:}}Vay!{{TAG:0007:0000:14000000}} Demek koleksiyonun bu?{{TAG:0007:0000:28000000}} {{TAG:0003:0024:}}Buradaki
şeylerin çoğunu hiç
tanımıyorum. {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
8,009,"{{TAG:0003:0012:}}Holy moly!{{TAG:0007:0000:08000000}} What is with this room?!{{TAG:0007:0000:14000000}}
There's so much expensive stuff!{{TAG:0000:0004:}}{{TAG:0003:000D:}}I mean{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}what are you?{{TAG:0007:0000:08000000}} Some kinda
rich show-off?{{TAG:0007:0000:28000000}} I'm nervous just
being in here!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:0012:}}¡Alucina pepinillos!{{TAG:0007:0000:08000000}} Pero ¡¿qué
sitio es este?!{{TAG:0007:0000:14000000}} ¡Menudo bayizal
te has dejado aquí!{{TAG:0000:0004:}}{{TAG:0003:000D:}}A ver{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¿Tú quién eres?{{TAG:0007:0000:08000000}} No serás
u{{TAG:000E:0006:02006E0004006E006100}} ricach{{TAG:000E:0006:0400F3006E0006006F006E006100}} de incógnito, ¿no?{{TAG:0007:0000:28000000}}
Oye, ¡no me vaciles, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:0012:}}Waouh !{{TAG:0007:0000:08000000}} On est bien chez toi, là ?!{{TAG:0007:0000:14000000}}
Y'a un tas d'trucs qui coûtent les
yeux d'la tête !
{{TAG:0003:000D:}}C'est dingue{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} T'es {{TAG:000E:0006:0C0062006C0069006E006400E9000E0062006C0069006E006400E9006500}} de
clochettes ou quoi ?{{TAG:0007:0000:14000000}} Faut qu'j'fasse
gaffe de rien casser,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}","{{TAG:0003:0012:}}Non ci credo!{{TAG:0007:0000:08000000}} Cos'è questa,
la stanza del tesoro?!{{TAG:0007:0000:14000000}} Ci sono
degli oggetti più che costosi!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Cioè{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Non sarai mica una specie
di riccon{{TAG:000E:0006:0200650002006100}}?{{TAG:0007:0000:08000000}} {{TAG:000E:0006:1A0055006E006F0020006400690020007100750065006C006C0069001A0055006E00610020006400690020007100750065006C006C006500}} a cui piace
vantarsi?{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}Mi sento giudicata anche solo
a stare qui!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}","{{TAG:0003:0012:}}Ach du heilige Butterblume!{{TAG:0007:0000:08000000}}
Was geht?{{TAG:0007:0000:14000000}} Das ist ja das totale
Luxuszimmer!
{{TAG:0003:000D:}}Also{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Was bist du?{{TAG:0007:0000:14000000}} So ein super-
reicher Snob?{{TAG:0007:0000:28000000}} {{TAG:0003:0028:}}Das ist echt zu
viel für mich,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0012:}}Yok artık!{{TAG:0007:0000:08000000}} Bu oda ne böyle?!{{TAG:0007:0000:14000000}} Bir sürü
pahalı şey var!{{TAG:0000:0004:}}{{TAG:0003:000D:}}Yani{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}sen nesin?{{TAG:0007:0000:08000000}}
Zenginliğini sergileyen biri falan
mı?{{TAG:0007:0000:28000000}} Burada dururken bile
geriliyorum!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0007:0000:28000000}}{{TAG:0003:0009:}}"
9,010,"{{TAG:0003:000B:}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} The stuff you have in here
is nice,{{TAG:0007:0000:14000000}} but this room is way empty!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Is this, like, your running-around
room or something? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:000B:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Sí, las cosas que tienes no
están mal, pero la habitación está
así como muy vacía, ¿no te parece?{{TAG:0000:0004:}}{{TAG:0003:0025:}}No la usarás para hacer deporte,
¿eh? ¡Ji, ji, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Chouettes meubles, on voit
qu'eux...{{TAG:0007:0000:14000000}} {{TAG:0003:0023:}}au milieu d'tout ce vide !{{TAG:0000:0004:}}Mais c'est p't'être une pièce
spécialement agencée pour faire les
100 pas ?{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} ?","{{TAG:0003:000B:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} L'arredamento di questa
stanza non è male per niente,{{TAG:0007:0000:14000000}} ma
c'è ancora tanto spazio!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Forse vieni qui a fare jogging...
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}?","{{TAG:0000:0003:0500}}({{TAG:0003:000B:}}Hm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Die paar Sachen sind ja ganz
nett, aber irgendwie ist der Raum
trotzdem viel zu leer!){{TAG:0000:0003:FFFF}}
{{TAG:0000:0002:6400}}{{TAG:0003:0017:}}Sag mal,{{TAG:0007:0000:08000000}} ist das Zimmer so leer,
damit du da ungestört im Kreis
rennen kannst? {{TAG:0000:0002:6400}}{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?","{{TAG:0003:000B:}}Hımmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Buradaki eşyalar güzel,{{TAG:0007:0000:14000000}} ama oda
acayip boş!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Burası koşup durma odan falan
mı? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}?"
