entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}}
2,003,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
3,004,,,,,,
4,005,"{{TAG:0003:0005:}}Sale stuff is just so tempting,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0005:}}La mejor época para comprar es
cuando hay rebajas,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.
Siempre hay cosas chulas y baratas.","{{TAG:0003:0005:}}Dès que je vois un article en
réduction, j'ai envie de l'acheter
même s'il me servira à rien !","{{TAG:0003:0005:}}Adoro le svendite,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
Fosse per me comprerei anche
le etichette dei prezzi!","{{TAG:0003:0005:}}Sonderangebote sind ja sooo
verlockend,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0005:}}İndirim görünce insanın almadan durası gelmiyor,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}."
5,006,"{{TAG:0003:0004:}}Man, this whole store smells super
fancy.{{TAG:0007:0001:}} {{TAG:0003:0006:}}But {{TAG:0007:0000:14000000}}you can smell last night's
{{TAG:0005:0013:0000}} on me, right?
{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} I wonder which is stronger.","{{TAG:0003:0004:}}Qué bien huele esta tienda, oye.{{TAG:0007:0001:}}
{{TAG:0003:0009:}}Aunque todavía puedo oler {{TAG:000E:0001:}}
{{TAG:0005:0013:0000}} de anoche.
{{TAG:0003:000B:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Me pregunto qué huele
más fuerte.","{{TAG:0003:0004:}}Dingue comme cette boutique sent
super bon ! {{TAG:0000:0004:}}{{TAG:0003:0006:}}En parlant d'odeur, est-ce que celle
{{TAG:000E:000A:06006400750020000A006400650020006C002700}}{{TAG:0005:0013:0000}} que j'ai
{{TAG:000E:0008:00CD0A006D0061006E006700E9000C006D0061006E006700E900650002003000}} hier est encore sur moi ?
{{TAG:0003:000B:}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} je me demande laquelle
des deux est la plus agréable{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0004:}}Caspitina, che profumino
c'è in questo posto.{{TAG:0007:0001:}}
A proposito di odori...
{{TAG:0003:001A:}}... ho ancora addosso quello dei due
piatti di {{TAG:0005:0013:0000}}
che mi sono pappato ieri!
{{TAG:0003:000B:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} A te quale piace di più?
{{TAG:0003:0002:}}A me il mio!","{{TAG:0003:0004:}}Mmmh, {{TAG:0007:0000:08000000}}hier riecht's so gut!{{TAG:0007:0000:14000000}} {{TAG:0003:0006:}}Aber...{{TAG:0007:0000:14000000}}
{{TAG:000E:0008:00CD0600440065006E0006004400690065000600440061007300}} {{TAG:0005:0013:0000}} von gestern
riecht man trotzdem, was? {{TAG:0007:0000:14000000}}{{TAG:0003:000D:}}Auweia!{{TAG:0007:0000:14000000}}","{{TAG:0003:0004:}}Vay be, bütün mağaza mis gibi lüks
kokuyor.{{TAG:0007:0001:}} {{TAG:0003:0006:}}Ama {{TAG:0007:0000:14000000}}dün geceki {{TAG:0005:0013:0000}} hâlâ
üstümden kokuyor, değil mi?
{{TAG:0003:000B:}}Hımm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Hangisinin kokusu daha baskın acaba."
6,007,"There's so much stuff I wanna buy!{{TAG:0007:0001:}}
{{TAG:0003:002B:}}I'd like to just buy the entire
store,{{TAG:0007:0000:14000000}} to be honest.","¡Cuántas cosas chulas!{{TAG:0007:0001:}} {{TAG:0003:002B:}}Si pudiera{{TAG:0007:0000:14000000}}
me compraba todo lo que hay en
la tienda.","Il y a trop de trucs que j'aimerais
acheter !{{TAG:0007:0001:}}{{TAG:0003:002B:}} Si je m'écoutais, je
dévaliserais le magasin entier !","Hai visto quante cose fantastiche?{{TAG:0007:0001:}}
{{TAG:0003:002B:}}Se potessi, mi comprerei anche
le pareti di questo posto!","Ich such am besten aus,{{TAG:0007:0000:08000000}} was ich
hier NICHT kaufen will!{{TAG:0007:0001:}} {{TAG:0003:0028:}}Nein, das
klappt nicht.","Almak istediğim o kadar çok şey var ki!{{TAG:0007:0001:}}
{{TAG:0003:002B:}}Doğrusunu istersen bütün mağazayı satın
alasım var,{{TAG:0007:0000:14000000}}."
7,008,"{{TAG:0003:0001:}}Department stores are fun to just
look around in,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Me encantan las galerías porque
te entretienes solo con ver lo que
hay,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}J'aime bien faire du lèche-vitrine
au milieu des rayons...{{TAG:0000:0004:}}Du lèche-rayons, quoi !
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Questo posto mi piace più
di una gelateria e di una pasticceria
messe insieme,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:000B:}}In der Einkaufswelt find ich
immer wieder Sachen, {{TAG:0007:0000:08000000}}die ich
noch gar nicht kenne,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Büyük Mağaza'da hiçbir şey almasan bile
dolanıp bakmak eğlenceli,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
8,009,"{{TAG:0003:0017:}}Did you find anything you want,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:000B:}}I'm still looking{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}But that's cool,{{TAG:0007:0000:14000000}} 'cause looking is
fun too.","{{TAG:0003:0017:}}¿Le has echado el ojo a algo,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:000B:}}Yo todavía no{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Pero no pasa nada!{{TAG:0007:0000:14000000}} Cotillear
lo que hay también mola.","{{TAG:0003:0017:}}T'as trouvé ce que tu voulais,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}} ?{{TAG:0007:0000:28000000}} {{TAG:0003:000B:}}Moi je cherche
encore{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Mais t'en fais pas pour moi, ça
m'amuse de parcourir les rayons.","{{TAG:0003:0017:}}Hai trovato quello che stavi
cercando,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:000B:}}Io no{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ma non importa!
A volte può essere divertente anche
dare soltanto una sbirciatina in giro!","{{TAG:0003:0017:}}Hast du was zum Kaufen gefunden,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:1E000000}} {{TAG:0003:000B:}}Ich guck noch{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}Ich glaub, ich werd heut mit Gucken
gar nicht mehr fertig.{{TAG:0007:0000:14000000}}{{TAG:0003:001A:}} Äh, he he he.","{{TAG:0003:0017:}}İstediğin bir şey buldun mu,{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}?{{TAG:0007:0000:28000000}} {{TAG:0003:000B:}}Ben hâlâ
bakınıyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ama sorun değil,{{TAG:0007:0000:14000000}} çünkü bakınmak
da eğlenceli."
9,010,"{{TAG:0003:0003:}}Welcome to {{TAG:0005:0005:}}'s famous
department store,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0003:}}¡Bienvenid{{TAG:000E:0006:02006F0002006100}} a las famosísimas
galerías comerciales de {{TAG:000E:0003:}}{{TAG:0005:0005:}},{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}!","{{TAG:0003:0003:}}Bienvenue dans le magasin le plus
célèbre {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}},{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}} !","{{TAG:0003:0003:}}Benvenut{{TAG:000E:0006:02006F0002006100}} ai grandi magazzini
più in voga qui {{TAG:000E:0010:}} {{TAG:0005:0005:}},{{TAG:0007:0000:14000000}}
{{TAG:0005:0008:}}!
{{TAG:0003:0002:}}Beh, forse anche perché sono
gli unici grandi magazzini
della città...","{{TAG:0003:0003:}}Uiii, {{TAG:0007:0000:08000000}}toll, dass du die Einkaufswelt
von {{TAG:0005:0005:}} entdeckt hast,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}!","{{TAG:0003:0003:}}{{TAG:0005:0005:}}'ın meşhur Büyük Mağazası'na
hoş geldin,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!"
