index,label,English,French,German,Italian,Spanish,Turkish
0,DefaultLyrics_00,I want to spend my life with you,Sur cette île je ne vois que toi,"Du bist mein größter Schatz,",Ti voglio bene sai perché,Somos dos almas gemelas,Hayatımı seninle geçirmek istiyorum
1,DefaultLyrics_01,here on this island made for two,Reste toujours auprès de moi,lass mich dein Darling sein!,sei sempre accanto a me,juntadas por el destino,ikimize ait bu adada
2,DefaultLyrics_02,we'll be together,Ici tous les deux,Nur du und ich,Il nostro amore,¿No te das cuenta?,hep birlikte olacağız
3,DefaultLyrics_03,and make happy memories,Nous serons très heureux,in unserer kleinen Welt!,ci riscalda il cuore,Solo por ti suspiro,ve güzel anılar biriktireceğiz
4,DefaultLyrics_04,let's sail out across the sea,Nous prendrons la mer parfois,"Oh, ich bin dein Darling,",Non so spiegarmi perché,Yo te amo con locura,hadi denize açılalım
5,DefaultLyrics_05,an ocean fantasy,Un océan de joie,"und du mein größter Schatz,",sto bene insieme a te,¿Tú me amas a mí?,okyanusta bir hayale
6,DefaultLyrics_06,there's nothing we can't do,Les mouettes chanteront pour nous,Aber ist es auch real?,Un motivo... non c'è,Necesito saber,yapamayacağımız hiçbir şey yok
7,DefaultLyrics_07,don't you feel?,Si seulement,Bist du mein Mii?,Forse è,ahora,hissetmiyor musun?
8,DefaultLyrics_08,don't you feel my love for you?,Si seulement tu veux de moi,Bin ich das Mii für dich?,un enigma d'amore,que no te irás de aquí,sana olan aşkımı hissetmiyor musun?
9,DefaultLyrics_09,if you said no,Oh dis-moi oui,Ich weiß es nicht!,Io non lo so,"Ay, mi vida",hayır deseydin
10,DefaultLyrics_10,where would I go?,Que tu me suis,Sag du es mir!,Lo scoprirò,Eres mi sol,nereye giderdim?
11,DefaultLyrics_11,when I am made,Et dis-moi que,"Sag mir, wer uns","Sì, lo farò",Solo quiero,çünkü ben
12,DefaultLyrics_12,for you,Tu m'aimes,erschuf.,per te,Tu amor...,senin için yaratılmışım
