index,key,F,G,I,S,U,TR
0,MID_様子_ノワール_前,"Quelle allégresse !
Victime d'un sort qui rend heureux ?","Wieso lächelst du? Hat dich jemand mit
einem Fluch der Fröhlichkeit belegt?","Perché questa allegria? Sei vittima
di qualche incantesimo della felicità?","Qué día más bueno, ¿no? Hoy estoy más
optimista que nunca... o menos pesimista.","Why the look of glee? Did someone
hit you with a happiness curse?","Neden neşeli bakışlar? Birisi
sana mutluluk lanetiyle mi vurdu?"
1,MID_様子_ノワール_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_ノワール_前_敬さん,"Quelle allégresse !
Victime d'un sort qui rend heureux ?","Wieso lächelt Ihr? Hat Euch jemand mit
einem Fluch der Fröhlichkeit belegt?","Perché questa allegria? Dipende forse
da qualche incantesimo della felicità?","Qué día más bueno, ¿no? Hoy estoy más
optimista que nunca... o menos pesimista.","Why the look of glee? Did someone
hit you with a happiness curse?","Neden neşeli bakışlar? Birisi
sana mutluluk lanetiyle mi vurdu?"
3,MID_様子_ノワール_後,"Très drôle... Oh, je comprends, on essaie
de me faire rire. C'est ridicule...","Wie lustig. Ich verstehe. Du versuchst, mich
zum Lachen zu bringen. Das ist auch lustig.","Molto divertente. Davvero un bel
tentantivo per farmi ridere.","Sí, qué buen día... aunque ya veremos
lo que dura.","Very funny. Oh, I see. You're trying
to make me laugh. That's funny, too.","Çok komik. Ah, anlıyorum. Beni
güldürmeye çalışıyorsun. Bu da komik."
4,MID_様子_ノワール_後_敬さん,"Très drôle... Oh, je comprends, on essaie
de me faire rire. C'est ridicule...","Wie lustig. Ich verstehe. Ihr versucht, mich
zum Lachen zu bringen. Das ist auch lustig.","Molto divertente. Davvero un bel
tentantivo per farmi ridere.","Sí, qué buen día... aunque ya veremos
lo que dura.","Very funny. Oh, I see. You're trying
to make me laugh. That's funny, too.","Çok komik. Ah, anlıyorum. Beni
güldürmeye çalışıyorsun. Bu da komik."
5,MID_様子_ノワール_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_ノワール_前_親子_子,"Lin... Linfan, je peux faire quelque chose
pour toi ? Je ne te fais pas peur, j'espère ?","L-Linfan, kann ich dir etwas bringen?
...Wenn ich dir keine Angst mache.","L-Linfan, posso fare qualcosa per te?
Se non ti spavento...","Eeeh, L-Linfan, ¿necesitas algo?
Oye, no tendrás miedo de mí, ¿no?","M-Morgan, can I get you anything you
need? ...If I don't scare you off?","M-Morgan, ihtiyacın olan bir şeyi sana
getirebilir miyim? ...seni korkutmazsam?"
7,MID_様子_ノワール_後_親子_子,Juste de l'or... Beaucoup d'or...,...Nur Gold. Viel Gold.,Vorrei monete. Tante monete.,"Pues... si tuviera montones de oro, sería
de lo más feliz.",...Just gold. Lots of gold.,...sadece altın. Bir sürü altın.
8,MID_様子_ノワール_前_親子_母,"Mère, vous avez besoin de quelque chose ?
Du moment que ce n'est pas pour un sort...","Mutter, brauchst du etwas? Ich helfe dir,
solange es nichts mit Flüchen zu tun hat.","Mamma, serve qualcosa? Qualcosa che non
abbia a che fare con incantesimi, intendo.","Madre, ¿necesitas algo? Me refiero a ""algo""
NO relacionado con maldiciones y demás.","Mother, do you need anything? By which I
mean something NOT related to curses.","Anne, bir şeye ihtiyacın var mı? Bununla
lanetlerle ilgili OLMAYAN bir şeyi
kastediyorum."
9,MID_様子_ノワール_後_親子_母,"Tout votre attirail de sorcière, ça vous va ?
Le monde n'en serait que meilleur.","Wie sieht's mit deinem Zaubermaterial aus?
Die Welt wird ein besserer Ort sein.","Che mi dici dei tuoi aggeggi per i sortilegi?
Il mondo potrebbe farne a meno.","¿Y si me regalas todos tus artilugios para
hacer conjuros? El mundo sería más feliz.","How about all your hexing paraphernalia?
The world will be a better place.","Büyü yapma gereçlerine ne dersin?
Dünya daha iyi bir yer olacak."
