entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,ant00,"Cyrano
Sirrahno",Cirano,Cyrano,Cirano,Theo,"Cyrano
Sirrahno"
1,ant01,Antonio,Antonio,Antonio,Antonio,"Siggi
Siki
Sikki",Antonio
2,ant02,Pan go,Aspidora,Mathilda,Carlotta,Mathilda,"Pan go
pango"
3,ant03,Anabelle,Anabel,Anabelle,Annalisa,Annabell,Anabelle
4,ant04,,,,,,
5,ant05,,,,,,
6,ant06,,,,,,
7,ant07,,,,,,
8,ant08,"Annalisa
Annaleesa
Annaleeza",Alba,Roberta,Anita,Annalena,"Annalisa
Annaleesa
Annaleeza"
9,ant09,Olaf,Olaf,Blair,Ettore,Olaf,Olaf
10,bea00,Teddy,"Teddy
tedi",Teddy,Teddy,Torsten,Teddy
11,bea01,"Pinky
Pinkee","Violeta
bioleta",Rosine,Pinky,Pia,"Pinky
Pinkee"
12,bea02,Curt,Gorbaché,Curt,Curt,Kurt,Curt
13,bea03,Chow,Pando,Chulin,"Chowchow
Ciocio
Ciao ciao
Ciau ciau",Chang,Chow
14,bea04,,,,,,
15,bea05,Nate,Nachete,Nathan,Gianni,Nathan,Nate
16,bea06,Groucho,Groucho,Ronchon,"Groucho
Grucio
Graucio
Groucio",Ernst,Groucho
17,bea07,Tutu,Tutú,Tutu,Lola,Mandy,Tutu
18,bea08,,,,,,
19,bea09,Grizzly,Gruñón,Grizzly,Grizzly,Gerald,Grizzly
20,bea10,Paula,Lizi,Wendy,Bruna,Paula,Paula
21,bea11,,,,,,
22,bea12,"Charlise
Charleez
Charlees",Charo,Zabou,Orsola,Tabea,"Charlise
Charleez
Charlees"
23,bea13,Beardo,Bernabé,Eustache,Barnaba,Berthold,Beardo
24,bea14,"Klaus
Klaws
Klows
Klous",Gruñerto,"Klaus
klos
klaous",Maciste,Grischa,"Klaus
Klaws
Klows
Klous"
25,brd00,Jay,Jota,Gérard,Jet,Jan,Jay
26,brd01,Robin,Aria,Robie,Rossana,Jule,Robin
