index,key,F,G,I,S,U,TR
0,MID_曲名_STRM_BGM_MAP_BATTLE1,Décret divin,Göttliches Dekret,Decreto divino,Fatalidad,Divine Decree,İlahi Karar
1,MID_曲名_STRM_BGM_MAP_BATTLE1T,"Décret divin
(en flammes)","Göttliches Dekret
(In Flammen)","Decreto divino
(vivace)","Fatalidad
(Versión de combate)","Divine Decree
(Ablaze)","İlahi Kader
(Alevli)"
2,MID_曲名_STRM_BGM_MAP_BATTLE2,Prélude,Vorspiel,Preludio,Preludio,Prelude,Prelüd
3,MID_曲名_STRM_BGM_MAP_BATTLE2T,"Prélude
(en flammes)","Vorspiel
(In Flammen)","Preludio
(vivace)","Preludio
(Versión de combate)","Prelude
(Ablaze)","Prelüd
(Alevli)"
4,MID_曲名_STRM_BGM_MAP_BATTLE3,Conquête,Eroberung,Conquista,Conquista,Conquest,Fetih
5,MID_曲名_STRM_BGM_MAP_BATTLE3T,"Conquête
(en flammes)","Eroberung
(In Flammen)","Conquista
(vivace)","Conquista
(Versión de combate)","Conquest
(Ablaze)","Fetih
(Alevli)"
6,MID_曲名_STRM_BGM_MAP_BATTLE4,Chaos,Chaos,Caos,Caos,Chaos,Kaos
7,MID_曲名_STRM_BGM_MAP_BATTLE4T,"Chaos
(en flammes)","Chaos
(In Flammen)","Caos
(vivace)","Caos
(Versión de combate)","Chaos
(Ablaze)","Kaos
(Alevli)"
8,MID_曲名_STRM_BGM_MAP_BATTLE5,Destinée,Schicksal,Destino,Destino,Destiny,Kader
9,MID_曲名_STRM_BGM_MAP_BATTLE5T,"Destinée
(en flammes)","Schicksal
(In Flammen)","Destino
(vivace)","Destino
(Versión de combate)","Destiny
(Ablaze)","Kader
(Alevli)"
10,MID_曲名_STRM_BGM_MAP_BATTLE6,Nuage d'orage,Sturmwolken,Nubi della tempesta,Tormenta,Storm Clouds,Fırtına Bulutları
11,MID_曲名_STRM_BGM_MAP_BATTLE6T,"Nuage d'orage
(en flammes)","Sturmwolken
(In Flammen)","Nubi della tempesta
(vivace)","Tormenta
(Versión de combate)","Storm Clouds
(Ablaze)","Fırtına
Bulutları (Alevli)"
12,MID_曲名_STRM_BGM_MAP_BATTLE7,Devoir,Pflicht,Chiamata,Deber,Duty,Görev
13,MID_曲名_STRM_BGM_MAP_BATTLE7T,"Devoir
(en flammes)","Pflicht
(In Flammen)","Chiamata
(vivace)","Deber
(Versión de combate)","Duty
(Ablaze)","Görev
(Alevli)"
14,MID_曲名_STRM_BGM_MAP_BATTLE8,Champion,Champion,Campione,Campeón,Champion,Şampiyon
15,MID_曲名_STRM_BGM_MAP_BATTLE8T,"Champion
(en flammes)","Champion
(In Flammen)","Campione
(vivace)","Campeón
(Versión de combate)","Champion
(Ablaze)","Şampiyon
(Alevli)"
16,MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY1,Agression,Aggression,Aggressione,Agresión,Aggression,Saldırganlik
17,MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY1T,"Agression
(en frénésie)","Aggression
(Aufgeschreckt)","Aggressione
(impetuoso)","Agresión
(Versión de combate)","Aggression
(Galvanised)","Saldırganlik
(Galvanizli)"
18,MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY2,Annihilation,Vernichtung,Annientamento,Aniquilación,Annihilation,Imha
19,MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY2T,"Annihilation
(en frénésie)","Vernichtung
(Aufgeschreckt)","Annientamento
(impetuoso)","Aniquilación
(Versión de combate)","Annihilation
(Galvanised)","Imha
(Galvanizli)"
20,MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY3,Assaut,Ansturm,Assalto,Asalto,Assault,Saldırı
21,MID_曲名_STRM_BGM_MAP_BATTLE_ENEMY3T,"Assaut
(en frénésie)","Ansturm
(Aufgeschreckt)","Assalto
(impetuoso)","Asalto
(Versión de combate)","Assault
(Galvanised)","Saldırı
(Galvanizli)"
22,MID_曲名_STRM_BGM_MAP_BATTLE_OTHER1,Entraînement,Training,Addestramento,Entrenamiento,Training,Eğitim
23,MID_曲名_STRM_BGM_MAP_BATTLE_OTHER1T,"Entraînement
(en frénésie)","Training
(Aufgeschreckt)","Addestramento
(impetuoso)","Entrenamiento
(Versión de combate)","Training
(Galvanised)","Eğitim
(Galvanizli)"
24,MID_曲名_STRM_BGM_BOSS1_INTRO,"Mécréant
(Introduction)","Schurke
(Intro)","Miscredente
(intro)","Bellaco
(Introducción)","Miscreant
(Intro)","Kötü
(Giriş)"
25,MID_曲名_STRM_BGM_BOSS1,Mécréant,Schurke,Miscredente,Bellaco,Miscreant,Imansiz
26,MID_曲名_STRM_BGM_BOSS2_INTRO,"Monstruosité
(Introduction)","Monstrosität
(Intro)","Mostruosità
(intro)","Monstruosidad
(Introducción)","Monstrosity
(Intro)","Canavarlik
(Giriş)"
27,MID_曲名_STRM_BGM_BOSS2,Monstruosité,Monstrosität,Mostruosità,Monstruosidad,Monstrosity,canavarlik
28,MID_曲名_STRM_BGM_BOSS3_INTRO,"Scélérat
(Introduction)","Missetäter
(Intro)","Malfattore
(intro)","Malhechor
(Introducción)","Malefactor
(Intro)","Kötü Faktör
(Giriş)"
29,MID_曲名_STRM_BGM_BOSS3,Scélérat,Missetäter,Malfattore,Malhechor,Malefactor,Kötü niyetli
30,MID_曲名_STRM_BGM_BOSS4_INTRO,"Menace
(Introduction)","Bedrohung
(Intro)","Minaccia
(intro)","Amenaza
(Introducción)","Menace
(Intro)","Tehdit
(Giriş)"
31,MID_曲名_STRM_BGM_BOSS4,Menace,Bedrohung,Minaccia,Amenaza,Menace,Tehdit
32,MID_曲名_STRM_BGM_BOSS5_INTRO,"Rival
(Introduction)","Rivale
(Intro)","Miglior nemico
(intro)","Rival
(Introducción)","Rival
(Intro)","Rakip
(Giriş)"
33,MID_曲名_STRM_BGM_BOSS5,Rival,Rivale,Miglior nemico,Rival,Rival,Rakip
34,MID_曲名_STRM_BGM_BOSS6_INTRO,"Grand stratège
(Introduction)","Drahtzieher
(Intro)","Mente suprema
(intro)","Cerebro
(Introducción)","Mastermind
(Intro)","Beyni
(Giriş)"
35,MID_曲名_STRM_BGM_BOSS6,Grand stratège,Drahtzieher,Mente suprema,Cerebro,Mastermind,Beyni
36,MID_曲名_STRM_BGM_BOSS7_INTRO,Miséricorde,Gnadengeber,Misericordia,Misericordia,Misericorde,Misericorde
37,MID_曲名_STRM_BGM_MAP10_INTRO,"Id
(Retour)","Es
(Rückkehr)","Es
(ritorno)","Identidad
(Regreso)","Id
(Return)","Kimlik
(Dönüş)"
38,MID_曲名_STRM_BGM_MAP10,"Id
(Intention)","Es
(Bestimmung)","Es
(motivazione)","Identidad
(Intención)","Id
(Purpose)","Kimlik
(Amaç)"
39,MID_曲名_STRM_BGM_MAP11,"« Ne t'avise pas de prononcer
son nom à nouveau ! »","""Wage es nicht, ihren Namen
auszusprechen!""","""Non ti azzardare a
pronunciare il suo nome!""","""¡No te atrevas a pronunciar su
nombre!""","""Don't speak her name!""","""Onun adını ağzına alma!"""
40,MID_曲名_STRM_BGM_EVT_BOURYAKU1,"« Voilà une vraie déclaration de
guerre, comme je les aime ! »","""Na, wenn das mal keine
Kriegserklärung ist!""","""Questa è una dichiarazione
di guerra...""","""¡Eso es una declaración de
guerra en toda regla!""","""Now that's a declaration of
war if ever I've heard one!""","""Şimdiye kadar böyle bir şey
duyduysam, bu bir savaş ilanidir!"""
