index,key,F,G,I,S,U,TR
0,MID_様子_セルジュ_前,"J'adore être avec ma wyverne. Je n'imagine
pas passer mon temps autrement...","Oh! Wo hast du gesteckt? Ich habe dich
eine ganze Weile nicht gesehen.",Oh! Dov'eri? È un po' che non ti vedo.,"¿Dónde se mete la gente después de
las batallas? Esto se queda desierto.","Oh! Where have you been?
I haven't seen you for a while.","Aa! Nerelerdeydin?
Bir süredir seni görmüyorum."
1,MID_様子_セルジュ_前_通ちゃん,"J'adore être avec ma wyverne. Je n'imagine
pas passer mon temps autrement...","Oh! Wo hast du gesteckt? Ich habe dich
eine ganze Weile nicht gesehen.",Oh! Dov'eri? È un bel po' che non ti vedo.,"¿Dónde se mete la gente después de
las batallas? Esto se queda desierto.","Oh! Where have you been?
I haven't seen you for a while.","Aa! Nerelerdeydin?
Bir süredir seni görmüyorum."
2,MID_様子_セルジュ_前_敬さん,"J'adore être avec ma wyverne. Je n'imagine
pas passer mon temps autrement...","Oh! Wo seid Ihr gewesen? Ich habe Euch
eine ganze Zeit lang nicht gesehen.","Oh! Dov'eravate?
È un bel po' che non vi vedo.","¿Dónde se mete la gente después de
las batallas? Esto se queda desierto.","Oh! Where have you been?
I haven't seen you for a while.","Aa! Nerelerdeydiniz?
Bir süredir sizi görmüyorum."
3,MID_様子_セルジュ_後,"Moi, je fais la lessive et le raccommodage.
Les habits de ce genre sont rares, par ici !","Ich wasche und flicke unsere Kleidung.
Mode wie diese ist schwer zu bekommen.","Cerco di lavare e rammendare i nostri
vestiti. Non sono facili da rimpiazzare.","Pues yo me entretengo haciendo la colada y
remendando la ropa. ¡Es lo mejor!","I try to wash and mend our clothes.
Fashion like this is hard to come by!","Giysilerimizi yıkayıp onarmaya çalışırım.
Böyle şıklık kolay bulunmuyor!"
4,MID_様子_セルジュ_後_通ちゃん,"Moi, je fais la lessive et le raccommodage.
Les habits de ce genre sont rares, par ici !","Ich wasche und flicke unsere Kleidung.
Mode wie diese ist schwer zu bekommen.","Cerco di lavare e rammendare i nostri
vestiti. Non sono facili da rimpiazzare.","Pues yo me entretengo haciendo la colada y
remendando la ropa. ¡Es lo mejor!","I try to wash and mend our clothes.
Fashion like this is hard to come by!","Giysilerimizi yıkayıp onarmaya çalışırım.
Böyle şıklık kolay bulunmuyor!"
5,MID_様子_セルジュ_後_敬さん,"Moi, je fais la lessive et le raccommodage.
Les habits de ce genre sont rares, par ici !","Ich wasche und nähe unsere Kleidung.
Mode wie diese ist schwer zu beschaffen.","Cerco di lavare e rammendare i nostri
vestiti. Non sono facili da rimpiazzare.","Pues yo me entretengo haciendo la colada y
remendando la ropa. ¡Es lo mejor!","I try to wash and mend our clothes.
Fashion like this is hard to come by!","Giysilerimizi yıkayıp onarmaya çalışırım.
Böyle şıklık kolay bulunmuyor!"
6,MID_様子_セルジュ_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
7,MID_様子_セルジュ_前_親子_子,"Comment te sens-tu, $Np ?
Tu as l'air un peu pâle aujourd'hui.","Wie geht es dir, $Np? Du siehst
heute ein bisschen blass aus.","Come ti senti, $Np?
Hai un aspetto pallido oggi.","¿Cómo estás, $Np? Tienes
el semblante algo pálido hoy.","How are you feeling, $Np?
You look a bit pale today.","Nasıl hissediyorsun? $Np?
Bugün biraz solgun görünüyorsun."
8,MID_様子_セルジュ_後_親子_子,"Ne t'inquiète pas. Je pourrais surmonter
tout problème qui surviendrait.","Keine Sorge. Ich kann mit jedem Problem
umgehen!","Non preoccuparti. Posso
risolvere ogni problema.","No te preocupes. Me hago cargo de
cualquier problema que pueda surgir.","Don't worry. I can deal with
any problems that arise.","Merak etme. Ortaya çıkan her
türlü sorunla başa çikabilirim."
9,MID_様子_セルジュ_前_恋人,"C'est moi, ou mon bien-aimé embellit
un peu plus avec chaque jour qui passe ?","Geht es nur mir so, oder wirst du von Tag
zu Tag hübscher?",Sei sempre più bello ogni giorno che passa!,"¿Soy yo o cada día que pasa
estás más guapo?","Is it just me, or do you get more
handsome with each passing day?","Bana mı öyle geliyor yoksa her geçen
gün daha mı yakışıklı oluyorsun?"
10,MID_様子_セルジュ_後_恋人,"Mon bien-aimé sait parler aux dames.
Et c'est lui le plus charmant.","Du findest stets die richtigen Worte für eine
Dame. Aber du bist hier die Augenweide.","Sono lusingata. Ma credo di avere di fronte
una persona ancora più bella di me.","Tú sí que sabes cómo adular a una mujer...
y encima eres el más guapo del mundo.","You know the right things to say to a lady.
But you're the nicer one to look at.","Bir bayana söylenecek doğru şeyleri
biliyorsun. Ama bakması daha hoş olan
sensin."
