entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0020:}}Yeeeeahhh!{{TAG:0007:0000:28000000}} {{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}} only comes
around once a year!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Let's whoop it up and get this little
town hopping!","{{TAG:0003:0020:}}¡Qué pasote!{{TAG:0007:0000:28000000}} ¡El Carnaval solo
se celebra una vez al año!{{TAG:0000:0004:}}{{TAG:0003:0005:}}¡Vamos a aprovechar bien
la ocasión disfrutándolo a tope!","{{TAG:0003:0020:}}Youpi !{{TAG:0007:0000:28000000}} Le carnaval est enfin arrivé !{{TAG:0000:0004:}}{{TAG:0003:0005:}}C'est le moment rêvé pour dandiner
ce beau petit fessier !","{{TAG:0003:0020:}}Evvaaai!{{TAG:0007:0000:28000000}} Carnevale viene
solo una volta l'anno!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Diamoci dentro! Scateniamoci!","{{TAG:0003:0020:}}Yeeeeahhh!{{TAG:0007:0000:28000000}} {{TAG:0000:0003:0200}}Karneval{{TAG:0000:0003:FFFF}} gibt's
nur einmal im Jahr!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Und an Karneval wird im Kostüm
trainiert!","{{TAG:0003:0020:}}Yeeeeah!{{TAG:0007:0000:28000000}} {{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}} yılda
bir kez gelir!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Hadi kasabayı hareketlendirelim!"
1,002,"{{TAG:0003:0001:}}When I look up, sometimes I see
floating {{TAG:0000:0003:0200}}feathers{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}If you're collecting feathers, I've got
a secret for you{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} But I think I'll tell
you later.","{{TAG:0003:0001:}}Cuando miro hacia arriba, a veces
veo {{TAG:0000:0003:0200}}plumas{{TAG:0000:0003:FFFF}} flotando.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Si estás recogiendo plumas, tengo
que contarte un secreto{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} pero
lo haré más tarde.","{{TAG:0003:0001:}}Si tu lèves le museau en l'air, tu
verras de temps en temps des
{{TAG:0000:0003:0200}}plumes {{TAG:0000:0003:FFFF}}voleter au gré du vent.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Si tu en collectes assez, il se
passera un truc{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} que je te
raconterai plus tard !","{{TAG:0003:0001:}}A volte vedo delle {{TAG:0000:0003:0200}}piume
{{TAG:0000:0003:FFFF}}che svolazzano qua e là...{{TAG:0000:0004:}}{{TAG:0003:000B:}}Le stai raccogliendo?
Ho un segreto per te, allora{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}}Ma te lo dico dopo.","{{TAG:0003:0001:}}Wenn ich nach oben schau,
seh ich manchmal eine {{TAG:0000:0003:0200}}Feder{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Ein kleiner Tipp, falls du Federn
sammelst...{{TAG:0007:0000:28000000}}
{{TAG:0003:0026:}}Weißt du, was? {{TAG:0007:0000:14000000}}Ich sag's dir später.","{{TAG:0003:0001:}}Yukarı bakınca bazen uçuşan
{{TAG:0000:0003:0200}}tüyler{{TAG:0000:0003:FFFF}} görüyorum.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Tüy
topluyorsan sana bir sırrım var{{TAG:0007:0000:08000000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}{{TAG:0003:0026:}} Ama
biraz sonra söylerim."
2,003,,,,,,
3,004,,,,,,
4,005,"{{TAG:0003:0005:}}Wow, {{TAG:0007:0000:14000000}}you really wear that costume
like a champ!{{TAG:0000:0004:}}{{TAG:0003:0006:}}But I might be slightly ahead of you!{{TAG:0000:0004:}}{{TAG:0003:002A:}}When it comes to dance technique, I
can't be beaten!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Yay!","{{TAG:0003:0005:}}Vaya, {{TAG:0007:0000:14000000}}¡llevas ese disfraz
como u{{TAG:000E:0006:02006E0004006E006100}} campe{{TAG:000E:0006:0400F3006E0006006F006E006100}}!{{TAG:0000:0004:}}{{TAG:0003:0006:}}¡Pero no vas a poder superarme!{{TAG:0000:0004:}}{{TAG:0003:002A:}}¡En lo que a bailar respecta
no me gana nadie!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} ¡Eso fijo!","{{TAG:0003:0005:}}Waouh ! {{TAG:0007:0000:14000000}}T'es vraiment chic,
{{TAG:000E:0006:0E0063006F007300740075006D00E900100063006F007300740075006D00E9006500}} comme ça !{{TAG:0000:0004:}}{{TAG:0003:0006:}}Mais en terme de classe absolue,
j'ai quand même une longueur
d'avance sur toi !{{TAG:0000:0004:}}{{TAG:0003:002A:}}La différence entre la coquetterie
et la grande classe, c'est ce corps
d'athlète que tu as sous les yeux !","{{TAG:0003:0005:}}Però!{{TAG:0007:0000:14000000}}
Quel costume ti sta benissimo!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Ma non ti illudere!
L'anima della festa resto io!{{TAG:0000:0004:}}{{TAG:0003:002A:}}Perché sono un ballerino
imbattibile!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Fate largo!","{{TAG:0003:0005:}}Wow, {{TAG:0007:0000:14000000}}du trägst dieses Kostüm wie
ein echter Champ!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Aber in einem bin ich besser als du!{{TAG:0000:0004:}}{{TAG:0003:002A:}}Gegen meine Tanz-Moves sieht
jeder alt aus! {{TAG:0007:0000:28000000}}{{TAG:0003:0020:}}Yeah!","{{TAG:0003:0005:}}Vay, {{TAG:0007:0000:14000000}}bu kostümü şampiyon gibi
taşıyorsun!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Ama azıcık öndeyim
sanki!{{TAG:0000:0004:}}{{TAG:0003:002A:}}Dans tekniğinde
beni geçen çıkmaz!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Yaşasın!"
5,006,"{{TAG:0003:000F:}}Wow!{{TAG:0007:0000:14000000}} I think you were born to wear
that outfit!{{TAG:0007:0000:14000000}} It looks perfect on you!{{TAG:0000:0004:}}{{TAG:0003:0015:}}All right!{{TAG:0007:0000:14000000}} Let's get this {{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}}
{{TAG:0003:002C:}}rocking! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Vaya!{{TAG:0007:0000:14000000}} ¡Yo tengo que hacer mucho
ejercicio para que me siente tan
bien la ropa!{{TAG:0007:0000:14000000}} ¡Te queda perfecta!{{TAG:0000:0004:}}{{TAG:0003:0015:}}¡Vamos allá!{{TAG:0007:0000:14000000}} ¡Vamos a vivir a tope{{TAG:0007:0000:14000000}}
{{TAG:0003:002C:}}este Carnaval, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Waouh !{{TAG:0007:0000:14000000}} On dirait que ce costume
a été fait pour toi !{{TAG:0007:0000:14000000}} Il te va comme
un gant de boxe !{{TAG:0000:0004:}}{{TAG:0003:002C:}}Allez, c'est parti mon kiki !{{TAG:0007:0000:14000000}} On va
mettre un peu d'ambiance dans ce
carnaval ! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:000F:}}Oooh!{{TAG:0007:0000:14000000}}
Quei vestiti ti stanno benissimo!{{TAG:0000:0004:}}{{TAG:0003:0015:}}OK!{{TAG:0007:0000:14000000}} Ora il Carnevale{{TAG:0007:0000:14000000}}
{{TAG:0003:002C:}}può davvero iniziare!
{{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Wow!{{TAG:0007:0000:14000000}} Hast du heimlich für den
{{TAG:0000:0003:0200}}Karneval {{TAG:0000:0003:FFFF}}trainiert?!{{TAG:0007:0000:14000000}} Dein Kostüm
sitzt echt wie angegossen!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Klasse!{{TAG:0007:0000:14000000}} Dann kann der Karneval ja
losgehen! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Vay!{{TAG:0007:0000:14000000}} Bu kıyafet için doğmuşsun!{{TAG:0007:0000:14000000}}
Üstünde kusursuz duruyor!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Tamam!{{TAG:0007:0000:14000000}}
Şu {{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:14000000}}
{{TAG:0003:002C:}}coşkusunu patlatalım! {{TAG:0007:0000:08000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0026:}}Today is the day when all my
training pays off.{{TAG:0000:0004:}}{{TAG:0003:0000:}}{{TAG:0003:0021:}}I train hard every day so I can dance
tirelessly during {{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0026:}}Hoy es el día en el que puedo lucir
los resultados de mi entrenamiento.{{TAG:0000:0004:}}{{TAG:0003:0000:}}{{TAG:0003:0021:}}¡He sudado durante horas todos
los días para poder aguantar todo
el Carnaval bailando sin descanso!","{{TAG:0003:0026:}}Aujourd'hui, on va voir si mes
exercices ont porté leurs fruits{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}{{TAG:0003:0021:}}Je me suis entraîné toute l'année
pour pouvoir danser durant tout le
carnaval sans m'arrêter !","{{TAG:0003:0026:}}Finalmente oggi mi renderò conto
se sono stato ripagato di tutti
i miei sforzi in palestra!{{TAG:0000:0004:}}{{TAG:0003:0000:}}{{TAG:0003:0021:}}Faccio esercizi ogni giorno dell'anno
per poter ballare senza sosta
durante tutto il Carnevale!","{{TAG:0003:0026:}}Dafür hab ich das ganze Jahr
trainiert.{{TAG:0000:0004:}}{{TAG:0003:0021:}}An {{TAG:0000:0003:0200}}Karneval {{TAG:0000:0003:FFFF}}dürfen alle meine
Tanz-Moves bewundern!","{{TAG:0003:0026:}}Bugün bütün antrenmanımın işe
yaradığı gün.{{TAG:0000:0004:}}{{TAG:0003:0000:}}{{TAG:0003:0021:}}Her gün
çalışıyorum ki
{{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}} boyunca yorulmadan
dans edeyim!"
7,008,"{{TAG:0003:0005:}}Haha!{{TAG:0007:0000:14000000}} Today let's dance and whoop
it up and get this place hopping!","{{TAG:0003:0005:}}¡Ja, ja, ja!{{TAG:0007:0000:14000000}} ¡Hoy vamos a bailar
hasta caer derrengados!","{{TAG:0003:0005:}}Ha ha !{{TAG:0007:0000:14000000}} C'est l'heure de danser ! De
chanter ! {{TAG:0007:0000:14000000}}Bref, l'heure du carnaval !","{{TAG:0003:0005:}}Ahah!{{TAG:0007:0000:14000000}} Oggi dobbiamo ballare,
saltare e divertirci! Evviva!","{{TAG:0003:0005:}}Haha!{{TAG:0007:0000:14000000}} Der {{TAG:0000:0003:0200}}Karneval {{TAG:0000:0003:FFFF}}ist der reinste
Tanz- und Feiermarathon...{{TAG:0007:0000:28000000}}
Und alle machen mit!","{{TAG:0003:0005:}}Haha!{{TAG:0007:0000:14000000}} Bugün dans edip bağırıp
çağıralım, burayı ayağa kaldıralım!"
8,009,{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}},{{TAG:0009:0001:100011001200}}
9,010,"{{TAG:0003:0005:}}Whoa!{{TAG:0007:0000:14000000}} Letting your body move like
this{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} It's really good exercise!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Toma nota!{{TAG:0007:0000:14000000}} Bailar así todo el día{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¡cuenta como un entrenamiento
intensivo, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Laisse ton corps bouger au rythme
de la musique !{{TAG:0007:0000:14000000}} Y'a pas plus sain
comme exercice, {{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Certo che...{{TAG:0007:0000:14000000}} Scatenarsi così{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
È un ottimo allenamento!
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Wow!{{TAG:0007:0000:14000000}} Versuch mal diese Übung{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Das ist das perfekte Training,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Vay!{{TAG:0007:0000:14000000}} Böyle hareket etmek{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
harika egzersiz!{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
