index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,KR_Korean,TR_Turkish
0,HelpStageIn,Enter,⟦MSBT:0E000000020002005D00⟧Entrer⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002006400⟧Los!⟦MSBT:0E000000020002006400⟧,Entra,⟦MSBT:0E000000020002005C00⟧Entrar⟦MSBT:0E000000020002006400⟧,들어가기,GİR
1,SunStoneButtonTitle,Sun Stones,⟦MSBT:0E000000020002004D00⟧Gemmes solaires⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005B00⟧Sonnensteine⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Pietre del Sole⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005200⟧Piedras Solares⟦MSBT:0E000000020002006400⟧,선스톤,⟦MSBT:0E000000020002005000⟧Güneş Taşları⟦MSBT:0E000000020002006400⟧
2,KeyChainButtonTitle,Keychains,Porte-clés,⟦MSBT:0E000000020002005A00⟧Glücksbringer⟦MSBT:0E000000020002006400⟧,Portachiavi,Llaveros,키홀더,Anahtarlık
3,SunStoneComplete,"⟦MSBT:0E000000020002006800⟧You've gathered all ⟦MSBT:0E00000003000400FF4600FF⟧100 Sun Stones
⟦MSBT:0E00000003000400000000FF⟧scattered throughout Floralia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006C00⟧Vous avez trouvé les ⟦MSBT:0E00000003000400FF4600FF⟧100 gemmes
solaires ⟦MSBT:0E00000003000400000000FF⟧cachées dans Floralia !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006600⟧Du hast alle ⟦MSBT:0E00000003000400FF4600FF⟧100 Sonnensteine ⟦MSBT:0E00000003000400000000FF⟧ge-
sammelt, die im Land verstreut sind.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006B00⟧Hai trovato tutte le ⟦MSBT:0E00000003000400FF4600FF⟧100 Pietre del ⟦MSBT:0E00000003000400000000FF⟧
⟦MSBT:0E00000003000400FF4600FF⟧Sole ⟦MSBT:0E00000003000400000000FF⟧sparse per i mondi di Floralia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005C00⟧¡Has conseguido las ⟦MSBT:0E00000003000400FF4600FF⟧100 Piedras Solares
⟦MSBT:0E00000003000400000000FF⟧que había repartidas por Floralia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002006E00⟧각지에 흩어진 ⟦MSBT:0E00000003000400FF4600FF⟧선스톤⟦MSBT:0E00000003000400000000FF⟧⟦MSBT:0E000000020002006400⟧
⟦MSBT:0E000000020002006E00⟧⟦MSBT:0E00000003000400FF4600FF⟧100개⟦MSBT:0E00000003000400000000FF⟧를 모두 컴플리트!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005C00⟧Floralia'ya dağılmış ⟦MSBT:0E00000003000400FF4600FF⟧100 Güneş Taşının⟦MSBT:0E00000003000400000000FF⟧
hepsini topladın!⟦MSBT:0E000000020002006400⟧"
4,LastBattileDialogBtnLv6,"⟦MSBT:0E000000020002005D00⟧Battle the mind-controlled
king, Masked Dedede.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Affrontez le roi hypnotisé,
DaDiDou Masqué.⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005700⟧Tritt gegen den hypnotisierten
König, Dedede Inkognito, an.⟦MSBT:0E000000020002006400⟧","Sfida il re marionetta,
Dedede Mascherato.","⟦MSBT:0E000000020002005E00⟧Enfréntate a Dedede
enmascarado, el rey títere.⟦MSBT:0E000000020002006400⟧","꼭두각시 대왕
「마스크 디디디」와 대결","⟦MSBT:0E000000020002005800⟧Zihin kontrolündeki
kral Maskeli Dedede'yle savaş.⟦MSBT:0E000000020002006400⟧"
5,LastBattileDialogBtnLv7,"⟦MSBT:0E000000020002005D00⟧Battle the real mastermind,
Queen Sectonia!⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005F00⟧Affrontez la machiavélique
Reine Sectonia !⟦MSBT:0E000000020002006400⟧","⟦MSBT:0E000000020002005A00⟧Kämpfe gegen die
arglistige Königin Sectonia!⟦MSBT:0E000000020002006400⟧","Sfida la mente suprema,
Queen Sectonia!","⟦MSBT:0E000000020002005800⟧Combate contra el verdadero
enemigo, ¡la Reina Sectonia!⟦MSBT:0E000000020002006400⟧","진짜 악의 근원…
「퀸 세크토니아」에 도전!!","⟦MSBT:0E000000020002005D00⟧Asıl düşman
Kraliçe Sectonia'yla savaş!⟦MSBT:0E000000020002006400⟧"
6,Stage1,STAGE 1,ÉTAPE 1 ,LEVEL 1,LIVELLO 1,ETAPA 1,STAGE 1,AŞAMA 1
7,Stage2,STAGE 2,ÉTAPE 2,LEVEL 2,LIVELLO 2,ETAPA 2,STAGE 2,AŞAMA 2
8,Stage3,STAGE 3,ÉTAPE 3,LEVEL 3,LIVELLO 3,ETAPA 3,STAGE 3,AŞAMA 3
9,Stage4,STAGE 4,ÉTAPE 4,LEVEL 4,LIVELLO 4,ETAPA 4,STAGE 4,AŞAMA 4
