entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:0009:0002:080009000A000B00}},{{TAG:0009:0002:080009000A000B00}},{{TAG:0009:0002:080009000A000B00}},{{TAG:0009:0002:080009000A000B00}},{{TAG:0009:0002:080009000A000B00}},{{TAG:0009:0002:080009000A000B00}}
2,003,{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}},{{TAG:0009:0000:0C000D00}}
3,004,,,,,,
4,005,{{TAG:0009:0002:0E000F0010001100}},{{TAG:0009:0002:0E000F0010001100}},{{TAG:0009:0002:0E000F0010001100}},{{TAG:0009:0002:0E000F0010001100}},{{TAG:0009:0002:0E000F0010001100}},{{TAG:0009:0002:0E000F0010001100}}
5,006,{{TAG:0009:0000:12001300}},{{TAG:0009:0000:12001300}},{{TAG:0009:0000:12001300}},{{TAG:0009:0000:12001300}},{{TAG:0009:0000:12001300}},{{TAG:0009:0000:12001300}}
6,007,,,,,,
7,008,"{{TAG:0003:0004:}}{{TAG:0000:0003:0400}}K.K. Slider {{TAG:0000:0003:FFFF}}is so rock 'n' roll.{{TAG:0007:0000:20000000}} {{TAG:0003:0016:}}I
wonder if I could get him to notice
me by crowd surfing{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}{{TAG:0000:0003:0400}}Totakeke {{TAG:0000:0003:FFFF}}es tan espléndido... {{TAG:0007:0000:10000000}}{{TAG:0003:0015:}}
Se basta y se sobra con su guitarra.","{{TAG:0003:000F:}}{{TAG:0000:0003:0400}}Kéké Laglisse{{TAG:0000:0003:FFFF}} vit sa musique de la
façon la plus minimaliste qui soit, {{TAG:0007:0000:10000000}}il
ne porte même pas de vêtements !
{{TAG:0003:0015:}}Heureusement qu'il joue de la
guitare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0004:}}{{TAG:0000:0003:0400}}K.K. Slider {{TAG:0000:0003:FFFF}}è una leggenda del rock.{{TAG:0007:0000:20000000}}
{{TAG:0003:0016:}}Potrei mettermi in prima fila
e tentare di farmi notare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:000F:}}{{TAG:0000:0003:0400}}K.K.{{TAG:0000:0003:FFFF}} ist schon sehr beeindruckend!{{TAG:0007:0000:14000000}}
Er setzt sich über die Konventionen
der Gesellschaft souverän hinweg.
{{TAG:0003:0015:}}Und dabei klingt er auch noch
äußerst gut!","{{TAG:0003:0004:}}{{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}} tam bir rock yıldızı.{{TAG:0007:0000:20000000}} {{TAG:0003:0016:}}Acaba
kalabalığın üstüne atlasam beni
fark eder mi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}"
8,009,"{{TAG:0003:0001:}}I'm treating myself to this concert
after a week of hard work.","{{TAG:0003:0001:}}Después de una semana agotadora,
no hay mejor recompensa que
asistir a un buen concierto.","{{TAG:0003:0001:}}Après une semaine de dur labeur,
{{TAG:0007:0000:0F000000}}cela fait vraiment du bien de venir
se détendre à la discothèque...","{{TAG:0003:0001:}}Dopo una settimana passata
a stirare e piegare lenzuola,
un bel concerto me lo merito...!","{{TAG:0003:0001:}}Nach einer anstrengenden Woche
gönne ich mir dieses Konzert als
kleine Belohnung.","{{TAG:0003:0001:}}Bir haftalık sıkı çalışmanın ardından
kendimi bu konserle ödüllendiriyorum."
9,010,"{{TAG:0003:0017:}}Do you have a favorite {{TAG:0000:0003:0400}}K.K. Slider
{{TAG:0000:0003:FFFF}}song,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}? {{TAG:0007:0000:10000000}}I think mine is
{{TAG:0000:0003:0200}}{{TAG:0005:0015:0000}}{{TAG:0000:0003:FFFF}}.
{{TAG:0003:000D:}}If he plays it tonight,{{TAG:0007:0000:08000000}} I might faint!","{{TAG:0003:0017:}}¿Cuál es tu canción favorita de
{{TAG:0000:0003:0400}}Totakeke{{TAG:0000:0003:FFFF}}, cielín?{{TAG:0007:0000:10000000}} La mía es, sin
duda, {{TAG:0000:0003:0200}}{{TAG:0005:0015:0000}}{{TAG:0000:0003:FFFF}}.
{{TAG:0003:000D:}}¡Si la toca esta noche, creo que
me desmayaré!","{{TAG:0003:0017:}}Quel est le morceau de {{TAG:0000:0003:0400}}Kéké
Laglisse {{TAG:0000:0003:FFFF}}que tu préfères ?{{TAG:0000:0004:}}{{TAG:0007:0000:10000000}}Personnellement, {{TAG:0007:0000:08000000}}j'ai un petit faible
pour {{TAG:0005:0015:0000}}. {{TAG:0007:0000:1E000000}}{{TAG:0003:000D:}}Oh...{{TAG:0007:0000:10000000}}
Faites qu'il la joue ce soir !","{{TAG:0003:0017:}}Qual è la tua canzone preferita
di {{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?
{{TAG:0007:0000:10000000}}La mia è ""{{TAG:0000:0003:0200}}{{TAG:0005:0015:0000}}{{TAG:0000:0003:FFFF}}"".
{{TAG:0003:000D:}}Se la suona stasera, ti giuro
che svengo!","{{TAG:0003:0017:}}Welcher Song von {{TAG:0000:0003:0400}}K.K. {{TAG:0000:0003:FFFF}}ist dein
Lieblingslied,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}}
Meins ist {{TAG:0000:0003:0200}}{{TAG:0005:0015:0000}}{{TAG:0000:0003:FFFF}}.
{{TAG:0003:000D:}}Falls es heute gespielt wird, könnte
ich vor Freude in Ohnmacht fallen.{{TAG:0007:0000:14000000}}
Ich hoffe also, dass du bereitstehst!","{{TAG:0003:0017:}}En sevdiğin {{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}} şarkısı var
mı,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}? {{TAG:0007:0000:10000000}}Benimki sanırım {{TAG:0000:0003:0200}}{{TAG:0005:0015:0000}}{{TAG:0000:0003:FFFF}}.
{{TAG:0003:000D:}}Bu gece çalarsa{{TAG:0007:0000:08000000}} bayılabilirim!"
10,011,"{{TAG:0003:0010:}}Look! {{TAG:0007:0000:10000000}}He's finally taking the stage.{{TAG:0007:0000:10000000}}
{{TAG:0003:0004:}}I'm about to be in the same room as
{{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}}!
{{TAG:0003:002B:}}I hope he takes off his shirt and
throws it into the crowd. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Wait.{{TAG:0007:0000:08000000}} He's
not wearing a shirt!","{{TAG:0003:0010:}}¡Ahí está! {{TAG:0007:0000:10000000}}¡Por fin sale al escenario!{{TAG:0007:0000:10000000}}
{{TAG:0003:0004:}}No me puedo creer que esté en la
misma habitación que {{TAG:0000:0003:0400}}Totakeke{{TAG:0000:0003:FFFF}}...
{{TAG:0003:002B:}}¡Ojalá se quite la camiseta y la
lance al público! {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Ay, no,{{TAG:0007:0000:08000000}} ¡si no lleva!","{{TAG:0003:0010:}}Regarde ! {{TAG:0007:0000:10000000}}Il monte sur scène.{{TAG:0007:0000:10000000}}
{{TAG:0003:0004:}}Oh... {{TAG:0007:0000:10000000}}Je n'y crois pas !{{TAG:0007:0000:10000000}} {{TAG:0000:0003:0400}}Kéké Laglisse
{{TAG:0000:0003:FFFF}}est tout près de moi ! {{TAG:0000:0003:0400}}Kéké {{TAG:0000:0003:FFFF}}! {{TAG:0000:0003:0400}}Kéké {{TAG:0000:0003:FFFF}}!
{{TAG:0003:002B:}}J'espère qu'il va me lancer sa
chemise !{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}} Ah, non, {{TAG:0007:0000:08000000}}je suis bête.{{TAG:0007:0000:10000000}} Il
n'en porte jamais.","{{TAG:0003:0010:}}Guarda! {{TAG:0007:0000:10000000}}Sta arrivando sul palco!{{TAG:0007:0000:10000000}}
Sto per essere nella stessa
stanza dov'è {{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}}!
{{TAG:0003:002B:}}Magari si togliesse la camicia
e la tirasse sulla folla.
{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Aspetta...{{TAG:0007:0000:08000000}} lui non ha la camicia!","{{TAG:0003:0010:}}Sieh nur!{{TAG:0007:0000:14000000}} Da ist {{TAG:0000:0003:0400}}K.K.{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:28000000}} {{TAG:0003:0004:}}Endlich ist es
so weit!{{TAG:0007:0000:14000000}} Es geht doch nichts über
gute Musik zur Entspannung.","{{TAG:0003:0010:}}Bak! {{TAG:0007:0000:10000000}}Sonunda sahneye çıkıyor.{{TAG:0007:0000:10000000}} {{TAG:0003:0004:}}Birazdan
{{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}} ile aynı odada olacağım!
{{TAG:0003:002B:}}Umarım gömleğini çıkarıp kalabalığa
atar. {{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Dur.{{TAG:0007:0000:08000000}} Zaten gömlek giymiyor!"
11,012,"{{TAG:0003:0017:}}Was the {{TAG:0000:0003:0400}}K.K. Slider {{TAG:0000:0003:FFFF}}show sold out
in your town?{{TAG:0007:0001:}} {{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:08000000}} that's
why you're visiting {{TAG:0005:0005:}}!
{{TAG:0003:002B:}}If we stick around after the show,{{TAG:0007:0000:08000000}}
maybe we can get his autograph.{{TAG:0007:0000:08000000}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}}
Squeeeeeeee!","{{TAG:0003:0015:}}Has venido a nuestro pueblo porque
en el tuyo ya no quedaban entradas,
¿verdad? Normal...
{{TAG:0003:002B:}}¡Si nos quedamos después de que
termine, es posible que podamos
conseguir su autógrafo!{{TAG:0003:0004:}} ¡Aaaay!","{{TAG:0003:0017:}}Tous les billets du concert de {{TAG:0000:0003:0400}}Kéké
Laglisse {{TAG:0000:0003:FFFF}}dans ta ville ont été
vendus ?
{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:10000000}} alors je comprends
pourquoi tu es venu{{TAG:000E:0006:000002006500}} à {{TAG:0005:0005:}}.{{TAG:0000:0004:}}{{TAG:0003:0004:}}Tu sais,{{TAG:0007:0000:08000000}} si tu vas le voir à la fin,{{TAG:0007:0000:08000000}} tu
pourras peut-être avoir son
autographe.","{{TAG:0003:0017:}}{{TAG:0000:0003:0400}}K.K. Slider {{TAG:0000:0003:FFFF}}ha fatto il tutto esaurito
dalle tue parti, eh?{{TAG:0007:0001:}} {{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:08000000}}
ecco perché sei qua {{TAG:000E:0010:}} {{TAG:0005:0005:}}.
{{TAG:0003:002B:}}Restiamo qui dopo il concerto.{{TAG:0007:0000:08000000}}
Magari riusciamo a ottenere
un autografo.{{TAG:0007:0000:08000000}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}} Ah, che sogno!","{{TAG:0003:0017:}}War das {{TAG:0000:0003:0400}}K.K.{{TAG:0000:0003:FFFF}}-Konzert bei euch etwa
ausverkauft?{{TAG:0007:0000:14000000}} Bist du deshalb extra
nach {{TAG:0005:0005:}} gereist?
{{TAG:0003:002B:}}Ich frage mich, ob er nach der
Aufführung Autogramme schreibt,
wenn wir auf ihn warten{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0017:}}Senin kasabanda {{TAG:0000:0003:0400}}K.K. Slider{{TAG:0000:0003:FFFF}} konseri
kapalı gişe miydi?{{TAG:0007:0001:}} {{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}},{{TAG:0007:0000:08000000}} demek
{{TAG:0005:0005:}}'a gelme sebebin bu! {{TAG:0003:002B:}}Konserden
sonra biraz oyalanırsak{{TAG:0007:0000:08000000}} belki imzasını
alırız.{{TAG:0007:0000:08000000}}{{TAG:0003:0004:}}{{TAG:0007:0000:10000000}} Ayyy!"
