entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,So{{TAG:0007:0000:08000000}} how are the other rooms?{{TAG:0007:0000:08000000}},¿Y cómo son las otras habitaciones?{{TAG:0007:0000:08000000}},"Alors,{{TAG:0007:0000:08000000}} comment sont les autres
pièces ?",E le altre stanze?{{TAG:0007:0000:08000000}} Come sono?{{TAG:0007:0000:08000000}},"Gibt's hier noch mehr zu sehen?
{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}Irgendwelche anderen Räume?",Peki{{TAG:0007:0000:08000000}} diğer odalar nasıl?{{TAG:0007:0000:08000000}}
1,002,"Huh?{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Do you really have a room in
your house that can't be opened
because it's blocked by furniture?!","{{TAG:0003:0017:}}¿En serio tienes una habitación
en la que no puedes ni entrar?{{TAG:0007:0000:14000000}}
¿Qué has hecho con los muebles?","Hein ?{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}T'as vraiment une pièce dont
l'accès est bloqué par le mobilier ?","In casa tua c'è una stanza {{TAG:0007:0000:08000000}}{{TAG:0003:0017:}}dove non
si può entrare perché è bloccata
dai mobili?! È uno scherzo, vero?","Mann, Mann, Mann.{{TAG:0007:0000:08000000}} {{TAG:0003:0028:}}Hast du hier
allen Ernstes einen Raum, der von
einem Möbelstück blockiert ist?","Ha?{{TAG:0007:0000:08000000}} {{TAG:0003:0017:}}Mobilya kapının önünü kapattığı
için açılamayan bir odan gerçekten mi var?!"
2,003,"{{TAG:0003:001B:}}This is a really messy room!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Put your stuff away...{{TAG:0007:0000:14000000}}where you got
it...{{TAG:0007:0000:14000000}}when you're all done using it!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Following these steps eliminates
nearly 70 percent of all the messy
rooms in the world!","{{TAG:0003:001B:}}Menudo desorden{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Las cosas se guardan
después de usarlas.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Con eso te evitarías el cacao
que tienes aquí montado.","{{TAG:0003:001B:}}Quel désordre !{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Si tu utilises quelque chose,{{TAG:0007:0000:14000000}} faudrait
le ranger ensuite, tu sais...{{TAG:0000:0004:}}{{TAG:0003:0024:}}Cette méthode éliminerait 70 %{{TAG:0007:0000:14000000}} du
désordre mondial !","{{TAG:0003:001B:}}Questa stanza è troppo disordinata!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Quando hai finito di usare
una cosa... {{TAG:0007:0000:14000000}}riportala...{{TAG:0007:0000:14000000}}
dove l'hai trovata!
{{TAG:0003:0024:}}Con questo semplice sistema si
risolverebbe il problema di tutte
le stanze disordinate del pianeta!{{TAG:0007:0000:14000000}}","{{TAG:0003:001B:}}Na, hier sieht's ja vielleicht aus!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0007:}}Normale Leute räumen ihren Kram
nach Benutzung wieder weg!{{TAG:0000:0004:}}Laut einer Statistik, die ich mir
gerade ausgedacht habe, reduziert
das das Chaos um 70 Prozent!","{{TAG:0003:001B:}}Bu oda gerçekten dağınık!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0006:}}Eşyanı
kullandıktan sonra...{{TAG:0007:0000:14000000}}aldığın yere...{{TAG:0007:0000:14000000}}geri
koy!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Şu adımları uygulasan dünyadaki
dağınık odaların yüzde yetmişi
ortadan kalkar!"
3,004,"Hey, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Is that some sort
of new trend all the kids are doing?{{TAG:0000:0004:}}{{TAG:0003:0006:}}If your furniture is facing the wall,{{TAG:0007:0000:14000000}}
doesn't that make it hard to use?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Or do you just turn it around each
time you have to use it?{{TAG:0000:0004:}}{{TAG:0003:0010:}}Oh, I get it{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}You did this to make
me laugh,{{TAG:0007:0000:14000000}} didn't you?!{{TAG:0007:0000:10000000}} {{TAG:0003:0024:}}Gosh,{{TAG:0007:0000:08000000}} you're
such a silly person,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","Oye, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}} ¿qué te ha hecho
ese mueble para que lo castigues
de cara a la pared?
{{TAG:0003:0002:}}¡Ja, ja, ja!{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Qué extravagancia.
Así debe de ser muy difícil de usar.{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}¿O le das la vuelta cada vez?","Hé, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} !{{TAG:0007:0000:14000000}} C'est ça, la
nouvelle mode ?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Je veux dire, normalement, les
meubles ne font pas face au mur,{{TAG:0007:0000:14000000}}
si ?
{{TAG:0003:0009:}}Tu veux dire que tu retournes ça à
chaque fois que tu l'utilises ?{{TAG:0000:0004:}}{{TAG:0003:0010:}}Oh, je vois{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}T'as fait ça pour me
faire une blague,{{TAG:0007:0000:14000000}} non ? Ha ha, t'es
trop bête, {{TAG:0005:0007:}} !","Ehi, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Cos'è, una nuova
tendenza dei giovani d'oggi?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Se un mobile è girato verso il muro,{{TAG:0007:0000:14000000}}
non è che diventa un tantino
difficile usarlo?{{TAG:0000:0004:}}{{TAG:0003:0009:}}O... Aspetta! Forse lo giri ogni volta
che devi usarlo... Ho indovinato?{{TAG:0000:0004:}}{{TAG:0003:0010:}}No, forse ci sono{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0024:}}Lo fai apposta
per farmi sgolare,{{TAG:0007:0000:14000000}} vero?!
Che spiritoson{{TAG:000E:0006:0200650002006100}}! {{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0006:}}Sag mal, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ist das jetzt
in Mode, die Möbel falsch herum
aufzustellen?{{TAG:0000:0004:}}Drehst du das Ding dann jedes Mal
um, wenn du es brauchst, oder wie?{{TAG:0007:0000:14000000}}
{{TAG:0003:001B:}}Pah, die Leute von heute...{{TAG:0000:0004:}}{{TAG:0003:0010:}}Oder...{{TAG:0007:0000:14000000}} {{TAG:0003:0023:}}Wolltest du mich etwa nur
zum Lachen bringen? {{TAG:0007:0000:14000000}}Du bist echt
ein Scherzkeks,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}.","Hey, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}Bu çocukların yaptığı
yeni moda falan mı?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Mobilyalar duvara
dönükse{{TAG:0007:0000:14000000}} kullanmak zor olmuyor mu?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Yoksa
her kullanacağında çevirip sonra geri
mi döndürüyorsun?{{TAG:0000:0004:}}{{TAG:0003:0010:}}Aa, anladım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Beni
güldürmek için yaptın,{{TAG:0007:0000:14000000}} değil mi?!{{TAG:0007:0000:10000000}} {{TAG:0003:0024:}}Vay
be,{{TAG:0007:0000:08000000}} ne şakacısın sen,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
4,005,"Is this just a hobby room,{{TAG:0007:0000:14000000}} or maybe
a room to show things off?{{TAG:0000:0004:}}{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}I'm asking because there aren't beds
or table sets or shelves{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}There aren't any living necessities
in this room whatsoever!{{TAG:0000:0004:}}{{TAG:0003:0024:}}It doesn't feel like this room is even
lived in at all{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","¿Esta es una sala de exposiciones
o algo así?{{TAG:0007:0000:14000000}} ¿Para lucir tu colección?{{TAG:0000:0004:}}{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Es que no veo ni una cama,{{TAG:0007:0000:08000000}}
ni una mesa,{{TAG:0007:0000:08000000}} ni un triste estante{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}¡Te faltan las cosas más básicas!
{{TAG:0003:0024:}}¿Estás segur{{TAG:000E:0006:02006F0002006100}} de que vives aquí?","C'est la salle de jeux,{{TAG:0007:0000:14000000}} ou une salle
d'exposition ?{{TAG:0000:0004:}}{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Je demande parce qu'il n'y a pas de
lit, de table ou de chaises, pas
d'étagères non plus{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0009:}}Enfin, rien de ce qui est nécessaire
pour y vivre !{{TAG:0000:0004:}}{{TAG:0003:0024:}}En fait,{{TAG:0007:0000:14000000}} on dirait que personne n'y
est jamais entré...","Cos'è questa, la stanza dei giochi?{{TAG:0007:0000:14000000}}
La stanza degli hobby? O è solo
per mostrare i tuoi averi agli ospiti?{{TAG:0000:0004:}}{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}No, chiedo perché non c'è
né un letto, né un armadio...
né una sedia{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Non c'è neanche l'ombra
di un mobile essenziale!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Questa stanza è un po' triste...
Non sembra per niente vissuta!{{TAG:0007:0000:14000000}}","Was soll das hier darstellen?{{TAG:0007:0000:14000000}}
Einen Hobbyraum?{{TAG:0000:0004:}}{{TAG:0003:0006:}}{{TAG:0007:0000:10000000}}Ich frage nur, weil ich hier kein Bett
sehe...{{TAG:0007:0000:14000000}} Einen Tisch oder Regale auch
nicht!
{{TAG:0003:001B:}}Bah. {{TAG:0007:0000:14000000}}Die Jugend von heute...","Burası hobi odası mı,{{TAG:0007:0000:14000000}} yoksa eşyaları
sergilediğin bir yer mi?{{TAG:0000:0004:}}{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Soruyorum çünkü
yatak, masa takımı ya da raf
yok{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Bu odada yaşam için gereken hiçbir şey
yok!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Burada hiç yaşanmıyormuş gibi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}."
5,006,"{{TAG:0003:0026:}}I can tell you probably spend a lot
of time in this room!{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}It seems so
comfortable to live here!","{{TAG:0003:0026:}}Seguro que pasas un montón
de tiempo en este cuarto.{{TAG:0007:0000:1E000000}}
{{TAG:0003:0025:}}¡Parece muy acogedor!","{{TAG:0003:0026:}}Tu dois passer beaucoup de temps
dans cette pièce !{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Elle a l'air si
confortable !","{{TAG:0003:0026:}}Questa stanza ha proprio un'aria
vissuta! Devi passarci molto tempo,
eh?{{TAG:0007:0000:1E000000}} {{TAG:0003:0025:}}Sembra proprio confortevole!","{{TAG:0003:0015:}}Man sieht gleich, dass du in diesem
Raum viel Zeit verbringst. {{TAG:0007:0000:14000000}}Ganz
gemütlich hier, eigentlich!","{{TAG:0003:0026:}}Bu odada çok vakit geçirdiğin belli!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0025:}}Yaşaması rahat bir yere benziyor!"
6,007,"{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}No wonder this room feels so plain.{{TAG:0007:0000:14000000}}
{{TAG:0003:0010:}}You've got nothing on your walls!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}A esta habitación le falta algo.{{TAG:0007:0000:14000000}}
Yo colgaría alguna cosa en la pared.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Cette pièce est un peu vide...{{TAG:0007:0000:14000000}}
Évidemment, il n'y a rien sur les
murs !","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Questa stanza è proprio piatta!{{TAG:0007:0000:14000000}}
Non hai niente sulle pareti!","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Also, dir fehlt hier eindeutig was an
den Wänden.","{{TAG:0003:000B:}}{{TAG:0007:0000:10000000}}Bu odanın neden bu kadar sade olduğu
belli.{{TAG:0007:0000:14000000}} {{TAG:0003:0010:}}Duvarlarında hiçbir şey yok!"
7,008,"{{TAG:0003:0025:}}There's so much rare stuff here!{{TAG:0007:0000:08000000}}
{{TAG:0003:0015:}}{{TAG:0007:0000:14000000}}You're quite the collector, aren't
you?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Qué de cosas raras tienes!{{TAG:0007:0000:08000000}}
{{TAG:0003:0015:}}{{TAG:0007:0000:14000000}}Eres tod{{TAG:000E:0006:02006F0002006100}} u{{TAG:000E:0006:02006E0004006E006100}} coleccionista, ¿eh?{{TAG:0007:0000:14000000}}
¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Il y a tellement de choses rares ici !{{TAG:0007:0000:08000000}}
{{TAG:0003:0015:}}{{TAG:0007:0000:14000000}}T'es {{TAG:000E:0006:2E0075006E0020007300610063007200E900200063006F006C006C0065006300740069006F006E006E00650075007200340075006E00650020007300610063007200E9006500200063006F006C006C0065006300740069006F006E006E006500750073006500}}, on
dirait.{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Che storia! Hai un sacco di oggetti
rari in questa stanza!{{TAG:0007:0000:08000000}} {{TAG:0003:0015:}}{{TAG:0007:0000:14000000}}Confessa,
sei {{TAG:000E:0006:040075006E00060075006E006100}} collezionista, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0012:}}Ganz schön viel seltenes Zeug hast
du da!{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}{{TAG:0007:0000:14000000}}Du sammelst wohl gern,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0025:}}Burada bir sürü nadir şey var!{{TAG:0007:0000:08000000}} {{TAG:0003:0015:}}{{TAG:0007:0000:14000000}}Bayağı
koleksiyoncu çıktın, ha?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
8,009,"{{TAG:0003:0024:}}Wow,{{TAG:0007:0000:08000000}} there are a lot of expensive
items in this room!{{TAG:0007:0000:14000000}} {{TAG:0003:0028:}}I bet it wasn't
easy to get these, huh?","{{TAG:0003:0024:}}Vaya,{{TAG:0007:0000:08000000}} tú decoras a lo grande, ¿eh?{{TAG:0007:0000:14000000}}
¡Cuánto lujo!","{{TAG:0003:0024:}}Waouh,{{TAG:0007:0000:08000000}} ça a l'air de valoir un paquet
d'argent, tout ça !","{{TAG:0003:0024:}}Forte!{{TAG:0007:0000:08000000}} Questa stanza è piena di
roba costosissima!{{TAG:0007:0000:14000000}} Scommetto che
hai dovuto sudare per comprartela!","{{TAG:0003:001C:}}War bestimmt nicht gerade billig,
dich so einzurichten...","{{TAG:0003:0024:}}Vay,{{TAG:0007:0000:08000000}} bu odada bir sürü pahalı eşya var!{{TAG:0007:0000:14000000}}
{{TAG:0003:0028:}}Bunları toplamak kolay olmamıştır, ha?"
9,010,"{{TAG:0003:0015:}}This room feels unusually tidy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Well,{{TAG:0007:0000:08000000}} maybe that's just because it's
almost empty, yeah?","{{TAG:0003:0015:}}Esto está muy ordenado{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}O sería mejor decir que está
casi vacío{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0015:}}C'est un peu trop rangé à mon
goût{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0003:0024:}} Hmm,{{TAG:0007:0000:08000000}} c'est peut-être parce
que c'est plutôt vide...","{{TAG:0003:0015:}}Questa stanza è un po' inquietante{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Forse{{TAG:0007:0000:08000000}} perché è mezza vuota...?
Beh, sicuramente è in ordine!","{{TAG:0003:0006:}}Etwas leer hier drin, was?{{TAG:0007:0000:14000000}} {{TAG:0003:0000:}}Na ja.{{TAG:0007:0000:0A000000}}
Wenigstens wirkt es so ordentlicher.","{{TAG:0003:0015:}}Bu oda alışılmadık kadar düzenli{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Gerçi{{TAG:0007:0000:08000000}} neredeyse bomboş olduğu için
de olabilir, değil mi?"
