entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Congratulations!
Your home-evaluation score
has exceeded 10,000 points!
We are sending you a gift to
commemorate the occasion!
Visit the HHA for more info.","¡Enhorabuena!
La evaluación de su casa ha
superado los 10 000 puntos.
Le enviamos un regalo
para celebrar tal hazaña.
La AAD queda a su servicio.","Félicitations ! Tu as dépassé
les 10 000 points lors de la
dernière évaluation de ta
maison ! Tu trouveras ton
prix ci-joint. Pour plus de
détails, rends-toi à l'AJD !","congratulazioni! La tua casa
ha totalizzato più di 10.000
punti! Ti inviamo un regalo
per l'occasione! Per altre
informazioni, fai una visita
al Quartiere Sbirciacase.","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 10 000 Punkte
eingebracht! Hier hast du
eine Belohnung! Besuche die
AdsH für weitere Infos.","Tebrikler!
Ev değerlendirme puanın
10.000'i aştı!
Bu başarıyı kutlamak için sana bir
hediye gönderiyoruz. Ayrıntılar için
HHA'ya uğra!"
1,002,"Congratulations!
Your home-evaluation score
has exceeded 20,000 points!
We still have plenty of lovely
gifts to give away, so keep
up the good work!","¡Enhorabuena!
La evaluación de su casa ha
superado los 20 000 puntos.
Tenemos premios aún más
exquisitos que ofrecer,
¡así que siga esforzándose!","Félicitations ! Tu as dépassé
les 20 000 points lors de la
dernière évaluation de ta
maison ! Si tu aimes recevoir
des prix, continue sur ta
lancée !","congratulazioni! Abbiamo
assegnato alla tua casa più
di 20.000 punti! Abbiamo
ancora un sacco di regali
da elargire, quindi continua
a fare del tuo meglio!","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 20 000 Punkte
eingebracht! Es warten noch
mehr tolle Geschenke auf
dich, also weiter so!","Tebrikler!
Ev değerlendirme puanın
20.000'i aştı!
Dağıtacak daha pek çok güzel
hediyemiz var; aynı şekilde devam!"
2,003,"Congratulations!
Your home-evaluation score
has exceeded 30,000 points!
We are sending you a gift to
commemorate the occasion!
Keep improving your home!","¡Enhorabuena!
La evaluación de su casa ha
superado los 30 000 puntos.
Le enviamos un regalo para
celebrar semejante hazaña.
¡Siga trabajando en ella!","Félicitations ! Tu as dépassé
les 30 000 points lors de la
dernière évaluation de ta
maison ! Tu trouveras ton
prix ci-joint. Continue
comme ça !","congratulazioni! Abbiamo
assegnato alla tua casa più
di 30.000 punti! Ti inviamo
un regalo per l'occasione!
Continua a impegnarti per
migliorare la tua casa!","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 30 000 Punkte
eingebracht! Dieses
Geschenk hast du dir redlich
verdient! Mach weiter so!","Tebrikler!
Ev değerlendirme puanın
30.000'i aştı!
Bu başarıya özel hediyemizi yolladık.
Evini geliştirmeye devam et!"
3,004,"Congratulations!
Your home-evaluation score
has exceeded 50,000 points!
Don't settle on just one
interior-design scheme.
Try many different styles!","¡Enhorabuena!
La evaluación de su casa ha
superado los 50 000 puntos.
No se conforme con un
único diseño para el interior.
¡Pruebe diferentes estilos!","Félicitations ! Tu as dépassé
les 50 000 points lors de la
dernière évaluation de ta
maison ! Un conseil : ne te
cantonne pas à un seul style
de déco, essaies-en plein !","congratulazioni! Abbiamo
assegnato alla tua casa più
di 50.000 punti! Non ti
limitare a un solo stile
di arredamento d'interni.
Varia e stupisci tutti quanti!","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 50 000 Punkte
eingebracht! Versuche dich
nun mal an verschiedenen
Inneneinrichtungsstilen!","Tebrikler!
Ev değerlendirme puanın
50.000'i aştı!
Tek bir dekorasyon tarzına takılma;
farklı stiller de dene!"
4,005,"Congratulations!
Your home-evaluation score
has exceeded 70,000 points!
It seems you have the sense
of a pro interior decorator...
Keep up the good work!","¡Enhorabuena!
La evaluación de su casa ha
superado los 70 000 puntos.
Ha nacido una nueva estrella
en decoración de interiores.
¡Siga haciéndolo así de bien!","Félicitations ! Tu as dépassé
les 70 000 points lors de la
dernière évaluation de ta
maison ! Tu commences à
raisonner comme {{TAG:000E:0006:040075006E00060075006E006500}} pro
de la déco d'intérieur !","congratulazioni! La tua casa
ha totalizzato più di 70.000
punti! Hai proprio la stoffa
di {{TAG:000E:0006:1A0075006E00200061007200720065006400610074006F00720065001C0075006E00270061007200720065006400610074007200690063006500}} d'interni
provett{{TAG:000E:0006:02006F0002006100}}... Continua così!
Lasciaci a bocca aperta!","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 70 000 Punkte
eingebracht! Das schafft nur
ein Profi-Dekorateur!
Mach weiter so!","Tebrikler!
Ev değerlendirme puanın
70.000'i aştı!
Profesyonel bir dekoratör gözüne
sahipsin belli ki. Böyle devam!"
5,006,"Congratulations!
Your home-evaluation score
has exceeded 90,000 points!
Everyone truly admires your
house... So why not show off
even more in the future!","¡Enhorabuena!
La evaluación de su casa ha
superado los 90 000 puntos.
No es de extrañar que sus
buenas dotes de {{TAG:000E:0006:12006400650063006F007200610064006F00720014006400650063006F007200610064006F0072006100}}
despierten tanta admiración.","Félicitations ! Tu as dépassé
les 90 000 points lors de la
dernière évaluation de ta
maison ! De l'avis général,
ton intérieur est décoré avec
goût. Continue à l'améliorer !","congratulazioni! Abbiamo
assegnato alla tua casa più
di 90.000 punti! Sono tutti
strabiliati dalla tua casa...
Quindi perché non fare
ancora meglio in futuro?","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 90 000 Punkte
eingebracht! Dein Haus ist
bewundernswert! Wir wollen
noch mehr davon sehen!","Tebrikler!
Ev değerlendirme puanın
90.000'i aştı!
Herkes evine hayran... Bundan sonra
daha da gösterişli olmaya ne dersin?"
6,007,"Congratulations! Your rather
impressive home-evaluation
score is now well over
100,000 points! Why not
call yourself a pro interior
decorator? Still, keep trying!","¡Enhorabuena!
La evaluación de su casa
ha superado la cifra de los
100 000 puntos. ¡Increíble!
Si no es {{TAG:000E:0006:040075006E00060075006E006100}} profesional será
porque no quiere. ¡Siga así!","Félicitations ! Tu as dépassé
les 100 000 points lors de
la dernière évaluation de ta
maison ! Tu joues dans la
cour des grands, maintenant.
Ne relâche pas tes efforts !","congratulazioni! Abbiamo
assegnato alla tua casa più di
100.000 punti! Fa effetto,
eh? Non c'è che dire,
sei {{TAG:000E:0006:1A0075006E00200061007200720065006400610074006F00720065001C0075006E00270061007200720065006400610074007200690063006500}} provett{{TAG:000E:0006:02006F0002006100}}!
Ma puoi fare ancora meglio!","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 100 000 Punkte
eingebracht! Du spielst nun
endgültig in der Profiliga der
Inneneinrichtung! Weiter so!","Tebrikler! Etkileyici ev değerlendirme
puanın 100.000'i geçti!
Artık kendine profesyonel dekoratör
desen yeridir. Yine de çalışmayı
bırakma!"
7,008,"Congratulations! Your rather
impressive home-evaluation
score is now over 150,000
points! Please accept this
gift as a sign of being a top
interior decorator!","¡Enhorabuena!
La evaluación de su casa
ha superado la cifra de los
150 000 puntos. ¡Increíble!
Le enviamos un regalo solo
reservado para los mejores.","Félicitations ! Tu as dépassé
les 150 000 points lors de
la dernière évaluation de ta
maison ! Tu fais désormais
partie de l'élite des
{{TAG:000E:0006:16006400E90063006F00720061007400650075007200730018006400E90063006F0072006100740072006900630065007300}} d'intérieur !","congratulazioni! Casa tua ha
totalizzato più di 150.000
punti! Quasi non ci credi, eh?
La tua abilità nell'arredare
non ha pari! Ti spediamo
un regalo per l'occasione!","Glückwunsch!
Die Hausbewertungen haben
dir mehr als 150 000 Punkte
eingebracht! Nimm dieses
Geschenk als Anerkennung
dieser Spitzenleistung!","Tebrikler! Ev değerlendirme puanın
150.000'i aştı!
Üst düzey dekoratör olduğunun nişanesi
olarak bu hediyeyi kabul et!"
8,009,,,,,,
9,010,,,,,,
