index,key,F,G,I,S,U,TR
0,MID_様子_ジェローム_前,"Quel air enjoué ! Est-ce que Minerva s'est
laissé caresser ?","Du siehst begeistert aus. Hat es Minerva
gefallen, dass du sie gestreichelt hast?","Sembri entusiasta. Forse a Minerva
sono piaciute le tue carezze.","Hace un día maravilloso, ¿verdad? Me voy
a dar un paseo con Minerva.","You look thrilled. Did Minerva like
you when you petted her?","Pek neşelisin. Minerva'yı okşayınca
senden hoşlandı mı?"
1,MID_様子_ジェローム_後,"Non, j'apprécie la présence des autres
de temps à autre, voilà tout.","Nein, es ist nur... schön, ab und zu mit
jemandem reden zu können.","No, è solo che... fa piacere avere qualcuno
con cui confidarsi ogni tanto.","Desde luego. Yo lo pasaría... hablando con
alguien, ¿para qué engañarnos?","No, it's simply...heartening to have
someone's ear from time to time.","Hayır, sadece... arada bir beni
dinleyen birinin olması iyi geliyor."
2,MID_様子_ジェローム_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
3,MID_様子_ジェローム_前_親子_子,"Linfan, n'as-tu besoin de rien ?
Je souhaite connaître davantage mon fils.","Linfan, sag mir, wenn du etwas brauchst.
Mein Kind, ich will mehr über dich wissen.","Linfan, dimmi se hai bisogno di qualcosa.
Sei mio figlio e voglio conoscerti meglio.","Si necesitas algo, no dudes en decírmelo,
Linfan. Eres mi hijo y haré lo que sea por ti.","Morgan, tell me if you need anything.
You are my child―I would know you better.","Morgan, gerekirse söyle. Çocuğumsun;
seni daha iyi tanımam gerek."
4,MID_様子_ジェローム_後_親子_子,"Un partenaire pour Minerva ? Mais je doute
que tu saches attraper une wyverne mâle...","Ein Partner für Minerva? Ich bezweifele,
dass du ein Männchen fangen kannst.","Un fidanzato per Minerva? Ma dubito che
tu riesca a catturare un maschio di viverna.","¿Qué te parece buscarle pareja a Minerva?
No es fácil atrapar a un wyvern macho.","A partner for Minerva? I doubt you'll
have much luck catching a male wyvern.","Minerva'ya eş mi? Erkek bir ejder
yakalamakta pek şansın olmaz."
5,MID_様子_ジェローム_前_親子_母,"Zelcher, vous faites souvent les boutiques
des villages. N'avez-vous besoin de rien ?","Zelcher, du bist oft auf dem Markt.
Gibt es etwas, was ich dir kaufen könnte?","Zelcher, Ti vedo spesso all'emporio.
Posso comprare qualcosa per te?","Siempre estás de comercio en comercio.
¿Necesitas algo? Si quieres, te lo compro.","Cherche, I often see you at the town shops.
Is there something I might buy for you?","Cherche, seni sık sık çarşıda görüyorum.
Sana alabileceğim bir şey var mı?"
6,MID_様子_ジェローム_後_親子_母,"Il me faudrait de l'argent pour acheter des
vivres pour Minerva. Elle a un gros appétit.","Ein bisschen Geld für Minervas Futter wäre
gut. Sie isst viel mehr als andere Wyvern.","Alcune monete per il cibo di Minerva.
Mangia cinque volte più delle altre viverne.","Solo necesito dinero para el pienso de
Minerva. ¡Come por cinco wyvern!","Just money for Minerva's food will do. She
eats five times as much as other wyverns.","Minerva'nın yemeği için para yeter.
Diğer ejderlerin beş katını yer."
7,MID_様子_ジェローム_前_親子_父,"Je devrais vous traiter davantage comme
un père. Puis-je vous offrir un présent ?","$Np, ich sollte dir ein besserer
Sohn sein. Wünschst du dir etwas?","$Np, penso dovrei trattarti
meglio essendo mio padre. Vuoi qualcosa?","$Np, creo que debería tratarte
más como a un padre. ¿Te compro algo?","$Np, I realise I should treat you
more like a father. Can I buy you a gift?","$Np, sana daha çok babam gibi
davranmalıyım. Bir hediye alsam?"
8,MID_様子_ジェローム_後_親子_父,"Un partenaire mâle pour Minerva ? Vous
croyez que c'est impossible... ?","Wie wäre es mit einem Partner für Minerva?
...Wieso sollte das unmöglich sein?","Un fidanzato per Minerva?
Che significa ""impossibile""?","Una pareja para Minerva.
¿Qué? ¿Cómo que ""imposible""?","How about a male partner for Minerva?
...What do you mean, ""impossible""?","Minerva'ya bir erkek eş bulsak?
...'İmkânsız' da ne demek?"
9,MID_様子_ジェローム_前_恋人,"Qu'est-ce donc que ceci, $Np ?
Ma curiosité est piquée au vif...","Was hast du denn da, $Np?
Das sieht ungewöhnlich aus.","Cos'hai lì, $Np?
Davvero strano.","¿Qué escondes ahí, $Np? Qué
pinta tan singular tiene...","What is that you've got there,
$Np? It's very unusual.","Bu da ne, $Np?
Ne sıra dışı bir şey!"
10,MID_様子_ジェローム_後_恋人,"C'est un bijou qui appartenait à Minerva.
Je voudrais l'offrir à ma bien-aimée.","Das ist ein Juwel, das Minerva hatte. Willst
du es? Es würde dir sehr gut stehen.","Questo è un gioiello appartenuto a Minerva.
Ti piace? Ti starebbe bene.","Minerva llevaba esta joya en el hocico. ¿Te
gusta? Creo que te quedará bien.","This is a jewel Minerva had. Would you
like it? I think it would suit you.","Bu Minerva'nın mücevheri. İster misin?
Bence sana yakışır."
