index,label,English,French,German,Italian,Spanish,Turkish
0,tl_music_box,"The melody is guaranteed to relax
and it makes a good ornament, too.","Laissez-vous bercer par la mélodie de
cette charmante boîte à musique.","Ihre Melodie hilft dir, ruhig zu werden.
Ihr Anblick erfreut dein Herz und Auge.","Un carillon decorativo che rilasserà
il tuo animo con la sua dolce musica.","La melodía garantiza la relajación.
Además es de lo más decorativa.","Melodisi kesinlikle rahatlatır; üstelik
güzel bir süs eşyası da olur."
1,tl_stomach_medicine,"Made with natural ingredients and
effective for any stomach complaints.","Les ingrédients naturels de ces gélules
soulageront tous vos tracas d'estomac.","Aus natürlichen Inhaltsstoffen, beruhigt
den Magen effektiv und schonend.","Prodotto con ingredienti rigorosamente
naturali, cura il mal di stomaco.","Hecha con ingredientes naturales y
buen remedio para males estomacales.","Doğal malzemelerden yapılmıştır ve
her türlü mide rahatsızlığına iyi gelir."
2,tl_cold_medicine,"Don't let a cold get you down. This
will take care of the worst symptoms.","Ne laissez pas un rhume vous abattre !
Un sachet et ça repart !","Schon bei ersten Symptomen gegen-
steuern: Gib der Grippe keine Chance!","Un ottimo rimedio per non lasciarsi più
fermare da un banale raffreddore.","No dejes que un resfriado te tumbe.
Esto combate los síntomas principales.","Soğuk algınlığı keyfini kaçırmasın.
En kötü belirtileri bununla hafiflet."
3,tl_instant_camera,"The fun is not knowing what you've got
until you develop the film.","Immortalisez vos plus beaux moments
grâce à ce petit appareil.","Lustig: Du weißt nicht, wie die Bilder
werden, bis sie dann entwickelt sind.","Immortala i ricordi di viaggio e li svela
solo dopo lo sviluppo delle foto.","La gracia está en no saber qué ha
salido hasta que reveles el carrete.","Eğlencesi, filmi banyo edene kadar
ne çektiğini bilmemende."
4,tl_travel_ticket,"This is a ticket to anywhere. Use it
wisely when you need to get away.","Ce billet vous emmènera n'importe où.
Choisissez bien votre destination !","Ein Ticket nach Wohin-du-willst. Nutze
es, wenn du einfach mal raus musst.","Un biglietto speciale per andare
dovunque tu voglia. Usalo con cura.","Podrás ir a un destino especial. Úsalo
cuando realmente necesites viajar.","Her yere giden bir bilet. Biraz uzaklaşmaya
ihtiyacın olduğunda akıllıca kullan."
5,tl_bath_set,"Refresh your mind and body by
taking a nice, long dip.","Oubliez le stress de la vie quotidienne
en prenant un long bain chaud.","Entspanne körperlich und geistig
mit einem schönen, langen Bad.","Dona vigore e freschezza alla mente
e al corpo con un bagno rilassante.","Refréscate y despeja la mente
dándote un agradable y largo baño.","Uzun ve güzel bir banyo yaparak
zihnini ve bedenini tazele."
6,tl_fan,"Essential in hot summers or when you
need a breeze. Has 3 speed settings.","Ce ventilateur à trois vitesses sera votre
meilleur ami pendant les mois d'été.","Im Sommer, wenn kein Lüftchen weht,
sehr hilfreich. Windstärke frei wählbar!","Indispensabile nelle giornate afose.
È dotato di tre diverse velocità.","Fundamental en días en los que hace
un sol de justicia. Tiene 3 velocidades.","Sıcak yaz günlerinde ya da biraz serinlik
istediğinde vazgeçilmez. 3 hız ayarı var."
7,tl_hypnosis_set,"You can hypnotise anyone with this kit.
What will you make them do? 3, 2, 1...","Qui allez-vous hypnotiser ?
Et qu'allez-vous lui faire faire ?","Hilft enorm beim Hypnotisieren deiner
Mitbewohner: Du wirst ganz müüüde...","Il kit di base per ipnotizzare qualcuno.
Unico requisito: saper contare fino a 3!","Con él, hipnotizarás a cualquiera.
Mejor no lo uses delante de un espejo.","Bu setle herkesi hipnotize edebilirsin.
Ne yaptıracaksın? 3, 2, 1..."
8,tl_frying_pan,"What kind of foods could you possibly
make with this non-stick pan?","Préparez de bons petits plats avec
cette poêle anti-adhésive.","Welche Leckereien kann man wohl in
dieser schönen Teflonpfanne brutzeln?","Prepara quello che vuoi con questa
prestigiosa padella antiaderente!","¿Qué platos podrás cocinar usando
esta sartén antiadherente?","Bu yapışmaz tavayla acaba ne tür
yemekler yapabilirsin?"
9,tl_mobile,"Blows in a breeze. Or just blow on it
yourself if you are impatient.","Frémit à la moindre brise. Soufflez
dessus si l'impatience vous gagne.","Schwingt im Wind. Oder wenn du kurz
dagegenpustest, falls mal Flaute ist.","Si muove al vento. Se non c'è vento,
puoi sempre soffiarci sopra...","Se mueve con la brisa, aunque puedes
soplar si no quieres esperar.","Esintide dönüp durur. Sabırsızsan
kendin de üfleyebilirsin."
10,tl_kaleidoscope,"Who knows what you might see when
you move your Nintendo 3DS around?","Qui sait ce que vous pourriez y voir
en déplaçant votre console ?","Was mag es dir zeigen, wenn du dein
Nintendo 3DS-System bewegst?","Chissà cosa potresti vedere
muovendo la console...","¿Qué crees que se verá si mueves
tu consola? ¡Prueba a ver!","Nintendo 3DS'ini hareket ettirince
karşına neler çıkacağını kim bilir?"
11,tl_ar_camera,"Use the ? AR Card and see a whole
new world.","Utilisez votre carte ? et faites
apparaître un nouveau monde.","Verwende die ?-Karte, um eine
ganz neue Welt zu entdecken!","Usa la carta RA ? per scoprire
un nuovo magico mondo.","Usa la tarjeta ? para descubrir
un mundo completamente nuevo.","? AR Kartını kullan ve yepyeni
bir dünya gör."
12,tl_slidepuzzle,"Move the pieces and complete the
picture. Sounds easier than it is...","Déplacez les pièces de ce jeu jusqu'à
obtenir une image. Pas si facile...","Verschiebe die Teile, bis sie ein Bild
ergeben. Klingt leichter, als es ist...","Basta muovere le singole tessere per
completare l'immagine. Sembra facile...","Mueve las piezas para completar la
imagen. Suena más fácil de lo que es...","Parçaları kaydır ve resmi tamamla.
Söylemesi yapmasından kolay..."
13,tl_sewing_machine,"What kind of clothes could you sew
with this machine? Can't wait!","Qu'allez-vous bien pouvoir coudre
grâce à cette machine ?","Welche Kleider kann man wohl hiermit
nähen? Da ist Spannung garantiert!","Chissà che tipo di vestiti si possono
confezionare con questa macchina...","¿Qué tipo de ropa vas a confeccionar
con ella? ¡Qué ganas de verla!","Bu makineyle ne tür kıyafetler
dikebilirsin acaba? Sabırsızlanıyoruz!"
14,tl_hairdye_spray,"Tired, lifeless hair? Just give it a spray
and reinvent yourself in a new colour!","Cheveux ternes ? Ce spray est ce qu'il
vous faut pour changer de couleur !","Blöde Frisur? Fade Farbe? Dann bring
hiermit neues Leben auf deinen Kopf!","Un toccasana per rinnovare il colore
dei capelli spenti e sfibrati.","¿Pelo castigado y sin vida? Pues ¡dale
un toque de color y renueva tu imagen!","Saçların cansız mı görünüyor? Bir kez sık
ve yepyeni bir renkle kendini baştan yarat!"
15,tl_adult_spray,"For kids who want to be grown-ups
and do things like getting married.","Pour tous les enfants un peu trop
impatients de devenir adultes.","Geeignet für Kinder und Jugendliche
unter 18, die nicht abwarten wollen...","Per tutti i bambini che hanno fretta
di crescere e diventare adulti!","Para los niños que quieran hacerse
mayores en un abrir y cerrar de ojos.","Yetişkin olmak ve evlenmek gibi şeyler
yapmak isteyen çocuklar için."
16,tl_swing,"Just set this up in your room. Timing
is essential for a good swing.","Qui n'a jamais rêvé d'avoir une
balançoire dans sa chambre ?","Häng sie in deinem Zimmer auf. Gutes
Timing garantiert dir massig Schwung.","Da usare in appartamento. Il ritmo è
essenziale per dondolarsi al meglio.","Ponlo directamente en tu habitación. El
ritmo es fundamental para balancearse.","Odanıza kurmanız yeterli. İyi sallanmak
için doğru zamanlama şart."
17,tl_child_spray,"For grown-ups who want to be kids
again and relive their youth.","Pour tous les adultes un peu
nostalgiques de l'enfance.","Geeignet für alle Erwachsenen, die
sich gern etwas jünger fühlen wollen.","Per chi sogna di tornare indietro
ai tempi dell'infanzia!","Para los adultos que quieran volver
a ser niños y revivir su infancia.","Yeniden çocuk olup gençliğini yaşamak
isteyen yetişkinler için."
