entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}},{{TAG:0009:0001:030004000500}}
1,002,{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}},{{TAG:0009:0001:0A000B000C00}}
2,003,"{{TAG:0003:0001:}}Tonight is our special moon-viewing
holiday called {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}} We'll look up
and admire the moon's beauty.","{{TAG:0003:0001:}}Esta noche celebramos el {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}},
{{TAG:0007:0000:0A000000}}una noche en la que nos dedicamos
a admirar la belleza de la luna.","{{TAG:0003:0001:}}Ce soir, c'est {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}} ! {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Tu connais ?{{TAG:0007:0000:0A000000}}
On appelle aussi cette nuit la {{TAG:0000:0003:0200}}lune
d'automne{{TAG:0000:0003:FFFF}}...
C'est le meilleur moment pour
admirer la pleine lune dans toute sa
grâce et sa lumière !","{{TAG:0003:0001:}}Oggi si festeggia lo {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}.
Sei pront{{TAG:000E:0006:02006F0002006100}} ad ammirare la nostra
beeellissima luna stasera?","{{TAG:0003:0001:}}Heute feiern wir {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Weißt du, was das ist?{{TAG:0000:0004:}}Ich denke, man könnte es mit
eurer {{TAG:0000:0003:0200}}Nacht des Herbstmondes{{TAG:0000:0003:FFFF}}
vergleichen.{{TAG:0000:0004:}}Wir schauen auf in den Nachthimmel
und bewundern die Schönheit und
das Leuchten des Mondes.","{{TAG:0003:0001:}}Bu gece {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}} denen özel ay izleme
bayramımız!{{TAG:0007:0000:14000000}} Gökyüzüne bakıp Ay’ın
güzelliğini seyredeceğiz."
3,004,"{{TAG:0003:0001:}}Tonight is a special moon-viewing
holiday called {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}} We'll admire
the moon and eat dango rice cakes.","{{TAG:0003:0001:}}Hoy, {{TAG:0007:0000:0A000000}}además de observar la luna
durante el {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}, {{TAG:0007:0000:0A000000}}¡comeremos
dulces típicos de esta época!","{{TAG:0003:0001:}}Ce soir, c'est {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}} ! {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Tu connais ?{{TAG:0007:0000:0A000000}}
C'est un peu comme la {{TAG:0000:0003:0200}}lune
d'automne {{TAG:0000:0003:FFFF}}chez toi...
On va admirer la lune et se gaver de
ces gâteaux que l'on appelle
dangos, comme le veut la tradition !","{{TAG:0003:0001:}}Stasera si celebra lo {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}
Luna piena e dolcetti sono gli ospiti
d'onore oggi.
I dolci di riso tipici di questa festa
si chiamano tsukimi dango.
A te piacciono?","{{TAG:0003:0001:}}Heute ist ein besonderer Tag für
uns. {{TAG:0007:0000:14000000}}Wir feiern {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}, ein Fest, bei
dem sich alles um den Mond dreht.
{{TAG:0003:0015:}}Wie es sich für ein ordentliches Fest
gehört, kochen wir auch leckeres
Essen.
{{TAG:0003:0025:}}Traditionell gibt es bei uns Dango.{{TAG:0007:0000:14000000}}
Ich hoffe, du magst sie!{{TAG:0007:0000:14000000}} Oh, und der
Mond wird dir sicher auch gefallen...","{{TAG:0003:0001:}}Bu gece {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}} denen özel ay izleme
bayramımız!{{TAG:0007:0000:14000000}} Ay’ı seyredip dango
pirinç lokmaları yiyeceğiz."
4,005,"{{TAG:0003:0001:}}Oh,{{TAG:0007:0000:08000000}} tonight is our moon-viewing
holiday, {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}When you think of the moon,{{TAG:0007:0000:08000000}} what
comes to mind, {{TAG:0005:0008:}}?{{TAG:0008:0005:0600000007000000}}
Dango rice cakes!
Rabbits on the moon!","{{TAG:0003:0001:}}Ay,{{TAG:0007:0000:0A000000}} ¿sabes que hoy celebramos
el {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:14000000}} Es un día en el que
nos dedicamos a observar la luna.
Dime,{{TAG:0007:0000:0A000000}} {{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}} ¿qué te viene a
la mente cuando piensas en la luna?{{TAG:0008:0005:0600000007000000}}
¡Dulces!
¡Conejitos selenitas!","{{TAG:0003:0001:}}Ce soir, c'est {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}, notre version
de la {{TAG:0000:0003:0200}}lune d'automne {{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:0A000000}} La lune, ça te
fait penser à quoi, {{TAG:0005:0008:}} ?{{TAG:0008:0005:0600000007000000}}
À des dangos !
À des lapins sur la lune !","{{TAG:0003:0001:}}Stasera festeggiamo lo {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:14000000}}
Sarà uno spettacolo formidable!{{TAG:0000:0004:}}Qual è la prima cosa che ti viene
in mente se si parla di luna piena,
{{TAG:0005:0008:}}?{{TAG:0008:0005:0600000007000000}}
I dolcetti di riso!
Il coniglio sulla luna!","{{TAG:0003:0001:}}Heute ist {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}! {{TAG:0007:0000:14000000}}Ich hoffe, dass
es heute Abend nicht bewölkt ist,
damit der Mond gut zu sehen ist.
Sag mal, was kommt dir als Erstes
in den Sinn, wenn es um den Mond
geht, {{TAG:0005:0008:}}?{{TAG:0008:0005:0600000007000000}}
Dango!
Der Hase im Mond!","{{TAG:0003:0001:}}Aa,{{TAG:0007:0000:08000000}} bu gece ay izleme bayramımız
{{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}Ay deyince{{TAG:0007:0000:08000000}} aklına ilk ne
geliyor, {{TAG:0005:0008:}}?{{TAG:0008:0005:0600000007000000}}
Dango!
Ay’daki tavşanlar!"
5,006,"{{TAG:0003:0026:}}Me too!{{TAG:0007:0000:14000000}} It's just not a proper moon
viewing without sweets.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} You gaze
up at its light and eat rice cakes.","{{TAG:0003:0026:}}¡Igual que a mí!{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Observar la luna
sin comer algún dulce típico
no es lo mismo, {{TAG:0007:0000:0A000000}}¿verdad?","{{TAG:0003:0026:}}Pareil !{{TAG:0007:0000:0A000000}} La lune est moins belle si on
la contemple sans manger de
dangos, c'est bien connu !","{{TAG:0003:0026:}}Anche a me!{{TAG:0007:0000:14000000}} Non si può ammirare
la luna senza gustare{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} quegli squisiiiti
dolcetti di riso!","{{TAG:0003:0026:}}Das fällt mir auch immer als Erstes
ein. {{TAG:0007:0000:14000000}}Ohne Süßigkeiten ist es einfach
kein richtiges Fest.","{{TAG:0003:0026:}}Benim de!{{TAG:0007:0000:14000000}} Tatlı olmadan ay seyretmenin
tadı çıkmaz.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Ay ışığına bakıp
pirinç lokmalarını yersin."
6,007,{{TAG:000A:000B:0608000900CD}},{{TAG:000A:000B:0608000900CD}},{{TAG:000A:000B:0608000900CD}},{{TAG:000A:000B:0608000900CD}},{{TAG:000A:000B:0608000900CD}},{{TAG:000A:000B:0608000900CD}}
7,008,"{{TAG:0003:000F:}}Wait.{{TAG:0007:0000:08000000}} Really?!{{TAG:0007:0001:}} That almost makes it
sound like you're talking about me.{{TAG:0007:0000:14000000}}{{TAG:0003:001A:}}{{TAG:0007:0000:14000000}}
Uh-oh,{{TAG:0007:0000:08000000}} now I'm blushing.","{{TAG:0003:000F:}}¡¿De verdad?!{{TAG:0007:0001:}} Aquí se dice que en
la luna puedes ver conejos haciendo
mochis, {{TAG:0007:0000:0A000000}}que son unos dulces.
{{TAG:0003:0017:}}¿También se suele decir eso
en el pueblo donde vives?","{{TAG:0003:000F:}}Quoi ? {{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}T'essaies d'insinuer que je
suis tout le temps dans la lune, ou
quoi ?","{{TAG:0003:000F:}}C'est vrai?{{TAG:0007:0000:08000000}} Dici sul serio?{{TAG:0007:0001:}} Pensi
a un coniglio? Uno come me?{{TAG:0007:0000:14000000}}{{TAG:0003:001A:}}{{TAG:0007:0000:14000000}}
Così mi imbarazzi...","{{TAG:0003:000F:}}W-was? Echt? {{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}Du machst dich
wohl lustig über mich!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Auch wenn du es nicht glauben
magst, aber manche von uns sind
weitgereiste Hasen von Welt!","{{TAG:0003:000F:}}Dur.{{TAG:0007:0000:08000000}} Gerçekten mi?!{{TAG:0007:0001:}} Neredeyse benden
bahsediyormuşsun gibi oldu.{{TAG:0007:0000:14000000}}{{TAG:0003:001A:}}{{TAG:0007:0000:14000000}}
Eyvah,{{TAG:0007:0000:08000000}} şimdi yüzüm kızardı."
8,009,"{{TAG:0003:0001:}}That's right,{{TAG:0007:0000:08000000}} I remember reading a
story about a rabbit who works on
the moon.{{TAG:0007:0000:14000000}} He makes mochi to eat!","{{TAG:0003:0001:}}Pues tiene sentido, {{TAG:0007:0000:0A000000}}porque por
aquí decimos que en la luna se ven
conejos haciendo pasta de arroz.","{{TAG:0003:0001:}}C'est marrant que tu dises ça, j'ai
justement lu une histoire à propos
d'un lapin qui vivait sur la lune...
{{TAG:0003:0025:}}Il désirait être le lapin qui sautait le
plus haut du monde, alors il a voulu
profiter de la pesanteur de la lune...
{{TAG:0003:0015:}}Et il est devenu le meilleur lapin
sauteur de l'univers ! {{TAG:0007:0000:28000000}}{{TAG:0003:000A:}}Mais le pauvre
n'a jamais pu sauter assez haut...
{{TAG:0003:000E:}}... pour pouvoir rentrer chez lui !{{TAG:0007:0000:14000000}}
Oh, cette histoire me fait pleurer
à chaque fois...{{TAG:0007:0000:0A000000}} Snif, snif...","{{TAG:0003:0001:}}Mi ricordo di aver letto la storia
di un coniglio che vive sulla luna
e prepara tantissimissimi mochi!","{{TAG:0003:0001:}}Lustig.{{TAG:0007:0000:14000000}} Da fällt mir ein, ich habe
tatsächlich einmal eine Geschichte
über einen Hasen im Mond gelesen.
{{TAG:0003:0025:}}Der arme Mümmler muss dort
den lieben langen Tag Reiskuchen
zubereiten, hihi.","{{TAG:0003:0001:}}Doğru ya,{{TAG:0007:0000:08000000}} Ay’da yaşayan bir tavşanla
ilgili hikâye okuduğumu hatırlıyorum.{{TAG:0007:0000:14000000}}
Yemek için mochi yapıyormuş!"
9,010,"{{TAG:0003:0025:}}I feel like the moon is shining more
brightly than usual since it's
{{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}.
Doesn't it look like the moon is
smiling?{{TAG:0007:0000:14000000}} It makes me feel happy just
looking at it.","{{TAG:0003:0025:}}Durante el {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:0A000000}} creo que
la luna brilla más que otras noches.{{TAG:0000:0004:}}¿No te da la impresión de que
está sonriendo y todo? {{TAG:0007:0000:14000000}}¡A mí
me hace muy feliz verla!","{{TAG:0003:0025:}}Le soir de {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}}, la lune brille
d'un éclat particulier... {{TAG:0007:0000:0A000000}}On dirait
qu'elle sourit, tu ne trouves pas ? 
Moi, en tout cas, j'ai envie de
sourire quand je la regarde !","{{TAG:0003:0025:}}La luna piena risplende di una luce
super unique durante lo Tsukimi.{{TAG:0000:0004:}}Sembra quasi che sorrida.
Solo a guardarla mi mette allegria!
Je suis content!","{{TAG:0003:0025:}}Wie schön.{{TAG:0007:0000:14000000}} Als würde sich der Mond
extra für {{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}} ins Zeug legen und
heute Nacht besonders hell strahlen.
Und sieht es nicht auch so aus, als
würde er lächeln?{{TAG:0007:0000:14000000}} Hach, Vollmond
macht mich einfach glücklich.","{{TAG:0003:0025:}}{{TAG:0000:0003:0200}}Tsukimi{{TAG:0000:0003:FFFF}} olduğu için Ay sanki bu gece
normalden daha parlak ışıldıyor.
Gülümsüyormuş gibi görünmüyor mu?{{TAG:0007:0000:14000000}}
Bakmak bile içimi mutlu ediyor."
