entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,"{{TAG:0003:0005:}}All right!{{TAG:0007:0000:08000000}} HERE WE GO!{{TAG:0007:0009:5A000000}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Oops,{{TAG:0007:0000:10000000}} before we start, I should
explain the rules!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}When I say ""Made Ya,""{{TAG:0007:0000:10000000}} press  to
decide which direction you want
to look.{{TAG:0007:0000:10000000}}
{{TAG:0003:0025:}}If you're looking in the same
direction as me when I say ""look,""{{TAG:0007:0000:10000000}}
that means you win,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
{{TAG:0003:0006:}}You'll get 3 chances!{{TAG:0007:0000:20000000}}
Up, {{TAG:0007:0000:08000000}}down, {{TAG:0007:0000:08000000}}right, {{TAG:0007:0000:08000000}}or left{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Will you be able to read my mind?
{{TAG:0003:0005:}}Now we're ready for sure!{{TAG:0007:0000:08000000}}
Let's do this!","{{TAG:0003:0005:}}¡De acuerdo!{{TAG:0007:0000:08000000}} ¡ALLÁ VAMOS!{{TAG:0007:0009:5A000000}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Esto...{{TAG:0007:0000:10000000}} Antes debería explicarte
cómo se juega,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Es sencillo. Cuando diga ""Mira..."",{{TAG:0007:0000:10000000}}
pulsa  para mirar en una dirección.{{TAG:0007:0000:10000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Si los dos estamos mirando en la
misma dirección cuando diga ""allí"",{{TAG:0007:0000:10000000}}
tú ganas,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:0007:0000:0A000000}}
{{TAG:0003:0006:}}¡Cuentas con tres oportunidades!{{TAG:0007:0000:20000000}}
Arriba, {{TAG:0007:0000:08000000}}abajo, {{TAG:0007:0000:08000000}}izquierda o derecha.{{TAG:0007:0000:20000000}} {{TAG:0003:0023:}}
¿Podrás leerme la mente?
{{TAG:0003:0005:}}¡Vamos a averiguarlo!{{TAG:0007:0000:08000000}}","{{TAG:0003:0005:}}OK !{{TAG:0007:0000:08000000}} TOP DÉPART !{{TAG:0007:0009:5A000000}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Oups,{{TAG:0007:0000:10000000}} avant qu'on commence, faut
peut-être que j'explique les règles !{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !
{{TAG:0003:0000:}}Dès que je dis « Regarde où... »,{{TAG:0007:0000:10000000}}
utilise  pour choisir la direction
dans laquelle tu veux regarder.{{TAG:0007:0000:10000000}}
{{TAG:0003:0025:}}Si tu regardes dans la même
direction que moi quand je dis
« ... je regarde ! »,{{TAG:0007:0000:10000000}} tu gagnes !
{{TAG:0003:0006:}}Je te donne trois chances !{{TAG:0007:0000:20000000}} Alors{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
Haut, {{TAG:0007:0000:08000000}}bas, {{TAG:0007:0000:08000000}}droite {{TAG:0007:0000:08000000}}ou gauche{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Sauras-tu deviner mes intentions ?
{{TAG:0003:0005:}}Allez, cette fois, c'est parti pour de
bon !","{{TAG:0003:0005:}}OK!{{TAG:0007:0000:08000000}} SI COMINCIA!{{TAG:0007:0009:5A000000}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Ooops,{{TAG:0007:0000:10000000}} prima di iniziare, ti devo
spiegare le regole,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Quando io dico ""Guarda..."",{{TAG:0007:0000:10000000}}
devi premere  per decidere
in quale direzione guardare.{{TAG:0007:0000:10000000}}
{{TAG:0003:0025:}}Se quando dico ""là"" stai guardando
nella stessa direzione in cui
guardo io,{{TAG:0007:0000:10000000}} hai vinto, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!
{{TAG:0003:0006:}}Hai a disposizione tre tentativi!{{TAG:0007:0000:20000000}}
Su, {{TAG:0007:0000:08000000}}giù, {{TAG:0007:0000:08000000}}destra {{TAG:0007:0000:08000000}}o sinistra{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Ce la farai a leggermi nel pensiero?
{{TAG:0003:0005:}}Ora siamo pronti!{{TAG:0007:0000:08000000}}
Cominciamo!","{{TAG:0003:0005:}}Alles klar!{{TAG:0007:0000:08000000}} LOS GEHT'S!{{TAG:0007:0009:5A000000}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:10000000}} bevor wir anfangen, muss ich
dir ja noch die Regeln erklären,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}}!
{{TAG:0003:0000:}}Wenn ich „Guck mal“ sage,{{TAG:0007:0000:10000000}} drückst
du auf  die Richtung, in die du
gucken willst.
{{TAG:0003:0025:}}Guckst du in die gleiche Richtung
wie ich, wenn ich „da“ sage,{{TAG:0007:0000:10000000}}
gewinnst du,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
{{TAG:0003:0006:}}Du hast drei Versuche!{{TAG:0007:0000:20000000}}
Oben, {{TAG:0007:0000:08000000}}unten, {{TAG:0007:0000:08000000}}rechts {{TAG:0007:0000:08000000}}oder links{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:001C:}}Kannst du meine Gedanken lesen?
{{TAG:0003:0005:}}Jetzt geht's aber wirklich los!","{{TAG:0003:0005:}}Tamam!{{TAG:0007:0000:08000000}} BAŞLIYORUZ!{{TAG:0007:0009:5A000000}}{{TAG:0000:0004:}}{{TAG:0003:000F:}}Hop,{{TAG:0007:0000:10000000}} başlamadan
önce kuralları anlatmalıyım!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0000:0004:}}{{TAG:0003:0000:}}Ben
""Seni..."" dediğimde{{TAG:0007:0000:10000000}} hangi yöne bakmak
istediğini seçmek için 
ile bir yöne bas.{{TAG:0007:0000:10000000}}
{{TAG:0003:0025:}}Ben ""baktırdım!"" dediğimde benimle aynı
yöne bakıyorsan,{{TAG:0007:0000:10000000}} kazanan
sensin,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!
{{TAG:0003:0006:}}3 hakkın var!{{TAG:0007:0000:20000000}}
Yukarı, {{TAG:0007:0000:08000000}}aşağı, {{TAG:0007:0000:08000000}}sağ, {{TAG:0007:0000:08000000}}ya da sol{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0023:}}Aklımı okuyabilecek misin?
{{TAG:0003:0005:}}Artık kesin hazırız!{{TAG:0007:0000:08000000}}
Haydi bakalım!"
2,003,,,,,,
3,004,Made Ya...{{TAG:0007:0009:14000000}},Mira...{{TAG:0007:0009:14000000}},Regarde où...{{TAG:0007:0009:14000000}},Guarda...{{TAG:0007:0009:14000000}},Guck mal{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0007:0009:14000000}},Seni...{{TAG:0007:0009:14000000}}
4,005,"
{{TAG:0007:000A:}}{{TAG:0000:0002:C800}}LOOK!{{TAG:0000:0002:6400}}","
{{TAG:0007:000A:}}{{TAG:0000:0002:C800}}A{{TAG:0000:0002:6400}}{{TAG:0000:0002:C800}}{{TAG:0007:0000:05000000}}L{{TAG:0007:0000:05000000}}L{{TAG:0000:0002:6400}}{{TAG:0000:0002:C800}}{{TAG:0007:0000:06000000}}Í{{TAG:0000:0002:6400}}","
{{TAG:0007:000A:}}... {{TAG:0000:0002:C800}}{{TAG:0000:0002:C800}}JE REGARDE {{TAG:0000:0002:C800}}!{{TAG:0000:0002:6400}}","
{{TAG:0007:000A:}}... {{TAG:0000:0002:C800}}L{{TAG:0000:0002:C800}}À{{TAG:0000:0002:C800}}!{{TAG:0000:0002:6400}}","
{{TAG:0007:000A:}}{{TAG:0000:0002:C800}}D{{TAG:0007:0000:08000000}}A!{{TAG:0000:0002:6400}}","
{{TAG:0007:000A:}}{{TAG:0000:0002:C800}}BAKTIRDIM!{{TAG:0000:0002:6400}}"
5,006,"{{TAG:0003:0010:}}Ah!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}We're both looking
in the same direction{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0010:}}¡Ajá!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Estamos mirando en la misma
dirección. ¡Me has leído la mente!{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0010:}}Ah !{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}On regarde tous les deux dans
la même direction{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0010:}}Ah!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Abbiamo guardato nella stessa
direzione{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Wir gucken beide in die gleiche
Richtung{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}",{{TAG:0003:0010:}}Ah!{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}İkimiz de aynı yöne bakıyoruz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
6,007,"{{TAG:0003:0024:}}Heh heh heh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} We're looking in
different directions, huh?{{TAG:0007:0000:20000000}} It's too
soon for you to give up, though!
{{TAG:0003:0005:}}Let's do it one more time!","{{TAG:0003:0024:}}Je, je{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} No miramos en la misma
dirección.{{TAG:0007:0000:20000000}} ¡Tus poderes telepáticos
te están fallando! ¡Je, je, je!
{{TAG:0003:0005:}}¡Probemos otra vez!","{{TAG:0003:0024:}}Hé hé{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} On regarde pas dans la
même direction, j'en ai peur.{{TAG:0007:0000:20000000}} Mais
te décourage pas encore !
{{TAG:0003:0005:}}Je te donne une nouvelle chance !","{{TAG:0003:0024:}}Eh eh eh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Guardiamo in direzioni
diverse, eh?{{TAG:0007:0000:20000000}} Ma è troppo presto
per arrendersi! {{TAG:0003:0005:}}Riproviamo!","{{TAG:0003:0024:}}Hehehe{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Wir gucken in verschiedene
Richtungen!{{TAG:0007:0000:20000000}} Zum Aufgeben ist es
aber noch zu früh! {{TAG:0003:0005:}}Und noch mal!","{{TAG:0003:0024:}}Heh heh heh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Farklı yönlere bakıyoruz,
ha?{{TAG:0007:0000:20000000}} Ama pes etmek için daha erken!
{{TAG:0003:0005:}}Bir kez daha deneyelim!"
7,008,"{{TAG:0003:000F:}}Oh{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}we're looking in different
directions again!{{TAG:0007:0000:20000000}} {{TAG:0003:0006:}}Next round is
your last chance!{{TAG:0007:0000:20000000}}
{{TAG:0003:0005:}}Ready?{{TAG:0007:0000:08000000}} Here we go!","{{TAG:0003:000F:}}Vaya{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}} Otra vez miramos en
direcciones distintas.{{TAG:0007:0000:20000000}} {{TAG:0003:0006:}}¡La próxima
ronda será tu última oportunidad!{{TAG:0007:0000:20000000}}
{{TAG:0003:0005:}}¿List{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:08000000}} ¡Adelante!","{{TAG:0003:000F:}}Oh{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}} On regarde de nouveau dans
deux directions différentes !{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Attention, c'est ta dernière chance !
{{TAG:0003:0005:}}Prêt{{TAG:000E:0006:000002006500}} ?{{TAG:0007:0000:08000000}} C'est parti !","{{TAG:0003:000F:}}Oh{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}} di nuovo in direzioni diverse!
{{TAG:0007:0000:20000000}}{{TAG:0003:0006:}}Hai ancora un ultimo tentativo
a tua disposizione!{{TAG:0007:0000:20000000}} {{TAG:0003:0005:}}Pronti?{{TAG:0007:0000:08000000}} Via!","{{TAG:0003:000F:}}Oh{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}} Schon wieder verschiedene
Richtungen!{{TAG:0007:0000:20000000}} {{TAG:0003:0006:}}Die nächste Runde ist
deine letzte Chance!
{{TAG:0003:0005:}}Bereit?{{TAG:0007:0000:08000000}} Los geht's!","{{TAG:0003:000F:}}Aa{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}.{{TAG:0007:0000:04000000}}yine farklı yönlere bakıyoruz!{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Bir sonraki tur son şansın!{{TAG:0007:0000:20000000}}
{{TAG:0003:0005:}}Hazır mısın?{{TAG:0007:0000:08000000}} Başlıyoruz!"
8,009,"{{TAG:0003:0024:}}Seems like you couldn't
make it happen again{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0024:}}¡Qué pena! Tu telepatía no está
muy fina este día{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0024:}}Décidément, quand ça veut pas, ça
veut pas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0024:}}Non ce l'hai fatta nemmeno
questa volta{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:0003:0024:}}Sieht aus, als hättest du es wieder
nicht geschafft{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}",{{TAG:0003:0024:}}Galiba yine başaramadın{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
9,010,"{{TAG:0003:0025:}}You win!{{TAG:0007:0000:20000000}} Good job,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Has ganado!{{TAG:0007:0000:20000000}}
¡Bien hecho,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}T'as gagné !{{TAG:0007:0000:20000000}} Bien joué,{{TAG:0007:0000:08000000}}
{{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Hai vinto!{{TAG:0007:0000:20000000}}
Ottimo lavoro,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Du hast gewonnen!{{TAG:0007:0000:20000000}}
Gut gemacht,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Kazandın!{{TAG:0007:0000:20000000}} Aferin,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!"
