label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"Oje... Also, irgendwie ergreift mich\nhier ja ein total mulmiges Gefühl...",Huh. I'm getting a weird feeling here...,Mmm... Este sitio me da grima.,Hm... J'ai un étrange pressentiment...,Mmmh... Questo posto mi lascia una strana\nsensazione...,Hm. Ik krijg hier een vreemd gevoel...,Hıh. Burada garip bir his alıyorum...
CharaSerif_00_F,1,,Huh. I'm getting a weird feeling here...,,,,,Hıh. Burada garip bir his alıyorum...
CharaSerif_01_M,2,Musashiii!,Musashi!,¡Musashi!,Musashi !,Musashi!,Musashi!,Musashi!
CharaSerif_01_F,3,,,,,,,
CharaSerif_02_M,4,Huch! Archie!\nAber was machst du denn hier?,Archie! What're you doing here?!,¡Archie! ¡¿Pero qué haces aquí?!,Archie ! Qu'est-ce que tu fais ici ?!,Archie! Cosa ci fai qui?!,Archie! Wat doe jij hier nou?,Archie! Burada ne yapıyorsun?!
CharaSerif_02_F,5,,,,,,,
CharaSerif_03_M,6,"Hör mal zu! Musashi, ich weiß was!\nDas Experiment war ein Riesenreinfall!","Yeah, listen, I got a new tip! Turns out\nthe experiment was a bust!","Pues ya ves, recabando información... y hay\nnovedades: ¡el experimento ha fracasado!",En fait... Il y a du nouveau !\nL'expérience a été une catastrophe !,Ecco... ho una notizia da darti!\nL'esperimento è fallito!,"Luister, ik heb een nieuwtje! Het experiment\nis geflopt!","Evet, dinle, yeni bir tüyo aldım! Meğer\ndeney fiyasko çıkmış!"
CharaSerif_03_F,7,,,,,,,
CharaSerif_04_M,8,Der Reis! Er soll zu klebrig gewesen sein!\nDeswegen hat's nicht geklappt mit dem Tor!,The artificial sushi gate didn't work out.\nSomething about the viscosity of the rice.,¡El portal del sushi artificial no funciona!\nParece que es por la consistencia del arroz.,Le portail de sushis artificiel ne fonctionne\npas. La viscosité du riz pose problème.,Niente portale del sushi artificiale. Pare\nche sia colpa della glutinosità del riso.,De kunstmatige sushipoort werkte niet. Iets\nmet de viscositeit van de rijst.,Yapay suşi kapısı işe yaramadı.\nPirinçlerin viskozitesiyle ilgili bir şey.
CharaSerif_04_F,9,,,,,,,
CharaSerif_05_M,10,Interessant. Sprich weiter.,Explain.,"Explícate, anda.",Explique-toi.,Mmmh... Spiegati meglio.,Wat bedoel je?,Açıkla.
CharaSerif_05_F,11,,,,,,,
CharaSerif_06_M,12,"Der Plan war, ein Portal zu öffnen! Durch\nKollision von hyperbeschleunigtem Sushi!",They TRIED to open a gate to the sushi world\nwith energy from colliding light-speed sushi.,Querían abrir un portal al mundo del sushi\ncon un gran colisionador de sushi.,Ils cherchaient à ouvrir un portail grâce à une\ncollision supersonique entre deux sushis.,Hanno cercato di aprire un portale con\nl'energia cinetica del sushi accelerato.,Ze wilden een poort naar de sushiwereld\nopenen met een sushideeltjesversneller.,Işık hızındaki suşileri çarpıştırıp enerjiyle\nsuşi dünyasına kapı açmaya ÇALIŞTILAR.
CharaSerif_06_F,13,,,,,,,
CharaSerif_07_M,14,Doch der superklebrige Reis hat die ganze\nEnergie einfach aufgesaugt. Wie Wasser!,"But the rice was so sticky that it absorbed\nall the energy, so no sushi gate.","Pero el arroz era tan glutinoso que absorbió\ntoda la energía generada, y la idea fracasó.","Mais le riz était si collant, il a absorbé toute\nl'énergie... Raté pour le portail de sushis !",Ma il riso era appiccicoso e ha assorbito\nl'energia... e il portale non si è aperto.,"Maar de rijst was te kleverig en absorbeerde\nalle energie, dus het is niet gelukt.",Ama pirinç o kadar yapışkandı ki tüm enerjiyi\nemdi; yani suşi kapısı falan yok.
CharaSerif_07_F,15,,,,,,,
