entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, hello there, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:0025:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:0025:}}Hé, {{TAG:0007:0000:05000000}}{{TAG:0007:0006:}}'jour{{TAG:0007:0007:}},
{{TAG:0005:0008:}}.{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehi, hola, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0007:0006:}}guten Morgen{{TAG:0007:0007:}},
{{TAG:0005:0008:}}.{{TAG:000A:000B:1009000B00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, merhaba, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000B00CD}}"
1,002,"{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:05000000}}good morning, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:0025:}}Ah, {{TAG:0007:0000:05000000}}{{TAG:0005:0008:}}. Buenos días.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:0025:}}Hé, {{TAG:0007:0000:05000000}}ça fuse, {{TAG:0005:0008:}} ?{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:0025:}}Ehi, {{TAG:0007:0000:05000000}}buongiorno,
{{TAG:0005:0008:}}.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:0025:}}Guten Morgen, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A000C00CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:05000000}}günaydın, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A000C00CD}}"
2,003,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}So, hello there, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0025:}}Anda, {{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}}
¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0025:}}Ah, {{TAG:0007:0000:05000000}}{{TAG:0007:0006:}}c'est toi{{TAG:0007:0007:}},
{{TAG:0005:0008:}}.{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Salve{{TAG:0007:0007:}}!
Tutto bene, {{TAG:0005:0008:}}?{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}. {{TAG:0007:0000:14000000}}Wie geht's?{{TAG:000A:000B:1009000D00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ee, merhaba, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000D00CD}}"
3,004,"{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:05000000}}good afternoon, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}Buenas tardes, {{TAG:0007:0000:05000000}}{{TAG:0005:0008:}}.{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}Hé, {{TAG:0007:0000:05000000}}ça swingue, {{TAG:0005:0008:}} ?{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}Ehi, {{TAG:0007:0000:05000000}}buon pomeriggio a te,
{{TAG:0005:0008:}}.{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}.{{TAG:000A:000B:100A000E00CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:05000000}}iyi günler, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A000E00CD}}"
4,005,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, hi there, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0025:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0025:}}Hé, {{TAG:0007:0006:}}salut, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Ehi, salve, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0006:}}hallo, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009000F00CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, selam, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009000F00CD}}"
5,006,"{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:05000000}}good evening, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0025:}}{{TAG:0007:0000:05000000}}Good evening, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0025:}}Hé, {{TAG:0007:0000:05000000}}ça buzze, {{TAG:0005:0008:}} ?{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0025:}}Ehi, {{TAG:0007:0000:05000000}}buonasera, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:0A000000}}guten Abend, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A001000CD}}","{{TAG:0003:0025:}}Hey, {{TAG:0007:0000:05000000}}iyi akşamlar, {{TAG:0005:0008:}}.{{TAG:000A:000B:100A001000CD}}"
6,007,"{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, hello there, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:0025:}}¡{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hola, hola, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:0025:}}Hé, {{TAG:0007:0000:05000000}}{{TAG:0007:0006:}}salut, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Guarda chi si vede, {{TAG:0005:0008:}}{{TAG:0007:0007:}}.{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!
{{TAG:0007:0000:14000000}}Wie läuft's?{{TAG:000A:000B:1009001100CD}}","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0007:0006:}}Hey, merhaba, {{TAG:0005:0008:}}{{TAG:0007:0007:}}!{{TAG:000A:000B:1009001100CD}}"
7,008,"{{TAG:0003:0001:}}Hi there, {{TAG:0005:0008:}}. You're out
late, aren't you!{{TAG:000A:000B:1013001200CD}}","{{TAG:0003:0001:}}¡Hola, {{TAG:0005:0008:}}!
¡Aún estás despiert{{TAG:000E:0006:02006F0002006100}}!{{TAG:000A:000B:1013001200CD}}","{{TAG:0003:0001:}}Salut, {{TAG:0005:0008:}}. Tu te balades à
une heure bien tardive, dis-moi !{{TAG:000A:000B:1013001200CD}}","{{TAG:0003:0001:}}Hola, {{TAG:0005:0008:}}. Non ti sembra
un po' tardi per andare in giro?{{TAG:000A:000B:1013001200CD}}","{{TAG:0003:0001:}}Hallo, {{TAG:0005:0008:}}. {{TAG:0007:0000:14000000}}So spät noch
unterwegs?{{TAG:000A:000B:1013001200CD}}","{{TAG:0003:0001:}}Selam, {{TAG:0005:0008:}}. Geç saatte dışarıdasın!{{TAG:000A:000B:1013001200CD}}"
8,009,"{{TAG:0003:0003:}}All this rain, {{TAG:0007:0000:05000000}}it feels SO good on my
skin, {{TAG:0007:0000:05000000}}you know? {{TAG:0007:0000:0A000000}}No one else feels
that way, {{TAG:0005:0007:}}.
But I {{TAG:0007:0000:05000000}}can {{TAG:0007:0000:05000000}}barely {{TAG:0007:0000:05000000}}{{TAG:0003:0000:}}contain myself,{{TAG:0007:0000:05000000}}
{{TAG:0005:0008:}}...","{{TAG:0003:0003:}}Esta lluvia {{TAG:0007:0000:05000000}}es lo mejor para
mantener la piel {{TAG:0007:0000:05000000}}fresca e
{{TAG:0007:0000:05000000}}hidratada, {{TAG:0005:0007:}}.
Tú también deberías alegrarte
por tu cutis, {{TAG:0005:0008:}}.","{{TAG:0003:0003:}}Cette pluie, {{TAG:0007:0000:05000000}}ça rend ma peau toute
visqueuse... {{TAG:0007:0000:0F000000}}Tu peux pas savoir
comme c'est agréable, {{TAG:0005:0008:}} !
{{TAG:0003:0001:}}Bon,{{TAG:0007:0000:08000000}} faut juste que j'évite de faire
la bise aux nanas...{{TAG:0007:0000:05000000}} Hé hé,
{{TAG:0007:0000:05000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0003:}}Tutta questa pioggia... {{TAG:0007:0000:05000000}}È proprio
quello che ci vuole per la pelle.{{TAG:0007:0000:0A000000}}
L'idratazione innanzi tutto!
I miei pori gridano di gioia,
{{TAG:0005:0007:}}!{{TAG:0007:0000:05000000}}{{TAG:0003:0000:}} Li senti anche tu,
{{TAG:0005:0008:}}?","{{TAG:0003:0003:}}Dieser ganze Regen {{TAG:0007:0000:05000000}}fühlt sich SO
gut auf meiner Haut an. {{TAG:0007:0000:14000000}}Die meisten
verstehen das nicht, {{TAG:0005:0007:}}.
Aber ich freue mich wie ein
kleines Kind. {{TAG:0007:0000:14000000}}Ich {{TAG:0007:0000:05000000}}kann {{TAG:0007:0000:05000000}}mich {{TAG:0007:0000:05000000}}kaum {{TAG:0007:0000:05000000}}{{TAG:0003:0000:}}
beherrschen, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}...","{{TAG:0003:0003:}}Şu yağmur, {{TAG:0007:0000:05000000}}tenimde ÇOK iyi
hissettiriyor, {{TAG:0007:0000:05000000}}biliyor musun? {{TAG:0007:0000:0A000000}}Başka
kimse böyle düşünmüyor, {{TAG:0005:0007:}}.
Ama ben {{TAG:0007:0000:05000000}}kendimi {{TAG:0007:0000:05000000}}zor {{TAG:0007:0000:05000000}}{{TAG:0003:0000:}}tutuyorum,{{TAG:0007:0000:05000000}} {{TAG:0005:0008:}}..."
9,010,"{{TAG:0003:0004:}}I love rainy days! {{TAG:0007:0000:14000000}}It's like my whole
body is gulping {{TAG:0005:000E:0000}}
by the glass, {{TAG:0005:0008:}}.
{{TAG:0003:0025:}}I know that sounds weird, {{TAG:0007:0000:05000000}}but on
days like this? {{TAG:0007:0000:0A000000}}Weird {{TAG:0007:0000:05000000}}is {{TAG:0007:0000:05000000}}delicious.","{{TAG:0003:0004:}}¡Me encanta la lluvia! {{TAG:0007:0000:14000000}}Me llena
tanto como beber litros y litros
de {{TAG:0005:000E:0000}}, {{TAG:0005:0008:}}.
{{TAG:0003:0025:}}Vale, eso ha podido sonar raro, {{TAG:0007:0000:05000000}}
pero en un día como hoy, {{TAG:0007:0000:14000000}}¿a quién
le importa?","{{TAG:0003:0004:}}Ah, la pluie !
{{TAG:0007:0000:14000000}}C'est rafraîchissant comme une
rasade {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:000E:0000}}.","{{TAG:0003:0004:}}Io adoro i giorni di pioggia,
{{TAG:0005:0008:}}! {{TAG:0007:0000:14000000}}È come se il mio corpo
bevesse litri di {{TAG:0005:000E:0000}}.
{{TAG:0003:0025:}}Lo so che suona strano, {{TAG:0007:0000:05000000}}ma in
giorni così {{TAG:0007:0000:0A000000}}la stranezza {{TAG:0007:0000:05000000}}è di casa.","{{TAG:0003:0004:}}Ich liebe Regentage! {{TAG:0007:0000:14000000}}Es ist, als ob
mein ganzer Körper literweise
{{TAG:0005:000E:0000}} aufsaugt.
{{TAG:0003:0025:}}Das klingt vielleicht befremdlich,
{{TAG:0007:0000:0A000000}}aber diese Befremdlichkeit
schmeckt heute einfach zu köstlich! ","{{TAG:0003:0004:}}Yağmurlu günlere bayılıyorum! {{TAG:0007:0000:14000000}}Sanki
bütün bedenim bardak bardak {{TAG:0005:000E:0000}}
içiyor, {{TAG:0005:0008:}}. {{TAG:0003:0025:}}Kulağa tuhaf geliyor
biliyorum, {{TAG:0007:0000:05000000}}ama böyle günlerde? {{TAG:0007:0000:0A000000}}Tuhaflık
{{TAG:0007:0000:05000000}}çok {{TAG:0007:0000:05000000}}lezzetli."
