index,label,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,US_English,US_French,US_Spanish,TR_Turkish,QA_Note
0,HeaderLoQuestText,Select Quest,Choix de la quête,Mission wählen,⟦MSBT:0E000000020002005F00⟧Scegli una missione⟦MSBT:0E000000020002006400⟧,Misiones,クエストせんたく,Select Quest,Choix de la quête,Misiones,Görev Seç,
1,HeaderLoJobForMyPlayerText,Select your role.,Choix du rôle,Rolle wählen,Scegli un ruolo,Habilidades,じぶんのジョブをえらぶ,Select your role.,Choix du rôle,Habilidades,Rolünü seç.,
2,HeaderLoJobForAnotherPlayerText,⟦MSBT:0E000000020002005A00⟧Select friend's role.⟦MSBT:0E000000020002006400⟧,Choix du rôle,⟦MSBT:0E000000020002005F00⟧Taem-Rollen wählen⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Ruolo del compagno⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Habilidad del aliado⟦MSBT:0E000000020002006400⟧,おとものジョブをえらぶ,⟦MSBT:0E000000020002005A00⟧Select friend's role.⟦MSBT:0E000000020002006400⟧,Choix du rôle,⟦MSBT:0E000000020002005F00⟧Habilidad del aliado⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002004B00⟧Arkadaşının rolünü seç.⟦MSBT:0E000000020002006400⟧,
3,HeaderLoMemberText,Team Members,Équipiers,Team-Mitglieder,Compagni,Aliados,メンバーかくにん,Team Members,Équipiers,Aliados,Takım Üyeleri,
4,BackBtnText,Back,⟦MSBT:0E000000020002005500⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005800⟧Zurück⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005500⟧Indietro⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Atrás⟦MSBT:0E000000020002006400⟧,もどる,Back,⟦MSBT:0E000000020002005500⟧Retour⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Atrás⟦MSBT:0E000000020002006400⟧,Geri,
5,BackBtnNetText,Quit,⟦MSBT:0E000000020002005A00⟧Quitter⟦MSBT:0E000000020002006400⟧,Ende,Esci,Salir,おわる,Quit,⟦MSBT:0E000000020002005A00⟧Quitter⟦MSBT:0E000000020002006400⟧,Salir,Çık,
6,QuestBtnText,Quest,Quête,MISSION,Missione,Misión,クエスト,Quest,Quête,Misión,Görev,
7,ResultHeaderText1,Quest 1,Quête 1,MISSION 1,⟦MSBT:0E000000020002005500⟧Missione 1⟦MSBT:0E000000020002006400⟧,Misión 1,クエスト１,Quest 1,Quête 1,Misión 1,Görev 1,
8,ResultHeaderText2,Quest 2,Quête 2,MISSION 2,⟦MSBT:0E000000020002005500⟧Missione 2⟦MSBT:0E000000020002006400⟧,Misión 2,クエスト２,Quest 2,Quête 2,Misión 2,Görev 2,
9,ResultHeaderText3,Quest 3,Quête 3,MISSION 3,⟦MSBT:0E000000020002005500⟧Missione 3⟦MSBT:0E000000020002006400⟧,Misión 3,クエスト３,Quest 3,Quête 3,Misión 3,Görev 3,
10,ResultHeaderText4,Quest 4,Quête 4,MISSION 4,⟦MSBT:0E000000020002005500⟧Missione 4⟦MSBT:0E000000020002006400⟧,Misión 4,クエスト４,Quest 4,Quête 4,Misión 4,Görev 4,
11,ResultHeaderText5,Quest 5,Quête 5,MISSION 5,⟦MSBT:0E000000020002005500⟧Missione 5⟦MSBT:0E000000020002006400⟧,Misión 5,クエスト５,Quest 5,Quête 5,Misión 5,Görev 5,
12,ResultHeaderText6,Quest EX,Quête EX,MISSION X,Missione X,Misión +,クエストEX,Quest EX,Quête EX,Misión EX,Görev EX,
13,HeaderUpText,Team Quest,Aventure,TEAM-MISSION,⟦MSBT:0E000000020002005500⟧Modalità di squadra⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Misión en equipo⟦MSBT:0E000000020002006400⟧,おともとクエスト,Team Quest,Aventure,⟦MSBT:0E000000020002005F00⟧Misión en equipo⟦MSBT:0E000000020002006400⟧,Takım Görevi,
14,HeaderUpSubText1,Quest 1,Quête 1,MISSION 1,⟦MSBT:0E000000020002005500⟧Missione 1⟦MSBT:0E000000020002006400⟧,Misión 1,クエスト１,Quest 1,Quête 1,Misión 1,Görev 1,
15,HeaderUpSubText2,Quest 2,Quête 2,MISSION 2,⟦MSBT:0E000000020002005500⟧Missione 2⟦MSBT:0E000000020002006400⟧,Misión 2,クエスト２,Quest 2,Quête 2,Misión 2,Görev 2,
16,HeaderUpSubText3,Quest 3,Quête 3,MISSION 3,⟦MSBT:0E000000020002005500⟧Missione 3⟦MSBT:0E000000020002006400⟧,Misión 3,クエスト３,Quest 3,Quête 3,Misión 3,Görev 3,
17,HeaderUpSubText4,Quest 4,Quête 4,MISSION 4,⟦MSBT:0E000000020002005500⟧Missione 4⟦MSBT:0E000000020002006400⟧,Misión 4,クエスト４,Quest 4,Quête 4,Misión 4,Görev 4,
18,HeaderUpSubText5,Quest 5,Quête 5,MISSION 5,⟦MSBT:0E000000020002005500⟧Missione 5⟦MSBT:0E000000020002006400⟧,Misión 5,クエスト５,Quest 5,Quête 5,Misión 5,Görev 5,
19,HeaderUpSubText6,Quest EX,Quête EX,MISSION X,⟦MSBT:0E000000020002005500⟧Missione X⟦MSBT:0E000000020002006400⟧,Misión +,クエストEX,Quest EX,Quête EX,Misión EX,Görev EX,
20,BossLevelText,Difficulty,Difficulté,⟦MSBT:0E000000020002006400⟧⟦MSBT:0E000000020002005500⟧Schwierigk⟦MSBT:0E000000020002006400⟧.⟦MSBT:0E000000020002006400⟧,Difficoltà,Dificultad,なんいど,Difficulty,Difficulté,Dificultad,Zorluk,
21,BestScoreText,Highest EXP,Record (exp.),Höchste ERF.,Record Punti Esp.,Récord,ハイスコアけいけんち,Highest EXP,Record (exp.),Récord,En Yüksek EXP,
22,BossNameText1,Gigant Edge,Gigalame,⟦MSBT:0E000000020002005A00⟧Schwert-Koloss⟦MSBT:0E000000020002006400⟧,⟦MSBT:0E000000020002005F00⟧Mega cavaliere⟦MSBT:0E000000020002006400⟧,Filo Gigante,ギガントエッジ,Gigant Edge,Gigalame,Filo Gigante,Dev Kılıç,
23,BossNameText2,Mr. Frosty,Frigor Efik,Dr. Eisbert,Dadopagos,Sr. Mórsez,ミスター・フロスティ,Mr. Frosty,Frigor Efik,Sr. Mórsez,Bay Ayaz,
24,BossNameText3,Whispy Woods,Whispy Woods,Whispy Woods,Whispy Woods,Whispy Woods,ウィスピーウッズ,Whispy Woods,Whispy Woods,Whispy Woods,Whispy Woods,
25,BossNameText4,Pyribbit,Cramaud,Pyrosch,Vulkan,Pirobúho,ヴォルゲロム,Pyribbit,Cramaud,Pirobúho,Pirovrak,
26,BossNameText5,Landia,Landia,Landia,Landia,Landia,ランディア,Landia,Landia,Landia,Landia,
27,BossNameText6,Landia EX,Landia EX,Landia X,Landia X,Landia +,ランディアEX,Landia EX,Landia EX,Landia EX,Landia EX,
28,BossBywordText1,Steel Soldier,Soldat d'acier,Stählerner Krieger,Soldato d'acciaio,Soldado de acero,⟦MSBT:0E00000000000A00020006006F304C306D30⟧鋼の⟦MSBT:0E00000000000A0004000600783044305730⟧兵士,Steel Soldier,Soldat d'acier,Soldado de acero,Çelik Asker,
29,BossBywordText2,Ice Beast,Monstre de glace,Eisige Bestie,⟦MSBT:0E000000020002005F00⟧Mostro di ghiaccio⟦MSBT:0E000000020002006400⟧,Bestia de hielo,⟦MSBT:0E00000000000A000200060053304A308A30⟧氷の⟦MSBT:0E00000000000A0002000600513082306E30⟧獣,Ice Beast,Monstre de glace,Bestia de hielo,Buz Canavarı,
30,BossBywordText3,Ancient Tree,Arbre millénaire,Urzeit-Baum,Albero millenario,Árbol ancestral,⟦MSBT:0E00000000000C000200080044306B3057304830⟧古の⟦MSBT:0E00000000000C00040008005F30443058308530⟧大樹,Ancient Tree,Arbre millénaire,Árbol ancestral,Kadim Ağaç,
31,BossBywordText4,Flaming Frog,Batracien de feu,Flammenfrosch,Rana di fuoco,Búho de fuego,⟦MSBT:0E00000000000A00020006007B306E304A30⟧炎の⟦MSBT:0E00000000000A00020006004B308F305A30⟧蛙,Flaming Frog,Batracien de feu,Búho de fuego,Alevli Kurbağa,
32,BossBywordText5,Guardian Angel,Hydre gardienne,Quadraharpyia,Idra protettrice,Deidad guardiana,４つ⟦MSBT:0E00000000000800020004004F307330⟧首の⟦MSBT:0E00000000000800020004007E308230⟧守り⟦MSBT:0E00000000000800020004004C307F30⟧神,Guardian Angel,Hydre gardienne,Dragón guardián,Koruyucu Melek,
33,BossBywordText6,Guardian Angel,Hydre gardienne,Quadraharpyia,Idra protettrice,Deidad guardiana,４つ⟦MSBT:0E00000000000800020004004F307330⟧首の⟦MSBT:0E00000000000800020004007E308230⟧守り⟦MSBT:0E00000000000800020004004C307F30⟧神,Guardian Angel,Hydre gardienne,Dragón guardián,Koruyucu Melek,
