entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
1,002,"{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Heh. {{TAG:0007:0000:08000000}}I saw a special report about
these on TV the other day!
{{TAG:0003:0000:}}But yours isn't real, right?{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} It's a 
knockoff, right? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Oh!{{TAG:0007:0000:14000000}} ¡{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Justo el otro día vi un reportaje
en la tele sobre uno de estos.
{{TAG:0003:0000:}}Pero este no es auténtico, ¿verdad?{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}}
No es que yo entienda mucho, pero
tiene pinta de ser una imitación.","{{TAG:0003:000F:}}Oh,{{TAG:0007:0000:14000000}} {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Hi hi,{{TAG:0007:0000:08000000}} j'ai vu un reportage sur ces
trucs à la téloche, l'autre jour !
{{TAG:0003:0000:}}C'est {{TAG:000E:0008:00CD0E0075006E0020006600610075007800140075006E00650020006600610075007300730065000000}}, pas vrai ?{{TAG:0007:0000:0F000000}} {{TAG:0003:0015:}}J'vois
pas c'que l'original ficherait chez
toi,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}...","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Eheh, {{TAG:0007:0000:08000000}}ne parlavano l'altro giorno
in TV!
{{TAG:0003:0000:}}Ma questo non è il quadro originale,
vero?{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} Sarà sicuramente una copia,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Hehe, {{TAG:0007:0000:08000000}}darüber hab ich 'ne Reportage
im Fernsehen gesehen!{{TAG:0003:0000:}}
{{TAG:0003:0028:}}Aber das ist kein Original, oder?
{{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Aa!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:0003:0025:}}Heh. {{TAG:0007:0000:08000000}}Geçen gün televizyonda bunlarla
ilgili özel bir haber görmüştüm!
{{TAG:0003:0000:}}Ama seninki gerçek değil, değil
mi?{{TAG:0007:0000:28000000}}{{TAG:0003:0015:}} Taklit, değil mi? {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
2,003,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
3,004,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
4,005,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
5,006,"{{TAG:0003:000F:}}Oh, {{TAG:0005:0008:}}! Do you play the
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:002B:}}I'd love to have some kind of
instrument at home{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}but I can't play
anything! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}¡Anda, {{TAG:0005:0008:}}! ¡Pero si tocas
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}!{{TAG:0000:0004:}}{{TAG:0003:002B:}}Ya, a mí me encantaría tener un
instrumento en casa, por eso de
que queda bonito{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¡Porque lo que es de tocar, no
tengo ni idea, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:14000000}}
Tu sais en jouer, {{TAG:0005:0008:}} ?{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} ?
{{TAG:0003:002B:}}Moi aussi, j'aimerais trop avoir un
instrument chez moi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} mais chuis
une vraie quiche en musique !","{{TAG:0003:000F:}}Oh, {{TAG:0005:0008:}}! Sai suonare
{{TAG:000E:0001:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:002B:}}Non mi dispiacerebbe avere
uno strumento musicale a casa.{{TAG:0007:0000:08000000}}
Anche se non so suonare...
... ho tanti amici musicisti io,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Oh, {{TAG:0005:0008:}}! Spielst du
{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}{{TAG:0003:002B:}}Also ich hätte gern 'ne fette
E-Gitarre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Nicht, dass ich die
spielen könnte! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:000F:}}Aa, {{TAG:0005:0008:}}! {{TAG:0011:0003:0000}} çalıyor
musun?{{TAG:0000:0004:}}{{TAG:0003:002B:}}Ben de evde bir enstrüman olsun
çok isterdim{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}ama hiçbir şey
çalamıyorum! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0010:}}Oh! You've got {{TAG:000E:0002:}} 
{{TAG:0011:0003:0000}}!{{TAG:0003:002B:}} Nice!{{TAG:0007:0000:08000000}}
It looks easy to use{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}¡Hala!{{TAG:0007:0000:14000000}} ¡Pero si tienes {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}!{{TAG:0003:002B:}} ¡Flipa!{{TAG:0007:0000:08000000}}
Pues no parece difícil de usar.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0010:}}Oh !{{TAG:0007:0000:14000000}} T'as {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} !{{TAG:0007:0000:14000000}} {{TAG:0003:002B:}}Classe !{{TAG:0007:0000:08000000}}
{{TAG:000E:0008:00CD040049006C00080045006C006C0065000000}} a l'air pratique{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0003:002B:}}
Non male!{{TAG:0007:0000:08000000}} Sembra facile
da usare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Oh! {{TAG:0007:0000:14000000}}Du hast ja {{TAG:000E:0008:00CD080027006E0065006E00060027006E0065000600650069006E00}}
{{TAG:0011:0003:0000}}!{{TAG:0003:002B:}} {{TAG:0007:0000:28000000}}Cool!{{TAG:0007:0000:08000000}}
Könnt ich eigentlich auch brauchen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0010:}}Aa! {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}'in var!{{TAG:0003:002B:}} Güzelmiş!{{TAG:0007:0000:08000000}}
Kullanması kolay görünüyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
7,008,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
8,009,"{{TAG:0003:0025:}}Whoa!{{TAG:0007:0000:28000000}} That's too much bed for just
one person!{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} I'm thinking it's {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, isn't it?{{TAG:0007:0000:14000000}}
I just saw it in a magazine!{{TAG:0007:0000:14000000}} Ya know,
you don't look it{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}but you've got a
lot of good taste! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}¡Ostras!{{TAG:0007:0000:28000000}} ¡Pedazo de cama! Cómo te
pasas, ¿no? ¡Que vives sol{{TAG:000E:0006:02006F0002006100}}!{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}}{{TAG:0000:0004:}}Oye, no será {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, ¿verdad?{{TAG:0007:0000:14000000}}
¡Es que el otro día vi un{{TAG:000E:0008:00CD02006F000200610002003000}} en la tele!{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Pues no lo parece{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡pero en el
fondo hasta tienes buen gusto!","{{TAG:0003:0025:}}Waouh !{{TAG:0007:0000:0F000000}} On doit pouvoir y pioncer à
huit, dans ce pieu !{{TAG:0000:0004:}}{{TAG:0003:0015:}}C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}},
pas vrai ?{{TAG:0007:0000:0F000000}} J'l'ai {{TAG:000E:0008:00CD04007600750006007600750065000000}} dans un
magazine !
Ma foi, tu caches bien ton jeu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
mais t'as l'œil pour les belles
choses,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:0025:}}Mamma mia!{{TAG:0007:0000:28000000}} Questo letto è troppo
grande per una persona sola!{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} È
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}, vero?
Era nell'ultimo numero della rivista
di arredamento più alla moda!{{TAG:0007:0000:14000000}}
A guardarti non si direbbe, ma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
... devo dire che hai dei gusti niente
male! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!","{{TAG:0003:0025:}}Boah!{{TAG:0007:0000:28000000}} Man könnte sagen, das ist
zu viel Bett für eine Person.{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Das ist
{{TAG:000E:0008:00CD040027006E00060027006E006500040027006E00}} {{TAG:0011:0003:0000}}, ne?{{TAG:0007:0000:14000000}}
Hab ich erst in 'ner Zeitschrift
gesehn!{{TAG:0007:0000:14000000}} Du siehst nicht danach aus,
aber{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} du hast echt Geschmack!","{{TAG:0003:0025:}}Vay!{{TAG:0007:0000:28000000}} Tek kişi için fazla büyük yatak
bu!{{TAG:0007:0000:14000000}}{{TAG:0003:0015:}} Sanırım bu {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, değil mi?{{TAG:0007:0000:14000000}}
Az önce dergide görmüştüm!{{TAG:0007:0000:14000000}} Doğrusu
dışarıdan pek belli etmiyorsun{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}ama
zevkin bayağı iyiymiş! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!"
9,010,{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}},{{TAG:0009:0004:46004700480049004A004B00}}
