Index,Label,EU_English,US_English,EU_French,US_French,EU_German,EU_Italian,EU_Spanish,US_Spanish,JP_Japanese,KR_Korean,Turkish,Status,Notes
0,AreaName000,Quilty Square,Quilty Square,Village feutré,Village feutré,Filzingen,Largo Trapunta,Plaza Edredón,Plaza Pliegos,キルトのまち,퀼트 거리,Yorgan Meydanı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
1,AreaName001,Grass Land,Grass Land,Contrée verte,Coin nature,Grasland,Toppa Erbosa,Verdalia,Pradolandia,グラスランド,초원 랜드,Çimen Diyarı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
2,AreaName002,Hot Land,Hot Land,Contrée du feu,Coin chaleur,Hitzland,Toppa Ardente,Aridia,Calorlandia,ホットランド,화염 랜드,Sıcak Diyar,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
3,AreaName003,Treat Land,Treat Land,Contrée plaisir,Coin bonheur,Hurraland,Toppa Sorpresa,Ilusia,Dulcilandia,ファンタジーランド,판타지 랜드,Şeker Diyarı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
4,AreaName004,Water Land,Water Land,Contrée océane,Coin de l'eau,Stoffstrand,Toppa Acquosa,Acuaria,Acualandia,ウォーターランド,워터 랜드,Su Diyarı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
5,AreaName005,Snow Land,Snow Land,Contrée blanche,Coin neige,Frostfadenheim,Toppa Glaciale,Nevadia,Frigolandia,スノーランド,스노 랜드,Kar Diyarı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
6,AreaName006,Space Land,Space Land,Contrée spatiale,Coin cosmos,Kosmoland,Toppa Cosmica,Cosmicia,Cosmolandia,スペースランド,스페이스 랜드,Uzay Diyarı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
7,AreaName007,Dream Land,Dream Land,Dream Land,Dream Land,Dream Land,Dream Land,Dream Land,Dream Land,プププランド,푸푸푸랜드,Rüya Diyarı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
8,AreaName008,Patch Plaza,Patch Plaza,Place feutrée,Place feutrée,Lager,Piazza Toppa,Terraza Parche,Plaza Parches,コレクションひろば,패치 광장,Yama Meydanı,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
9,AreaName009_00,Kirby's Flat,Kirby's Pad,Chez Kirby,Chez Kirby,Kirbys Wohnung,Casa di Kirby,Casa de Kirby,Hab. de Kirby,カービィのへや,커비네 집,Kirby'nin Dairesi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
10,AreaName009_01,Flat #101,Apt. #101 ,App. 101,App. 101,Wohnung 101,App. 101,Apt. 101,Apt. 101,101ごうしつ,101호,Daire #101,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
11,AreaName010_00,Zeke's Flat,Zeke,Chez Cachel,Cachel,Suchmichs Bude,Casa di Dino,Casa de Esquivín,Escompiter,クルリンのへや,숨바네 집,Zeke'in Dairesi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
12,AreaName010_01,Flat #102,Apt. #102 ,App. 102,App. 102,Wohnung 102,App. 102,Apt. 102,Apt. 102,102ごうしつ,102호,Daire #102,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
13,AreaName011_00,Beadrix's Flat,Beadrix,Chez Perlanne,Perlanne,Perlines Stube,Casa di Gemma,Casa de Cuentisa,Gemita,ビータンのへや,구스리네 집,Beadrix'in Evi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
14,AreaName011_01,Flat #201,Apt. #201 ,App. 201,App. 201,Wohnung 201,App. 201,Apt. 201,Apt. 201,201ごうしつ,201호,Daire #201,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
15,AreaName012_00,Carrie's Flat,Carrie,Chez Coquette,Coquette,Huckepaulas Loft,Casa di Pigretta,Casa de Carguita,Yevamé,コロンのへや,캐리네 집,Carrie'nin Evi,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
16,AreaName012_01,Flat #202,Apt. #202 ,App. 202,App. 202,Wohnung 202,App. 202,Apt. 202,Apt. 202,202ごうしつ,202호,Daire #202,FINAL_REVIEWED,EU metin yapısı korunarak 10 dil çapraz kontrol edildi; piksel genişliği denetlendi.
