label,index,deu,eng,esp,fra,ita,nld,tur
GodInfo_God001,0,Ein Löwengeist mit weißem Fell.\nGilt als unvorstellbar mächtig.,Said to conceal a power\nof the highest order.,Se dice que su poder\nes del más alto nivel.,A pris la forme d'un lion blanc.\nCacherait d'immenses pouvoirs...,Cela in sé poteri di altissimo\nlivello.,Lijkt op een witte leeuw en schijnt\neen grote kracht te verbergen.,En üst düzeyde bir gücü\niçinde sakladığı söylenir.
GodInfo_God002,1,Auch in erwachter Form freut er\nsich über ein gestriegeltes Fell.,Awakened form.\nReally enjoys a good\nbrushing now and again.,Forma avanzada.\nLe gusta que le cepillen\nel lomo de vez en cuando.,Apparence après récupération d'une\npartie de sa force. Adore les brushings.,Forma risvegliata. Ama molto\nfarsi spazzolare in continuazione.,De vorm na krachtherstel. Krijgt een\ngoed humeur door geaaid te worden.,Uyanmış hâli.\nArada sırada güzelce\nfırçalanmaya bayılır.
GodInfo_God003,2,"Erleuchtet und als Einziger fähig,\nGourai die Stirn zu bieten.",Ascendant form.\nThe only true match for Gourai.,Forma definitiva.\nEl único genio a la altura\nde Gourai.,"Sushinité ultime, capable d'affronter\nGourai. Sa légende traverse les âges.","La sua forma suprema, l'unica\nche può battere Gourai.",Kan het opnemen tegen Gourai en\nwordt ook wel legendarisch genoemd.,Yücelmiş hâli.\nGourai'nin tek gerçek dengi.
GodInfo_God004,3,Ähnelt einem Waschbären.\nGewissenhaft und kampfgestählt.,A pure fighter with serious\nattention to detail.,Es un guerrero de pura cepa que\na veces peca de tiquismiquis.,"A pris la forme d'un raton laveur.\nDistingué, aime ce qui est propre.",È uno spirito molto meticoloso.,"Lijkt op een wasbeer. Is een ernstige\nen openhartige krijger, én veeleisend.",Detaylara ciddi\nönem veren saf bir dövüşçü.
GodInfo_God005,4,"Feind aller Flecken. Wäscht alles,\nwas nicht rechtzeitig flüchtet.",Leaves no dirt uncleaned and\nwashes everything with water.,Está obsesionado con la limpieza\ny lava con agua todo lo que cae\nen sus manos.,Ne supporte pas la saleté et ne peut\ns'empêcher de tout laver à l'eau.,Deve pulire sempre tutto lavando\ncon l'acqua.,Kan geen vuiltje onopgeruimd\nlaten. Wast alles met water.,Gördüğü kiri bırakmaz;\nher şeyi suyla temizler.
GodInfo_God007,5,Sieht aus wie ein Kätzchen.\nGroßherzig und nie aufbrausend.,Ever magnanimous and\ndoesn't sweat the small stuff.,Es muy generoso y no se\nahoga en un vaso de agua.,"A pris la forme d'un chat.\nGénéreux, ne se prend pas la tête.",È generoso e sempre\nimperturbabile.,Lijkt op een kat. Is edelmoedig en\nvalt niet over onbelangrijke dingen.,Daima yüce gönüllüdür ve\nufak tefek şeylere takılmaz.
GodInfo_God008,6,"Verschenkt Sushi, bis jede Miene\nstrahlt und jeder Bauch voll ist.",Said to feed all good and\nsuffering folks with sushi\nuntil their bellies are full.,Se dice que sacia con sushi\nel hambre de los que sufren\ninjustamente.,Nourrit de sushis ceux qui\nsouffrent ou aident leur prochain.,Ama nutrire con il sushi le\npersone buone e in difficoltà.,Voedt hongerigen met sushi tot\nhun magen vol zijn.,İyi kalpli ve acı çeken herkesi\nkarınları doyana kadar suşiyle\nbeslediği söylenir.
GodInfo_God010,7,"Ein kleines Bärenwesen, in dem\nungeahnte Macht schlummert.",Its true power is hard\nto imagine from this form.,Su poder es mucho mayor\nde lo que parece.,A pris la forme d'un ours. Plus\npuissant qu'il n'en a l'air.,"Ha grande potere, anche se\nnon sembra.",Lijkt op een beer en heeft een\nkracht die je niet zou verwachten.,Bu hâline bakınca\ngerçek gücünü hayal etmek zor.
GodInfo_God011,8,„Alles oder nichts“ ist sein Motto.\nMacht niemals halbe Sachen.,Always gives its all and tries\nits best—doesn't understand\nthe meaning of halfway.,Siempre se emplea a fondo.\nLas medias tintas no son\nlo suyo.,Se donne à fond. Ne comprend\npas les mots « lâcher l'affaire ».,Dà sempre il massimo e non\nconosce le mezze misure.,"Geeft altijd alles, heeft geen\nbegrip voor luilakken.","Hep elinden geleni yapar,\nen iyisini dener—\nyarım yamalak ne demek bilmez."
GodInfo_God012,9,Stämmig wie ein Baum und stark\nwie schlimmster Bärenhunger.,"Rigid and sturdy. Mows down\nenemies, with footing as\nresilient as a large tree.",Un genio tan inflexible y robusto\ncomo el tronco de un gran árbol.,Rigide et austère. Ses membres\nsont aussi robustes que des arbres.,"Spirito forte e resistente, schiaccia\ni nemici come un grosso albero.",Stug en vastberaden. Maait ook\nvijanden zo sterk als een boom neer.,Sert ve dayanıklıdır. Kökleri\nkoca bir ağaç kadar sağlamdır;\ndüşmanları biçip geçer.
GodInfo_God013,10,Ähnelt einem Einhorn.\nVerstäubt beim Fliegen Glitter.,Emits floating sparkles\nwhen it runs.,"Cuando corre, deja una estela\nde partículas brillantes.","A pris la forme d'une licorne. Quand\nil trotte, laisse une traînée brillante.",Emette delle scintille quando\ncorre.,Ziet eruit als een eenhoorn. Lijkt bij\nhet rennen omringd te zijn door glitter.,Koşarken havada süzülen\nışıltılar saçar.
GodInfo_God014,11,"Mag äußerliche Schönheit, aber\nschätzt innere Werte noch mehr!",Has a sharp aesthetic sensibility\nyet believes inner beauty is\nmore important than external.,Su desarrollado sentido estético\nno le impide apreciar más la\nbelleza interior que la exterior.,Sens esthétique aigu. Préfère la\nbeauté intérieure à celle extérieure.,"Amante del bello, ma preferisce la\nbellezza interiore all'esteriore.",Heeft een verfijnde smaak. Vindt\nkarakter belangrijker dan uiterlijk.,"Keskin bir estetik anlayışı vardır,\nama iç güzelliğin\ndış görünüşten daha önemli olduğuna inanır."
GodInfo_God016,12,"Ähnelt einem kleinen Pinguin,\ntopmodisch mit Zylinderhut.",Known for its fanciful silk hat.,Se le reconoce enseguida\npor la chistera que lleva.,A pris la forme d'un manchot. Son\nchapeau tombe souvent sur le côté.,È noto per il suo caratteristico\ncappello.,Lijkt op een pinguïn en draagt\neen grote hoed.,Gösterişli ipek şapkasıyla tanınır.
GodInfo_God017,13,Ein tratschfroher Taschenspieler.\nVerrät gern (fast) all seine Tricks.,A magician that loves to talk.\nEnthusiastically discloses the\nsecrets of its tricks...it seems.,Un mago con tanto palique\nque suele acabar revelando\nel secreto de sus trucos.,Un magicien qui aime tant parler...\nqu'il révèle les secrets de ses tours.,Mago loquace che ama svelare\ni suoi trucchi... o così pare.,Een goochelaar die veel praat. Lijkt\ngraag goochelgeheimen te verklappen.,Konuşmayı seven bir sihirbazdır.\nNumaralarının sırlarını bile\nheyecanla anlatır... galiba.
GodInfo_God018,14,Elegant und stets bereit für\nrauschende Festlichkeiten.,Extravagant yet elegant.\nAlways willing to host\na lavish feast.,Tan elegante como manirroto.\nLe encanta tirar la casa por\nla ventana.,"Aussi élégant qu'extravagant,\ntoujours prêt à manger et s'amuser.","Spirito stravagante ma raffinato,\nsempre pronto a fare banchetti.",Buitensporig maar elegant. Altijd\nbereid een feestje te organiseren.,Gösterişli ama zariftir.\nŞatafatlı ziyafetlere\nev sahipliği yapmaya her zaman hazırdır.
GodInfo_God019,15,"Ähnelt einem Eulchen, komplett\nmit allerliebstem „Schuhu“-Ruf.",Likes to hoot.,Se pasa las noches ululando.,A pris la forme d'une chouette. Ses\n« hou ! » ne sont pas des soupirs.,Ama moltissimo bubolare.,"Lijkt op een uil en zegt vaak\n""oehoe"".",Hu hu demeyi sever.
