"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"pause","Duraklat","Pause","Pause","Pause","Pause","Pause","Pausa","Pausa","Pausa","ポーズ"
"pause_stop","Çık","Quit","Quit","Quitter","Quitter","Ende","Esci","Salir","Salir","やめる"
"pause_continue","Devam","Continue","Continue","Continuer","Continuer","Weiter","Continua","Continuar","Continuar","つづける"
"result_high_score","Yüksek Skor","High Score","High Score","Record","Record","Rekorde","Record","Récord","Récord","ハイスコア"
"result_high_score_1","1.","1st","1st","1er","1er","1.","1º ","1.º","1.º","１ばん"
"result_high_score_2","2.","2nd","2nd","2e","2e","2.","2º","2.º","2.º","２ばん"
"result_high_score_3","3.","3rd","3rd","3e","3e","3.","3º","3.º","3.º","３ばん"
"result_high_score_continue","Devam","Continue","Continue","Continuer","Continuer","Weiter","Continua","Continuar","Continuar","つづきから"
"result_high_score_restart","Baştan Başla","Start Over","Start Over","Rejouer","Rejouer","Von vorn","Ricomincia","Reintentar","Reintentar","やりなおす"
"result_high_score_stop","Çık","Quit","Quit","Quitter","Quitter","Ende","Esci","Salir","Salir","やめる"
"result_high_score_passing","Hedef tutturuldu!","Target hit!","Target hit!","Réussi !","Réussi!","Geschafft!","Superato!","¡Conseguido!","¡Conseguido!","ごうかく！"
"result_challenge_high_score","Yüksek Skor","High Score","High Score","Record","Record","Rekord","Record","Récord","Récord","ハイスコア"
"result_challenge_score","Skor","Score","Score","Score","Pointage","Punkte","Punteggio","Puntuación","Puntuación","スコア"
"result_challenge_timeattack_score_1","1","1","1","1","1","1","1","1.º","1.º","1"
"result_challenge_timeattack_score_2","2","2","2","2","2","2","2","2.º","2.º","2"
"result_challenge_timeattack_score_3","3","3","3","3","3","3","3","3.º","3.º","3"
"result_challenge_GamerMyroom"," x"," x"," x","x","x","x"," x"," x"," x","×"
"result_challenge_GamerMyroom2"," ="," ="," ="," ="," =","="," ="," ="," =","＝"
"result_challenge_continue","Yeniden oyna","Play Again","Play Again","Rejouer","Rejouer","Noch mal","Gioca di nuovo","Volver a jugar","Volver a jugar","もういちど あそぶ"
"result_challenge_stop1","Çık","Quit","Quit","Quitter","Quitter","Ende","Esci","Salir","Salir","やめる"
"cm_back_btn","Geri","Back","Back","Retour","Retour","Zurück","Indietro","Atrás","Atrás","もどる"
"cm_skip_btn","Atla","Skip","Skip","Passer","Passer","Weiter","Salta","Omitir","Omitir","スキップ"
"cm_help_btn","Yardım","Help","Help","Aide","Aide","Hilfe","Aiuto","Ayuda","Ayuda","ヘルプ"
"system_saving","Kaydediliyor...","Saving...","Saving...","Sauvegarde...","Sauvegarde...","Speichervorgang...","Salvataggio in corso...","Guardando...","Guardando...","セーブちゅう……"
"system_loading","Yükleniyor...","Loading...","Loading...","Chargement des données...","Chargement des données...","Ladevorgang...","Caricando i dati salvati...","Cargando datos...","Cargando datos...","セーブデータ よみこみちゅう……"
"system_delete","Siliniyor...","Deleting...","Deleting...","Effacement...","Effacement...","Löschvorgang...","Cancellazione dati in corso...","Borrando...","Borrando...","けしています……"
"system_nfp_reading","amiibo okunuyor...","Reading amiibo...","Reading amiibo...","Lecture de l'amiibo...","Lecture de l'amiibo...","amiibo wird gelesen...","Lettura amiibo in corso...","Leyendo datos de amiibo...","Leyendo datos de amiibo...","amiibo よみこみちゅう……"
