entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}So give me the grand tour!{{TAG:0007:0000:14000000}} I want to
see every room available!","{{TAG:0003:0001:}}¡Venga, enséñame lo que tengas!{{TAG:0007:0000:14000000}}
¡Quiero ver todas las habitaciones!","{{TAG:0003:0001:}}Fais-moi la totale !{{TAG:0007:0000:14000000}} Je ne veux pas
rater un centimètre carré de ton
intérieur !","{{TAG:0003:0001:}}Sono pronto alla visita guidata!{{TAG:0007:0000:14000000}}
Voglio vedere tutte le stanze!","{{TAG:0003:0001:}}Aber nichts auslassen in deinem
Palast, in Ordnung?{{TAG:0007:0000:14000000}} Ich will jedes
einzelne Zimmer sehen!","{{TAG:0003:0001:}}Hadi büyük turu başlat!{{TAG:0007:0000:14000000}} Açık olan bütün
odaları görmek istiyorum!"
1,002,"{{TAG:0003:0012:}}What's going on over here?{{TAG:0007:0000:28000000}} If you
don't organize your furniture a little
better, no one can get around!
{{TAG:0003:001C:}}Unless{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Is there a secret workout
area back there?","{{TAG:0003:0012:}}Pero ¿y esa entrada?{{TAG:0007:0000:28000000}} Si no colocas
un poco mejor tus cosas, ¡por ahí
no hay quien pase!
{{TAG:0003:001C:}}A no ser que{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Oye, ¿tienes alguna
puerta secreta a un gimnasio
privado o algo así?","{{TAG:0003:0012:}}Qu'est-ce qui se passe ici ?{{TAG:0007:0000:0F000000}} On ne
peut pas passer ?!{{TAG:0007:0000:0F000000}} {{TAG:0003:0000:}}Drôle de façon
d'aménager son intérieur...
{{TAG:0003:001C:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} À moins que tu ne cherches
à dissimuler quelque chose ?{{TAG:0007:0000:14000000}} Un
gymnase secret, peut-être ?","{{TAG:0003:0012:}}Che succede qui?{{TAG:0007:0000:28000000}} Se non metti
i mobili in modo diverso,
non si riesce a passare!
{{TAG:0003:001C:}}A meno che{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} tu non stia pensando
di allenarti in segreto lì dietro?","{{TAG:0003:0012:}}Was ist denn hier los?{{TAG:0007:0000:28000000}} Du musst
deinen Krempel besser hinstellen,
damit man überall hinkommt!
{{TAG:0003:001C:}}Oder{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} gibt es hier irgendwelche
geheimen Trainingsräume?!","{{TAG:0003:0012:}}Burada neler oluyor?{{TAG:0007:0000:28000000}} Mobilyaları biraz
daha düzenli koymazsan kimse geçemez!
{{TAG:0003:001C:}}Yoksa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Arkada gizli bir antrenman alanı mı var?"
2,003,"{{TAG:0003:0009:}}You've got stuff all over the place!{{TAG:0007:0000:14000000}}
It's actually kind of amazing{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}To be honest,{{TAG:0007:0000:14000000}} I prefer some clutter.{{TAG:0007:0000:14000000}}
It feels like home!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0009:}}¡Tienes cosas por todas partes!{{TAG:0007:0000:14000000}}
La verdad es que es flipante{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}Para serte sincero,{{TAG:0007:0000:14000000}} yo prefiero que
esté así de caótico.{{TAG:0007:0000:14000000}} ¡Me recuerda
a mi casa!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0009:}}Quel bazar, ma parole !{{TAG:0007:0000:14000000}} On se
croirait presque dans une décharge
publique{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}En toute honnêteté,{{TAG:0007:0000:14000000}} j'aime bien le
désordre.{{TAG:0007:0000:14000000}} Ça donne un côté vivant !{{TAG:0007:0000:0F000000}}{{TAG:0003:0025:}}","{{TAG:0003:0009:}}Hai un sacco di cose sparse!{{TAG:0007:0000:14000000}}
La trovo una cosa incredibile{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}A dire la verità,{{TAG:0007:0000:14000000}} preferisco
un po' di disordine.{{TAG:0007:0000:14000000}} Così si
capisce che la casa è abitata!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Das ist ja ein fieses Chaos hier!{{TAG:0007:0000:28000000}}{{TAG:0003:0001:}}
Ist fast 'ne sportliche Leistung{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ehrlich gesagt gefällt's mir hier gut!{{TAG:0007:0000:14000000}}
Etwas Unordnung muss auch sein.{{TAG:0007:0000:14000000}}
Dann fühl ich mich wie daheim!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:0009:}}Her yerde eşya var!{{TAG:0007:0000:14000000}} Aslında bayağı
etkileyici{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0002:}}Açık konuşayım,{{TAG:0007:0000:14000000}} biraz
dağınıklığı severim.{{TAG:0007:0000:14000000}}
İnsana evindeymiş gibi geliyor!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
3,004,"{{TAG:0003:000B:}}You have furniture facing the wall{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:001B:}}Is there a reason for that?","{{TAG:0003:000B:}}Tienes muebles de cara a la pared{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:001B:}}¿Hay algún motivo para hacer eso?","{{TAG:0003:000B:}}Ce meuble fait face au mur{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:001B:}}Il est
puni...?!","{{TAG:0003:000B:}}Hai un mobile rivolto verso il muro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:001B:}}C'è un motivo?","{{TAG:0003:000B:}}Huch...{{TAG:0007:0000:14000000}} Möbel stellt man doch nicht
mit der Vorderseite gegen die Wand!{{TAG:0007:0000:28000000}}
{{TAG:0003:001B:}}Oder hast du 'nen Grund dafür?","{{TAG:0003:000B:}}Mobilyaları duvara çevirmişsin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}}
{{TAG:0003:001B:}}Bunun özel bir nedeni var mı?"
4,005,"{{TAG:0003:000F:}}Whoa!{{TAG:0007:0000:14000000}} What's with this room!{{TAG:0000:0004:}}{{TAG:0003:0009:}}No bed, no table, no dresser{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Isn't that inconvenient?","{{TAG:0003:000F:}}¡Pero bueno!{{TAG:0007:0000:14000000}} ¿Qué pasa con
esta habitación?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ni cama, ni mesa, ni cómoda{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
¿Y puedes vivir aquí?","{{TAG:0003:000F:}}Euh...!{{TAG:0007:0000:14000000}} Qu'est-ce que ça veut dire ?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ni lit, ni table, ni armoire{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Ce n'est
plus du minimalisme à ce stade,
c'est de l'ascétisme !","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} Ma che stanza è questa!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Non c'è un letto, non c'è un tavolo,
non c'è una cassettiera{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Non
ti sembra che manchi qualcosa?","{{TAG:0003:000F:}}Wow!{{TAG:0007:0000:14000000}} Was ist denn hier los?!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Kein Bett, kein Tisch, kein Schrank{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Wie kann man hier nur leben?!","{{TAG:0003:000F:}}Oha!{{TAG:0007:0000:14000000}} Bu oda da ne böyle!{{TAG:0000:0004:}}{{TAG:0003:0009:}}Yatak yok, masa
yok, şifonyer yok{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Böyle yaşamak zor olmuyor mu?"
5,006,"{{TAG:0003:000F:}}Nice!{{TAG:0007:0000:28000000}} This place has everything!{{TAG:0000:0004:}}{{TAG:0003:0002:}}A person could totally{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}live here!{{TAG:0007:0000:28000000}}
Ha ha! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}¡Qué bien!{{TAG:0007:0000:28000000}} ¡Este sitio lo tiene todo!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Vamos, que yo podría{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡vivir aquí!{{TAG:0007:0000:28000000}}
¡Ja, ja! {{TAG:0007:0000:14000000}}¡{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Pas mal !{{TAG:0007:0000:14000000}} C'est bien équipé,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}} !{{TAG:0000:0004:}}{{TAG:0003:0002:}}On pourrait presque y vivre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Hé hé !{{TAG:0007:0000:0F000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Che bello!{{TAG:0007:0000:28000000}} C'è tutto qui!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Ci si potrebbe tranquillamente{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
vivere!{{TAG:0007:0000:28000000}} Ah ah! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Klasse!{{TAG:0007:0000:28000000}} Hier gibt's echt alles!{{TAG:0000:0004:}}{{TAG:0003:0002:}}Hier könnte man vielleicht sogar{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
leben!{{TAG:0007:0000:28000000}} Haha! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}","{{TAG:0003:000F:}}İşte bu!{{TAG:0007:0000:28000000}} Burada her şey var!{{TAG:0000:0004:}}{{TAG:0003:0002:}}İnsan burada
resmen{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}yaşar!{{TAG:0007:0000:28000000}}
Ha ha! {{TAG:0007:0000:14000000}}{{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:0003:0025:}}"
6,007,"{{TAG:0003:001B:}}Hold on a second here!{{TAG:0007:0000:14000000}} These walls
are totally bare!{{TAG:0000:0004:}}{{TAG:0003:0026:}}If you're having trouble reaching a
certain height, I can totally help you,
you know!","{{TAG:0003:001B:}}¡Espera un momento!{{TAG:0007:0000:14000000}} ¡No has
puesto nada en estas paredes!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Si te cuesta alcanzar una cierta
altura, yo puedo auparte
sin problemas.","{{TAG:0003:001B:}}Bah alors ?!{{TAG:0007:0000:14000000}} Ces murs sont comme...
nus ! C'est tristounet !{{TAG:0000:0004:}}{{TAG:0003:0026:}}Si tu as besoin d'aide pour
accrocher des babioles en hauteur,
n'hésite pas à me demander, hein !","{{TAG:0003:001B:}}Aspetta un attimo!{{TAG:0007:0000:14000000}} Questi muri
sono completamente spogli!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Se non riesci a raggiungere
i punti più alti, posso
aiutarti io!","{{TAG:0003:001B:}}Warte mal kurz!{{TAG:0007:0000:14000000}} Deine Wände...{{TAG:0007:0000:28000000}}
Die sind ja nackt!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Ich helfe dir gerne, wenn du zu
klein bist zum Tapezieren oder
Bilderaufhängen!","{{TAG:0003:001B:}}Bir dakika!{{TAG:0007:0000:14000000}} Bu duvarlar bomboş!{{TAG:0000:0004:}}{{TAG:0003:0026:}}Bir
yüksekliğe yetişemiyorsan haber ver,
seni kaldırırım!"
7,008,"{{TAG:0003:000F:}}Wow!{{TAG:0007:0000:28000000}} You've got a lot of things I've
never seen before.{{TAG:0000:0004:}}{{TAG:0003:0001:}}This must be your hall of treasures!","{{TAG:0003:000F:}}¡Vaya!{{TAG:0007:0000:28000000}} Tienes muchas cosas que
no había visto nunca.{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Esta debe de ser tu sala del tesoro!","{{TAG:0003:000F:}}Waouh !{{TAG:0007:0000:14000000}} D'où sortent tous ces
machins ? Certains me sont
totalement inconnus !
{{TAG:0003:0001:}}Une vraie caverne d'Ali Babar !","{{TAG:0003:000F:}}Uau!{{TAG:0007:0000:28000000}} Hai un sacco di cose
che non avevo mai visto.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Questa dev'essere la tua
stanza del tesoro!","{{TAG:0003:000F:}}Heiliges Hüpfseil!{{TAG:0007:0000:28000000}} Du hast echt viel
Zeug, das ich noch nie gesehen hab!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ist das hier 'ne Art Schatzkammer?","{{TAG:0003:000F:}}Vay!{{TAG:0007:0000:28000000}} Daha önce hiç görmediğim bir sürü
şeyin var.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Burası hazine salonun olmalı!"
8,009,"{{TAG:0003:000F:}}Wow!{{TAG:0007:0000:14000000}} There are a lot of expensive
things in here!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Let's pretend we're pro wrestlers 
and smash a bunch of stuff!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0002:}}Just kidding!{{TAG:0007:0000:14000000}} Did that make you
nervous?{{TAG:0007:0000:14000000}} Ha ha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}¡Vaya!{{TAG:0007:0000:14000000}} ¡Aquí hay un montón
de cosas caras!{{TAG:0000:0004:}}{{TAG:0003:0006:}}¡Hagamos un combate de lucha
libre y lancémonos de un lado
a otro, aunque se rompa algo!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0002:}}¡Era broma!{{TAG:0007:0000:14000000}} ¿Ya te había puesto
nervios{{TAG:000E:0006:02006F0002006100}}?{{TAG:0007:0000:14000000}} ¡Ja, ja!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Waouh !{{TAG:0007:0000:14000000}} Tu baignes dans le luxe, ma
parole !{{TAG:0000:0004:}}{{TAG:0003:0006:}}Ça me donne envie de jouer les
catcheurs et de tout ravager !{{TAG:0000:0004:}}{{TAG:0003:0002:}}Je blague, je blague !{{TAG:0007:0000:14000000}} Si tu avais vu
ta tête,{{TAG:0007:0000:14000000}} ha ha !{{TAG:0007:0000:0F000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Uau!{{TAG:0007:0000:14000000}} Ci sono un sacco
di cose costose qua dentro!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Facciamo finta di essere
dei lottatori professionisti
e distruggiamo un po' di cose!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0002:}}Stavo scherzando!{{TAG:0007:0000:14000000}} Hai avuto paura?{{TAG:0007:0000:14000000}}
Ah ah!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Heiliger Flatterball!{{TAG:0007:0000:14000000}} Die Sachen hier
sehen echt teuer aus!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Wollen wir hier Fußball spielen und
ein paar Sachen kaputtschießen?!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0002:}}War nur ein Witz!{{TAG:0007:0000:28000000}} Ist das 'ne
Zornesader auf deiner Stirn?{{TAG:0007:0000:14000000}}
Haha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Vay!{{TAG:0007:0000:14000000}} Burada bir sürü pahalı eşya
var!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Hadi profesyonel güreşçiymişiz
gibi davranıp birkaçını parçalayalım!{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:0002:}}Şaka
şaka!{{TAG:0007:0000:14000000}} Gerildin mi?{{TAG:0007:0000:14000000}} Ha ha!{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}"
9,010,"{{TAG:0003:0010:}}I like it!{{TAG:0007:0000:14000000}} You have a lot of extra
space here{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Yeah, {{TAG:0007:0000:08000000}}yeah!{{TAG:0007:0000:14000000}} Good spot to work out!","{{TAG:0003:0010:}}¡Me gusta!{{TAG:0007:0000:14000000}} Tienes mucho espacio
libre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}¡Eso, {{TAG:0007:0000:08000000}}eso!{{TAG:0007:0000:14000000}} ¡Es perfecto para hacer
ejercicio sin moverse de casa!","{{TAG:0003:0010:}}Sympa !{{TAG:0007:0000:14000000}} Tu disposes de beaucoup
d'espace{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}C'est parfait pour pratiquer tout un
tas d'exercices !","{{TAG:0003:0010:}}Mi piace!{{TAG:0007:0000:14000000}} Hai un sacco di spazio
vuoto qui{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Sì, {{TAG:0007:0000:08000000}}sì!{{TAG:0007:0000:14000000}} È il posto ideale per allenarsi!","{{TAG:0003:0010:}}Ich mag's hier!{{TAG:0007:0000:14000000}} Du hast viel Platz
in deiner Bude{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Ja...{{TAG:0007:0000:14000000}} Hier könnte man echt alles
Mögliche trainieren!","{{TAG:0003:0010:}}Sevdim!{{TAG:0007:0000:14000000}} Burada epey boş alan var{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0015:}}Evet,
{{TAG:0007:0000:08000000}}evet!{{TAG:0007:0000:14000000}} Antrenman için harika!"
