label,index,deu,eng,esp,fra,ita,nld,tur
CharaSerif_00_M,0,"Dein kleiner Freund hat echt mehr als eine\nSchraube locker. Na ja, nicht mein Problem.","Your little friend seems to have had a few\nscrews loose. Well, not my concern.","Tu amiguito está fatal de la cabeza,\nla verdad. Bueno, no es mi problema.","Ton petit copain... il lui manque une case,\nnon ? Enfin, ce ne sont pas mes affaires...","Il tuo amichetto non ha tutte le votelle\na posto, ma la cosa non mi viguavda.","Bij je kleine vriend zitten een paar schroefjes\nlos. Maar goed, dat is niet mijn probleem.","Küçük arkadaşının biraz\nvidaları gevşek gibi. Neyse, beni ilgilendirmez."
CharaSerif_00_F,1,,,,,,,
CharaSerif_01_M,2,"Jetzt kämpfen wir richtig, du und ich!\nUnd es sieht nicht gut für dich aus!","Now for the real bout... You and me!\nIt won't go well for you, I fear.",Vamos a lo que importa: el combate\ndefinitivo entre los dos. Lo siento por ti.,Passons aux choses sérieuses. À nous deux !\nJ'ai bien peur que tu y laisses des plumes...,La veva battaglia comincia ova... Te la vedvai\ncon me! E temo che non savai tu a vinceve.,"Zo, en nu gaan jij en ik vechten! Ik beloof\nje dat het niet goed zal aflopen voor je!",Şimdi asıl dövüş başlıyor... Sen ve ben!\nKorkarım senin için iyi bitmeyecek.
CharaSerif_01_F,3,,,Vamos a lo que importa: el combate\ndefinitivo entre las dos. Lo siento por ti.,,,,
CharaSerif_02_M,4,\u000E\u0000\u0002\u0002\u0096Aaah! Meine Augen!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Gah! My eyes!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096¡Ah! ¡No veo nada!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Aaah ! Mes yeux ! Mes yeux !\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Ah! I miei occhi!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Aaah! Mijn ogen!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Ah! Gözlerim!\u000E\u0000\u0002\u0002d
CharaSerif_02_F,5,,\u000E\u0000\u0002\u0002\u0096Gah! My eyes!\u000E\u0000\u0002\u0002d,,,,,\u000E\u0000\u0002\u0002\u0096Ah! Gözlerim!\u000E\u0000\u0002\u0002d
CharaSerif_03_M,6,Das hatte ich befürchtet.,I was afraid of this.,Me lo temía.,C'est ce que je craignais.,Proprio come temevo.,Hier was ik al bang voor.,Bundan korkuyordum.
CharaSerif_03_F,7,,,,,,,
CharaSerif_04_M,8,\u000E\u0000\u0002\u0002\u0096Hier ist das \u000E\u0000\u0003\u0004ﾑ＞Luxus-Licht\u000E\u0000\u0003\u0004\u0000＀!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Behold my \u000E\u0000\u0003\u0004ﾑ＞Luxury Flash\u000E\u0000\u0003\u0004\u0000＀!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096¡Alucina con mi \u000E\u0000\u0003\u0004ﾑ＞lujo cegador\u000E\u0000\u0003\u0004\u0000＀!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Voici mon \u000E\u0000\u0003\u0004ﾑ＞Éclair de luxe\u000E\u0000\u0003\u0004\u0000＀ !\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096È \u000E\u0000\u0003\u0004ﾑ＞Immunità lucente\u000E\u0000\u0003\u0004\u0000＀!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Maak kennis met \u000E\u0000\u0003\u0004ﾑ＞Luxebarrière\u000E\u0000\u0003\u0004\u0000＀!\u000E\u0000\u0002\u0002d,\u000E\u0000\u0002\u0002\u0096Şu \u000E\u0000\u0003\u0004ﾑ＞Lüks Parıltı\u000E\u0000\u0003\u0004\u0000＀'ma bak!\u000E\u0000\u0002\u0002d
CharaSerif_04_F,9,,,,,,,
