entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"Oh, is this delivery for me?{{TAG:0007:0000:14000000}} Sweet.","Así que tienes algo para mí, ¿eh?{{TAG:0007:0000:14000000}}
Pues mira qué bien...","Oh, tu as quelque chose pour moi ?{{TAG:0007:0000:14000000}}
Sympa.","Oh, una consegna per me?{{TAG:0007:0000:14000000}}
Che bello!","{{TAG:0003:0001:}}Oh, eine Lieferung für mich?{{TAG:0007:0000:14000000}} Toll!","Oo, bu teslimat bana mı?{{TAG:0007:0000:14000000}} Şahane."
1,002,"{{TAG:0003:0009:}}Wait—what?{{TAG:0007:0000:14000000}} So there's no delivery
then?","{{TAG:0003:0009:}}Pero... ¡un momento!{{TAG:0007:0000:14000000}} ¿Entonces
no hay ninguna entrega?","{{TAG:0003:0009:}}Hmm ?{{TAG:0007:0000:14000000}} Alors finalement, tu n'as
rien pour moi ? C'est quoi cette
histoire ?","{{TAG:0003:0009:}}Aspetta, cosa?{{TAG:0007:0000:14000000}}
Ah, non c'è niente per me?",{{TAG:0003:0009:}}Hä?{{TAG:0007:0000:14000000}} Gibt's doch nichts für mich?,"{{TAG:0003:0009:}}Dur... ne?{{TAG:0007:0000:14000000}} Yani bana bir şey
getirmedin mi?"
2,003,"Oh, wow!{{TAG:0007:0000:14000000}} It's from {{TAG:0011:0001:0100}}!","¡Huy, vaya!{{TAG:0007:0000:14000000}} ¡Es de {{TAG:0011:0001:0100}}!","Oh, trop cool !{{TAG:0007:0000:14000000}}
Ça vient {{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0011:0001:0100}} !","Oh, uau!{{TAG:0007:0000:14000000}} Me lo ha mandato
{{TAG:0011:0001:0100}}!","Ui, es ist von {{TAG:0011:0001:0100}}!",Vay{{TAG:0007:0000:14000000}}! {{TAG:0011:0001:0100}} göndermiş!
3,004,"Did {{TAG:0011:0001:0100}} send you to
apologize for {{TAG:000E:0008:01CD0600680069006D00060068006500720002003000}}?","¿Te ha enviado {{TAG:0011:0001:0100}}
a disculparte por {{TAG:000E:0008:01CD0400E9006C00080065006C006C00610002003000}}?","{{TAG:0011:0001:0100}} t'a {{TAG:000E:0006:0C0065006E0076006F007900E9000E0065006E0076006F007900E9006500}} pour
s'excuser pour {{TAG:000E:0008:01CD06006C0075006900080065006C006C00650002003000}} ?","{{TAG:0011:0001:0100}} ti ha mandato per
chiedermi scusa al posto suo?","Hat dich {{TAG:0011:0001:0100}} vorgeschickt,
damit {{TAG:000E:0008:01CD0400650072000600730069006500040065007300}} sich nicht selbst
entschuldigen muss?","{{TAG:0011:0001:0100}}, {{TAG:000E:0008:01CD0600680069006D00060068006500720002003000}} için özür dilemeye seni mi yolladı?"
4,005,"Oh, I think I know what this is.{{TAG:0007:0000:14000000}}
It's that thing I lent to {{TAG:0011:0001:0100}},
huh?","Ah, creo que sé qué es esto.{{TAG:0007:0000:14000000}}
Es lo que le presté a {{TAG:0011:0001:0100}},
¿no?","Hé hé ! Je crois savoir ce que c'est.{{TAG:0007:0000:14000000}}
C'est ce que j'avais prêté à
{{TAG:0011:0001:0100}}, c'est ça ?","Oh, credo di sapere cos'è.{{TAG:0007:0000:14000000}}
È quella cosa che avevo prestato
{{TAG:000E:0010:}} {{TAG:0011:0001:0100}}, vero?","Ah,{{TAG:0007:0000:08000000}} jetzt weiß ich, was das ist.{{TAG:0007:0000:14000000}}
Das ist bestimmt das Dingsbums,
das ich {{TAG:0011:0001:0100}} geliehen hatte!","Aa, galiba bunun ne olduğunu{{TAG:0007:0000:14000000}}
biliyorum. Bir süre önce {{TAG:0011:0001:0100}} ödünç
verdiğim şey, değil mi?"
5,006,"From {{TAG:0011:0001:0100}}?{{TAG:0007:0000:14000000}} I wonder what
this could be.","Huy, ¿me traes algo de parte
de {{TAG:0011:0001:0100}}? ¿Qué será?","Hein ? Tu dis que c'est un truc que
j'ai oublié chez {{TAG:0011:0001:0100}} ?","Cosa? Hai qualcosa da parte
di {{TAG:0011:0001:0100}}. Dici sul serio?","{{TAG:0003:0017:}}Von {{TAG:0011:0001:0100}}?{{TAG:0007:0000:14000000}} Was könnte das
bloß sein?",{{TAG:0011:0001:0100}}{{TAG:0007:0000:14000000}} mı göndermiş? İçinde ne var acaba.
6,007,"Oh, yeah?{{TAG:0007:0000:14000000}} A package for me was
mistakenly delivered to {{TAG:0011:0001:0100}}?","¿Ah, sí?{{TAG:0007:0000:14000000}} ¿Un paquete para mí
que le entregaron por error
a {{TAG:0011:0001:0100}}?","Oh ?{{TAG:0007:0000:14000000}} Tu dis que ce paquet a été
livré par erreur chez {{TAG:0011:0001:0100}} ?","Oh, sul serio?{{TAG:0007:0000:14000000}} Un pacco per me
è stato consegnato per sbaglio
{{TAG:000E:0010:}} {{TAG:0011:0001:0100}}?","Ach, echt?{{TAG:0007:0000:14000000}} Bei {{TAG:0011:0001:0100}} wurde
ein Paket für mich abgegeben?","Aa, öyle{{TAG:0007:0000:14000000}} mi? Benim paket
yanlışlıkla {{TAG:0011:0001:0100}} adresine mi gitmiş?"
7,008,"{{TAG:0003:0005:}}Yessss!{{TAG:0007:0000:14000000}} This has to be the thing I
asked {{TAG:0011:0001:0100}} to pick up for me!","{{TAG:0003:0005:}}¡Síiii!{{TAG:0007:0000:14000000}} ¡Es eso que le dije a
{{TAG:0011:0001:0100}} que me consiguiera!","{{TAG:0003:0005:}}Yessss !{{TAG:0007:0000:14000000}} Ce doit être ce que j'avais
demandé à {{TAG:0011:0001:0100}} d'aller
chercher pour moi !","{{TAG:0003:0005:}}Evvai!{{TAG:0007:0000:14000000}} In questo pacco deve esserci
quella cosa che ho chiesto
{{TAG:000E:0010:}} {{TAG:0011:0001:0100}} di prendere per me!","{{TAG:0003:0005:}}Juhuuu!{{TAG:0007:0000:14000000}} Das muss die Besorgung
sein, die {{TAG:0011:0001:0100}} für mich
machen sollte!","{{TAG:0003:0005:}}Eveet{{TAG:0007:0000:14000000}}! Bu kesin {{TAG:0011:0001:0100}} bulmasını
istediğim şey!"
8,009,"I wonder what's inside.{{TAG:0007:0000:14000000}} Let's take
a look!","Me pregunto qué habrá dentro.{{TAG:0007:0000:14000000}}
¡Vamos a echar un vistazo!","Je me demande ce qu'il y a dedans.{{TAG:0007:0000:14000000}}
Vite, ouvrons-le !","Chissà cosa c'è dentro?!{{TAG:0007:0000:14000000}}
Diamo un'occhiata!","Was könnte da nur drin sein?{{TAG:0007:0000:28000000}}
Da hilft nur eins:{{TAG:0007:0000:14000000}} aufmachen!",İçinde ne var acaba.{{TAG:0007:0000:14000000}}.. Hadi bakalım!
9,010,"{{TAG:0003:0001:}}Oh! {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
That's cool, I guess.","{{TAG:0003:0001:}}¡Oh! ¡{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Está bien, supongo.","{{TAG:0003:0001:}}Ça alors !
C'est {{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:28000000}}
C'est cool, enfin je crois.","{{TAG:0003:0001:}}Oh! {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Beh, niente male direi.","{{TAG:0003:0001:}}Oh, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!",{{TAG:0003:0001:}}Oo! {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}} Fena değilmiş.
10,011,"{{TAG:0003:0003:}}Awesome!{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
I like this color a lot.  ","{{TAG:0003:0003:}}¡Genial!{{TAG:0007:0000:14000000}} ¡Pero si es
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Me gusta mucho este color.","{{TAG:0003:0003:}}Trop cool !{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !{{TAG:0007:0000:28000000}}
J'adore sa couleur en plus.","{{TAG:0003:0003:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Miticooo! E poi questo colore
mi piace tantissimo!","{{TAG:0003:0003:}}Super, {{TAG:000E:0008:00CD0600650069006E000800650069006E0065000600650069006E00}} {{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Was für eine schicke Farbe!",{{TAG:0003:0003:}}Süper!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}} Bu renge bayıldım.
11,012,,,,,,
12,013,"{{TAG:0003:0003:}}Nice!{{TAG:0007:0000:14000000}}
{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
This is just the kind of thing I like.","{{TAG:0003:0003:}}¡Ah!{{TAG:0007:0000:14000000}} ¡{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Es justo el tipo de regalo que
me gusta.","{{TAG:0003:0003:}}{{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}} !
Trop cool !","{{TAG:0003:0003:}}Sì!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
Le cose di questo tipo
mi piacciono parecchio!","{{TAG:0003:0003:}}Toll, {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}}
{{TAG:000E:0008:00CD060044006500720006004400690065000600440061007300}} ist genau mein Geschmack.",{{TAG:0003:0003:}}Güzel!{{TAG:0007:0000:14000000}} {{TAG:000E:0003:}}{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}!{{TAG:0007:0000:28000000}} Tam sevdiğim türden.
13,014,"I'm surprised.{{TAG:0007:0000:14000000}} I didn't think
{{TAG:0011:0001:0100}} had any idea what I'm
into.","Vaya sorpresa.{{TAG:0007:0000:14000000}} No me esperaba
que {{TAG:0011:0001:0100}} tuviera idea
de lo que me gusta.","Dingue.{{TAG:0007:0000:14000000}} Je ne savais pas
{{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0100}} connaissait aussi
bien mes goûts.","Sono stupefatto.{{TAG:0007:0000:14000000}} Non pensavo che
{{TAG:0011:0001:0100}} conoscesse così bene
i miei gusti.","Ich hätte nicht gedacht, dass
{{TAG:0011:0001:0100}} weiß, was mir gefällt.","Şaşırdım{{TAG:0007:0000:14000000}}. {{TAG:0011:0001:0100}} nelerden hoşlandığımı
biliyor sanmazdım."
14,015,"{{TAG:0003:0004:}}I didn't think {{TAG:0011:0001:0100}} knew me
so well.","{{TAG:0003:0004:}}No sabía que {{TAG:0011:0001:0100}}
me conocía tan bien.","{{TAG:0003:0004:}}J'étais loin de me douter
{{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0100}} me connaissait
aussi bien que ça.","{{TAG:0003:0004:}}Non pensavo che {{TAG:0011:0001:0100}}
mi conoscesse così bene.",{{TAG:0003:0004:}}{{TAG:000E:0003:}}{{TAG:0011:0001:0100}} kennt mich richtig gut!,{{TAG:0003:0004:}}{{TAG:0011:0001:0100}} beni bu kadar iyi tanıyor muydu ya?
15,016,"{{TAG:0003:0004:}}I knew I could count on {{TAG:0011:0001:0100}}
to get me something that's exactly
my taste.","{{TAG:0003:0004:}}Sabía que podía contar con
{{TAG:0011:0001:0100}} para que me consiguiera
algo exactamente de mi gusto.","{{TAG:0003:0004:}}Je savais {{TAG:000E:000A:080071007500650020000600710075002700}}{{TAG:0011:0001:0100}}
connaissait mes goûts,
{{TAG:0005:0007:}}.","{{TAG:0003:0004:}}Sapevo che potevo contare su
{{TAG:0011:0001:0100}}. Ha scelto una cosa
perfetta per me!","{{TAG:0003:0004:}}Ich wusste doch, dass {{TAG:0011:0001:0100}}
mir mal was richtig Tolles schenken
würde!","{{TAG:0003:0004:}}{{TAG:0011:0001:0100}} zevkime tam uyan bir şey
bulacağına güvenmiştim zaten."
