entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"My secret dream is to own my own
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}And...{{TAG:0007:0000:14000000}}you've...{{TAG:0007:0000:14000000}}got...{{TAG:0007:0000:14000000}}EXACTLY THE
KIND I'M LOOKING FOR!!{{TAG:000A:0000:0404001200CD}}","Mi sueño secreto es tener mi propi{{TAG:000E:0008:00CD02006F000200610002003000}}
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Y...{{TAG:0007:0000:14000000}} tú...{{TAG:0007:0000:14000000}} tienes...{{TAG:0007:0000:14000000}} ¡¡¡EXACTAMENTE
LO QUE ESTABA BUSCANDO!!!{{TAG:000A:0000:0404001200CD}}","Un de mes rêves les plus fous serait
de posséder {{TAG:000E:0002:}}
{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:000F:}}{{TAG:0007:000B:}}Et{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} tu{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} as{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} EXACTEMENT LE
MODÈLE QU'IL ME FAUT !{{TAG:000A:0000:0404001200CD}}","Il mio sogno nel cassetto è avere
{{TAG:000E:0002:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}E tu...{{TAG:0007:0000:14000000}} hai... {{TAG:0007:0000:14000000}}ESATTAMENTE
QUELLO CHE CERCO!!!{{TAG:000A:0000:0404001200CD}}","{{TAG:000E:0008:00CD1600450069006E00200065006900670065006E00650072001600450069006E006500200065006900670065006E0065001600450069006E00200065006900670065006E0065007300}} {{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}
{{TAG:0000:0003:FFFF}}ist schon seit langer Zeit ein
geheimer Traum von mir.
{{TAG:0003:0027:}}Und zufällig hab ich gesehen, dass
du genau so {{TAG:000E:0008:00CD0A00650069006E0065006E000800650069006E0065000800650069006E007300}} hast!{{TAG:000A:0000:0404001200CD}}","Gizli hayalim kendi {{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}} sahibi
olmak.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000F:}}{{TAG:0007:000B:}}Ve...{{TAG:0007:0000:14000000}}sende...{{TAG:0007:0000:14000000}}tam...{{TAG:0007:0000:14000000}}ARADIĞIM
ŞEY VAR!!{{TAG:000A:0000:0404001200CD}}"
1,002,"{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} The rumors are true, I see!{{TAG:0000:0004:}}{{TAG:0003:0001:}}You're the proud owner of the
finest {{TAG:0011:0003:0000}} I've
ever seen!{{TAG:0009:0006:17001700170017001700170017001B00}}","{{TAG:0003:000F:}}¡Ah!{{TAG:0007:0000:14000000}} ¡Así que lo que decían
era verdad!{{TAG:0000:0004:}}{{TAG:0003:0001:}}¡Eres {{TAG:000E:0006:040065006C0004006C006100}} orgullos{{TAG:000E:0006:02006F0002006100}} poseedo{{TAG:000E:0006:02007200040072006100}} d{{TAG:000E:0008:00CD040065006C000800650020006C00610002003000}}
mejor {{TAG:0011:0003:0000}}
que he visto nunca!{{TAG:0009:0006:17001700170017001700170017001B00}}","{{TAG:0003:000F:}}Oh !{{TAG:0007:0000:14000000}} Les rumeurs étaient donc
fondées !{{TAG:0000:0004:}}{{TAG:0003:0001:}}Tu as en ta possession {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} de
compète. Quelle bonne pioche !{{TAG:0009:0006:17001700170017001700170017001B00}}","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} Quello che ho sentito dire
era vero!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Hai {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}
da fare invidia a chiunque!{{TAG:0009:0006:17001700170017001700170017001B00}}","{{TAG:0003:000F:}}Oh!{{TAG:0007:0000:14000000}} Es stimmt also tatsächlich!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Das ist wirklich {{TAG:000E:0001:}}schönste
{{TAG:0011:0003:0000}}, {{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} ich
je gesehen hab!{{TAG:0009:0006:17001700170017001700170017001B00}}","{{TAG:0003:000F:}}Oha!{{TAG:0007:0000:14000000}} Demek söylentiler
doğruymuş!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Gördüğüm en şahane
{{TAG:0011:0003:0000}} seninmiş!{{TAG:0009:0006:17001700170017001700170017001B00}}"
2,003,"{{TAG:0003:0006:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} I can see it{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} The aura that
flows around you, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0020:}}It says{{TAG:0007:0000:28000000}} ""{{TAG:0011:0003:0000}}""!{{TAG:0008:0005:2200150021000000}}
It speaks the truth!
You're imagining things! ","{{TAG:0003:0006:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Puedo ver{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡el aura
que te envuelve, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Y dice...{{TAG:0007:0000:28000000}} ""¡Tengo que vender
est{{TAG:000E:0008:00CD020065000200610002003000}} {{TAG:0011:0003:0000}}!""{{TAG:0008:0005:2200150021000000}}
¡El aura tiene razón!
¡Te lo has inventado!","{{TAG:0003:0006:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Je la vois{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Je parle de cette
aura qui t'enveloppe, {{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:0020:}}Elle semble dire :{{TAG:0007:0000:28000000}} « J'ai {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}} ! »{{TAG:0008:0005:2200150021000000}}
Bien vu !
T'hallucines !","{{TAG:0003:0006:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Riesco a vedere{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} l'aura
che ti circonda, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Sembra dire:{{TAG:0007:0000:28000000}}
""{{TAG:0011:0003:0000}}!"".{{TAG:0008:0005:2200150021000000}}
Dice la verità!
Hai troppa fantasia!","{{TAG:0003:0006:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}! {{TAG:0007:0000:28000000}}Ist das etwa {{TAG:000E:0002:}}
{{TAG:0011:0003:0000}}, {{TAG:000E:0008:00CD0600640065006E0006006400690065000600640061007300}} ich da
in deiner Tasche aufblitzen sehe!{{TAG:0008:0005:2200150021000000}}
Richtig gesehen!
Du halluzinierst! ","{{TAG:0003:0006:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Görüyorum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Etrafında dolaşan
o aura, {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0020:}}Şöyle diyor:{{TAG:0007:0000:28000000}} ""{{TAG:0011:0003:0000}}""!{{TAG:0008:0005:2200150021000000}}
Doğru söylüyor!
Hayal görüyorsun!"
3,004,"{{TAG:0003:000D:}}I am begging you, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}} Sell
me my dream!{{TAG:0008:0005:0500000008002800}}
Name a price.
Go away.","{{TAG:0003:000D:}}Te lo pido de rodillas, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}}
¡Véndeme mi sueño!{{TAG:0008:0005:0500000008002800}}
¿Cuánto ofreces?
Déjame en paz","{{TAG:0003:000D:}}Je t'en supplie, {{TAG:0005:0008:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Réalise
mon rêve !{{TAG:0008:0005:0500000008002800}}
Dis un prix.
Va rêver ailleurs.","{{TAG:0003:000D:}}Ti prego, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}} Vendimi
quello che ho sempre sognato!{{TAG:0008:0005:0500000008002800}}
Fammi un'offerta.
Lasciami stare.","{{TAG:0003:000D:}}Ich bitte dich, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}}
Verkauf mir meinen Traum!{{TAG:0008:0005:0500000008002800}}
Wie viel bietest du?
Warum sollte ich?","{{TAG:0003:000D:}}Sana yalvarıyorum, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}} Hayalimi bana sat!{{TAG:0008:0005:0500000008002800}}
Fiyat söyle.
Uzak dur."
4,005,"{{TAG:0007:000D:}}{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}How would you feel about
{{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}} Bells{{TAG:0000:0003:FFFF}}?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0600150009002800}}
Yeah, that's fine.
I can't do that.","{{TAG:0007:000D:}}{{TAG:0003:000B:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}¿Te parece bien si te pago
{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}} bayas{{TAG:0000:0003:FFFF}}?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0600150009002800}}
Sí, me parece bien
No va a poder ser","{{TAG:0007:000D:}}{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}Si je t'en propose {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}}
clochettes{{TAG:0000:0003:FFFF}}, ça te va ?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0600150009002800}}
Ça fera l'affaire.
Ça va pas le faire.","{{TAG:0003:000B:}}Mmmh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}Che ne diresti di {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}}
stelline{{TAG:0000:0003:FFFF}}?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0600150009002800}}
Sì, va bene.
Non posso accettare.","{{TAG:0007:000D:}}{{TAG:0003:000B:}}Hmmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}Was hältst du von
{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}} Sternis{{TAG:0000:0003:FFFF}}?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0600150009002800}}
Klingt gut.
Zu wenig.","{{TAG:0007:000D:}}{{TAG:0003:000B:}}Hmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:28000000}} {{TAG:0003:0017:}}{{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}} Bell{{TAG:0000:0003:FFFF}} desem nasıl hissedersin?{{TAG:000D:0008:02CD}}{{TAG:0008:0005:0600150009002800}}
Olur.
Yapamam."
5,006,"{{TAG:0003:0026:}}Sweet! I knew you were cool.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Here you go! Your {{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}} Bells{{TAG:0000:0003:FFFF}},
my shrewd-dealing friend!","{{TAG:0003:0026:}}¡Mola! ¡Sabía que eras u{{TAG:000E:0006:02006E0004006E006100}} tí{{TAG:000E:0006:02006F0002006100}} guay!
{{TAG:0003:0001:}}¡Aquí tienes tus {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}} bayas{{TAG:0000:0003:FFFF}},
re{{TAG:000E:0006:02007900060069006E006100}} del trapicheo!","{{TAG:0003:0026:}}Mortel, {{TAG:0005:0008:}} !
T'es vraiment un{{TAG:000E:0006:000002006500}} chic {{TAG:000E:0006:080074007900700065000A00660069006C006C006500}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Tiens ! {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}} clochettes{{TAG:0000:0003:FFFF}}, comme
convenu,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0026:}}Grande! Sapevo che eri
{{TAG:000E:0006:1C0075006E0020007400690070006F002000670069007500730074006F001E0075006E006100200074006900700061002000670069007500730074006100}}.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Ecco qui! Le tue {{TAG:0000:0003:0200}}{{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}}{{TAG:0000:0003:0200}} stelline{{TAG:0000:0003:FFFF}},
amic{{TAG:000E:0006:02006F0002006100}}! Tu sì che sai concludere
un affare!","{{TAG:0003:0026:}}Ich wusste doch, dass du ein
Näschen für gute Geschäfte
hast, {{TAG:0005:0008:}}.
{{TAG:0003:0001:}}Hier hast du deine {{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}} Sternis{{TAG:0000:0003:FFFF}}!
","{{TAG:0003:0026:}}Süper! Havalı biri olduğunu
biliyordum.{{TAG:0000:0004:}}{{TAG:0003:0001:}}Al bakalım! {{TAG:0000:0003:0200}}{{TAG:0004:000B:0400}} Bell{{TAG:0000:0003:FFFF}} senin,
sıkı pazarlıkçı dostum!"
6,007,"{{TAG:0003:0001:}}Thank you, thank you, thank you!{{TAG:0007:0000:14000000}}
You're a good pal, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}¡Gracias, gracias y
requetegracias!{{TAG:0007:0000:14000000}} ¡Eres
u{{TAG:000E:0006:02006E0004006E006100}} supercoleg{{TAG:000E:0006:0400F3006E00040075006900}}, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Un grand merci à toi, {{TAG:0005:0008:}} !","{{TAG:0003:0001:}}Grazie, grazie e... ancora grazie!{{TAG:0007:0000:14000000}}
Sei {{TAG:000E:0006:1A0075006E0020007600650072006F00200061006D00690063006F001C0075006E00610020007600650072006100200061006D00690063006100}}, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Danke, danke, danke!{{TAG:0007:0000:14000000}}
Echt nett von dir, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Teşekkürler, teşekkürler, teşekkürler!{{TAG:0007:0000:14000000}}
İyi dostsun, {{TAG:0005:0008:}}!"
7,008,{{TAG:0009:0002:0900090009000A00}},{{TAG:0009:0002:0900090009000A00}},{{TAG:0009:0002:0900090009000A00}},{{TAG:0009:0002:0900090009000A00}},{{TAG:0009:0002:0900090009000A00}},{{TAG:0009:0002:0900090009000A00}}
8,009,"{{TAG:0003:0029:}}Gaaah!{{TAG:0007:0000:08000000}} Well, if that's how you feel
about it,{{TAG:0007:0000:14000000}} I think we're done here,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0029:}}¡Ay, {{TAG:0005:0007:}}!{{TAG:0007:0000:08000000}} Si eso es lo que
opinas del tema, mejor lo dejamos.","{{TAG:0003:0029:}}Argh !{{TAG:0007:0000:08000000}} Bon, j'ai compris.{{TAG:0007:0000:14000000}} Même si
j'insiste, tu ne plieras pas,
{{TAG:0005:0007:}}.","{{TAG:0003:0029:}}Ah!{{TAG:0007:0000:08000000}} Beh, se la pensi così,{{TAG:0007:0000:14000000}}
credo proprio non ci sia altro
da dire, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0029:}}Oh Mann!{{TAG:0007:0000:14000000}} Na ja, ich kann dich wohl
schlecht zwingen, mir meinen Traum
zu erfüllen, {{TAG:0005:0007:}}.","{{TAG:0003:0029:}}Aaah!{{TAG:0007:0000:08000000}} Madem böyle hissediyorsun,{{TAG:0007:0000:14000000}} burada
işimiz bitti, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}."
9,010,"{{TAG:0003:000D:}}No way!{{TAG:0007:0000:08000000}} I finally found what I want,
so I'm not giving up that easily!{{TAG:0007:0000:28000000}}
{{TAG:0007:000B:}}I want it!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} I want it!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} I want it!{{TAG:0008:0005:0C0000000B000000}}
OK, OK... Big baby.
No chance, whiner!","{{TAG:0003:000D:}}¡Ni hablar!{{TAG:0007:0000:08000000}} Una vez que encuentras
lo que quieres, ¡tienes que hacer
LO QUE SEA para conseguirlo!{{TAG:0007:0000:28000000}}
{{TAG:0007:000B:}}¡Dámelo!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} ¡Dámelooo!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} ¡Dámelooooo!{{TAG:0008:0005:0C0000000B000000}}
Vale, infantilón
¡Que no, y cállate!","{{TAG:0003:0028:}}J'crois pas, non.{{TAG:0007:0000:08000000}} Si tu penses que je
vais renoncer si facilement, tu te
fourres le doigt dans l'œil !{{TAG:0007:0000:28000000}}
{{TAG:0007:000B:}}Allez !{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} Allez !{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} Allez !{{TAG:0008:0005:0C0000000B000000}}
OK, t'as gagné.
Ouste !","{{TAG:0003:000D:}}Non ci sto!{{TAG:0007:0000:08000000}} Ho finalmente trovato
quello che volevo!{{TAG:0007:0000:28000000}} Non mi darò per
vinto facilmente!{{TAG:0000:0004:}}{{TAG:0007:000B:}}Dai!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} Dai!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} Daiii!{{TAG:0008:0005:0C0000000B000000}}
OK, OK... Hai vinto tu.
No, no e no!","{{TAG:0003:000D:}}Aber du hast genau das, was ich
will!{{TAG:0007:0000:14000000}} So schnell gebe ich nicht auf!{{TAG:0007:0000:28000000}}
{{TAG:0007:000B:}}Bitte!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} Bitte!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} Bitte!{{TAG:0008:0005:0C0000000B002800}}
Ja, ja... Ist ja gut!
Keine Chance!","{{TAG:0003:000D:}}Olmaz!{{TAG:0007:0000:08000000}} Sonunda istediğim şeyi buldum,
o kadar kolay vazgeçmem!{{TAG:0007:0000:28000000}} {{TAG:0007:000B:}}İstiyorum!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}}
İstiyorum!{{TAG:0007:0000:14000000}}{{TAG:0007:000B:}} İSTİYORUM!{{TAG:0008:0005:0C0000000B000000}}
Tamam, tamam... Bebek.
Şansın yok, mızmız!"
