file,index,label,English,German,Spanish,French,Italian,Turkish,official_max_lines,official_max_px,turkish_lines,turkish_max_px,fit_ratio,fit_status,control_status,translation_status,translator_note
autumn.msbt,0,Button_,,,,,,,1,0,0,0,0.000,EMPTY,OK,EMPTY,
autumn.msbt,1,B_Back,Back,⟦TAG:0002:0000:3C00⟧Zurück⟦END:0002:0000⟧,Atrás,Retour,⟦TAG:0002:0000:3E00⟧Indietro⟦END:0002:0000⟧,Geri,1,112,1,58,0.518,OK,OK,REUSED_PULLBLOX,
autumn.msbt,2,B_Select,Select,Wählen,Elegir,Sélectionner,Seleziona,Seç,1,173,1,46,0.266,OK,OK,REUSED_PULLBLOX,
autumn.msbt,3,B_Play,Play,Spielen,Jugar,Jouer,Gioca,Oyna,1,100,1,73,0.730,OK,OK,REUSED_PULLBLOX,
autumn.msbt,4,B_Edit,Edit,Ändern,Editar,Éditer,⟦TAG:0002:0000:3E00⟧Modifica⟦END:0002:0000⟧,Düzenle,1,121,1,108,0.893,OK,OK,REUSED_PULLBLOX,
autumn.msbt,5,B_Del,Delete,⟦TAG:0002:0000:3600⟧Löschen⟦END:0002:0000⟧,Borrar,Effacer,⟦TAG:0002:0000:3D00⟧Cancella⟦END:0002:0000⟧,Sil,1,116,1,34,0.293,OK,OK,REUSED_PULLBLOX,
autumn.msbt,6,B_New,New,Neu,Crear,Nouveau,Crea nuovo,Yeni,1,150,1,60,0.400,OK,OK,REUSED_PULLBLOX,
autumn.msbt,7,B_QrRead,⟦TAG:0002:0000:3800⟧Read QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3300⟧QR Code einlesen⟦END:0002:0000⟧,⟦TAG:0002:0000:3800⟧Leer QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3C00⟧Lire QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3700⟧Leggi QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3800⟧QR Kodu Oku⟦END:0002:0000⟧,1,230,1,177,0.770,OK,OK,REUSED_PULLBLOX,
autumn.msbt,8,B_QrCreate,⟦TAG:0002:0000:3200⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3200⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3200⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3200⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3200⟧QR Code⟦END:0002:0000⟧,⟦TAG:0002:0000:3200⟧QR Kodu⟦END:0002:0000⟧,1,111,1,115,1.036,REVIEW,OK,REUSED_PULLBLOX,
autumn.msbt,9,B_EditName,Name,Name,Nombre,Nom,Nome,Ad,1,104,1,40,0.385,OK,OK,REUSED_PULLBLOX,
autumn.msbt,10,B_EditLevel,Level,Level,Nivel,Niveau,⟦TAG:0002:0000:4000⟧Difficoltà⟦END:0002:0000⟧,Seviye,1,134,1,89,0.664,OK,OK,REUSED_PULLBLOX,
autumn.msbt,11,B_EditTry,Test,Test,Probar,Tester,Prova,Dene,1,94,1,68,0.723,OK,OK,REUSED_PULLBLOX,
autumn.msbt,12,B_EditCall,Copy,⟦TAG:0002:0000:3500⟧Kopieren⟦END:0002:0000⟧,Copiar,Copier,Copia,Kopyala,1,123,1,113,0.919,OK,OK,REUSED_PULLBLOX,
autumn.msbt,13,B_EditHelp,Help,Hilfe,Ayuda,Aide,Aiuto,Yardım,1,90,1,97,1.078,REVIEW,OK,REUSED_PULLBLOX,
autumn.msbt,14,B_EditSave,Done,Fertig,¡Ya!,Fini,Fine,Bitti,1,85,1,63,0.741,OK,OK,REUSED_PULLBLOX,
autumn.msbt,15,B_EditCol_00,Confirm,OK,Aceptar,OK,OK,Onayla,1,115,1,100,0.870,OK,OK,REUSED_PULLBLOX,
