entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"A change of décor can
change so much more. It's
like a redesign for your mind.

What do you think of this
wallpaper?","A veces viene bien redecorar
un poco la casa. Es como si
redecorases también la
mente.
¿Te gusta este
papel de pared?","Modifier son intérieur peut
changer beaucoup de choses,
c'est comme si on redécorait
son esprit...

Tu aimes ce papier peint ?","un cambio di arredamento
è una ventata d'aria fresca
per la casa e per la mente.

Cosa ne pensi di questa
carta da parati?","Die Wohnung ab und an mal
neu einzurichten tut der
Seele gut.

Was hältst du von dieser
Tapete?","Evde küçük bir değişiklik bazen
insanın içini de yeniler.

Bu duvar kâğıdına ne dersin?"
1,002,"I hear your home is
expanding!

Use this to fill some of
your new space.","Me ha dicho un pajarito que
tu casa es algo más grande.

Con esto que te mando, 
seguro que aprovechas
mejor todo ese espacio.","Il paraît que tu as agrandi
ta maison ?

Voilà de quoi « meubler »
ton nouvel espace, hi hi !","ho sentito dire che casa tua
adesso è più grande!

Visto che ora hai più spazio,
sfruttalo con questo regalo.","Du hast also wirklich
angebaut?

Vielleicht kannst du
das hier jetzt irgendwo
unterbringen!","Evin büyüyormuş diye duydum!

Yeni alanı doldurmanda işe yarar
diye bunu gönderiyorum."
2,003,"If I know you, you're not
bundling up nearly enough.

Put this on! It'll keep you
nice and warm, and it'll help
your mom sleep easier.","Te conozco bien y sé que
no te abrigas lo suficiente.

¡Ponte esto! Seguro que así
no te resfrías, y yo podré
dormir mucho más tranquila.","Telle que je te connais, je
doute que tu t'emmitoufles
assez !
Porte ça ! Ça t'évitera
d'attraper froid, et moi, je
dormirai l'esprit tranquille...","so che non ti stai coprendo
abbastanza questo inverno.
Conosco i miei polli!

Usa questo regalo, così
dormirò sonni tranquilli.","Wie ich dich kenne, läufst du
sicher viel zu leicht bekleidet
herum!
Hier ist was Warmes, damit
ich mir nicht so viel Sorgen
um dich machen muss.","Seni tanıyorsam yine yeterince
kalın giyinmiyorsundur.

Şunu giy de sıcacık kal. Annenin
de içi rahat etsin."
3,004,"A nice little knit cap just like
Mom used to make.

I am your mom, after all.
Stay warm this winter!","Un gorrito de lana bien
calentito de los de toda
la vida.
Para eso estamos las
madres, ¿no? ¡Abrígate!","Un joli petit bonnet cousu
avec amour par ta vieille
maman...

Et l'hiver n'a qu'à bien se
tenir !","tieni la testa al caldo
questo inverno!

Ho fatto questo regalo
con le mie stesse mani.","Ich habe mal wieder
gestrickt. Herausgekommen
ist diese Mütze.

Denk dran, die Ohren warm
zu halten ist das Wichtigste!","Annenin eskiden yaptığı gibi
sıcacık bir örgü bere.

Sonuçta annen benim. Bu kış
üşütme sakın!"
4,005,"A fresh new look for the
new, summer you.

There are no sleeves, so
you'll stay cool!","Te mando una cosita de lo
más veraniega.

No tiene mangas, así que
te irá de perlas para no
pasar calor.","Un nouveau look étincelant
comme le soleil d'été pour
mon petit trésor !
J'ai pris quelque chose sans
manches pour être sûre que
tu n'aies pas trop chaud !","con questo regalo, farai
un figurone quest'estate!

È fresco e sbarazzino,
proprio come te!","Wie wäre es mit diesem
Look für den Sommer?

Sollte luftig genug sein,
dass du nicht so schwitzen
musst!","Yaza yepyeni bir sen yakışır!

Kolsuz olduğu için serin de
tutacaktır."
5,006,"This is the year I finally wear
a camisole.

Your father's going to fall
for me all over again! ","Este año he decidido
rescatar mis viejas
camisolas.

Es curioso... ¡pero me siento
mucho más joven! ","Je me suis enfin décidée à
porter des débardeurs...

Ton père va perdre la tête
une deuxième fois ! ","quest'anno ho deciso
di ricominciare a usare
gli scamiciati.

Farò perdere la testa a tuo
padre una seconda volta! ","Ich habe mir ein neues
Trägertop für den
Sommer gekauft.

Dein Vater ist hin
und weg! ","Bu yıl nihayet atlet giyeceğim.

Baban bana baştan âşık olacak,
görürsün! "
6,007,"When you were little, I'd
always come and get you if
it was raining.

Right now I can't be there
for you, though.","Cuando eras peque, siempre
iba a buscarte al cole los
días de lluvia.

Es una pena que hoy no
pueda hacerlo.","Quand tu étais petit{{TAG:000E:0006:000002006500}}, je te
prenais toujours sous un pan
de mon manteau pour te
protéger de la pluie... Mais je
ne peux plus le faire, alors je
t'envoie ça à la place !","quando andavi a scuola,
venivo sempre a prenderti
quando pioveva.

Adesso, però, non posso più
farlo. Quindi tieni questo!","Weißt du noch, wie ich dich
manchmal mit Regenschirm
von der Schule abgeholt
habe, wenn es unerwartet
geregnet hat? Jetzt musst du
selber an den Schirm denken.","Küçükken yağmur yağınca gelip
seni hep ben alırdım.

Şimdi yanında olamıyorum ya,
içim biraz burkuluyor."
7,008,"Sometimes I drop into
bakeries to get out of the
rain.

I always end up buying too
many donuts.","Cuando llueve mucho, suelo
entrar en una tienda para
guarecerme.

¡Al final siempre vuelvo a
casa cargada de bolsas!","Quand il tombe des cordes,
j'aime bien me réfugier dans
une boulangerie...
Quitte à prendre patience,
autant le faire en dégustant
des croissants tout chauds !","a volte, per ripararmi da
un acquazzone improvviso,
entro in pasticceria.

Finisco sempre per uscire
con vassoiate di dolcini!","Bei Regen flüchte ich mich
immer in Buchläden.
Meistens kaufe ich dann
auch was.
Als hätten die den Regen
bestellt!","Bazen yağmurdan kaçmak için
pastanelere sığınıyorum.

Sonra da gereğinden fazla çörek
alıp çıkıyorum!"
8,009,"Did you brush your teeth?
Comb your hair? Wash your
face?

Have you made yourself
presentable?","¿Te has lavado los dientes?
¿Te has cortado las uñas?
¿Y te has peinado?

¡Procura estar siempre
presentable!","Tu t'es bien lavé les dents ?
Tu as bien peigné tes
cheveux ? Tu t'es bien
nettoyé la binette ?
C'est très important de
soigner son apparence !","ti lavi i denti? Ti pettini
sempre? Ti tagli le unghie?

Insomma, cerca di essere
sempre presentabile!","Putzt du dir auch immer
schön die Zähne? Wäschst du
dich hinter den Ohren?
Und vor allem: Kämmst du
dir immer fleißig die Haare? ","Dişlerini fırçaladın mı? Saçını
taradın mı? Yüzünü yıkadın mı?

Kendine çeki düzen verdin mi?"
9,010,"I got a fancy perm down at
the salon.

But your dad thought it
was bed head.","Ayer fui a la peluquería y me
hicieron la permanente.

¡Tu padre no me reconoció
cuando llegué a casa!","Je me suis fait faire une
permanente qui m'a coûté
une fortune chez le coiffeur.
Et ton père a cru que j'avais
mis mes bigoudis pour aller
me coucher !","mi sono fatta fare una bella
permanente dal parrucchiere.

Solo che tuo padre pensava
che mi fossi appena alzata
dal letto.","Ich hab mir letztens die
Haare nach der neuesten
Mode machen lassen!
Dein Vater dachte, ich hätte
vergessen, mich nach dem
Aufstehen zu kämmen...","Kuaförde kendime havalı bir perma
yaptırdım.

Baban 'uykudan yeni mi kalktın?'
diye sordu!"
