entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}}Hey. I was waiting for you guys!{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0008:}} and {{TAG:0011:0001:0100}}!
{{TAG:0003:0015:}}Nice to see you at last!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡Hola, {{TAG:0005:0008:}}!
¡Hola, {{TAG:0011:0001:0100}}!
Os estaba esperando.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Ah, {{TAG:0005:0000:}} et {{TAG:0011:0001:0100}} ! Vous
voilà, les amis !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Eh eh!{{TAG:0007:0000:08000000}} Hola, {{TAG:0005:0008:}}
{{TAG:000E:0011:}} {{TAG:0011:0001:0100}}! Vi stavo aspettando!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}Hey, ich hab auf euch gewartet,{{TAG:0007:0000:0A000000}}
{{TAG:0005:0008:}} und {{TAG:0011:0001:0100}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0026:}}Hey. Sizi bekliyordum!{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0008:}} ve {{TAG:0011:0001:0100}}!
{{TAG:0003:0015:}}Sonunda sizi görmek güzel!{{TAG:000C:0009:}}"
1,002,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Welcome back
at last!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡Hola otra vez, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}
¡Me alegro de que estés
de vuelta,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} !{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Te revoilà enfin !{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Finalmente sei
tornat{{TAG:000E:0006:02006F0002006100}},{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Da bist du ja
wieder, {{TAG:0005:0007:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Aa, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}Sonunda geri geldin!{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}!{{TAG:000C:0009:}}"
2,003,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}Welcome to both of you!{{TAG:0007:0000:08000000}} {{TAG:0003:0021:}}Welcome
to the Palace of {{TAG:0005:0001:}}!{{TAG:000C:0009:}}",{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0023:}}¡Os doy la bienvenida a mi cuarto!{{TAG:000C:0009:}},{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0021:}}Bienvenue dans mon humble palais !{{TAG:000C:0009:}},"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Benvenuti!{{TAG:0007:0000:08000000}} Bienvenidos nella
modesta dimora di {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:001C:}}Immer hereinspaziert, ihr beiden!{{TAG:0007:0000:14000000}}
Willkommen bei {{TAG:0005:0001:}}!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0020:}}İkiniz de hoş geldiniz!{{TAG:0007:0000:08000000}} {{TAG:0003:0021:}}{{TAG:0005:0001:}} Sarayı'na
hoş geldiniz!{{TAG:000C:0009:}}"
3,004,"{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}You're late, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} I started to
think you forgot about our promise
and went off to play instead{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}But thank you for coming back with
{{TAG:0011:0001:0100}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}I appreciate it a whole
bunch. {{TAG:0003:0015:}}I really do.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Llegas tarde, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0000:10000000}} Menos
mal que has venido. Ya pensaba
que pasabas de mí{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Me alegro de que hayas traído
a {{TAG:0011:0001:0100}}. {{TAG:0007:0000:08000000}}¡Muchas gracias!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0024:}}Hé, {{TAG:0005:0008:}}, {{TAG:0007:0000:10000000}}on t'a jamais dit
que les stars détestaient attendre ?{{TAG:0000:0004:}}{{TAG:0003:0015:}}Enfin, t'es revenu{{TAG:000E:0006:000002006500}} et t'as pensé à
amener {{TAG:0011:0001:0100}} avec toi, alors
je vais pas faire un scandale.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Ci hai messo tantissimo, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!
{{TAG:0007:0000:10000000}}Pensavo ti fossi dimenticat{{TAG:000E:0006:02006F0002006100}} e
fossi andat{{TAG:000E:0006:02006F0002006100}} a fare un giro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Ma, {{TAG:0007:0000:08000000}}a quanto pare, non è così.
Gracias per aver portato qui
{{TAG:0011:0001:0100}}. {{TAG:0007:0000:08000000}}Ti sono riconoscente!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Du hast dir aber ganz schön Zeit
gelassen, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich dachte
schon, du hast mich vergessen...
{{TAG:0003:0024:}}Aber danke trotzdem, dass du
{{TAG:0011:0001:0100}} zu mir gebracht hast!{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0006:}}{{TAG:000C:0001:}}{{TAG:000C:0004:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000D:}}Geç kaldın, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:10000000}} Sözümüzü unutup
oynamaya gittin sanmaya başladım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
{{TAG:0003:0024:}}Ama {{TAG:0011:0001:0100}} ile geri geldiğin için teşekkür
ederim.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Çok makbule geçti. {{TAG:0003:0015:}}Gerçekten.{{TAG:000C:0009:}}"
4,005,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} I heard you needed to
talk to me?{{TAG:0007:0000:08000000}} What about?{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}¿Qué es lo que tenías que consultar
conmigo con tanta urgencia,
{{TAG:0011:0001:0000}}{{TAG:0007:0000:10000000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Alors, {{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} paraît que tu
voulais me voir ?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} mi hanno detto che
volevi parlarmi,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:0A000000}} du wolltest was mit mir
besprechen, {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} benimle konuşman gerekiyormuş?{{TAG:0007:0000:08000000}}
Ne hakkında?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}"
5,006,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} is it true you have
something important to talk about?{{TAG:0007:0000:08000000}}
What is it?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}¿Es cierto que tienes algo muy
importante que contarme?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}Dis, {{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} c'est vrai que t'as
un truc urgent à me dire ?{{TAG:0007:0000:08000000}}
{{TAG:000E:0003:}}{{TAG:0005:0007:}} ?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} è vero che hai una cosa
importante da dirmi{{TAG:0007:0000:08000000}}, {{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:0A000000}} stimmt es, dass du mir
was Wichtiges zu sagen hast,
{{TAG:0005:0007:}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0011:0001:0000}},{{TAG:0007:0000:10000000}} benimle konuşacağın önemli bir şey
olduğu doğru mu?{{TAG:0007:0000:08000000}} Nedir?{{TAG:0007:0000:08000000}} {{TAG:000E:0003:}}{{TAG:0005:0007:}}?{{TAG:000C:0009:}}"
6,007,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Hi, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}What did you need?{{TAG:0007:0000:10000000}}
{{TAG:0003:0009:}}Is it something serious{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Hola, {{TAG:0011:0001:0000}}.{{TAG:0007:0000:10000000}} ¿Qué querías?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Si me llamas con tanta prisa,
seguro que debe de ser algo
muy importante.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Hé, {{TAG:0011:0001:0000}} !{{TAG:0007:0000:10000000}} Quoi de neuf ?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Dis donc, pour me faire venir chez
toi si précipitamment, ça doit être
de la plus haute importance{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Hola, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} Cosa vuoi da me?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Per avermi chiamato così
all'improvviso,{{TAG:0007:0000:10000000}} deve essere proprio
una cosa seria{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Hallo, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:14000000}} Was gibt's denn?{{TAG:0000:0004:}}{{TAG:0003:0009:}}Wenn du mich extra zu dir nach
Hause kommen lässt, muss es ja
was Wichtiges sein...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0025:}}Selam, {{TAG:0011:0001:0000}}!{{TAG:0007:0000:10000000}} {{TAG:0003:0017:}}Ne istedin?{{TAG:0007:0000:10000000}}
{{TAG:0003:0009:}}Ciddi bir şey mi{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:000C:0009:}}"
7,008,,,,,,
8,009,"{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Well, {{TAG:0011:0001:0100}},{{TAG:0007:0000:10000000}} I've just been
borrowing something for too long,
and it's about time to give it back{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Quería pedirte perdón, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} 
Me dejaste esto hace mucho tiempo
y aún no te lo había devuelto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0015:}}Ouais, désolé, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} Je t'ai
emprunté ça un jour et je te l'ai
jamais rendu depuis{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Discúlpame, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:10000000}} Ho tenuto
in prestito questa cosa per troppo
tempo. Te la volevo restituire{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Tut mir leid, {{TAG:0011:0001:0100}}.{{TAG:0007:0000:14000000}} Das hier
hab ich mir schon vor 'ner ganzen
Weile von dir ausgeliehen.
Es wird langsam Zeit, dass ich es dir
zurückgebe...{{TAG:000C:0009:}}","{{TAG:000C:0000:}}{{TAG:000C:0005:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:000C:0002:}}{{TAG:000C:0006:}}{{TAG:0007:0000:10000000}}{{TAG:0003:0009:}}Şey, {{TAG:0011:0001:0100}},{{TAG:0007:0000:10000000}} bunu fazlasıyla uzun süredir
ödünç tutuyorum, artık geri verme zamanı{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:000C:0009:}}"
9,010,"{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, now that I think about it,{{TAG:0007:0000:10000000}} I did
lend that to you!{{TAG:0007:0000:10000000}} I'd totally
forgotten!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Just slipped my mind!
{{TAG:0003:0024:}}I was worried you were going to tell
me something super serious{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Phew!{{TAG:0007:0000:08000000}}
Thankfully that didn't happen!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}¡Ahora que caigo,{{TAG:0007:0000:10000000}} llevas razón!{{TAG:0007:0000:10000000}} 
Lo había olvidado por completo.
{{TAG:0003:0024:}}¡Menuda memoria la mía!","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, mais ouais, carrément, ouais !{{TAG:0007:0000:10000000}}
J'avais complètement oublié, dis !{{TAG:0000:0004:}}{{TAG:0003:0024:}}Enfin, entre nous, je m'attendais à
une affaire plus importante que ça{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Ah, vero! {{TAG:0007:0000:10000000}}Me ne ero dimenticato.
{{TAG:0003:0024:}}E io che pensavo fosse
una cosa superseria{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Oh, stimmt ja,{{TAG:0007:0000:0A000000}} das hatte ich selber
schon vergessen!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Ich hab mir schon Sorgen gemacht,
was du wohl Ernstes mit mir zu
besprechen hast...","{{TAG:000C:0000:}}{{TAG:000C:0007:}}{{TAG:000C:0001:}}{{TAG:000C:0008:}}{{TAG:0007:0000:10000000}}{{TAG:0003:000F:}}Aa, düşününce,{{TAG:0007:0000:10000000}} bunu sana gerçekten
ben vermiştim!{{TAG:0007:0000:10000000}} Tamamen unutmuşum!{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Aklımdan
çıkmış! {{TAG:0003:0024:}}Bana çok ciddi bir şey söyleyeceksin diye
endişelendim{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Oh!{{TAG:0007:0000:08000000}} Neyse ki değilmiş!"
