entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:001B:}}Hey, hey, {{TAG:0007:0000:08000000}}don't be teasing me now!{{TAG:0007:0000:1E000000}}{{TAG:0003:0000:}}
I don't care what kind,{{TAG:0007:0000:08000000}} I just want
to eat some {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0001:}}I've been looking forward to this all
day,{{TAG:0007:0000:08000000}} so hurry it up,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:001B:}}Oye, {{TAG:0007:0000:08000000}}no me gustan los jueguecicos.{{TAG:0007:0000:1E000000}} {{TAG:0003:0000:}}
Me da igual el tipo de {{TAG:0000:0003:0200}}fruta {{TAG:0000:0003:FFFF}}que me
traigas, ¡{{TAG:0007:0000:08000000}}pero tráeme una!
{{TAG:0003:0001:}}La hora de la fruta es mi momento
favorito del día,{{TAG:0007:0000:08000000}} ¡así que espabila,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:001B:}}Hé ho, {{TAG:0007:0000:08000000}}je m'en moque,{{TAG:0007:0000:08000000}} je veux juste
n'importe quel {{TAG:0000:0003:0200}}fruit {{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0001:}}J'y ai pensé toute la journée,{{TAG:0007:0000:08000000}} alors
grouille-toi un peu,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}} !","{{TAG:0003:001B:}}Dai, {{TAG:0007:0000:08000000}}non scherzare!{{TAG:0007:0000:1E000000}}{{TAG:0003:0000:}} Ho detto:
qualsiasi tipo,{{TAG:0007:0000:08000000}} basta che sia
un {{TAG:0000:0003:0200}}frutto{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0001:}}Non posso più resistere.{{TAG:0007:0000:08000000}} Sbrigati,{{TAG:0007:0000:14000000}}
{{TAG:0005:0007:}}!","{{TAG:0003:0006:}}Hast du jetzt schon was oder nicht?
{{TAG:0007:0000:1E000000}}{{TAG:0003:001B:}}Ich hab doch gesagt, ich will eine
{{TAG:0000:0003:0200}}Frucht{{TAG:0000:0003:FFFF}}, {{TAG:0007:0000:0A000000}}egal, was für eine.
{{TAG:0003:0000:}}Leg mal 'nen Zahn zu,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}.","{{TAG:0003:001B:}}Hey, hey{{TAG:0007:0000:08000000}}, benimle dalga{{TAG:0007:0000:1E000000}}{{TAG:0003:0000:}} geçme!
Türü umurumda{{TAG:0007:0000:08000000}} değil, biraz meyve{{TAG:0000:0003:0200}}
yemek{{TAG:0000:0003:FFFF}}{{TAG:0003:0001:}} istiyorum! Bütün gün bunu
bekledim{{TAG:0007:0000:08000000}}, çabuk ol,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!"
1,002,"{{TAG:0003:0009:}}What?! {{TAG:0007:0000:08000000}}You don't have it yet{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Gah,
I don't care what kind you get,{{TAG:0007:0000:08000000}} I just
really want some {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0009:}}{{TAG:0007:0000:08000000}}¿Otra vez vuelves con las manos
vacías?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Muchach{{TAG:000E:0006:02006F0002006100}}, me da igual qué
{{TAG:0000:0003:0200}}fruta {{TAG:0000:0003:FFFF}}sea, ¡pero tráeme una!","{{TAG:0003:0009:}}Quoi ? {{TAG:0007:0000:08000000}}Tu m'as rien ramené{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?{{TAG:0007:0001:}} {{TAG:0003:0000:}}Mais
je m'en fiche,{{TAG:0007:0000:08000000}} je veux n'importe
quel {{TAG:0000:0003:0200}}fruit {{TAG:0000:0003:FFFF}}!!!","{{TAG:0003:0009:}}Cosa?! {{TAG:0007:0000:08000000}}Sei tornat{{TAG:000E:0006:02006F0002006100}} a mani vuote{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?{{TAG:0007:0001:}}
{{TAG:0003:0000:}}Ti ripeto: basta che sia {{TAG:0000:0003:0200}}frutta{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:08000000}}
Non importa di che tipo!","{{TAG:0003:0009:}}Was machst du denn schon wieder
hier? {{TAG:0007:0000:08000000}}Und wo ist meine {{TAG:0000:0003:0200}}Frucht{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:0006:}}Jetzt beeil dich mal!","{{TAG:0003:0009:}}Ne?!{{TAG:0007:0000:08000000}} Hâlâ yok mu..{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}}{{TAG:0003:0000:}} Off, türü
fark etmez; sadece{{TAG:0007:0000:08000000}} meyve
istiyorum{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}!"
2,003,"{{TAG:0003:0000:}}Aw man, you still haven't found the
{{TAG:0011:0003:0000}} yet?{{TAG:0000:0004:}}Sorry to hassle you on this,{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}but I'm
just waiting here, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0000:}}¡Muchach{{TAG:000E:0006:02006F0002006100}}!{{TAG:0007:0000:0F000000}} ¿Todavía no has dado
con {{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}Siento darte la paliza con el tema,{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}
pero es que estoy esperándote aquí
sin más que hacer, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0000:}}T'as toujours pas trouvé
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}} ?{{TAG:0000:0004:}}Désolé de te mettre la pression,{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}
mais j'attends depuis des lustres,
{{TAG:0007:0000:14000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0000:}}Ehi, non hai ancora trovato
{{TAG:000E:0002:}}{{TAG:0011:0003:0000}}?{{TAG:0000:0004:}}Scusa se insisto,{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}ma io starei
aspettando, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0011:}}Was, du hast noch k{{TAG:000E:0008:00CD0A00650069006E0065006E000800650069006E0065000600650069006E00}}
{{TAG:0011:0003:0000}} gefunden?{{TAG:0000:0004:}}{{TAG:0003:0007:}}Na gut, dann warte ich halt
noch, bis du mal zu Potte
kommst, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}.","{{TAG:0003:0000:}}Dostum, hâlâ {{TAG:0011:0003:0000}}{{TAG:0000:0004:}} bulamadın mı? Seni
sıkıştırmak{{TAG:0007:0000:08000000}}{{TAG:0003:0001:}} istemem ama burada
bekliyorum, {{TAG:0007:0000:14000000}}{{TAG:0005:0007:}}!"
3,004,"{{TAG:0003:0000:}}I'm really looking forward to that
{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}perfect fruit {{TAG:0000:0003:FFFF}}you're gonna bring me!{{TAG:0007:0000:1E000000}}
Any kind is OK!{{TAG:0007:0000:08000000}} {{TAG:0003:0006:}}Just hurry!","{{TAG:0003:0000:}}Tengo ganas de que me traigas
esa {{TAG:0000:0003:0200}}fruta deliciosa{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:0F000000}} {{TAG:0003:0001:}}que me habías
prometido.{{TAG:0007:0000:14000000}} No me dejes tirado.","{{TAG:0003:0000:}}J'attends ce {{TAG:0003:0001:}}{{TAG:0000:0003:0200}}fruit parfait {{TAG:0000:0003:FFFF}}avec
impatience !{{TAG:0007:0000:1E000000}} Apporte-m'en un,
n'importe lequel, VIIIITE !","{{TAG:0003:0000:}}Guarda che io sono qui che aspetto
quel {{TAG:0003:0001:}}{{TAG:0000:0003:0200}}frutto perfetto{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:1E000000}} Di qualsiasi
tipo... Basta che ti sbrighi!","{{TAG:0003:0000:}}Hmpf. {{TAG:0007:0000:14000000}}Hoffentlich krieg ich
bald mal meine {{TAG:0000:0003:0200}}1a-Frucht{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0000:}}Bana getireceğin kusursuz
meyveyi{{TAG:0003:0001:}}{{TAG:0000:0003:0200}} ciddi ciddi{{TAG:0000:0003:FFFF}} bekliyorum!
Türü fark{{TAG:0007:0000:1E000000}} etmez, yeter ki{{TAG:0007:0000:08000000}}{{TAG:0003:0006:}} çabuk ol!"
4,005,"{{TAG:0003:000F:}}Whaat?!{{TAG:0007:0000:14000000}} You seriously brought it?!{{TAG:0007:0001:}}
{{TAG:0003:000D:}}I totally forgot I asked you,{{TAG:0007:0000:08000000}} so I just
went and got one of my own!
{{TAG:0003:0009:}}Now I'm too full to have any more,
even if I wanted some! Which I do
not, by the way.
{{TAG:0003:000A:}}Great.{{TAG:0007:0000:08000000}} I feel bad I made you do all
that for no reason,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}}
{{TAG:0003:0009:}}Uh, I hope we're still cool!
{{TAG:0003:000F:}}Oh! An idea!{{TAG:0007:0000:1E000000}} {{TAG:0003:0001:}}Maybe next time you
should just be a little faster, huh?!{{TAG:0007:0000:14000000}}
Yeah, that'll work!{{TAG:0007:0000:08000000}} {{TAG:0003:0002:}}GAHAHA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:000F:}}¡Huy!{{TAG:0007:0000:14000000}} Has traído la fruta que te
pedí{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:000D:}}Vaya,{{TAG:0007:0000:08000000}} como tardabas tanto,{{TAG:0007:0000:08000000}} al final
he buscado una por mi cuenta.{{TAG:0000:0004:}}{{TAG:0003:0009:}}Ahora estoy lleno hasta los ojos
y ya no me entra nada más.{{TAG:0000:0004:}}{{TAG:0003:0000:}}Siento haberte enredado para nada,{{TAG:0007:0000:08000000}}
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} Espero que no me lo
tengas en cuenta.
{{TAG:0003:000F:}}Como sugerencia,{{TAG:0007:0000:08000000}} {{TAG:0003:0001:}}la próxima vez
date un poco más de vidilla.{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}¡Ja, ja, ja!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:000F:}}Quoi ?{{TAG:0007:0000:14000000}} Tu m'as ramené mon fruit ?{{TAG:0007:0001:}}
{{TAG:0003:000D:}}J'avais totalement oublié,{{TAG:0007:0000:08000000}} alors je
m'en suis acheté un...
{{TAG:0003:0009:}}Et maintenant j'ai plus faim du
tout !{{TAG:0000:0004:}}{{TAG:0003:0000:}}Super, je t'ai fait faire tout ça pour
rien, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} ! Mais on reste
amis, hein ? Dis ?
{{TAG:0003:000F:}}Oh ! J'ai une idée !{{TAG:0007:0000:1E000000}} {{TAG:0003:0001:}}La prochaine
fois, tu devrais être un peu plus
rapide.{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}HA HA HA !{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:000F:}}Cheeee?!{{TAG:0007:0000:14000000}} Cos'è questa roba?!{{TAG:0007:0001:}} {{TAG:0003:000D:}}Mi ero
proprio dimenticato della mia
richiesta,{{TAG:0007:0000:08000000}} quindi ho fatto da solo!
{{TAG:0003:0009:}}Ormai sono pieno come un uovo,
quindi anche se ne volessi non
potrei mangiarne!
{{TAG:0003:0000:}}Ecco, ora mi sento in colpa,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}! Dai, non offenderti.{{TAG:0000:0004:}}{{TAG:0003:000F:}}Ah! Ho un'idea per te!{{TAG:0007:0000:1E000000}} {{TAG:0003:0001:}}Magari
la prossima volta... datti una mossa!{{TAG:0007:0000:14000000}}
{{TAG:0003:0002:}}AHAHAH!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:000F:}}Hä? Was?{{TAG:0007:0000:14000000}} Oh...{{TAG:0007:0000:1E000000}}
{{TAG:0003:0006:}}Du hast so lange gebraucht, ich
dachte, du kommst gar nicht mehr!
{{TAG:0003:000D:}}In der Zwischenzeit hab ich alles
Mögliche in mich reingestopft, und
jetzt hab ich keinen Hunger mehr!
{{TAG:0003:0007:}}Ja, ich weiß, dass du jetzt umsonst
losgelaufen bist, aber ich kann mich
auch nicht ewig beherrschen!
{{TAG:0003:0009:}}Mann.{{TAG:0007:0000:14000000}} Beeil dich einfach das
nächste Mal, ja?","{{TAG:0003:000F:}}Nee?!{{TAG:0007:0000:14000000}} Cidden getirdin mi?!{{TAG:0007:0001:}}{{TAG:0003:000D:}} Ben
istediğimi tamamen{{TAG:0007:0000:08000000}} unutup kendim
gidip aldım! Şimdi{{TAG:0003:0009:}} istesem de
daha fazlasını yiyemeyecek kadar
tokum. Hem istemiyorum{{TAG:0003:000A:}} zaten{{TAG:0007:0000:08000000}}!
Boşuna uğraştırdığım için kötü
oldum,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!{{TAG:0007:0000:08000000}}{{TAG:0003:0009:}} Aramız hâlâ iyi, değil
mi{{TAG:0003:000F:}}? Aa! Bir{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}} fikir: Bir dahaki
sefere biraz daha hızlı olursun!{{TAG:0007:0000:14000000}}
Hah, işte çözüm!{{TAG:0007:0000:08000000}}{{TAG:0003:0002:}} GAHAHA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}"
5,006,{{TAG:0003:0001:}}Yo!{{TAG:0007:0000:14000000}} You brought it! Cool!,{{TAG:0003:0001:}}¡Vaya!{{TAG:0007:0000:14000000}} ¡Has traído esa fruta!,{{TAG:0003:0001:}}Ha !{{TAG:0007:0000:14000000}} Je t'attendais !,{{TAG:0003:0001:}}Evvai!{{TAG:0007:0000:14000000}} Sei mitic{{TAG:000E:0006:02006F0002006100}}!,{{TAG:0003:0006:}}Ah!{{TAG:0007:0000:14000000}} Na endlich...,{{TAG:0003:0001:}}Yo{{TAG:0007:0000:14000000}}! Getirdin! Güzel!
6,007,{{TAG:0003:0010:}}Wahoo!{{TAG:0007:0000:14000000}} Hope it's worth waiting for!,"{{TAG:0003:0010:}}¡Genial!{{TAG:0007:0000:14000000}} ¡Ojalá la espera haya
merecido la pena!","{{TAG:0003:0010:}}Waouh !{{TAG:0007:0000:14000000}} J'espère que ça valait le
coup d'attendre !","{{TAG:0003:0010:}}Che storia!{{TAG:0007:0000:14000000}} E ora vediamo se ne
è valsa la pena...","{{TAG:0003:0010:}}Endlich was zu beißen!{{TAG:0007:0000:14000000}} Ich hoffe,
das Warten hat sich gelohnt...",{{TAG:0003:0010:}}Vuhuu{{TAG:0007:0000:14000000}}! Umarım beklediğime değer!
7,008,"{{TAG:0003:0010:}}Yep, yep, that's what I wanna hear!","{{TAG:0003:0010:}}¡Oh, aquí está!","{{TAG:0003:0010:}}Ah, enfin !","{{TAG:0003:0010:}}Sì! Bene!
È proprio quello che voglio sentire!","{{TAG:0003:0010:}}Oho, du hast mir was mitgebracht!","{{TAG:0003:0010:}}Evet evet, duymak istediğim buydu!"
8,009,{{TAG:0003:0006:}}What's going on here?!,{{TAG:0003:0000:}}¡¿Pero esto qué es?!,{{TAG:0003:0006:}}Hein ? Quoi ?,"{{TAG:0003:0000:}}Ehi, cosa sta succedendo?","{{TAG:0003:0000:}}Hä?!{{TAG:0007:0000:14000000}} Was ist denn jetzt wieder?
{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}Wo bleibt mein Essen?",{{TAG:0003:0006:}}Burada neler oluyor?!
9,010,"{{TAG:0003:0011:}}What?!{{TAG:0007:0000:14000000}} I don't understand! Did you
get the wrong one or something{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.?","{{TAG:0003:0011:}}¡¿Eh?!{{TAG:0007:0000:14000000}} ¿Te has equivocado
de fruta o algo así?","{{TAG:0003:0011:}}Quoi ?!{{TAG:0007:0000:14000000}} Je crois que t'as pas bien
compris ce que je t'avais demandé{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0011:}}Cooosa?!{{TAG:0007:0000:14000000}} Non capisco!
Hai preso la cosa sbagliata
e te ne sei accort{{TAG:000E:0006:02006F0002006100}} solo adesso?","{{TAG:0003:0011:}}Hä?!{{TAG:0007:0000:14000000}} Was ist denn jetzt{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Hast du's
dir anders überlegt, oder wie?","{{TAG:0003:0011:}}Ne?!{{TAG:0007:0000:14000000}} Anlamadım! Yanlış şeyi mi
aldın yoksa.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?"
