entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"There are a ton of different
sports in the world, right?{{TAG:0007:0000:28000000}}
{{TAG:0003:002B:}}For example{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}When it comes to {{TAG:0005:0011:0000}},{{TAG:0007:0000:08000000}}
would you rather participate or
just watch? Which do you prefer?{{TAG:0008:0000:1000150013001500}}
I'd rather participate.
I'd rather just watch.","Hay que ver la de deportes
que hay en el mundo, ¿eh?{{TAG:0007:0000:28000000}}{{TAG:0000:0004:}}{{TAG:0003:002B:}}Por ejemplo,{{TAG:0007:0000:08000000}} el {{TAG:0005:0011:0000}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}¿a ti te gusta más practicarlo
o verlo por la tele?{{TAG:0008:0000:1000150013001500}}
Prefiero practicarlo
Prefiero verlo","L'autre fois, je faisais la liste de
tous les sports que je connais{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.
{{TAG:0003:0002:}}Ouais, on s'amuse comme on peut !
{{TAG:0003:002B:}}Et je sais pas trop quoi penser
{{TAG:000E:0002:}}{{TAG:0005:0011:0000}} !{{TAG:0007:0000:14000000}} T'aimes bien
toi, comme sport ?{{TAG:0008:0000:1000150013001500}}
Oui, j'en fais un peu.
Oui, en spectat{{TAG:000E:0006:060065007500720008007200690063006500}}.","Al mondo esistono un sacco di sport
diversi.{{TAG:0007:0000:28000000}} {{TAG:0003:002B:}}Mmmh, fammi pensare{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Per esempio, {{TAG:000E:0001:}}{{TAG:0005:0011:0000}}.{{TAG:0007:0000:08000000}}
Che ne dici di questo sport?
Preferisci praticarlo o guardarlo
alla TV?{{TAG:0008:0000:1000150013001500}}
Praticarlo.
Guardarlo alla TV.","Was hältst du eigentlich von Sport?{{TAG:0007:0000:28000000}}
{{TAG:0003:002B:}}Zum Beispiel{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0015:}}{{TAG:0005:0011:0000}}!{{TAG:0000:0004:}}Was ist dir dabei lieber?{{TAG:0007:0000:14000000}}
Mitmachen oder Zuschauen?{{TAG:0008:0000:1000150013001500}}
Mitmachen.
Zuschauen.","Dünyada tonla spor var, değil
mi?{{TAG:0007:0000:28000000}} {{TAG:0003:002B:}}Mesela{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}{{TAG:0005:0011:0000}} söz konusuysa{{TAG:0007:0000:08000000}}
yapmayı mı, izlemeyi mi tercih edersin?{{TAG:0008:0000:1000150013001500}}
Yapmayı!
İzlemeyi."
1,002,"{{TAG:0003:0015:}}Recently, I had the chance to listen
to a master of raising bonsai give
a pretty detailed lecture.{{TAG:0009:0003:180019001A001B001C00}}","{{TAG:0003:0015:}}Hace poco asistí a la charla que
daba un experto en bonsáis.{{TAG:0009:0003:180019001A001B001C00}}","{{TAG:0003:0015:}}Je suis tombé sur l'interview d'un
expert en bonsaïs l'autre soir !{{TAG:0009:0003:180019001A001B001C00}}","{{TAG:0003:0015:}}Qualche giorno fa ho assistito
a una lezione sull'arte del bonsai
tenuta da un maestro giapponese.{{TAG:0009:0003:180019001A001B001C00}}","{{TAG:0003:0015:}}Ich war letztens auf einer
Fachmesse für Modellbahnbau.{{TAG:0009:0003:180019001A001B001C00}}","{{TAG:0003:0015:}}Geçenlerde bonsai yetiştirme
ustasından uzun uzun ders
dinleme fırsatım oldu.{{TAG:0009:0003:180019001A001B001C00}}"
2,003,"{{TAG:0003:0015:}}Hey, {{TAG:0005:0008:}}, have you ever been
on a trip overseas before?{{TAG:0008:0005:1E00150021002800}}
I sure have!
Nope.","{{TAG:0003:0015:}}Oye, {{TAG:0005:0008:}}, ¿tú alguna vez
has cruzado el charco?{{TAG:0008:0005:1E00150021002800}}
¡Pues claro!
Qué va, en la vida","Action ou vérité ? {{TAG:0003:0015:}}Vérité, je suis
gentil aujourd'hui.{{TAG:0007:0000:14000000}} T'es déjà allé{{TAG:000E:0006:000002006500}} à
l'étranger, {{TAG:0005:0008:}} ?{{TAG:0008:0005:1E00150021002800}}
Bien sûr !
Jamais...","{{TAG:0003:0015:}}Ehi, {{TAG:0005:0008:}}! Tu hai mai fatto
un viaggio all'estero?{{TAG:0008:0005:1E00150021002800}}
Certo!
No, mai.","{{TAG:0003:0015:}}He, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Warst du
schon mal im Ausland?{{TAG:0008:0005:1E00150021002800}}
Na klar!
Nein.","{{TAG:0003:0015:}}Hey, {{TAG:0005:0008:}}, hiç yurt dışına çıktın mı?{{TAG:0008:0005:1E00150021002800}}
Hem de nasıl!
Hayır."
3,004,{{TAG:000A:0008:25002500250026002600290029002500}},{{TAG:000A:0008:25002500250026002600290029002500}},{{TAG:000A:0008:25002500250026002600290029002500}},{{TAG:000A:0008:25002500250026002600290029002500}},{{TAG:000A:0008:25002500250026002600290029002500}},{{TAG:000A:0008:25002500250026002600290029002500}}
4,005,"Hey, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} I saw something on
television recently that had me
pretty well shocked!{{TAG:0009:0003:33003400350036003700}}","Oye, {{TAG:0005:0008:}},{{TAG:0007:0000:0A000000}} he visto
una cosa en la tele que me
ha dejado patidifuso.{{TAG:0009:0003:33003400350036003700}}","L'autre fois, j'étais sur mon canapé,
devant la télé, pépère{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. je suis
tombé sur une émission{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}} houlà !{{TAG:0009:0003:33003400350036003700}}","Ehi, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Qualche giorno fa
ho visto una cosa alla televisione
che mi ha sconvolto alla grande!{{TAG:0009:0003:33003400350036003700}}","He, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich hab letztens
was im Fernsehen gesehen, das
hat mich ziemlich umgehauen!{{TAG:0009:0003:33003400350036003700}}","Hey, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} geçenlerde televizyonda
beni epey şaşırtan bir şey
gördüm!{{TAG:0009:0003:33003400350036003700}}"
5,006,"{{TAG:0003:0015:}}You know, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} when
{{TAG:0005:001E:00CD}} rolls around, there's
something I'm always reminded of.{{TAG:000A:0010:39003B003C003D00}}","{{TAG:0003:0015:}}¿Sabes, {{TAG:0005:0008:}}?{{TAG:0007:0000:14000000}} Cada vez
que llega {{TAG:000E:0001:}}{{TAG:0005:001E:00CD}} me
acuerdo de mis años mozos.{{TAG:000A:0010:39003B003C003D00}}","Tu veux savoir ce que me rappelle
{{TAG:000E:0001:}}{{TAG:0005:001E:00CD}}, {{TAG:0005:0008:}} ?{{TAG:0007:0000:14000000}}
Séquence nostalgie{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. T'es prêt{{TAG:000E:0006:000002006500}} ?{{TAG:000A:0010:39003B003C003D00}}","{{TAG:0003:0015:}}Sai, {{TAG:0005:0008:}}...{{TAG:0007:0000:14000000}} Quando arriva
{{TAG:000E:0001:}}{{TAG:0005:001E:00CD}}, penso sempre
la stessa cosa...{{TAG:000A:0010:39003B003C003D00}}","Weißt du, woran ich {{TAG:0003:0015:}}jedes Jahr im
{{TAG:0005:001E:00CD}} denken muss?{{TAG:000A:0010:39003B003C003D00}}","{{TAG:0003:0015:}}Biliyor musun, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} {{TAG:0005:001E:00CD}} gelince{{TAG:000A:0010:39003B003C003D00}} hep
aynı şeyi hatırlarım."
6,007,"{{TAG:0003:000F:}}Hey, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} it's pop-quiz time!{{TAG:0000:0004:}}{{TAG:0003:0023:}}What do you think is easily the most
important aspect for a man to live
his life by: kindness, or strength?{{TAG:0008:0002:3F001500400015004200280043000000}}
K...kindness?
Strength! OORAH!
I don't know.
What brought this on?","{{TAG:0003:000F:}}¡Oye, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}}
¡Juego de preguntas!{{TAG:0000:0004:}}{{TAG:0003:0023:}}Para ti,{{TAG:0007:0000:08000000}} ¿por qué valor debe regirse
un hombre? ¿La bondad o la
fortaleza?{{TAG:0008:0002:3F001500400015004200280043000000}}
La... ¿bondad?
¡La fortaleza! ¡UNGA!
Yo qué sé...
¿Y esto a qué viene?","{{TAG:0003:000F:}}J'ai une question existentielle pour
toi, {{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:0023:}}Quelle est la qualité la plus
importante chez un homme{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} de nos
jours ?{{TAG:0008:0002:3F001500400015004200280043000000}}
La gentillesse ?
La force ?
Ni l'une ni l'autre.
Hein ? Quoi ?!","{{TAG:0003:000F:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} È l'ora del quizzone!
{{TAG:0003:0023:}}Secondo te{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}Qual è il principio su cui un uomo
dovrebbe basare la propria vita?
Gentilezza o forza?{{TAG:0008:0002:3F001500400015004200280043000000}}
Mmmh... Gentilezza?
Forza! Evvai!
Non lo so.
Perché me lo chiedi?","{{TAG:0003:000F:}}He, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Ich hab mal 'ne
Frage an dich, so von Mann zu Mann.{{TAG:0000:0004:}}{{TAG:0003:0023:}}Wonach{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0A000000}} sollte ein Mann in
seinem Leben streben?{{TAG:0007:0000:14000000}} Nach
Freundlichkeit?{{TAG:0007:0000:14000000}} Oder nach Stärke?{{TAG:0008:0002:3F001500400015004200280043000000}}
F-Freundlichkeit?
Stärke! BRÜLL!
Weder noch.
Warum die Frage?","{{TAG:0003:000F:}}Hey, {{TAG:0005:0008:}},{{TAG:0007:0000:14000000}} mini sınav zamanı!{{TAG:0000:0004:}}{{TAG:0003:0023:}}Sence
bir adamın hayatta en çok neye
ihtiyacı var: iyiliğe mi, güce mi?{{TAG:0008:0002:3F001500400015004200280043000000}}
İ... iyilik?
Güç! OORAH!
Bilmiyorum.
Nereden çıktı?"
7,008,"Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} I know this is out
of nowhere, but {{TAG:0003:0017:}}what kind of girl
do you think you are?{{TAG:0008:0003:450000004700000048000000490000004A000000}}
The princess type.
The trendy type.
The aggressive type.
The passive type.
What do you mean?","¡Atenta, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}}
¡Pregunta sorpresa!
{{TAG:0003:0017:}}¿Qué tipo de chica te consideras?{{TAG:0008:0003:450000004700000048000000490000004A000000}}
¡Una princesita!
¡Siempre a la última!
Soy una radical
No sé, soy natural
¿De qué hablas?","Dis-moi un peu, {{TAG:0005:0008:}}{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. {{TAG:0003:0017:}}Tu
dirais que tu es quel genre de fille ?{{TAG:0008:0003:450000004700000048000000490000004A000000}}
Princesse ?
Fashionista ?
Sportive ?
Bohème ?
Précise ta pensée ?","Ehi, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Te lo chiedo così,
senza preamboli... {{TAG:0003:0017:}}Che tipo di
ragazza pensi di essere?{{TAG:0008:0003:450000004700000048000000490000004A000000}}
Una principessa.
Trendy.
Aggressiva.
Passiva.
Che domanda è?","He, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Eines würde mich
mal interessieren. {{TAG:0003:0017:}}Was für ein Typ
Frau bist du in modischer Hinsicht?{{TAG:0008:0003:450000004700000048000000490000004A000000}}
Süßes Prinzesschen.
Hippe Trendsetterin.
Freche Göre.
Graue Maus.
Was soll die Frage?","Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:28000000}} Birden soruyorum ama{{TAG:0003:0017:}}
sence nasıl bir kızsın?{{TAG:0008:0003:450000004700000048000000490000004A000000}}
Prenses tipi.
Moda tipi.
Atılgan tip.
Çekingen tip.
Ne demek?"
8,009,"{{TAG:0003:000A:}}At this time of day, in this place,{{TAG:0007:0000:08000000}}
if I just space out for a bit,{{TAG:0007:0000:14000000}} my mind
always drifts to the same thing{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:000A:0007:4C004C004F00520055005500}}","{{TAG:0003:000A:}}A estas horas del día siempre
me da por pensar en lo mismo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:000A:0007:4C004C004F00520055005500}}","{{TAG:0003:000A:}}À chaque fois que je me retrouve
ici à cette heure, ça loupe pas{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}.{{TAG:0007:0000:0A000000}}. je
me mets à penser à la même chose !{{TAG:000A:0007:4C004C004F00520055005500}}","{{TAG:0003:000A:}}Ogni giorno, a quest'ora,{{TAG:0007:0000:08000000}} se non ho
niente da fare{{TAG:0007:0000:14000000}} mi viene sempre
in mente la stessa cosa{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:000A:0007:4C004C004F00520055005500}}","{{TAG:0003:000A:}}Wenn ich hier um diese Uhrzeit
herumstehe, kommt mir immer
eines in den Sinn{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:000A:0007:4C004C004F00520055005500}}","{{TAG:0003:000A:}}Günün bu saatinde, tam burada{{TAG:0007:0000:08000000}}
biraz dalınca{{TAG:0007:0000:14000000}} aklım hep aynı
şeye gidiyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}{{TAG:000A:0007:4C004C004F00520055005500}}"
9,010,{{TAG:0009:0000:59005A00}},{{TAG:0009:0000:59005A00}},{{TAG:0009:0000:59005A00}},{{TAG:0009:0000:59005A00}},{{TAG:0009:0000:59005A00}},{{TAG:0009:0000:59005A00}}
