index,id,en,fr,de,it,es,tr
0,0x006C60D1,"Not a chance, Adrian!","Cela n'arrivera pas, Adrian !","Vergesst es, Adrian!","Te lo puoi scordare, Adrian!","¡Ni lo sueñes, Adrian!","Olmaz öyle şey, Adrian!"
1,0x00898395,This telescope offers a glimpse into a strange and mysterious world.,Ce télescope vous dévoile un monde étrange et mystérieux.,Dieses Teleskop gewährt einen kurzen Blick in eine seltsame und geheimnisvolle Welt.,Questo telescopio offre uno scorcio di un mondo strano e misterioso.,Este telescopio permite echar un vistazo a un mundo misterioso y extraño.,"Bu teleskop, tuhaf ve gizemli bir dünyaya kısa bir bakış sunuyor."
2,0x00910809,Look after yourself and I'll see you around.,Prends bien soin de toi. À bientôt.,Pass auf dich auf. Ich melde mich wieder.,Abbi cura di te. Ci vediamo.,"Cuídate, ya nos veremos.",Kendine iyi bak. Görüşürüz.
3,0x0094C91A,I hope the root-gathering is going well!,J'espère que la cueillette des racines se passe bien !,Ich hoffe die Wurzelernte verläuft gut!,Spero che la raccolta delle radici proceda bene!,¡Espero que la recolección de raíces vaya bien!,Umarım kök toplama işi iyi gidiyordur!
4,0x00B609D1,"Thank you, friend. My father never stops thinking about the harm his monstrous creations might cause. If the remaining ones fell into the wrong hands, he'd never forgive himself.","Merci infiniment. Mon père est obsédé par le mal que ses monstrueuses créations ont causé. Si jamais les quatre qui restent tombaient entre de mauvaises mains, jamais il ne se le pardonnerait.","Habt vielen Dank. Mein Vater kann an nichts anderes mehr denken, als an das Unheil, das seine monströsen Schöpfungen anrichten könnten. Wenn die übrigen in die falschen Hände gerieten, würde er sich das nie verzeihen.","Ti ringrazio. Mio padre non fa che pensare ai danni che potrebbero scaturire da quelle creature mostruose. Se dovessero cadere nelle mani sbagliate, non se lo perdonerebbe mai.","Gracias. Mi padre no deja de pensar en el daño que sus monstruosas creaciones podrían causar. Si las que quedan caen en malas manos, nunca se lo perdonaría.","Teşekkür ederim, dostum. Babam, yarattığı canavarların verebileceği zararları düşünmeden edemiyor. Kalanlar yanlış ellere geçerse kendini asla affetmez."
5,0x00D72808,The membrane bends and separates at your touch.,"Vous touchez la membrane, qui ondule alors et se fend en deux devant vos yeux.",Die Membran reagiert auf deine Berührung und teilt sich.,La membrana si piega e si separa non appena la tocchi.,La membrana se pliega y se separa cuando la tocas.,"Zar, dokunuşunla esneyip iki yana ayrılıyor."
6,0x00EA2B7A,Not now.,Pas maintenant.,Nicht jetzt.,Non ora.,Ahora no.,Şimdi olmaz.
7,0x01030C86,"#0x98B7D4FF#Shadow's Depths#PREVIOUS#! Gods, I'm beside myself with worry!","Les #0x98B7D4FF#Abîmes de l'ombre#PREVIOUS# ! Par tous les dieux, si vous saviez comme j'ai peur !","#0x98B7D4FF#Schattentiefen#PREVIOUS#! Ihr Götter, ich bin außer mir vor Sorge!",Agli #0x98B7D4FF#Abissi dell'ombra#PREVIOUS#! Sono preoccupata per lui!,"¡A las #0x98B7D4FF#Profundidades Sombrías!#PREVIOUS# Dioses, ¡estoy que me muero de preocupación!","#0x98B7D4FF#Gölge Derinlikleri#PREVIOUS#! Tanrılar aşkına, endişeden kendimi yiyip bitiriyorum!"
8,0x0197649A,"Quickly, hero. Rigel is gathering greater strength in #0x98B7D4FF#the Archmage's Crucible#PREVIOUS#. You must stop him!",Hâtez-vous. Rigel est en train d'accroître encore ses pouvoirs dans le #0x98B7D4FF#Creuset de l'Archimage#PREVIOUS#. Vous devez l'arrêter !,Beeilt Euch! Rigel sammelt im #0x98B7D4FF#Schmelztiegel des Erzmagiers#PREVIOUS# noch größere Macht. Ihr müsst ihn aufhalten!,"Presto, eroe. Rigel sta aumentando le proprie forze nel #0x98B7D4FF#Crogiolo dell'arcimago#PREVIOUS#. Devi fermarlo!","Rápido, Rigel está acumulando más fuerza en el #0x98B7D4FF#Crisol del Archimago#PREVIOUS#. ¡Tienes que detenerlo!","Çabuk, kahraman. Rigel #0x98B7D4FF#Başbüyücünün Potası#PREVIOUS#'nda giderek güçleniyor. Onu durdurmalısın!"
9,0x01977934,We've done it! The crystal's power is almost complete!,Nous avons réussi ! Plus qu'une étape et nous pourrons enfin utiliser le pouvoir du cristal !,Wir haben es geschafft! Die Macht des Kristalls ist beinahe vollkommen.,Ce l'abbiamo fatta! Il potere del cristallo è quasi completo!,¡Lo logramos! ¡El poder del cristal está casi completo!,Başardık! Kristalin gücü neredeyse tamamlandı!
10,0x01BCCF02,"I know why you've come! You may have taken the others, but you will not take me! I've been preparing for this.","Je connais la raison de votre présence ici ! Vous avez peut-être capturé les autres, mais je ne me laisserai pas faire ! Je suis prêt à vous affronter !","Ich weiß, warum Ihr hier seid! Mit den anderen hattet Ihr leichtes Spiel, aber mit mir nicht! Ich habe mich auf diesen Moment vorbereitet.",Ti stavo aspettando! Non riuscirai a uccidermi come hai fatto con gli altri. Sono pronto...,"¡Sé por qué has venido! Puede que hayas cogido a los otros, ¡pero a mí no me cogerás! Me he preparado para esto.",Neden geldiğini biliyorum! Diğerlerini almış olabilirsin ama beni alamayacaksın! Buna hazırlanıyordum.
