entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}You're gathering signatures for
my super-important petition:
{{TAG:0012:0001:}}!","{{TAG:0003:0001:}}Estás recogiendo firmas para
mi petición superideal:
¡""{{TAG:0012:0001:}}""!","{{TAG:0003:0001:}}Alors, comment ça avance, les
signatures pour la pétition
« {{TAG:0012:0001:}} » ?","{{TAG:0003:0001:}}Stai raccogliendo firme
per la mia supermitica petizione:
""{{TAG:0012:0001:}}""!","{{TAG:0003:0001:}}Du sammelst Unterschriften für
meine superwichtige Petition:{{TAG:0007:0000:0A000000}}
{{TAG:0012:0001:}}!","{{TAG:0003:0001:}}Süper önemli dilekçem için imza topluyorsun:
{{TAG:0012:0001:}}!"
1,002,"{{TAG:0003:0001:}}You're collecting signatures for
my {{TAG:0012:0001:}}
petition. Remember?","{{TAG:0003:0001:}}Recoges firmas para mi petición
""{{TAG:0012:0001:}}"",
¿recuerdas?","{{TAG:0003:0001:}}Dis, tu continues à rassembler des
signatures pour la pétition
« {{TAG:0012:0001:}} » ?","{{TAG:0003:0001:}}Raccogli firme per la mia petizione
""{{TAG:0012:0001:}}"".
Non ti ricordi?","{{TAG:0003:0001:}}Erinnerst du dich, du sammelst
Unterschriften zum Thema
{{TAG:0012:0001:}}!","{{TAG:0003:0001:}}{{TAG:0012:0001:}} dilekçem için imza
topluyorsun. Unutmadın, değil mi?"
2,003,"{{TAG:0003:0001:}}I can't wait to see all the signatures
you're getting for my petition,
{{TAG:0012:0001:}}!","{{TAG:0003:0001:}}¡Confío en que consigas un montón
de firmas para mi superpetición
""{{TAG:0012:0001:}}""!","{{TAG:0003:0001:}}J'ai trop hâte de voir toutes ces
signatures sur la pétition
« {{TAG:0012:0001:}} » !","{{TAG:0003:0001:}}Scommetto che raccoglierai un
sacco di firme per la mia petizione
""{{TAG:0012:0001:}}""!","{{TAG:0003:0001:}}Na, sammelst du schon fleißig
Unterschriften für meine Petition
{{TAG:0012:0001:}}?
Ich kann's kaum erwarten, die
ganzen Unterschriften zu sehen!","{{TAG:0003:0001:}}{{TAG:0012:0001:}} dilekçem için topladığın bütün
imzaları görmek için sabırsızlanıyorum!"
3,004,"{{TAG:0003:0001:}}You'll need a total of {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
from {{TAG:0000:0003:0200}}other towns{{TAG:0000:0003:FFFF}}, {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Tienes que recoger {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firmas{{TAG:0000:0003:FFFF}}
de vecinos de {{TAG:0000:0003:0200}}otros pueblos{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Il nous faut {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
provenant d'{{TAG:0000:0003:0200}}autres villes{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:0A000000}}
{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Devi raccogliere {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firme{{TAG:0000:0003:FFFF}}
degli abitanti di {{TAG:0000:0003:0200}}altre città{{TAG:0000:0003:FFFF}},
{{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Du brauchst insgesamt
{{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} Unterschriften {{TAG:0000:0003:FFFF}}aus {{TAG:0000:0003:0200}}anderen
Städten{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:0A000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}Toplam {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} imza{{TAG:0000:0003:FFFF}} lazım;
{{TAG:0000:0003:0200}}başka kasabalardan{{TAG:0000:0003:FFFF}} topla, {{TAG:0005:0007:}}."
4,005,"{{TAG:0003:0001:}}You'll need a total of {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
from {{TAG:0000:0003:0200}}girls from other towns{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Tienes que recoger {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firmas{{TAG:0000:0003:FFFF}}
de {{TAG:0000:0003:0200}}chicas de otros pueblos{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Il nous faut la signature de {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} filles{{TAG:0000:0003:FFFF}}
habitant dans d'autres villes !","{{TAG:0003:0001:}}Devi raccogliere {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firme{{TAG:0000:0003:FFFF}}
di {{TAG:0000:0003:0200}}ragazze di altre città{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Du brauchst insgesamt {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}}
Unterschriften {{TAG:0000:0003:FFFF}}von {{TAG:0000:0003:0200}}Mädchen
aus anderen Städten{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Toplam {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} imza{{TAG:0000:0003:FFFF}} lazım;
{{TAG:0000:0003:0200}}başka kasabalardaki kızlardan{{TAG:0000:0003:FFFF}} topla."
5,006,"{{TAG:0003:0001:}}You'll need a total of {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
from {{TAG:0000:0003:0200}}girls from other towns{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}And not just any girls. Only those
who are {{TAG:0000:0003:0200}}sparkly and hypercrazy{{TAG:0000:0003:FFFF}}!
{{TAG:0003:002A:}}Like me!","{{TAG:0003:0001:}}Tienes que recoger {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firmas{{TAG:0000:0003:FFFF}}
de {{TAG:0000:0003:0200}}chicas de otros pueblos{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Pero no de cualquier chica.
¡Solo las que sean tan {{TAG:0000:0003:0200}}chupis
y alocadas {{TAG:0000:0003:FFFF}}{{TAG:0003:002A:}}como yo!","{{TAG:0003:0001:}}Il nous faut la signature de {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} filles{{TAG:0000:0003:FFFF}}
habitant dans d'autres villes.{{TAG:0000:0004:}}Attention, pas n'importe lesquelles !
Des filles {{TAG:0000:0003:0200}}canon et un peu fofolles{{TAG:0000:0003:FFFF}}...
{{TAG:0003:002A:}}Comme moi !","{{TAG:0003:0001:}}Devi raccogliere {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firme{{TAG:0000:0003:FFFF}}
di {{TAG:0000:0003:0200}}ragazze di altre città{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Ma non di ragazze qualsiasi. Solo
di quelle {{TAG:0000:0003:0200}}da urlo e fuori di testa{{TAG:0000:0003:FFFF}}
{{TAG:0003:002A:}}come me!","{{TAG:0003:0001:}}Du brauchst insgesamt {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}}
Unterschriften {{TAG:0000:0003:FFFF}}von {{TAG:0000:0003:0200}}Mädchen
aus anderen Städten{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Aber nicht von irgendwelchen!
{{TAG:0007:0000:14000000}}Nur von solchen, die {{TAG:0000:0003:0200}}strahlen
und total verrückt {{TAG:0000:0003:FFFF}}sind!
{{TAG:0003:002A:}}Eben genau wie ich! {{TAG:0007:0000:0A000000}}Hihihi!","{{TAG:0003:0001:}}Toplam {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} imza{{TAG:0000:0003:FFFF}} lazım;
{{TAG:0000:0003:0200}}başka kasabalardaki kızlardan{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}Ama öyle
herhangi bir kız değil! Sadece
{{TAG:0000:0003:0200}}ışıl ışıl ve enerji bombası{{TAG:0000:0003:FFFF}} olanlardan!
{{TAG:0003:002A:}}Yani benim gibilerden!"
6,007,,,,,,
7,008,,,,,,
8,009,,,,,,
9,010,,,,,,
10,011,"{{TAG:0003:0001:}}You'll need a total of {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
from {{TAG:0000:0003:0200}}dogs in other towns{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Tienes que recoger {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firmas{{TAG:0000:0003:FFFF}}
de residentes de {{TAG:0000:0003:0200}}otros pueblos
que sean perros{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Oublie pas, il nous faut la signature
de {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} chiens {{TAG:0000:0003:FFFF}}provenant d'une autre
ville !","{{TAG:0003:0001:}}Devi raccogliere {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firme{{TAG:0000:0003:FFFF}}
di {{TAG:0000:0003:0200}}cani che abitano in altre città{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Du brauchst insgesamt {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}}
Unterschriften {{TAG:0000:0003:FFFF}}von {{TAG:0000:0003:0200}}Hunden
aus anderen Städten{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Toplam {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} imza{{TAG:0000:0003:FFFF}} lazım;
{{TAG:0000:0003:0200}}başka kasabalardaki köpekler{{TAG:0000:0003:FFFF}} arasından topla."
11,012,"{{TAG:0003:0001:}}You'll need a total of {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
from {{TAG:0000:0003:0200}}cats in other towns{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Tienes que recoger {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firmas{{TAG:0000:0003:FFFF}}
de residentes de {{TAG:0000:0003:0200}}otros pueblos
que sean gatos{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Il faudrait que tu ramènes la
signature de {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} chats {{TAG:0000:0003:FFFF}}habitant dans
une autre ville.","{{TAG:0003:0001:}}Devi raccogliere {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firme{{TAG:0000:0003:FFFF}}
di {{TAG:0000:0003:0200}}gatti che abitano in altre città{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Du brauchst insgesamt {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}}
Unterschriften {{TAG:0000:0003:FFFF}}von {{TAG:0000:0003:0200}}Katzen
aus anderen Städten{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Toplam {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} imza{{TAG:0000:0003:FFFF}} lazım;
{{TAG:0000:0003:0200}}başka kasabalardaki kediler{{TAG:0000:0003:FFFF}} arasından topla."
12,013,"{{TAG:0003:0001:}}You'll need a total of {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}}
from {{TAG:0000:0003:0200}}squirrels in other towns{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Tienes que recoger {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firmas{{TAG:0000:0003:FFFF}}
de residentes de {{TAG:0000:0003:0200}}otros pueblos
que sean ardillas{{TAG:0000:0003:FFFF}}.","{{TAG:0000:0003:0200}}{{TAG:0003:0001:}}{{TAG:0004:0006:0000}} signatures{{TAG:0000:0003:FFFF}} d'{{TAG:0000:0003:0200}}écureuils{{TAG:0000:0003:FFFF}} habitant
dans une autre ville, il te faut !","{{TAG:0003:0001:}}Devi raccogliere {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} firme {{TAG:0000:0003:FFFF}}di
{{TAG:0000:0003:0200}}scoiattoli che abitano in altre città{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Du brauchst insgesamt {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}}
Unterschriften {{TAG:0000:0003:FFFF}}von {{TAG:0000:0003:0200}}Eichhörnchen
aus anderen Städten{{TAG:0000:0003:FFFF}}.","{{TAG:0003:0001:}}Toplam {{TAG:0000:0003:0200}}{{TAG:0004:0006:0000}} imza{{TAG:0000:0003:FFFF}} lazım;
{{TAG:0000:0003:0200}}başka kasabalardaki sincaplar{{TAG:0000:0003:FFFF}} arasından topla."
