entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0005:}}Oh,{{TAG:0007:0000:0A000000}} that's great!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Is there a time 
after {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}} {{TAG:0005:0018:00CD}}{{TAG:0000:0003:FFFF}} that would
work for you?","{{TAG:0003:0005:}}¡Oh,{{TAG:0007:0000:0A000000}} qué alegría!{{TAG:0007:0001:}} Entonces, ¿a qué
hora te va bien? Eso sí, tendría que
ser después de {{TAG:000E:0009:00CD06006C006100730004006C00610006006C0061007300}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}}:00{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0005:}}Après {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}} h{{TAG:0000:0003:FFFF}}, ça me va tout à fait.
{{TAG:0007:0001:}}{{TAG:0003:0001:}}Mais à quelle heure, exactement ?","{{TAG:0003:0005:}}Oh,{{TAG:0007:0000:0A000000}} fantastico!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Io posso dopo
le {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}}{{TAG:0000:0003:FFFF}}. A che ora andrebbe bene
per te?","{{TAG:0003:0005:}}Oh,{{TAG:0007:0000:0A000000}} prima!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Hast du irgendwann
nach {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}}:00 Uhr {{TAG:0000:0003:FFFF}}Zeit?","{{TAG:0003:0005:}}Aa,{{TAG:0007:0000:0A000000}} harika!{{TAG:0007:0001:}} {{TAG:0003:0001:}}{{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}} {{TAG:0005:0018:00CD}}{{TAG:0000:0003:FFFF}} sonrasında
sana uyan bir saat var mı?"
1,002,"{{TAG:0003:0005:}}Hey,{{TAG:0007:0000:0A000000}} thank you!{{TAG:0007:0001:}} {{TAG:0003:0001:}}OK,{{TAG:0007:0000:05000000}} anytime {{TAG:0000:0003:0200}}half
past {{TAG:0004:0010:00CD}} {{TAG:0000:0003:0200}}{{TAG:0005:0018:00CD}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}or later
works for me.{{TAG:0007:0000:14000000}} When's good for you?","{{TAG:0003:0005:}}¡Perfecto!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Yo puedo quedar
a cualquier hora después de
{{TAG:000E:0009:00CD06006C006100730004006C00610006006C0061007300}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}}:30{{TAG:0000:0003:FFFF}}. ¿Cuándo te va bien?","{{TAG:0003:0005:}}Merci !{{TAG:0007:0001:}} {{TAG:0003:0001:}}Je suis disponible à partir de
{{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}} h 30{{TAG:0000:0003:FFFF}}. {{TAG:0007:0000:0A000000}}Quand est-ce que ça
t'arrange ?","{{TAG:0003:0005:}}Oh!{{TAG:0007:0000:14000000}} Merci!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Per me va bene a
qualsiasi ora dopo le{{TAG:0000:0003:0200}} {{TAG:0004:0010:00CD}}:30{{TAG:0000:0003:FFFF}}.
{{TAG:0007:0000:0A000000}}A che ora va bene per te?","{{TAG:0003:0005:}}Hihi!{{TAG:0007:0000:14000000}} Danke!{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Ich hätte so ab
{{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}}:30{{TAG:0000:0003:0200}} Uhr{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}oder etwas später
Zeit.{{TAG:0007:0000:0A000000}} Wann passt es dir?","{{TAG:0003:0005:}}Aa,{{TAG:0007:0000:0A000000}} teşekkür ederim!{{TAG:0007:0001:}} {{TAG:0003:0001:}}Tamam,{{TAG:0007:0000:05000000}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:00CD}}
buçuktan {{TAG:0000:0003:0200}}{{TAG:0005:0018:00CD}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}sonraki her saat bana
uyar.{{TAG:0007:0000:14000000}} Sana ne zaman uygun?"
2,003,"{{TAG:0003:0010:}}Uh-oh!{{TAG:0007:0000:14000000}} Look at the time!{{TAG:0007:0001:}} {{TAG:0003:0009:}}I wouldn't
want to impose on you at this late
hour, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}so let's do it another time.","{{TAG:0003:0010:}}¡Oh, pero fíjate qué hora es!{{TAG:0007:0001:}}
{{TAG:0003:0009:}}No me parece bien que quedemos
tan tarde, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}mejor lo dejamos.{{TAG:0000:0004:}}¡Ya habrá más oportunidades
para vernos, {{TAG:0007:0000:0F000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0010:}}Minute, tu as vu l'heure ?{{TAG:0007:0001:}} {{TAG:0003:0009:}}On va
remettre ça à une autre fois, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}si tu
n'y vois pas d'inconvénient.","{{TAG:0003:0010:}}Oh!{{TAG:0007:0000:14000000}} Ma guarda che ora è!{{TAG:0007:0001:}}
{{TAG:0003:0009:}}Non voglio venire a disturbarti così
tardi, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}facciamo un'altra volta.","{{TAG:0003:0010:}}Oh weh!{{TAG:0007:0000:14000000}} Es ist ja schon spät!{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}So spät will ich mich natürlich
nicht aufdrängen.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Verschieben wir es lieber auf
einen anderen Tag!","{{TAG:0003:0010:}}Eyvah!{{TAG:0007:0000:14000000}} Saate bak!{{TAG:0007:0001:}} {{TAG:0003:0009:}}Bu kadar geç saatte
seni rahatsız etmek istemem, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}o yüzden
başka zaman yapalım."
3,004,"{{TAG:0003:0024:}}Maybe we should just forget about
it today?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Oh well.{{TAG:0007:0000:0A000000}} We can do it
another time.","{{TAG:0003:0024:}}Entonces mejor lo dejamos por hoy.
{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Bueno, {{TAG:0007:0000:0A000000}}no pasa nada, {{TAG:0007:0000:0A000000}}¡hay más días!","{{TAG:0003:0024:}}On laisse tomber pour aujourd'hui ?{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}
Ne t'inquiète pas, ce n'est que
partie remise.","{{TAG:0003:0024:}}Forse è meglio lasciar stare per
oggi, eh?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Ma sì.{{TAG:0007:0000:0A000000}} Possiamo fare
un'altra volta!","{{TAG:0003:0024:}}Vielleicht können wir uns auch
einfach irgendwann anders
treffen...{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Macht ja nichts.","{{TAG:0003:0024:}}Belki bugünlük vazgeçsek daha iyi olur?{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Neyse.{{TAG:0007:0000:0A000000}} Başka zaman yaparız."
4,005,{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}},{{TAG:0009:0000:08000900}}
5,006,"{{TAG:0003:0001:}}So, {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}} {{TAG:0000:0003:0200}}{{TAG:0005:0018:01CD}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}then?{{TAG:0007:0000:14000000}} OK!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}I'm looking forward to it,
{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}¿Entonces a {{TAG:000E:0009:01CD06006C006100730004006C00610006006C0061007300}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:00{{TAG:0000:0003:FFFF}}?{{TAG:0007:0000:14000000}} ¡Vale!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}¡Ya estoy deseando que llegue
la hora!","{{TAG:0003:0001:}}Très bien ! {{TAG:0007:0001:}}{{TAG:0003:0005:}}Vivement {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}} h{{TAG:0000:0003:FFFF}}{{TAG:0000:0003:0200}} {{TAG:0000:0003:FFFF}}alors !
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Allora alle {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}{{TAG:0000:0003:FFFF}}, va bene?{{TAG:0007:0000:14000000}} Perfetto!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Non vedo l'ora, {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Um {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:00 Uhr {{TAG:0000:0003:FFFF}}also, ja?{{TAG:0007:0000:14000000}}
Einverstanden!{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}Ich freu mich
schon drauf, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Yani, {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}} {{TAG:0000:0003:0200}}{{TAG:0005:0018:01CD}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}, öyle mi?{{TAG:0007:0000:14000000}} Tamam!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Şimdiden sabırsızlanıyorum,
{{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0005:}}That's the perfect time for me!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}OK,{{TAG:0007:0000:0A000000}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:{{TAG:0004:0011:02CD}} {{TAG:0000:0003:0200}}{{TAG:0005:0018:01CD}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}then. {{TAG:0007:0000:0A000000}}
{{TAG:0003:0020:}}See you soon!","{{TAG:0003:0005:}}¡Muy bien, a esa hora me va genial!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Pues te veo a {{TAG:000E:0009:01CD06006C006100730004006C00610006006C0061007300}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:{{TAG:0004:0011:02CD}}{{TAG:0000:0003:FFFF}}.
{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}¡Hasta entonces!","{{TAG:0003:0005:}}{{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}} h {{TAG:0004:0011:02CD}}{{TAG:0000:0003:FFFF}}, c'est noté ! {{TAG:0007:0001:}}{{TAG:0003:0020:}}À tout à
l'heure !","{{TAG:0003:0005:}}Per me a quell'ora va benissimo!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Perfetto,{{TAG:0007:0000:0A000000}} allora ci vediamo alle
{{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:{{TAG:0004:0011:02CD}}{{TAG:0000:0003:FFFF}}. {{TAG:0007:0000:0A000000}}{{TAG:0003:0020:}}A dopo!","{{TAG:0003:0005:}}Ja, das sollte gehen!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Gut,{{TAG:0007:0000:0A000000}} bis {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:{{TAG:0004:0011:02CD}} Uhr{{TAG:0000:0003:FFFF}} dann.
{{TAG:0007:0000:0A000000}}{{TAG:0003:0020:}}Wir sehen uns später!","{{TAG:0003:0005:}}O saat benim için mükemmel!{{TAG:0007:0001:}}
{{TAG:0003:0001:}}Tamam,{{TAG:0007:0000:0A000000}} {{TAG:0000:0003:0200}}{{TAG:0004:0010:01CD}}:{{TAG:0004:0011:02CD}} {{TAG:0000:0003:0200}}{{TAG:0005:0018:01CD}} {{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}} olsun. {{TAG:0007:0000:0A000000}}
{{TAG:0003:0020:}}Birazdan görüşürüz!"
7,008,"{{TAG:0003:0009:}}Sorry! {{TAG:0007:0000:14000000}}That's just not a good time
for me{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Do you think we could do
it a little later?","{{TAG:0003:0009:}}Lo siento, {{TAG:0007:0000:0A000000}}pero a esa hora yo
no puedo{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}} {{TAG:0003:0025:}}¿No es posible que
quedemos un poco más tarde?","{{TAG:0003:0009:}}Oh, je suis désolée, mais ça ne
m'arrange pas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}} {{TAG:0003:0025:}}Ça t'ennuie si on
se retrouve un peu plus tard ?","{{TAG:0003:0009:}}Scusa! {{TAG:0007:0000:1E000000}}A quell'ora non posso{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Possiamo fare un po' più tardi?","{{TAG:0003:0009:}}Oh, tut mir leid! {{TAG:0007:0000:1E000000}}Da habe ich leider
keine Zeit{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} {{TAG:0003:0025:}}Geht es auch etwas
später?","{{TAG:0003:0009:}}Üzgünüm! {{TAG:0007:0000:14000000}}O saat bana hiç uymuyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Biraz daha geç bir saate alsak olur mu?"
8,009,"{{TAG:0003:0027:}}Um{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} I really wanted to rehearse my
talking points beforehand, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}so could
we maybe do it later?","{{TAG:0003:0027:}}Bueno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}Yo es que necesito algo
de tiempo para prepararme.
{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}¿Puede ser un poquito más tarde?","{{TAG:0003:0027:}}Hum{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} C'est bien joli, mais j'ai
besoin de temps pour me préparer,
moi. {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}Un peu plus tard, ça irait ?","{{TAG:0003:0027:}}Sai{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} mi ci vuole sempre un pochino
a prepararmi, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}possiamo fare
leggermente più tardi?","{{TAG:0003:0027:}}Oh{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Also, das dauert schon etwas,
bis ich mich fertig gemacht habe.{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}
Geht es etwas später?","{{TAG:0003:0027:}}Şey{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} Öncesinde ne söyleyeceğimi biraz
prova etmek istiyordum, {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}o yüzden
daha geç buluşsak olur mu?"
9,010,"{{TAG:0003:0009:}}Sorry,{{TAG:0007:0000:08000000}} but I'll already be in bed by
then.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Could you please pick a time
that's a little earlier?","{{TAG:0003:0009:}}Lo siento{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} A esas horas yo ya
estaré en la cama{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0017:}}¿No podríamos quedar un poquito
más temprano, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0009:}}Désolée, mais à cette heure-là, ça
fait belle lurette que je roupille.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} On
peut se retrouver un peu plus tôt ?","{{TAG:0003:0009:}}Excuse-moi,{{TAG:0007:0000:08000000}} ma a quell'ora
sarò già sotto le copertine.{{TAG:0007:0000:14000000}}
{{TAG:0003:0025:}}Ti va di anticipare un pochettino?","{{TAG:0003:0009:}}Oh...{{TAG:0007:0000:14000000}} Tut mir leid, aber um die Zeit
werde ich schon in den Federn
liegen. {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Ginge es denn auch früher?","{{TAG:0003:0009:}}Üzgünüm,{{TAG:0007:0000:08000000}} ama o saatte çoktan yatmış
olurum.{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Biraz daha erken bir saat
seçebilir misin lütfen?"
