entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0025:}}Sometimes I'll stay home on
{{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}} to greet all the
trick-or-treaters!","{{TAG:0003:0025:}}A veces me quedo en casa durante
Halloween para recibir a quien
venga buscando dulces.","{{TAG:0003:0025:}}Ce qu'il y a de bien avec Halloween,
c'est qu'on reçoit toujours plein
de visites !","{{TAG:0003:0025:}}Ogni tanto è divertente passare
la serata di Halloween nel proprio
pied-à-terre{{TAG:0007:0000:0A000000}}{{TAG:0003:0005:}} a preparare dolcetti!","{{TAG:0003:0025:}}Manchmal bleibe ich an {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}}
zu Hause, damit ich da bin, wenn
jemand an die Tür klopft!","{{TAG:0003:0025:}}Bazen {{TAG:0000:0003:0200}}Cadılar Bayramı{{TAG:0000:0003:FFFF}}nda evde
kalıp şeker isteyenleri karşılıyorum!"
1,002,"{{TAG:0003:0024:}}The atmosphere around here on
{{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}} gives me goose bumps...{{TAG:0007:0001:}} {{TAG:0003:0026:}}
Don't you just love this holiday?!","{{TAG:0003:0024:}}El ambiente del pueblo durante
Halloween me da miedito{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0001:}}
{{TAG:0003:0026:}}¡Pero igualmente me encanta!","{{TAG:0003:0024:}}Halloween dégage une atmosphère
qui me fait froid dans le dos...{{TAG:0007:0001:}} {{TAG:0003:0026:}}Mais
au fond, j'adore cette fête, hi hi !","{{TAG:0003:0024:}}L'atmosfera di Halloween
mi fa venire i brividi...{{TAG:0007:0001:}} {{TAG:0003:0026:}}Ma suppongo
che vada bene così, n'est-ce pas?","{{TAG:0003:0024:}}Manchmal grusele ich mich richtig,
wenn ich die Deko an {{TAG:0000:0003:0200}}Halloween
{{TAG:0000:0003:FFFF}}sehe...{{TAG:0007:0000:28000000}} {{TAG:0003:0026:}}Du dich etwa nicht?","{{TAG:0003:0024:}}{{TAG:0000:0003:0200}}Cadılar Bayramı{{TAG:0000:0003:FFFF}} atmosferi
insana tüylerini diken diken ediyor...{{TAG:0007:0001:}} {{TAG:0003:0026:}}
Bu bayrama bayılmıyor musun?!"
2,003,"{{TAG:0003:0024:}}Even though {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}} can be a
little scary,{{TAG:0007:0000:08000000}} I'm determined to
celebrate it with everyone.{{TAG:0000:0004:}}{{TAG:0003:0006:}}See? {{TAG:0007:0000:14000000}}This is my determined face!","{{TAG:0003:0024:}}Aunque sea una fiesta aterradora,
voy a celebrarla. ¡Y con mis amigos!
{{TAG:0007:0000:14000000}}{{TAG:0003:0006:}}¡Mira mi cara de determinación!","{{TAG:0003:0024:}}Ce n'est pas parce qu'Halloween me
fiche un peu la trouille{{TAG:0007:0000:08000000}} que je vais
me priver de faire la fête !{{TAG:0000:0004:}}{{TAG:0003:0006:}}Regarde bien ce visage !{{TAG:0007:0000:14000000}} C'est celui
d'une fêtarde qui n'a peur de rien !","{{TAG:0003:0024:}}La festa di Halloween ha i suoi lati
oscuri e spaventosi,{{TAG:0007:0000:08000000}} ma io non mi
lascio impressionare facilmente.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Vedi?{{TAG:0007:0000:14000000}} Con questa faccia non avrò
paura di niente e di nessuno!","{{TAG:0003:0024:}}Manchmal ist {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}}
etwas gruselig, aber ich
feiere es trotzdem.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Grrr!{{TAG:0007:0000:1E000000}} Siehst du?{{TAG:0007:0000:1E000000}} Das ist mein
Halloween-Gesicht!","{{TAG:0003:0024:}}{{TAG:0000:0003:0200}}Cadılar Bayramı{{TAG:0000:0003:FFFF}} biraz korkunç
olsa da{{TAG:0007:0000:08000000}}
herkesle kutlamaya kararlıyım.{{TAG:0000:0004:}}{{TAG:0003:0006:}}
Gördün mü? {{TAG:0007:0000:14000000}}Kararlı yüzüm bu!"
3,004,"{{TAG:0003:0001:}}When you think of {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}}, you
think of pumpkins.{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}And when I think
of pumpkins{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0016:}}{{TAG:0007:0000:08000000}}I think of all the interesting ways
you can cook them.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} They're very
versatile vegetables!
{{TAG:0003:0025:}}Actually,{{TAG:0007:0000:05000000}} did you know pumpkins are
fruit,{{TAG:0007:0000:08000000}} not vegetables?{{TAG:0007:0000:14000000}} It's true!{{TAG:0007:0000:14000000}} I'm
not trying to trick you,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.
{{TAG:0003:0027:}}But be careful.{{TAG:0007:0000:14000000}} Tonight is a night of
mischief!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}} Have a fun and just
slightly scary {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}}!","{{TAG:0003:0001:}}Es pensar en Halloween, y lo
primero que me viene a la cabeza
son las calabazas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0016:}}¡Y cuando pienso en calabazas,
me pongo a meditar cómo las
puedo cocinar! {{TAG:0007:0001:}}{{TAG:0003:0000:}}¡Me gustan tanto!...
{{TAG:0003:0025:}}¿Sabías que las calabazas son
frutas?{{TAG:0007:0000:14000000}} Es verdad, {{TAG:0007:0000:0A000000}}no te estoy
tomando el pelo,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.
{{TAG:0003:0027:}}Pero ten cuidado, {{TAG:0007:0000:0A000000}}porque esta
es la noche de las travesuras.
{{TAG:0007:0000:14000000}}{{TAG:0003:0020:}}¡Diviértete mucho este Halloween!","{{TAG:0003:0001:}}Qui dit « Halloween » dit
« citrouilles »... {{TAG:0007:0000:14000000}}{{TAG:0003:000B:}}Et qui dit
« citrouilles »...{{TAG:0000:0004:}}{{TAG:0003:0016:}}... dit « cuisine » !{{TAG:0007:0001:}}{{TAG:0003:0000:}} Il y a tant de
recettes savoureuses à concocter !
Citrouilles en sauce...{{TAG:0000:0004:}}{{TAG:0003:0025:}}... soupe de citrouilles,{{TAG:0007:0000:08000000}} gratin de
citrouilles,{{TAG:0007:0000:08000000}} gâteau à la citrouille,{{TAG:0007:0000:08000000}}
citrouilles aux crevettes...{{TAG:0000:0004:}}{{TAG:0003:0027:}}... citrouilles aux citrouilles, etc...{{TAG:0007:0000:08000000}}
En plus, c'est si bon que ça redonne
du courage.
{{TAG:0003:0020:}}Alors voilà mon conseil pour
Halloween, {{TAG:0005:0008:}} :{{TAG:0007:0000:08000000}} si t'as la
trouille, {{TAG:0007:0000:08000000}}mange une citrouille !","{{TAG:0003:0001:}}Quando sento la parola Halloween
penso alle zucche.{{TAG:0007:0000:14000000}}{{TAG:0003:000B:}} E quando sento
la parola zucche penso{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0016:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. ai quei succulenti piatti in cui
puoi usarle.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}} Dalla vellutata
alle torte, passando per il soufflé!
{{TAG:0003:0025:}}A proposito,{{TAG:0007:0000:08000000}} lo sapevi che la zucca
in realtà è un frutto?{{TAG:0007:0000:14000000}} C'est vrai!{{TAG:0007:0000:14000000}}
Non è uno scherzetto di Halloween!
{{TAG:0003:0027:}}Ma fai comunque attenzione.{{TAG:0007:0000:14000000}} Perché
questa è la serata dei dispetti.{{TAG:0007:0000:28000000}}
Divertiti!{{TAG:0007:0000:14000000}} E spaventati un pochino!","{{TAG:0003:0001:}}Wenn ich an {{TAG:0000:0003:0200}}Halloween {{TAG:0000:0003:FFFF}}denke,
dann denke ich an Kürbisse.{{TAG:0000:0004:}}{{TAG:0003:000B:}}Und wenn ich an Kürbisse denke,
dann denke ich an all die leckeren
Sachen, die man damit kochen kann.
Kürbissuppe...{{TAG:0007:0000:14000000}} Kürbisauflauf...{{TAG:0007:0000:1E000000}}
{{TAG:0003:0016:}}Kürbiskuchen!{{TAG:0007:0000:1E000000}}{{TAG:0003:0000:}} Kürbisse sind
eben sehr vielseitig.
{{TAG:0003:0025:}}Und natürlich mag ich sie auch,
wenn sie ein Gesicht haben und
eine Kerze innen drin.
{{TAG:0003:0027:}}Aber vergiss trotz all der schönen
Kürbisse nicht, dass man dir heute
auch böse Streiche spielen kann!","{{TAG:0003:0001:}}{{TAG:0000:0003:0200}}Cadılar Bayramı{{TAG:0000:0003:FFFF}} deyince akla
kabak gelir.{{TAG:0007:0000:14000000}} {{TAG:0003:000B:}}
Kabak deyince de{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0016:}}{{TAG:0007:0000:08000000}}onları pişirmenin türlü yolları
gelir.{{TAG:0007:0000:28000000}}{{TAG:0003:0000:}}
Çok kullanışlılar!
{{TAG:0003:0025:}}Bu arada,{{TAG:0007:0000:05000000}} kabağın sebze değil
meyve{{TAG:0007:0000:08000000}}
olduğunu biliyor muydun?{{TAG:0007:0000:14000000}}
Gerçek!{{TAG:0007:0000:14000000}}
Seni kandırmıyorum, {{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.
{{TAG:0003:0027:}}Ama dikkat et.{{TAG:0007:0000:14000000}} Bu gece şaka
gecesi!{{TAG:0007:0000:28000000}}{{TAG:0003:0020:}}
Eğlenceli ve azıcık ürkütücü
bir {{TAG:0000:0003:0200}}Cadılar Bayramı{{TAG:0000:0003:FFFF}} geçir!"
4,005,"{{TAG:0003:0025:}}I have lots of {{TAG:0000:0003:0200}}candy{{TAG:0000:0003:FFFF}} ready to go{{TAG:0007:0000:08000000}} in
case somebody tries to scare me!{{TAG:0000:0004:}}{{TAG:0003:0005:}}And if there's any left over,{{TAG:0007:0000:08000000}} I'll have
a sweet treat for my reading hour.","{{TAG:0003:0025:}}¡Tengo muchas chuches preparadas
por si alguien intenta asustarme!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Y si me sobran, {{TAG:0007:0000:0A000000}}ya tendré algo dulce
que llevarme a la boca mientras leo.","{{TAG:0003:0025:}}J'ai fait des réserves de {{TAG:0000:0003:0200}}sucreries
{{TAG:0000:0003:FFFF}}au cas où quelqu'un voudrait me
jouer un mauvais tour...
{{TAG:0003:0005:}}Au pire, je m'en empiffrerai tout en
dévorant {{TAG:0007:0000:10000000}}un bon bouquin !","{{TAG:0003:0025:}}Ho con me un sacchetto ricolmo
di dolcetti da offrire,{{TAG:0007:0000:08000000}} qualora
qualcuno tentasse di spaventarmi.{{TAG:0003:0005:}}
E se per caso me ne avanzassero,{{TAG:0007:0000:08000000}}
{{TAG:0003:0004:}}li mangerò per merenda mentre
mi rilasso con un buon libro.","{{TAG:0003:0025:}}Ich habe viele {{TAG:0000:0003:0200}}Süßigkeiten{{TAG:0000:0003:FFFF}} bereit,
damit mir niemand einen Streich
spielen muss.
{{TAG:0003:0005:}}Und wenn dann noch welche übrig
sind, mache ich mir einen Tee und
esse sie, während ich lese!","{{TAG:0003:0025:}}Beni korkutmaya çalışan olursa
diye bir sürü {{TAG:0000:0003:0200}}şeker{{TAG:0000:0003:FFFF}} hazırladım{{TAG:0007:0000:08000000}}!{{TAG:0000:0004:}}{{TAG:0003:0005:}}
Artarsa{{TAG:0007:0000:08000000}} okuma saatimde tatlı olur."
5,006,"{{TAG:0003:0025:}}You've probably noticed {{TAG:0005:0005:}}
is different tonight,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0026:}}It's {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}}! {{TAG:0007:0001:}}{{TAG:0003:0000:}}Just be careful if
you walk around town with {{TAG:0000:0003:0200}}candy{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0014:}}Spooky things might try to take it!","{{TAG:0003:0025:}}Seguramente has notado que hoy
{{TAG:000E:0003:}}{{TAG:0005:0005:}} está diferente.{{TAG:0000:0004:}}{{TAG:0003:0026:}}¡Es que es Halloween, {{TAG:0005:0008:}}!{{TAG:0007:0001:}}{{TAG:0003:0000:}}
Si llevas dulces encima, {{TAG:0007:0000:0F000000}}{{TAG:0003:0014:}}¡algo
tenebroso te los querrá quitar!","{{TAG:0003:0025:}}Ça ne t'a sûrement pas échappé,
mais il y a quelque chose de bizarre
à {{TAG:0005:0005:}} ce soir...
{{TAG:0003:0026:}}C'est Halloween !{{TAG:0007:0001:}}{{TAG:0003:0000:}} La chasse aux
{{TAG:0000:0003:0200}}sucreries{{TAG:0000:0003:FFFF}} est ouverte !{{TAG:0007:0000:14000000}}{{TAG:0003:0014:}} Attention,
pétochards s'abstenir !","{{TAG:0003:0025:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}},{{TAG:0007:0000:08000000}} avrai notato che oggi
{{TAG:0005:0005:}} ha un'atmosfera
molto diversa dal solito.
{{TAG:0003:0014:}}Terrificanti creature vagano
per la città alla ricerca di {{TAG:0000:0003:0200}}dolcetti{{TAG:0000:0003:FFFF}},{{TAG:0007:0000:0A000000}}
quindi fai molta attenzione!","{{TAG:0003:0025:}}Dir ist sicher aufgefallen, dass
{{TAG:0005:0005:}} heute etwas anders ist,
{{TAG:0005:0008:}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:0026:}} Es ist {{TAG:0000:0003:0200}}Halloween{{TAG:0000:0003:FFFF}}!
{{TAG:0003:0000:}}Also pass auf, wenn du mit
{{TAG:0000:0003:0200}}Süßigkeiten {{TAG:0000:0003:FFFF}}rumläufst, denn
die sind heute heiß begehrt!","{{TAG:0003:0025:}}{{TAG:0005:0005:}}nin bu gece farklı olduğunu
fark etmişsindir, {{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0000:0004:}}{{TAG:0003:0026:}}
Bugün {{TAG:0000:0003:0200}}Cadılar Bayramı{{TAG:0000:0003:FFFF}}! {{TAG:0007:0001:}}{{TAG:0003:0000:}}Kasabada {{TAG:0000:0003:0200}}
şeker{{TAG:0000:0003:FFFF}}
taşıyorsan dikkat et.{{TAG:0007:0000:14000000}} {{TAG:0003:0014:}}Ürkütücü
şeyler onu almaya çalışabilir!"
6,007,"{{TAG:0003:0005:}}You might not expect it,{{TAG:0007:0000:08000000}} but I really
like ghosts.{{TAG:0000:0004:}}{{TAG:0003:0026:}}I've read all kinds of interesting
ghost stories, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¿Me creerías si te digo que me
gustan mucho los fantasmas?{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:0003:0026:}}¡Hacen que me acuerde de todas
las historias de terror que he leído,
{{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Ça va sûrement t'étonner, mais
j'adore les fantômes.{{TAG:0000:0004:}}{{TAG:0003:0026:}}D'ailleurs, je connais tout un tas
d'histoires de fantômes effrayantes
à souhait, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Anche se non sembra,{{TAG:0007:0000:08000000}}
io adoooro i fantasmi.{{TAG:0003:0000:}}{{TAG:0000:0004:}}{{TAG:0003:0026:}}Sono così sofficiosi e morbidosi.
{{TAG:0003:0004:}}Come si fa a non amarli?","{{TAG:0003:0005:}}Das hättest du vielleicht nicht
erwartet, aber ich finde Gespenster
richtig toll.
{{TAG:0003:0026:}}Ich kenne auch viele gute
Geistergeschichten, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Beklemeyebilirsin ama{{TAG:0007:0000:08000000}}
hayaletleri gerçekten severim.{{TAG:0000:0004:}}{{TAG:0003:0026:}}Bir sürü
ilginç hayalet
hikâyesi okudum, {{TAG:0007:0000:08000000}}{{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:0017:}}Oh,{{TAG:0007:0000:08000000}} a monster?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}I don't think they're
very scary.{{TAG:0000:0004:}}{{TAG:0003:0028:}}But their complexions are so poor,{{TAG:0007:0000:08000000}}
I just worry they're not eating a
balanced diet.","{{TAG:0003:0017:}}¿Los monstruos, dices?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}La verdad
es que no dan demasiado miedo.{{TAG:0000:0004:}}{{TAG:0003:0028:}}Normalmente están tan delgados,
{{TAG:0007:0000:0A000000}}que me preocupo por ellos, {{TAG:0007:0000:0A000000}}por
si pasan hambre{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0017:}}Quoi, des zombistein ?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Oh, non !
Il en faut plus pour m'effrayer !{{TAG:0000:0004:}}{{TAG:0003:0028:}}Mais les pauvres, ils sont si pâles...{{TAG:0007:0000:08000000}}
Ils ne se nourrissent pas assez, si
tu veux mon avis.","{{TAG:0003:0017:}}Oh,{{TAG:0007:0000:08000000}} un monstre?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Secondo me
mostri e creature verdi non sono
poi così spaventosi.
{{TAG:0003:0028:}}Però hanno veramente una brutta
cera.{{TAG:0007:0000:14000000}} Forse perché non seguono
un regime alimentare equilibrato?","{{TAG:0003:0017:}}Oh,{{TAG:0007:0000:08000000}} ein Monster?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Die sind ja nicht
besonders gruselig.{{TAG:0000:0004:}}{{TAG:0003:0028:}}Aber die haben immer so schlechte
Haut...{{TAG:0007:0000:1E000000}} Ich denke, die müssten mal
auf gesunde Ernährung umstellen!","{{TAG:0003:0017:}}Ah,{{TAG:0007:0000:08000000}} canavar mı?{{TAG:0007:0000:14000000}} {{TAG:0003:0001:}}Pek korkunç
olduklarını sanmayın.{{TAG:0000:0004:}}{{TAG:0003:0028:}}Ama tenleri kötü
görünüyor,{{TAG:0007:0000:08000000}}
dengeli beslenmiyorlar mı diye endişeleniyorum."
8,009,"{{TAG:0003:0001:}}A really big bug?{{TAG:0007:0000:14000000}} I'm not scared of
insects at all.{{TAG:0000:0004:}}{{TAG:0003:0016:}}Actually, {{TAG:0007:0000:08000000}}if there were a species
that big,{{TAG:0007:0000:08000000}} I'd love the chance to
research it.","{{TAG:0003:0001:}}¿Un bicho gigante?{{TAG:0007:0000:14000000}} A mí los bichos
no me dan ningún miedo.{{TAG:0000:0004:}}{{TAG:0003:0016:}}De hecho, {{TAG:0007:0000:0A000000}}si hubiera especies así de
grandes, {{TAG:0007:0000:0A000000}}me encantaría estudiarlas.","{{TAG:0003:0001:}}Un énorme insecte ? Désolée, mais
mastoc ou rabougris, les insectes
ne m'ont jamais fait peur.{{TAG:0000:0004:}}{{TAG:0003:0016:}}En fait,{{TAG:0007:0000:0A000000}} s'il en existait d'aussi gros,
{{TAG:0007:0000:0A000000}}je pense que j'en adopterais un
spécimen pour l'étudier de près...","{{TAG:0003:0001:}}Oh,{{TAG:0007:0000:14000000}} un insetto gigante?{{TAG:0007:0000:14000000}} Spiacente,
ma non mi fa affatto paura!{{TAG:0000:0004:}}{{TAG:0003:0016:}}Anzi, {{TAG:0007:0000:08000000}}se davvero esistesse una
specie di tali dimensioni,{{TAG:0007:0000:08000000}} vorrei
essere la prima a studiarla!","{{TAG:0003:0001:}}Ein Rieseninsekt?{{TAG:0007:0000:14000000}} Ich mag Insekten.{{TAG:0007:0000:1E000000}}{{TAG:0003:0016:}}
Wenn es so ein großes gäbe, würde
ich es gerne mal genau untersuchen!","{{TAG:0003:0001:}}Kocaman bir böcek mi?{{TAG:0007:0000:14000000}}
Böceklerden hiç
korkmam.{{TAG:0000:0004:}}{{TAG:0003:0016:}}Hatta{{TAG:0007:0000:08000000}} o kadar büyük bir
tür olsa{{TAG:0007:0000:08000000}}
araştırmak için can atardım."
9,010,"{{TAG:0003:0017:}}A werewolf{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}I'm fine with them.{{TAG:0007:0001:}}
They're just animals that act like
people.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}What's scary about that?","{{TAG:0003:0017:}}¿Un hombre lobo?{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}No me asusta.{{TAG:0007:0001:}}
{{TAG:0007:0000:14000000}}Solo son animales que se comportan
como personas, {{TAG:0007:0000:0A000000}}y eso no da miedo.","{{TAG:0003:0017:}}Le loup-garou ? Un grand classique,
mais je n'ai jamais compris ce que
ça pouvait avoir de si effrayant...
{{TAG:0003:0025:}}Enfin, ce n'est jamais qu'un loup qui
se comporte en homme ou l'inverse.
{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}}Et c'est censé faire peur, ça ?","{{TAG:0003:0017:}}Un lupo mannaro{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Com'è cariiino!{{TAG:0000:0004:}}{{TAG:0003:0025:}}Non capisco cos'abbiano di
spaventoso i lupi mannari.{{TAG:0007:0000:14000000}} Sono
solo animali vestiti da esseri umani!","{{TAG:0003:0017:}}Werwölfe?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Die mag ich sehr gern.{{TAG:0007:0000:14000000}}
Im Prinzip sind das ja nur Tiere,
die sich wie Menschen benehmen.
{{TAG:0003:0017:}}Was soll denn daran gruselig sein?","{{TAG:0003:0017:}}Kurt adam{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}?{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Onlarla sorunum
yok.{{TAG:0007:0001:}}
İnsan gibi davranan hayvanlar
sonuçta.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}
Bunun nesi korkunç?"
