index,label,English,French,German,Italian,Spanish,Turkish
0,Dlg_Text_00,Checking StreetPass data...,"Vérification des données
reçues via StreetPass...","StreetPass-Daten werden
überprüft...","Verifica dei dati StreetPass
in corso...",Comprobando los datos de StreetPass...,StreetPass verileri kontrol ediliyor...
1,Dlg_Text_01,"Updating StreetPass data
and saving progress...

Do not remove the SD Card
or Game Card.","Mise à jour des données
StreetPass et sauvegarde
de la progression...

Ne retirez ni la carte de jeu,
ni la carte SD.","StreetPass-Daten werden
aktualisiert und gespeichert...

Bitte entferne nicht die SD Card
oder die Nintendo 3DS-Karte.","Aggiornamento dei dati StreetPass
e dei progressi di gioco...

Non rimuovere la scheda di gioco
o la scheda SD.","Actualizando los datos de StreetPass
y guardando el progreso... 

No extraigas la tarjeta SD ni la
tarjeta de juego.","StreetPass verileri
güncelleniyor ve ilerleme
kaydediliyor...
SD Kartı veya Oyun
Kartını çıkarmayın."
2,Dlg_BoatCome,Number of boats arrived: {TAG_1}{TAG_2}{TAG_3}!,Nombre de bateaux arrivés : {TAG_1}{TAG_2} {TAG_3}!,{TAG_1}{TAG_2} {TAG_3} {TAG_4}{TAG_5} gelandet!,Numero di {TAG_1}navi {TAG_2}arrivate: {TAG_3}{TAG_4}{TAG_5}!,{TAG_1}Botes{TAG_2} que han llegado: {TAG_3}{TAG_4}{TAG_5}.,Gelen tekne sayısı: {TAG_1}{TAG_2}{TAG_3}!
3,Dlg_BoatCount,Number of boats arrived: {TAG_1}{TAG_2}{TAG_3}!,Nombre de bateaux arrivés : {TAG_1}{TAG_2} {TAG_3}!,{TAG_1}{TAG_2} {TAG_3} {TAG_4}{TAG_5} gelandet!,Numero di {TAG_1}navi {TAG_2}arrivate: {TAG_3}{TAG_4}{TAG_5}!,{TAG_1}Botes{TAG_2} que han llegado: {TAG_3}{TAG_4}{TAG_5}.,Gelen tekne sayısı: {TAG_1}{TAG_2}{TAG_3}!
4,Dlg_Btn_Later,Later,Plus tard,Später,Dopo,Luego,Sonra
5,Dlg_Btn_Check,View,Voir,Nachsehen,Guarda,Ver,Görüntüle
6,Dlg_ParentCtrl,"StreetPass has been restricted
by Parental Controls in
System Settings.","La communication avec d'autres
utilisateurs via StreetPass est
bloquée par le contrôle parental.","Die StreetPass-Funktion
wird derzeit von den
Altersbeschränkungen blockiert.","StreetPass è limitata dal filtro
famiglia nelle Impostazioni
della console.","StreetPass está restringido
por el control parental en la
configuración de la consola.","Sistem Ayarları'ndaki
Ebeveyn Denetimleri
StreetPass'i kısıtlıyor."
7,Dlg_StartCec,"Would you like to start
StreetPass?",Voulez-vous activer StreetPass?,StreetPass aktivieren?,Vuoi attivare StreetPass?,¿Quieres activar StreetPass?,StreetPass'i başlatmak ister misin?
8,Dlg_Error,"An error occurred.

If errors continue to occur, please
deactivate StreetPass via
StreetPass Management
in System Settings.","Une erreur est survenue.

Si la même erreur se reproduit,
désactivez StreetPass via la
gestion StreetPass dans les
paramètres de la console.","Ein Fehler ist aufgetreten.

Sollten Fehler dieser Art häufiger
auftreten, deaktiviere StreetPass
in der StreetPass-Verwaltung der
Systemeinstellungen.","Si è verificato un errore.

Se l'errore continua a verificarsi,
disattivare StreetPass tramite
Gestione StreetPass nelle
Impostazioni della console.","Se ha producido un error.

Si el error persiste, ve a ""Gestión
de StreetPass"" en la configuración
de la consola y desactiva StreetPass.","Bir hata oluştu.
Hatalar devam ederse
Sistem Ayarları'ndaki
StreetPass Yönetimi
bölümünden StreetPass'i
devre dışı bırak."
9,Dlg_Explain_Mii0,"{TAG_1}An explorer {TAG_2}found
{TAG_3} Island!

Explorers make their way to all
sorts of islands on their journeys!","Un {TAG_1}voyageur {TAG_2}est arrivé sur
l'île {TAG_3} !

Au cours de leurs périples,
les voyageurs vont d'île en île.","{TAG_1}Ein Reisender {TAG_2}ist auf
{TAG_3} angekommen!

Reisende besuchen auf ihrem Weg
die unterschiedlichsten Inseln!","{TAG_1}Un viaggiatore {TAG_2}è arrivato sull'Isola
{TAG_3}!

Durante i loro viaggi, i viaggiatori
approdano su diverse isole!","¡{TAG_1}Un viajero{TAG_2} ha llegado a la isla
{TAG_3}!

Los viajeros visitan todo tipo
de islas en sus periplos.","{TAG_1}Bir gezgin {TAG_2}
{TAG_3} Adası'nı buldu!
Gezginler
yolculuklarında türlü
türlü adalara uğrar!"
10,Dlg_Explain_Mii1,"The explorer will check out your
island and then be on their way.

Please be kind to explorers while
they are on your island.","Les voyageurs visiteront un peu
votre île avant de repartir.

Assurez-vous qu'ils passent un bon
séjour sur l'île {TAG_1}.","Der Reisende wird deine Insel
besichtigen und reist dann weiter.

Bitte sei nett zu Reisenden, die
auf deiner Insel zu Besuch sind.","I viaggiatori ripartiranno dopo
un breve giro sull'isola.

Falli sentire a proprio agio
finché sono nei paraggi.","El viajero va a darse una vuelta
por la isla y luego continuará
con su viaje.

Sé amable con los viajeros que
vienen de visita.","Gezgin adanı
gezdikten sonra
yoluna devam edecek.
Adandayken gezginlere
iyi davran lütfen."
