index,key,F,G,I,S,U,TR
0,MID_様子_リヒト_前,"L'ennemi est de plus en plus coriace !
Ce serait pas mal de faire équipe, non ?","Unsere Gegner werden stärker. Sollten wir
uns nicht lieber zusammentun? Bitte...","Presto incontreremo nemici davvero forti.
Pensi che potremmo combattere insieme?","Nos vamos a enfrentar a enemigos muy
poderosos. Luchemos juntos, por favor.","We're about to face some tough enemies.
Do you think we could team up? Please?","Zorlu düşmanlar geliyor.
Birlikte savaşabilir miyiz? Lütfen?"
1,MID_様子_リヒト_前_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
2,MID_様子_リヒト_前_通さん,"L'ennemi est de plus en plus coriace !
Ce serait pas mal de faire équipe, non ?","Unsere Gegner werden stärker. Sollten wir
uns nicht lieber zusammentun? Bitte...","Presto incontreremo nemici davvero forti.
Pensi che potremmo combattere insieme?","Nos vamos a enfrentar a enemigos muy
poderosos. Luchemos juntos, por favor.","We're about to face some tough enemies.
Do you think we could team up? Please?","Zorlu düşmanlar geliyor.
Birlikte savaşabilir miyiz? Lütfen?"
3,MID_様子_リヒト_後,"Waouh ! C'est une super bonne idée !
Vraiment, merci de le proposer !","Na klar! Nett, dass du gefragt hast. Dann
muss ich mich jetzt doppelt anstrengen!","Certo. Sono felice che tu me lo abbia
chiesto. Ora dovrò impegnarmi il doppio!","¡Qué alegría que lo digas! ¡Será un placer!
Voy a darlo todo.","Of course. I'm so happy you asked! I guess
I'll have to work twice as hard now!","Elbette! Sormana çok sevindim.
Artık iki kat çalışmam gerek!"
4,MID_様子_リヒト_後_通さん,"Waouh ! C'est une super bonne idée !
Vraiment, merci de le proposer !","Na klar! Nett, dass Ihr gefragt habt. Dann
muss ich mich jetzt doppelt anstrengen!","Certo. Sono felice che tu me lo abbia
chiesto. Ora dovrò impegnarmi il doppio!","¡Qué alegría que lo digas! ¡Será un placer!
Voy a darlo todo.","Of course. I'm so happy you asked! I guess
I'll have to work twice as hard now!","Elbette! Sormana çok sevindim.
Artık iki kat çalışmam gerek!"
5,MID_様子_リヒト_後_無言,NOT USED,NOT USED,NOT USED,NOT USED,NOT USED,KULLANILMADI
6,MID_様子_リヒト_前_親子_子,"Alors, $Np... C'est comment le
futur ? J'espère que j'ai grandi un peu...","Sag mal, $Np! Was macht man in
der Zukunft so? Was hast du so getrieben?","Allora, $Np, che fa la
gente nel futuro? Tu che facevi?","Oye, $Np, ¿cómo era el futuro?
¿Qué hacía la gente entonces? ¿Y tú?","So, $Np, what do people do in
the future? What did you do?","Peki, $Np, gelecekte insanlar
ne yapardı? Sen ne yapardın?"
7,MID_様子_リヒト_後_親子_子,"J'ai toujours été le gringalet de service.
L'ennemi m'ignore et Chrom me cajole...$k$pMais à présent, je suis père, ou quasi-père.
Je vois mal les gens me prendre de haut...$k$pHeureusement que tu es là ! Grâce à toi,
j'ai plus confiance en moi !","Na ja, die anderen nehmen mich oft nicht so
ernst. Selbst die Feinde verspotten mich...$k$pAber jetzt bin ich ja Vater, äh, zukünftiger
Vater. Jetzt müssen sie mich respektieren.$k$p...Danke, dass du hier aufgetaucht bist. Du
gibst mir das lang ersehnte Selbstvertrauen!","Beh, sono sempre stato il piccoletto qui.
I nemici mi deridono, Chrom mi coccola...$k$pMa ora sono padre, cioè un futuro padre,
e chi mi sottovaluta è solo un babbeo.$k$pTi ringrazio, avevo proprio bisogno
di un po' di incoraggiamento.","Bueno, pues... los enemigos se ríen de mí,
Chrom me trata como a un crío pequeño...$k$p¡Y mírame! Ahora soy todo un padrazo... o
lo seré. Así que quien pase de mí es idiota.$k$pTe debo mucho. Gracias por aparecer aquí.
Sin ti no tendría confianza en mí mismo.","Well, I've sort of been the runt around here.
Enemies mock me, Chrom coddles me...$k$pBut now I'm a father―well, father-to-be―
so anyone who overlooks me is just stupid.$k$p...Thanks for showing up. I really needed
this confidence boost.","Eh, buraların ufaklığı bendim. Düşmanlar
alay eder, Chrom beni el üstünde tutar...$k$pAma artık babayım... şey, baba adayıyım.
Beni küçümseyen aptaldır.$k$p...geldiğiniz için teşekkürler. Bu özgüven
artısına gerçekten ihtiyacım vardı."
8,MID_様子_リヒト_前_恋人,"J'espère qu'on ne sera jamais séparés, et
que le malheur ne s'abattra pas sur nous !","$Np, werden wir ewig zusammen
sein? Ich hab Angst, dich zu verlieren.","Staremo sempre insieme, $Np?
Spero che nessuna disgrazia ci separi.","$Np, ¿te quedarás siempre a mi
lado? Temo que te pueda pasar algo.","$Np, will we always be together?
I worry some tragedy is going to part us.","Hep beraber kalacağız, değil mi, $Np?
Bir şey bizi ayırır diye korkuyorum."
9,MID_様子_リヒト_後_恋人,"Tu n'as pas à t'inquiéter. Je me suis juré
de passer le cap de l'adolescence !","Du musst dich nicht um mich sorgen! Ich
habe fest vor, erwachsener zu werden.","Sei preoccupata per me? Tranquilla. Ho
GIURATO che sopravviverò all'adolescenza!","No te preocupes por mí. ¡Te JURO
que llegaré a adulto!","Worried about me? Don't be. I already
SWORE to myself I'd survive adolescence!","Beni mi merak ettin? Etme. Ergenliği
atlatacağıma kendime YEMİN ettim!"
