entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,,,,,,
1,002,{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}},{{TAG:0009:0002:0500060007000800}}
2,003,{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}},{{TAG:0009:0000:09000A00}}
3,004,,,,,,
4,005,"{{TAG:0003:0001:}}Have you been upstairs yet?{{TAG:0007:0000:14000000}} Be sure
to browse up there before you
check out.","{{TAG:0003:0001:}}¿Has estado ya arriba?{{TAG:0007:0000:14000000}} Que no se
te olvide subir un momentito antes
de irte, {{TAG:0007:0000:0A000000}}pequeñ{{TAG:000E:0006:02006F0002006100}}.","{{TAG:0003:0001:}}Ne pars pas d'ici sans avoir au
moins jeté un coup d'œil à l'étage !","{{TAG:0003:0001:}}Puoi trovare molti altri articoli
in vendita al piano superiore.{{TAG:0007:0000:14000000}}{{TAG:0000:0004:}}{{TAG:0003:0005:}}Prenditi tutto il tempo necessario
per lo shopping. {{TAG:0007:0000:0F000000}}Sai,{{TAG:0007:0000:08000000}} la fretta è
cattiva consigliera negli acquisti.","{{TAG:0003:0001:}}Warst du schon im oberen
Stockwerk?{{TAG:0007:0000:14000000}} Da solltest du noch
vorbeischauen, bevor du gehst!","{{TAG:0003:0001:}}Üst kata çıktın mı?{{TAG:0007:0000:14000000}} Buradan ayrılmadan
önce oraya da mutlaka göz at."
5,006,"{{TAG:0003:0024:}}I've been spending a little too much
money lately,{{TAG:0007:0000:08000000}} so if you could not tell
anyone you saw me here{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:0024:}}Me he pasado con los gastos estos
días,{{TAG:0007:0000:0A000000}} así que te agradecería que no
le dijeras a nadie que me has visto{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0024:}}J'ai fait des folies ces derniers
temps, mais c'est plus fort que
moi :{{TAG:0007:0000:0A000000}} j'adore ces galeries...","{{TAG:0003:0009:}}Sto spendendo un pochettino
troppo di recente{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0001:}} {{TAG:0003:000D:}}Forse dovrei
adottare{{TAG:0007:0000:0A000000}} uno stile di vita più sobrio.","{{TAG:0003:0024:}}Ich habe mal wieder viel zu viel Geld
ausgegeben.{{TAG:0007:0000:14000000}} Ich kann Schnäppchen
eben nicht widerstehen!","{{TAG:0003:0024:}}Son zamanlarda biraz fazla para
harcıyorum,{{TAG:0007:0000:08000000}} o yüzden beni burada
gördüğünü kimseye
söylemezsen sevinirim{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}"
6,007,"{{TAG:0003:0015:}}With so much to choose from,{{TAG:0007:0000:08000000}} it's
hard to make a decision.","{{TAG:0003:0015:}}Con tantísimo donde elegir,{{TAG:0007:0000:0A000000}} se me
hace imposible tomar una decisión.","{{TAG:0003:0015:}}Tellement de choses à acheter et
si peu de clochettes...{{TAG:0007:0000:0A000000}} La vie est
dure pour les fanas de shopping !","{{TAG:0003:0015:}}Con tutta questa strabiliaaante
varietà di prodotti,{{TAG:0007:0000:08000000}} è davvero
difficile decidere cosa acquistare.","So eine riesige Auswahl...{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Da weiß
ich mal wieder gar nicht, was ich
nehmen soll!","{{TAG:0003:0015:}}Bu kadar çok seçenek olunca{{TAG:0007:0000:08000000}} karar vermek
gerçekten zorlaşıyor."
7,008,"{{TAG:0003:0024:}}Oh...{{TAG:0007:0000:14000000}} I know I've been saying I should
cut back on spending, but{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}","{{TAG:0003:0024:}}Sí, {{TAG:0007:0000:0A000000}}ya sé lo que te había dicho
sobre controlar un poco mis
cuentas, {{TAG:0007:0000:0A000000}}peeero{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} ¡Cof! {{TAG:0007:0000:14000000}}Ay, {{TAG:0007:0000:0A000000}}qué tos.","{{TAG:0003:0024:}}Oui,{{TAG:0007:0000:08000000}} je sais,{{TAG:0007:0000:08000000}} j'avais juré de réduire
mes dépenses, mais...","{{TAG:0003:0001:}}Quando hai dei dubbi su che cosa
scegliere,{{TAG:0007:0000:0A000000}} chiedi pure!{{TAG:0007:0000:0A000000}} Sarò
felicissimissima di darti una mano.
{{TAG:0003:0000:}}Così poi {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}tu potrai aiutare me{{TAG:0007:0000:05000000}}
a decidere!","{{TAG:0003:0024:}}Ich weiß, ich sage immer,
dass ich nicht so viel Geld ausgeben
will, aber...{{TAG:0007:0000:14000000}} Du weißt ja, wie das ist!","{{TAG:0003:0024:}}Ah...{{TAG:0007:0000:14000000}} Harcamalarımı kısmam gerektiğini
söyleyip duruyorum, biliyorum, ama{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}"
8,009,"{{TAG:0003:0025:}}You seem like a very smart shopper.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}So which floor is your favorite,
{{TAG:0005:0008:}}?","{{TAG:0003:0025:}}Pareces ser {{TAG:000E:0006:180075006E00200063006F006D0070007200610064006F0072001C0075006E006100200063006F006D0070007200610064006F0072006100}} con
cabecita.{{TAG:0007:0000:14000000}} {{TAG:0003:0017:}}Dime, {{TAG:0007:0000:0A000000}}¿cuál es tu planta
favorita, {{TAG:0007:0000:0A000000}}{{TAG:0005:0008:}}?","{{TAG:0003:0025:}}Dis-moi, {{TAG:0005:0008:}}, toi qui as l'air
d'un{{TAG:000E:0006:000002006500}} consommat{{TAG:000E:0006:060065007500720008007200690063006500}} avisé{{TAG:000E:0006:000002006500}} :{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} quel
est l'étage le plus intéressant ?","{{TAG:0003:0025:}}Ho come l'impressione che tu sia
{{TAG:000E:0006:160075006E0020007600650074006500720061006E006F00180075006E00610020007600650074006500720061006E006100}} dei grandi magazzini.{{TAG:0007:0000:0A000000}}
Ho ragione,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}?
{{TAG:0003:0005:}}Se non ci sei ancora andat{{TAG:000E:0006:02006F0002006100}},
dai un'occhiata anche
al piano superiore!","{{TAG:0003:0025:}}Du kennst dich mit Einkaufen aus,
oder?{{TAG:0007:0000:14000000}}{{TAG:0003:0017:}} Welches Stockwerk magst
du denn am meisten?","{{TAG:0003:0025:}}Alışveriş konusunda oldukça bilinçli görünüyorsun.{{TAG:0007:0000:14000000}}
{{TAG:0003:0017:}}Peki en sevdiğin kat hangisi,
{{TAG:0005:0008:}}?"
9,010,"{{TAG:0003:0017:}}Do you have a department store
in your town?{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} It's nice to have
2 floors of items to choose from.","{{TAG:0003:0017:}}¿Hay unas galerías en tu pueblo?{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}}
¡A mí me encanta tener dos plantas
de las que escoger!","{{TAG:0003:0017:}}J'adore les galeries :{{TAG:0007:0000:0A000000}} deux étages
pour deux fois plus de choix !{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Il y
en a aussi dans ta ville ?","Per caso {{TAG:0003:0017:}}sei alla ricerca di
un souvenir della nostra città?{{TAG:0000:0004:}}{{TAG:0003:0001:}}In tal caso, controlla anche al piano
superiore,{{TAG:0007:0000:14000000}} sono certa che troverai
qualcosa di tuo gradimento.{{TAG:0003:0026:}}","{{TAG:0003:0017:}}Gibt's bei euch auch einen Laden
wie diesen?{{TAG:0007:0000:14000000}}{{TAG:0003:0025:}} Ich finde es prima,
zwei Stockwerke zu haben!","{{TAG:0003:0017:}}Senin kasabanda da Büyük Mağaza var
mı?{{TAG:0007:0000:28000000}}{{TAG:0003:0025:}} İki kat dolusu ürün arasından seçim
yapabilmek çok güzel."
