label,EU_Dutch,EU_English,EU_French,EU_German,EU_Italian,EU_Spanish,JP_Japanese,KR_Korean,US_English,US_French,US_Spanish,Turkish,note,status
TITLE_START_INFO,Druk op ⟦TAG:1:1:00cd⟧!,Press ⟦TAG:1:1:00cd⟧ to start!,Appuyez sur ⟦TAG:1:1:00cd⟧ pour commencer.,Drücke ⟦TAG:1:1:00cd⟧!,Premi ⟦TAG:1:1:00cd⟧ per iniziare!,¡Pulsa ⟦TAG:1:1:00cd⟧!,⟦TAG:1:1:00cd⟧ ゲームをはじめる,⟦TAG:1:1:00cd⟧ 게임을 시작하기,Press ⟦TAG:1:1:00cd⟧ to start!,Appuyez sur ⟦TAG:1:1:00cd⟧ pour commencer!,¡Oprime ⟦TAG:1:1:00cd⟧ para comenzar!,Başlamak için ⟦TAG:1:1:00cd⟧ düğmesine bas!,,
FILE_SELECT__INFO_PLAY_00,Kies een bestand.,Play which file?,Choisissez un fichier.,Welche Datei spielen?,Con quale file vuoi giocare?,Elige un archivo.,どのファイルで あそびますか？,어떤 파일을 플레이할까요?,Play which file?,Choisissez un fichier.,Elige un archivo.,Bir dosya seç.,,
FILE_SELECT__INFO_COPY_03,Welk bestand wil je kopiëren?,Select the file you want to copy.,Choisissez le fichier à copier.,Wähle die zu kopierende Datei.,Seleziona il file da copiare.,Elige el archivo que quieres copiar.,コピーするファイルをえらんでください,복사할 파일을 선택해 주세요.,Select the file you want to copy.,Choisissez le fichier à copier.,⟦TAG:0:2:5a00⟧Elige el archivo que quieres copiar.⟦TAG:0:2:6400⟧,Kopyalamak istediğin dosyayı seç.,,
FILE_SELECT__INFO_COPY_04,Waar wil je het naartoe kopiëren?,Where do you want to copy it to?,Choisissez le fichier de destination.,Wohin soll die Datei kopiert werden?,Dove vuoi copiarlo?,¿Adónde quieres copiar el archivo?,コピーさきのファイルをえらんでください,복사할 위치를 선택해 주세요.,Where do you want to copy it to?,Choisissez l'emplacement où le copier.,⟦TAG:0:2:5a00⟧⟦TAG:0:2:5500⟧¿⟦TAG:0:2:5a00⟧A dónde quieres copiar el archivo⟦TAG:0:2:5500⟧?⟦TAG:0:2:5a00⟧⟦TAG:0:2:6400⟧,Nereye kopyalamak istiyorsun?,,
FILE_SELECT__INFO_COPY_05,Weet je zeker dat je dit bestand wilt kopiëren?,Are you sure you want to copy this file?,Voulez-vous vraiment copier ce fichier ?,Möchtest du diese Datei wirklich kopieren?,Vuoi davvero copiare questo file?,¿Seguro que quieres copiar el archivo?,コピーしてよろしいですか？,이 파일을 복사할까요?,Are you sure you want to copy this file?,Voulez-vous vraiment copier ce fichier?,⟦TAG:0:2:5000⟧¿Seguro que quieres copiar el archivo?⟦TAG:0:2:6400⟧,Dosyayı gerçekten kopyalamak istiyor musun?,"QA: Türkçe durum eki düzeltildi | XLQA: Natural confirmation, 588 px vs observed 590 px family maximum",qa-crosslang
FILE_SELECT__INFO_COPY_06,⟦TAG:0:3:ffff00ff⟧Het doelbestand wordt overschreven. Oké?⟦TAG:0:3:ffffffff⟧,⟦TAG:0:3:ffff00ff⟧Target file will be overwritten. Is that OK?⟦TAG:0:3:ffffffff⟧,"⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Le fichier de destination va être effacé.
Confirmer la copie ?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧",⟦TAG:0:3:ffff00ff⟧Die vorherige Datei wird überschrieben. Fortfahren?⟦TAG:0:3:ffffffff⟧,"⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Il file nello slot di destinazione sarà
eliminato. Vuoi davvero continuare?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧",⟦TAG:0:3:ffff00ff⟧¿Quieres sobrescribir el otro archivo?⟦TAG:0:3:ffffffff⟧,⟦TAG:0:3:ffff00ff⟧コピーさきが きえますがよろしいですか？⟦TAG:0:3:ffffffff⟧,⟦TAG:0:3:ffff00ff⟧복사할 곳의 파일 위에 덮어쓰게 되는데 괜찮으세요?⟦TAG:0:3:ffffffff⟧,⟦TAG:0:3:ffff00ff⟧The file you're copying to will be erased. Are you sure?⟦TAG:0:3:ffffffff⟧,"⟦TAG:0:2:5500⟧⟦TAG:0:3:ffff00ff⟧Le fichier de destination va être effacé. 
Voulez-vous vraiment continuer?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧","⟦TAG:0:2:5a00⟧⟦TAG:0:3:ffff00ff⟧Se borrará el archivo destino. 
¿Quieres continuar?⟦TAG:0:3:ffffffff⟧⟦TAG:0:2:6400⟧",⟦TAG:0:3:ffff00ff⟧Hedef dosyanın üzerine yazılsın mı?⟦TAG:0:3:ffffffff⟧,,
FILE_SELECT__INFO_COPY_02_SELECT_00,Ja,Copy File,Copier le fichier,Ja,Copia il file,Sí,ファイルをコピーする,파일 복사,Copy File,Copier le fichier,Sí,Dosyayı Kopyala,,
FILE_SELECT__INFO_COPY_02_SELECT_01,Nee,Cancel,Annuler,Nein,Annulla,No,いいえ,아니요,Cancel,Annuler,No,İptal,,
FILE_SELECT__INFO_DEL_SELECT_00,Ja,Erase File,Effacer le fichier,Ja,Elimina il file,Sí,ファイルをけす,파일 삭제,Erase File,Effacer le fichier,Sí,Dosyayı Sil,,
FILE_SELECT__INFO_DEL_SELECT_01,Nee,Cancel,Annuler,Nein,Annulla,No,いいえ,아니요,Cancel,Annuler,No,İptal,,
FILE_SELECT__INFO_DEL_01,Welk bestand wil je wissen?,Select the file you want to erase.,Choisissez le fichier à effacer.,Wähle die zu löschende Datei.,Seleziona il file da eliminare.,Elige el archivo que quieres borrar.,けすファイルをえらんでください,삭제할 파일을 선택해 주세요.,Select the file you want to erase.,Choisissez le fichier à effacer.,⟦TAG:0:2:5500⟧Elige el archivo que quieres borrar.⟦TAG:0:2:6400⟧,Silmek istediğin dosyayı seç.,,
