index,label,English,French,German,Italian,Spanish,Turkish
49,Sys_MiiBlood_A,,,エー,,,A
50,Sys_MiiBlood_B,,,ビー,,,B
51,Sys_MiiBlood_O,,,オー,,,O
52,Sys_MiiBlood_AB,,,エービー,,,AB
62,Sys_MiiColor_Red,Red,le rouge,rot,Rosso,Rojo,Kırmızı
63,Sys_MiiColor_Orange,Orange,l'orange,ohrongsch,Arancione,Naranja,Turuncu
64,Sys_MiiColor_Yellow,Yellow,le jaune,gelb,Giallo,Amarillo,Sarı
65,Sys_MiiColor_Yellowgreen,Light Green,le vert clair,hellgrün,Verde chiaro,Verde claro,Açık Yeşil
66,Sys_MiiColor_Green,Green,le vert foncé,grün,Verde,Verde,Yeşil
67,Sys_MiiColor_Blue,Blue,le bleu foncé,blau,Blu,Azul,Mavi
68,Sys_MiiColor_Skyblue,Light Blue,le bleu clair,hellblau,Azzurro,Azul claro,Açık Mavi
69,Sys_MiiColor_Pink,Pink,le rose,pink,Rosa,Rosa,Pembe
70,Sys_MiiColor_Purple,Purple,le violet,lila,Viola,Morado,Mor
71,Sys_MiiColor_Brown,Brown,le marron,braun,Marrone,Marrón,Kahverengi
72,Sys_MiiColor_White,White,le blanc,weiß,Bianco,Blanco,Beyaz
73,Sys_MiiColor_Black,Black,le noir,schvarz,Nero,Negro,Siyah
107,Sys_MiiCharacter4_Cool,Reserved,Type réservé,Kühler Typ,Tipo riservato,Reservada,Mesafeli
108,Sys_MiiCharacter4_Dry,Confident,Type confiant,Nüchterner Typ,Tipo deciso,Confiada,Özgüvenli
109,Sys_MiiCharacter4_Nagomi,Easy Going,Type apaisant,Ruhiger Typ,Tipo tranquillo,Tranquila,Rahat
110,Sys_MiiCharacter4_Nori,Energetic,Type ouvert,Lebhafter Typ,Tipo espansivo,Activa,Enerjik
115,Sys_MiiCharacter16_00,Introvert,Introverti,Introvertiert,Taciturno,Introvertida,İçe Dönük
116,Sys_MiiCharacter16_01,Thinker,Songeur,Denker,Riflessivo,Reflexiva,Düşünceli
117,Sys_MiiCharacter16_02,Free-spirit,Indépendant,Freigeist,Indipendente,Independiente,Özgür Ruh
118,Sys_MiiCharacter16_03,Go-getter,Déterminé,Schwungvoll,Determinato,Decidida,Atılgan
119,Sys_MiiCharacter16_04,Do-gooder,Effacé,Bummler,Comprensivo,Servicial,İyiliksever
120,Sys_MiiCharacter16_05,Perfectionist,Consciencieux,Intellektuell,Perfezionista,Intelectual,Mükemmeliyetçi
121,Sys_MiiCharacter16_06,Busy Bee,Persévérant,Macher,Efficiente,Creativa,Çalışkan
122,Sys_MiiCharacter16_07,Leader,Meneur,Ehrgeiziger,Intraprendente,Ambiciosa,Lider
123,Sys_MiiCharacter16_08,Carer,Attentionné,Warmherzig,Premuroso,Considerada,Şefkatli
124,Sys_MiiCharacter16_09,Dreamer,Tranquille,Locker,Spensierato,Relajada,Hayalperest
125,Sys_MiiCharacter16_10,Buddy,Sympathique,Kumpeltyp,Socievole,Amistosa,Cana Yakın
126,Sys_MiiCharacter16_11,Extrovert,Passionné,Extrovertiert,Entusiasta,Extrovertida,Dışa Dönük
127,Sys_MiiCharacter16_12,Softie,Compatissant,Unbeständig,Affettuoso,Agradable,Yumuşak Kalpli
128,Sys_MiiCharacter16_13,Optimist,Optimiste,Sonnenschein,Ottimista,Optimista,İyimser
129,Sys_MiiCharacter16_14,Charmer,Charismatique,Scharmbolzen,Carismatico,Encantadora,Çekici
130,Sys_MiiCharacter16_15,Adventurer,Énergique,Abenteurer,Dinamico,Aventurera,Maceracı
293,Sys_SubIsland_0,Island,Île,,Isola,Isla,Ada
294,Sys_SubIsland_1,Island,Île,,Isola,Isla,Ada
295,Sys_SubIsland_2,Island,Île,,Isola,Isla,Ada
299,Sys_IslandName_and_sub_Mine,{TAG_1} Island,Île {TAG_1},{TAG_1}.,Isola {TAG_1},Isla {TAG_1},{TAG_1} Adası
300,Sys_IslandName_and_sub_Other,{TAG_1} Island,Île {TAG_1},{TAG_1}.,Isola {TAG_1},Isla {TAG_1},{TAG_1} Adası
315,Sys_MyMiiA,my, de ,mir, di , de ,benim
316,Sys_MyMiiB,'s, d',,,,'nin
