entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:000D:}}I was hoping to bite into a juicy
piece of {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}!","{{TAG:0003:000D:}}¡Daría lo que fuera por una jugosa
{{TAG:0000:0003:0200}}fruta{{TAG:0000:0003:FFFF}}!",{{TAG:0003:000D:}}J'ai une de ces envies de {{TAG:0000:0003:0200}}fruit {{TAG:0000:0003:FFFF}}!,{{TAG:0003:000D:}}Ho una voglia matta di {{TAG:0000:0003:0200}}frutta{{TAG:0000:0003:FFFF}}!,"{{TAG:0003:000D:}}Ich muss unbedingt bald in eine
saftige {{TAG:0000:0003:0200}}Frucht{{TAG:0000:0003:FFFF}} beißen! {{TAG:0007:0000:14000000}}AAAAAH!","{{TAG:0003:000D:}}Sulu bir meyveyi ısırmayı ne
kadar da istiyordum{{TAG:0000:0003:0200}}{{TAG:0000:0003:FFFF}}!"
1,002,"{{TAG:0003:0009:}}I'm so hungry! Weren't you going to
get me some {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}?","{{TAG:0003:0009:}}¡Me muero de hambre!
¿No me traerías una {{TAG:0000:0003:0200}}fruta{{TAG:0000:0003:FFFF}}?","{{TAG:0003:0009:}}J'ai tellement faim que je pourrais
manger un arbre ! Tu devais pas
me ramener un {{TAG:0000:0003:0200}}fruit{{TAG:0000:0003:FFFF}}, d'ailleurs ?","{{TAG:0003:0009:}}Sto morendo di fame! Ma non
dovevi portarmi un po' di {{TAG:0000:0003:0200}}frutta{{TAG:0000:0003:FFFF}}?","{{TAG:0003:0009:}}Ich hab ja so einen Megahunger!
{{TAG:0007:0000:14000000}}Sag mal, {{TAG:0007:0000:0A000000}}wolltest du mir nicht eine
{{TAG:0000:0003:0200}}Frucht {{TAG:0000:0003:FFFF}}bringen?","{{TAG:0003:0009:}}Çok açım! Bana biraz meyve
bulacaktın, değil{{TAG:0000:0003:0200}} mi{{TAG:0000:0003:FFFF}}?"
2,003,"{{TAG:0003:0005:}}Oh, how long I have waited for my
Prince {{TAG:000E:0004:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}I am so lonely, waiting in my castle
for a juicy reunion. {{TAG:0007:0000:0A000000}}Please make my
dreams come true, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Llevo tanto tiempo esperando a mi
príncipe {{TAG:0000:0003:0200}}{{TAG:000E:0003:}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}Me siento tan sola en mi castillo,
mientras le espero con
mi exprimidor...
¿Ves? ¡Tengo tanta hambre que ya
estoy delirando, {{TAG:0005:0007:}}!","Et {{TAG:000E:0001:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}} que
tu m'avais promis{{TAG:000E:0008:00CD00000200650002003000}} ?!{{TAG:0007:0000:14000000}} {{TAG:0003:000D:}}Me dis pas
que t'as oublié, {{TAG:0005:0007:}} !","{{TAG:0003:000A:}}È da un sacco che vorrei assaggiare
{{TAG:000E:0002:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Ho fretta di mangiare la frutta.
Potrei farla fritta. {{TAG:0007:0000:0A000000}}Viva la frutta
fritta in fretta, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Oh weh, {{TAG:0007:0000:0A000000}}wie lange ist's, dass ich
bereits wart' auf meinen holden
Prinzen {{TAG:000E:0004:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}?
Ich bin ja ach so einsam in meinem
Schloss und harre der saftig-süßen
Begegnung! {{TAG:0007:0000:14000000}}Seuuufz!
Bitte sorg dafür, dass mein Traum
in Erfüllung geht, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Ah, Prens {{TAG:000E:0004:}}{{TAG:0000:0003:0200}}{{TAG:0011:0003:0000}}{{TAG:0000:0003:FFFF}}{{TAG:0000:0004:}} için ne kadar
bekledim! Şatomda yalnız başıma
sulu bir kavuşmayı{{TAG:0007:0000:0A000000}} düşlüyorum.
Hayalimi gerçekleştir, {{TAG:0005:0007:}}!"
3,004,"You're supposed to bring me
a {{TAG:0000:0003:0200}}perfect fruit{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}{{TAG:0003:000D:}}You ARE still looking for it, right,
{{TAG:0005:0008:}}?{{TAG:0007:0000:0A000000}} Please. My mouth is
totally watering!","Te había pedido que me trajeras
una {{TAG:0000:0003:0200}}fruta deliciosa{{TAG:0000:0003:FFFF}}.{{TAG:0000:0004:}}{{TAG:0003:000D:}}La estás buscando, ¿verdad,
{{TAG:0005:0008:}}?{{TAG:0007:0000:0A000000}} ¡Porque no podré
esperar mucho más!","{{TAG:0003:000D:}}Tu dois me ramener un{{TAG:0000:0003:0200}} fruit
parfait {{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:0F000000}} Oublie pas, hein !!!","Ma non dovevi portarmi
un {{TAG:0000:0003:0200}}frutto perfetto{{TAG:0000:0003:FFFF}}?{{TAG:0000:0004:}}{{TAG:0003:000D:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, {{TAG:0007:0000:0A000000}}{{TAG:0007:0000:0A000000}}non te ne sarai mica
dimenticat{{TAG:000E:0006:02006F0002006100}}? Sbrigati, ti prego!
Ho già l'acquolina in bocca!","Du solltest mir doch eine
{{TAG:0000:0003:0200}}1a-Frucht {{TAG:0000:0003:FFFF}}bringen.{{TAG:0000:0004:}}{{TAG:0003:000D:}}Du suchst hoffentlich noch danach,
oder, {{TAG:0005:0008:}}? {{TAG:0007:0000:14000000}}Mir läuft schon
das Wasser im Mund zusammen!","Bana kusursuz bir meyve{{TAG:0000:0003:0200}}
getirecektin{{TAG:0000:0003:FFFF}}{{TAG:0000:0004:}}{{TAG:0003:000D:}}. Hâlâ arıyorsun,
değil mi, {{TAG:0005:0008:}}?{{TAG:0007:0000:0A000000}} Lütfen! Ağzımın suyu akıyor!"
4,005,"{{TAG:0003:0010:}}Remember that fruit I asked for?{{TAG:0007:0000:14000000}}
I was able to order it online. {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}Don't
worry about it now, but thanks!","{{TAG:0003:0010:}}¿Te acuerdas de esa fruta que
te pedí?{{TAG:0007:0000:14000000}} ¡Al final pude comprarla
por internet!{{TAG:0007:0000:0A000000}}
{{TAG:0003:0025:}}Así que ya no tienes que
preocuparte más.","{{TAG:0003:0010:}}Au fait, le fruit que je t'avais
demandé...{{TAG:0007:0000:14000000}} {{TAG:0003:0025:}}Je l'ai commandé sur
Internet au final, mais merci !","{{TAG:0003:0010:}}Ti ricordi della frutta che ti avevo
chiesto?{{TAG:0007:0000:14000000}} Alla fine l'ho comprata
su Internet. {{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}Beh, grazie comunque!","{{TAG:0003:0010:}}Erinnerst du dich an die Frucht, die
du mir bringen solltest?{{TAG:0000:0004:}}Ich hab sie jetzt einfach online
bestellt. {{TAG:0007:0000:14000000}}{{TAG:0003:0025:}}Hat sich also erledigt,
{{TAG:0007:0000:0A000000}}aber trotzdem danke!","{{TAG:0003:0010:}}İstediğim meyveyi hatırlıyor
musun{{TAG:0007:0000:14000000}}? İnternetten sipariş
edebildim{{TAG:0007:0000:0A000000}}{{TAG:0003:0025:}}. Artık uğraşma ama
yine de sağ ol!"
5,006,"{{TAG:0003:0005:}}Yay! I've been looking forward to
this, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}¡Chupi! ¡Por fin! ¡Qué ganas tengo
de hincarle el diente, {{TAG:0005:0007:}}!","{{TAG:0003:001D:}}Youhou ! Tu as pensé à moi,
{{TAG:0005:0007:}} !","{{TAG:0003:0005:}}Che storia! Non sai da quanto
aspettavo questo momento,
{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Juhuuu! {{TAG:0007:0000:14000000}}Ich hab mich ja so darauf
gefreut, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Yaşasın! Bunu bekliyordum, {{TAG:0005:0007:}}!"
6,007,"{{TAG:0003:0005:}}Oh, you finally found me what
I wanted, {{TAG:0005:0007:}}?","{{TAG:0003:0005:}}¿Has encontrado lo que te pedí,
{{TAG:0005:0007:}}?","{{TAG:0003:0005:}}Wouhou, tu as trouvé ce que je
t'avais demandé, {{TAG:0005:0007:}} ?","{{TAG:0003:0005:}}Evviva, sei riuscit{{TAG:000E:0006:02006F0002006100}} a trovare quello
che ti avevo chiesto, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Du hast endlich meine Frucht
gefunden, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}? {{TAG:0007:0000:14000000}}Wie cool!","{{TAG:0003:0005:}}Oo, sonunda istediğimi buldun
mu, {{TAG:0005:0007:}}?"
7,008,"{{TAG:0003:0005:}}What? You found what I was
hungry for, {{TAG:0005:0007:}}?","{{TAG:0003:0005:}}A ver qué me traes, {{TAG:0005:0007:}}...","{{TAG:0003:0005:}}Tu as trouvé de quoi satisfaire mon
appétit ? T'es un amour,
{{TAG:0005:0007:}} !!!","{{TAG:0003:0005:}}Mitico! Finalmente potrò togliermi
la voglia di frutta, {{TAG:0005:0007:}}!","{{TAG:0003:0005:}}Was? {{TAG:0007:0000:14000000}}Du hast eine Frucht gefunden,
um meinen Heißhunger zu stillen, 
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0005:}}Ne? Canımın çektiği şeyi buldun
mu, {{TAG:0005:0007:}}?"
8,009,"{{TAG:0003:0012:}}What? {{TAG:0007:0000:0A000000}}You trying to psych me out,
{{TAG:0005:0007:}}?","{{TAG:0003:0012:}}¿Eh? {{TAG:0007:0000:0A000000}}¡No me hagas emocionarme
para nada, {{TAG:0005:0007:}}!","{{TAG:0003:0012:}}Quoi ? {{TAG:0007:0000:0A000000}}Non mais{{TAG:0007:0000:14000000}} c'est carrément
cruel, ce que t'es en train de faire,
{{TAG:0005:0007:}} !!!","{{TAG:0003:0012:}}Cosa? {{TAG:0007:0000:0A000000}}Ma allora a me proprio
non ci pensi, {{TAG:0005:0007:}}!","{{TAG:0003:0012:}}Was? {{TAG:0007:0000:14000000}}Willst du mich irre machen,
{{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0012:}}Ne?{{TAG:0007:0000:0A000000}} Benimle kafa mı buluyorsun,
{{TAG:0005:0007:}}?"
9,010,"{{TAG:0003:0009:}}What? {{TAG:0007:0000:0A000000}}You've got nothing at all
for me, {{TAG:0005:0007:}}?","{{TAG:0003:0009:}}¿De verdad que no me traes nada,
{{TAG:0005:0007:}}? Jo...","{{TAG:0003:0009:}}Une seconde...{{TAG:0007:0000:0A000000}} Tu veux dire que t'as
rien pour moi, {{TAG:0005:0007:}} ?!","{{TAG:0003:0009:}}Cosa? {{TAG:0007:0000:0A000000}}Non hai niente di niente
per me, {{TAG:0005:0007:}}?","{{TAG:0003:0009:}}Waaas? {{TAG:0007:0000:14000000}}Du hast gar nichts für mich
dabei, {{TAG:0007:0000:0A000000}}{{TAG:0005:0007:}}?","{{TAG:0003:0009:}}Ne?{{TAG:0007:0000:0A000000}} Benim için hiçbir şey yok
mu, {{TAG:0005:0007:}}?"
