"Label","TR","EUen","USen","EUfr","USfr","EUde","EUit","EUes","USes","JPja"
"tutorial_common_05","ÇIKIŞ","Quit","Quit","Quitter","Quitter","Zurück","Esci","Salir","Salir","おわる"
"cardgame_slash","/","/","/","/","/","/","/","/","/","/"
"cardgame_lv","Seviye","Level","Level","Niveau","Niveau","Level","Livello","Nivel","Nivel","レベル"
"cardgame_icon_lv"," ↑"," ↑"," ↑"," ↑"," ↑"," ↑"," ↑"," ↑"," ↑","Lv"
"cardgame_under_lv","Sv.","Lv.","Lv.","Niv.","Niv.","Lv.","Liv","Nv.","Nv.","Lv"
"cardgame_power","Güç","Power","Power","Puiss.","Puiss.","Kraft","Potenza","Poder","Poder","パワー"
"cardgame_timer","Zamanlayıcı","Timer","Timer","Temps","Temps","Zeit","Tempo","Tiempo","Tiempo","タイマー"
"cardgame_sp","SP","SP","SP","AS","AS","SK","AS","PE","PE","SP"
"cardgame_cost","Puan","Points","Points","Points","Points","Punkte","Punti:","Puntos","Puntos","コスト"
"cardgame_human","İnsan?","Human?","Human?","Humain","Humain?","Mensch?","Umano?","Humano","Humano","ヒト？"
"cardgame_partner","Ortak","Partner","Partner","Partenaire","Partenaire","Partner","Partner","Compi","Pareja","パートナー"
"cardgame_icon_type","?","?","?","?","?","?","?","(?)","(?)","?"
"CardGame_A01","Onayla","Confirm","Confirm","Confirmer","Confirmer","Bestätigen","Conferma","Confirmar","Confirmar","けってい"
"CardGame_A02","Başla","Start","Start","Commencer","Commencer","Starten","Inizia","Empezar","Empezar","スタート"
"CardGame_A03","Seç","Select","Select","Sélectionner","Sélectionner","Auswählen","Seleziona","Elegir","Elegir","えらぶ"
"CardGame_A05","Kaldır","Remove","Remove","Retirer","Retirer","Weg","Rimuovi","Quitar","Quitar","はずす"
"CardGame_B01","Geri","Back","Back","Retour","Retour","Zurück","Indietro","Atrás","Atrás","もどる"
"CardGame_B02","Çık","Quit","Quit","Quitter","Quitter","Beenden","Esci","Salir","Salir","やめる"
"CardGame_X01","Düzenle","Edit","Edit","Modifier","Modifier","Ändern","Cambia","Editar","Editar","へんしゅう"
"CardGame_X02","Oto","Auto","Auto","Auto","Auto","Auto","Automatico","Automático","Automático","おまかせ"
"CardGame_Retake","Yeniden çek","Redraw","Redraw","Retirer","Retirer","Neu ziehen","Ripesca","Robar","Barajar","ひきなおす"
"CardGame_X03","İkili Saldırı","Pair Attack","Pair Attack","Attaque duo","Attaque duo","Doppelangriff","Attacco doppio","Ataque en pareja","Ataque en pareja","ペアアタック"
"CardGame_Remain","Yenilenme süresi","Refills in","Refills in","Un en + dans","Un en + dans","Noch:","Ricarica in:","Recarga en:","Más ajo en","あと"
"CardGame_Deck01","Deste 1","Deck 1","Deck 1","Deck 1","Paquet 1","Stapel 1","Mazzo 1","Baraja 1","Baraja 1","デッキ1"
"CardGame_Deck02","Deste 2","Deck 2","Deck 2","Deck 2","Paquet 2","Stapel 2","Mazzo 2","Baraja 2","Baraja 2","デッキ2"
