entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:20000000}} Today is the
long-awaited event, {{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0006:}}I finally get to show off all those{{TAG:0007:0000:20000000}}
{{TAG:0003:002A:}}dance moves{{TAG:0007:0000:10000000}} {{TAG:0003:002C:}}I've been practicing!","{{TAG:0003:0020:}}¡Hombre, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:20000000}}
¡Hoy es Carnaval!{{TAG:0000:0004:}}{{TAG:0003:0006:}}¡Por fin voy a poder enseñarle
a todo el pueblo{{TAG:0007:0000:20000000}} mis {{TAG:0003:002A:}}mejores 
pasos{{TAG:0007:0000:10000000}} {{TAG:0003:002C:}}de baile!","{{TAG:0003:0020:}}Hé, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} !{{TAG:0007:0000:20000000}} Aujourd'hui, c'est
le carnaval ! J'attends ce jour-là
tout le reste de l'année, sérieux !
{{TAG:0003:002A:}}Je vais pouvoir épater la galerie
avec mes tout nouveaux pas de
danse{{TAG:0007:0000:10000000}} {{TAG:0003:002C:}}extra classe !","{{TAG:0003:0020:}}Ehi, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:20000000}} Oggi è il tanto
atteso giorno di {{TAG:0000:0003:0200}}Carnevale{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Finalmente, potrò mostrare a tutti{{TAG:0007:0000:20000000}}
{{TAG:0003:002A:}}i nuovi passi di danza{{TAG:0007:0000:10000000}} {{TAG:0003:002C:}}che ho
imparato!","{{TAG:0003:0020:}}Hey, {{TAG:0005:0008:}}!{{TAG:0007:0000:14000000}} Heute ist {{TAG:0000:0003:0200}}Karneval{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:002A:}}Jetzt zahlt es sich endlich aus, dass
ich das ganze Jahr über neue
Tanzbewegungen {{TAG:0003:002C:}}einstudiert hab!","{{TAG:0003:0020:}}Hey, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!{{TAG:0007:0000:20000000}} Bugün beklenen gün,
{{TAG:0000:0003:0200}}Festivale{{TAG:0000:0003:FFFF}}!{{TAG:0000:0004:}}{{TAG:0003:0006:}}Sonunda çalıştığım şu{{TAG:0007:0000:20000000}}
{{TAG:0003:002A:}}dans hareketlerini{{TAG:0007:0000:10000000}} {{TAG:0003:002C:}} göstereceğim!"
1,002,"{{TAG:0003:0017:}}You can't find any {{TAG:0000:0003:0200}}feathers{{TAG:0000:0003:FFFF}}?{{TAG:0007:0001:}} {{TAG:0003:0006:}}Take a
good look at the sky.{{TAG:0007:0000:20000000}} Can you see
something falling down?
{{TAG:0003:0024:}}You'll need to catch them with a
bug net{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}If you catch one you don't
need,{{TAG:0007:0000:08000000}} I'll swap with you!","{{TAG:0003:0017:}}¿Aún no tienes ninguna {{TAG:0000:0003:0200}}pluma{{TAG:0000:0003:FFFF}}?{{TAG:0007:0001:}} {{TAG:0003:0006:}}
Hoy verás que caen cosas
del cielo.
{{TAG:0003:0024:}}Tienes que atraparlas con la red.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Si tienes una que no te guste,{{TAG:0007:0000:0A000000}}
¡yo te la cambio!","{{TAG:0003:0017:}}T'aurais pas trouvé des {{TAG:0000:0003:0200}}plumes{{TAG:0000:0003:FFFF}}, des
fois ?{{TAG:0007:0001:}} Surveille le ciel. {{TAG:0007:0000:0F000000}}Oui, là-haut,
au-dessus de ta petite tête...
{{TAG:0003:0024:}}Si tu vois un truc qui tombe, essaie
de l'attraper avec un filet{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Si jamais tu dégotes une plume qui
t'intéresse pas, {{TAG:0007:0000:08000000}}pense à ton idole.{{TAG:0007:0000:1E000000}}
On pourra faire un échange.","{{TAG:0003:0017:}}Non hai trovato nessuna {{TAG:0000:0003:0200}}piuma{{TAG:0000:0003:FFFF}}?{{TAG:0007:0001:}}
{{TAG:0003:0006:}}Guarda bene il cielo.{{TAG:0007:0000:20000000}} Riesci a vedere
quelle cose che cadono?
{{TAG:0003:0024:}}Devi prenderle con il retino{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}Se ne prendi una che non ti serve,
{{TAG:0007:0000:08000000}}puoi scambiarla con una delle mie!","{{TAG:0003:0017:}}Bist du auf der Suche nach {{TAG:0000:0003:0200}}Federn{{TAG:0000:0003:FFFF}}?{{TAG:0007:0001:}}
{{TAG:0003:0025:}}Wenn du in den Himmel guckst,
siehst du sie herumschweben!
{{TAG:0003:0015:}}Du musst sie mit einem Kescher
einfangen.{{TAG:0000:0004:}}{{TAG:0003:0025:}}Wenn du eine fängst, die du nicht
brauchst, können wir tauschen!","{{TAG:0003:0017:}}Hiç {{TAG:0000:0003:0200}}tüy{{TAG:0000:0003:FFFF}} bulamıyor musun?{{TAG:0007:0001:}} {{TAG:0003:0006:}}Göğe
iyi bak.{{TAG:0007:0000:20000000}} Bir şeylerin düştüğünü
görüyor musun?
{{TAG:0003:0024:}}Onları böcek ağıyla yakalaman
lazım{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}{{TAG:0000:0004:}}{{TAG:0003:0025:}}
İşine yaramayanı yakalarsan{{TAG:0007:0000:08000000}}
benimle takas edebilirsin!"
2,003,,,,,,
3,004,,,,,,
4,005,"{{TAG:0003:0005:}}Oh, wow!{{TAG:0007:0000:10000000}} You look super great from
top to bottom,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0005:}}¡Guau!{{TAG:0007:0000:10000000}} ¡Cómo mola que estés
vestid{{TAG:000E:0006:02006F0002006100}} para la ocasión,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0005:}}Oh, ouah !{{TAG:0007:0000:10000000}} T'as l'air super classe
avec ça,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}} !{{TAG:0000:0004:}}{{TAG:0003:001C:}}Enfin,{{TAG:0007:0000:08000000}} t'avise pas de le porter un
autre jour que carnaval !","{{TAG:0003:0005:}}Oh, uau!{{TAG:0007:0000:10000000}} Sei impeccabile e
bellissim{{TAG:000E:0006:02006F0002006100}} dalla testa ai piedi,
{{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}!","{{TAG:0003:0005:}}Oh!{{TAG:0003:002C:}} Du bist aber schick angezogen,
{{TAG:0005:0008:}}!","{{TAG:0003:0005:}}Ooo, vay!{{TAG:0007:0000:10000000}} Baştan aşağı çok iyi
görünüyorsun,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!"
5,006,"{{TAG:0003:0001:}}You look even more colorful than
usual{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0005:}}Those clothes totally bring
out your wild side,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Mmm{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. ¡Hoy vas a la última,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}! {{TAG:0003:0005:}}¡Me alegro de que
sigas mis pasos!","{{TAG:0003:0001:}}Eh ben, quel drôle d'accoutrement,
{{TAG:0005:0008:}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:001C:}} Je sais que c'est
carnaval{{TAG:0007:0000:08000000}} mais ça n'excuse pas tout !","{{TAG:0003:0001:}}Mi sembri ancora più tost{{TAG:000E:0006:02006F0002006100}}
del solito{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}} {{TAG:0003:0005:}}Quei vestiti ti stanno
molto bene,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Du siehst noch besser aus als
sonst...{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}Dieses Kostüm passt dir wie
angegossen, {{TAG:0005:0008:}}!","{{TAG:0003:0001:}}Her zamankinden bile renklisin{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0003:0005:}}Bu kıyafet vahşi tarafını
ortaya çıkarmış,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}!"
6,007,"{{TAG:0003:0026:}}Hah ha!{{TAG:0007:0000:10000000}} I'll show you! I can dance
with the best of the best!{{TAG:0007:0000:20000000}} {{TAG:0003:002C:}}So let's
dance until we fall down!{{TAG:0007:0000:10000000}}","{{TAG:0003:0026:}}¡Je, je!{{TAG:0007:0000:10000000}} Te voy a mostrar alguno
de mis pasos de baile. {{TAG:0007:0000:20000000}}{{TAG:0003:002C:}}¡Toma nota!{{TAG:0007:0000:10000000}}","{{TAG:0003:0026:}}Ah ah !{{TAG:0007:0000:10000000}} Tu veux une leçon du roi de
la samba ? Attention, les yeux,
{{TAG:0005:0008:}} !{{TAG:0007:0000:20000000}} {{TAG:0003:002C:}}Yeah !","{{TAG:0003:0026:}}Ah ah!{{TAG:0007:0000:10000000}} Ti faccio vedere!
Apri bene gli occhi perché qui{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}
{{TAG:0007:0000:20000000}}{{TAG:0003:002C:}}si balla!{{TAG:0007:0000:10000000}}","{{TAG:0003:0026:}}Haha!{{TAG:0007:0000:14000000}} {{TAG:0003:002C:}}Heute können wir nach
Herzenslust tanzen!","{{TAG:0003:0026:}}Hahaha!{{TAG:0007:0000:10000000}} Gösteririm! En iyilerle
bile dans ederim!{{TAG:0007:0000:20000000}} {{TAG:0003:002C:}}Hadi düşene
kadar dans edelim!{{TAG:0007:0000:10000000}}"
7,008,"{{TAG:0003:0023:}}Hey, aren't you going to dance?{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, you're pretty shy,
{{TAG:0007:0000:08000000}}aren't you?","{{TAG:0003:0023:}}Oye, ¿no te gusta bailar?{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}¡No seas tímid{{TAG:000E:0006:02006F0002006100}}, {{TAG:0005:0008:}}!","{{TAG:0003:0023:}}Alors, tu danses pas ?{{TAG:0007:0000:20000000}} {{TAG:0003:0024:}}Décoince-toi
un peu, {{TAG:0005:0008:}} ! Laisse sortir la
bête qui est en toi !","{{TAG:0003:0023:}}Ehi, tu non balli?{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, non dirmi che sei
timid{{TAG:000E:0006:02006F0002006100}}, {{TAG:0007:0000:08000000}}eh?","{{TAG:0003:0023:}}Hey, warum tanzt du denn nicht?{{TAG:0007:0000:14000000}}
{{TAG:0003:0024:}}Bist du etwa zu schüchtern,
{{TAG:0005:0008:}}?","{{TAG:0003:0023:}}Hey, dans etmeyecek misin?{{TAG:0007:0000:20000000}}
{{TAG:0003:0024:}}{{TAG:000E:0003:}}{{TAG:0005:0008:}}, bayağı çekingenmişsin,
{{TAG:0007:0000:08000000}}değil mi?"
8,009,{{TAG:0003:002C:}}Yay!{{TAG:0007:0001:}} {{TAG:0003:002C:}}Let's do it again!,{{TAG:0003:002C:}}¡Moooola!{{TAG:0007:0001:}} {{TAG:0003:002C:}}¡Esto hay que repetirlo!,"{{TAG:0003:002C:}}Yes !{{TAG:0007:0001:}} {{TAG:0003:002C:}}Allez, c'est reparti !",{{TAG:0003:002C:}}Evvai!{{TAG:0007:0001:}} {{TAG:0003:002C:}}Riproviamo!,{{TAG:0003:002C:}}Auf geht's!{{TAG:0007:0001:}} {{TAG:0003:002C:}}Und gleich noch mal!,{{TAG:0003:002C:}}Yaşasın!{{TAG:0007:0001:}} {{TAG:0003:002C:}}Bir daha yapalım!
9,010,"{{TAG:0003:0017:}}You're asking me why I'm dancing?{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Because dancing{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:002C:}}needs no reason!","{{TAG:0003:0017:}}¿Te preguntas por qué bailo?{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Pues no lo hagas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:002C:}} ¡para bailar
no hay que dar explicaciones!","{{TAG:0003:0017:}}Tu te demandes pourquoi je danse ?{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Mais enfin, c'est le summum de la
classitude, la danse, voyons !
Regarde{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0007:0000:0F000000}}{{TAG:0003:002A:}}Hop{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:0F000000}} et {{TAG:0003:002A:}}hop !{{TAG:0007:0000:1E000000}}
{{TAG:0003:0005:}}Hop hop hop !{{TAG:0007:0000:1E000000}} {{TAG:0003:002C:}}YEAH !{{TAG:0000:0004:}}{{TAG:0003:0024:}}Alors, convaincu{{TAG:000E:0006:000002006500}}, {{TAG:0005:0008:}} ?","{{TAG:0003:0017:}}Vuoi sapere perché ballo?{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Per ballare, vecchi{{TAG:000E:0006:02006F0002006100}} mi{{TAG:000E:0006:02006F0002006100}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0007:0000:20000000}}{{TAG:0003:002C:}}non serve una ragione!","{{TAG:0003:0017:}}Du willst wissen, warum ich tanze?{{TAG:0007:0000:14000000}}
{{TAG:0003:0006:}}Weil man zum Tanzen...{{TAG:0007:0000:28000000}} {{TAG:0003:002C:}}keinen
Grund braucht!","{{TAG:0003:0017:}}Neden dans ettiğimi mi
soruyorsun?{{TAG:0007:0000:20000000}}
{{TAG:0003:0006:}}Çünkü dans{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:20000000}}{{TAG:0003:002C:}}sebep istemez!"
