entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"I get the feeling that time flows
differently here! {{TAG:0003:0001:}}It's really relaxing.","Aquí siempre tengo la sensación{{TAG:0007:0000:08000000}}
de que el tiempo pasa más
despacio.{{TAG:0007:0000:1E000000}} {{TAG:0003:0001:}}Adiós prisas{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","Le temps s'écoule différemment ici.
{{TAG:0003:0001:}}C'est relaxant. Et ennuyeux. Mais
relaxant.","Sembra che qui dentro {{TAG:0003:0001:}}il tempo
scorra più lentamente!","{{TAG:0003:000B:}}Irgendwie vergeht hier die Zeit
langsamer. {{TAG:0007:0000:14000000}}{{TAG:0003:0009:}}Wie in einem Albtraum,
wo man nicht von der Stelle kommt.","Burada zaman sanki başka türlü akıyor!
{{TAG:0003:0001:}}İnsanın içi iyice gevşiyor."
1,002,"{{TAG:0003:0010:}}Is it already Friday?{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}This week just
passed by in the blink of an eye!","{{TAG:0003:0010:}}¿Ya es viernes?{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}La semana se me
ha hecho cortísima.","{{TAG:0003:0010:}}On est déjà vendredi ?{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Je n'ai pas
vu passer la semaine.","{{TAG:0003:0010:}}È già venerdì?!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0024:}}Cavoli, questa settimana
è passata troppo in fretta!","{{TAG:0003:0010:}}Schon wieder Freitag?{{TAG:0007:0000:1E000000}} {{TAG:0003:001B:}}Pah. {{TAG:0007:0000:14000000}}Eine
weitere sinnlose Woche geht zu
Ende.","{{TAG:0003:0010:}}Cuma olmuş bile mi?{{TAG:0007:0000:1E000000}} {{TAG:0003:0024:}}Bu hafta göz açıp
kapayıncaya kadar geçti!"
2,003,"{{TAG:0003:002B:}}I like to just sip my delicious coffee
while planning out my weekend{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}I've never had it go according to
plan, though!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} GAHAHA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:002B:}}Me gusta disfrutar del café
mientras planeo lo que voy
a hacer el fin de semana{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Luego{{TAG:0007:0000:08000000}} llega el fin de semana,{{TAG:0007:0000:08000000}}
me olvido del plan{{TAG:0007:0000:08000000}} y me vengo
a disfrutar de un café.{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} ¡Ja, ja, ja!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:002B:}}J'aime siroter mon café en
planifiant tout mon week-end{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Même si mes plans ne marchent
jamais comme prévu !{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} HA HA HA !{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:002B:}}È troppo bello venire qui il sabato
a organizzare il fine settimana
sorseggiando del buon caffè{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Peccato che poi resti sempre
in casa tutto il weekend
a non fare un tubo!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} AHAHAH!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:002B:}}Ich schütte mir hier immer den 
Kaffee rein und plane mein
Wochenende{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0024:}}Nicht, dass mein Wochenende je
nach Plan verliefe!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} BWA HA HA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}","{{TAG:0003:002B:}}Lezzetli kahvemi yudumlarken hafta
sonunu planlamayı severim{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Gerçi hiçbir
planım daha tutmuş değil!{{TAG:0007:0000:14000000}}{{TAG:0003:0002:}} GAHAHA!{{TAG:0007:0000:1E000000}}{{TAG:0003:0001:}}"
3,004,"{{TAG:0003:0001:}}I like to get up a little late and
while the day away while drinking
{{TAG:0000:0003:0400}}Brewster{{TAG:0000:0003:FFFF}}'s awesome coffee{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0024:}}I think I need to come up with a
more productive way to spend my
Sundays, huh?","{{TAG:0003:0001:}}Los domingos me gusta levantarme
tarde y relajarme con un buen café
del amigo {{TAG:0000:0003:0400}}Fígaro{{TAG:0000:0003:FFFF}}.
{{TAG:0003:0024:}}Habrá formas más productivas de
pasar el fin de semana,{{TAG:0007:0000:08000000}} ¿pero quién
quiere ser productivo un domingo?","{{TAG:0003:0001:}}J'aime me lever tard et ne rien faire
de mes journées en buvant le
délicieux café de {{TAG:0000:0003:0400}}Robusto{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0024:}}Il faudrait que je pense à un meilleur
moyen de passer mes dimanches.","{{TAG:0003:0001:}}Ah, troppo bello alzarsi la domenica
tardi e venire qui a bere il buon
caffè di {{TAG:0000:0003:0400}}Bartolo{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.
{{TAG:0003:0024:}}Del resto, la domenica esiste
apposta per non far niente, giusto?","{{TAG:0003:002B:}}Spät aufstehen, sich ins Café setzen,
{{TAG:0000:0003:0400}}Kofis{{TAG:0000:0003:FFFF}} Kreationen „genießen“{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}{{TAG:0003:0024:}}Ich sollte mich wirklich mal dazu
aufraffen, meinen Sonntag
sinnvoller zu verbringen!","{{TAG:0003:0001:}}Biraz geç kalkıp {{TAG:0000:0003:0400}}Brewster{{TAG:0000:0003:FFFF}}’ın şahane
kahvesini içerken günü aylak aylak
geçirmek hoşuma gidiyor{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. {{TAG:0003:0024:}}Galiba
pazarlarımı biraz daha verimli geçirmek
için bir yol bulmalıyım, ha?"
4,005,"{{TAG:0003:0009:}}I'm not a morning person, so {{TAG:0003:001B:}}I can't
get through my day without a cup
of {{TAG:0000:0003:0400}}Brewster{{TAG:0000:0003:FFFF}}'s coffee{{TAG:0007:0000:08000000}}{{TAG:0003:0019:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} So sleepy{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:001B:}}Yo no soy muy de madrugar{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
{{TAG:0003:0009:}}Si no fuera por {{TAG:0000:0003:0400}}Fígaro{{TAG:0000:0003:FFFF}}, a estas
horas seguiría en la cama{{TAG:0007:0000:08000000}}{{TAG:0003:0019:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Zzz{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0009:}}Le matin, {{TAG:0003:001B:}}il me faut un café de
{{TAG:0000:0003:0400}}{{TAG:0000:0003:0400}}Robusto{{TAG:0000:0003:0400}}{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}} sinon je ne tiens pas la
journée{{TAG:0003:0019:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}. Huh, sommeil{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0009:}}La mattina quando mi alzo sono
di umore nero... Ancora peggio
che durante il resto della giornata!
{{TAG:0003:001B:}}L'unico modo per riprendermi è
bere un po' del caffè di {{TAG:0000:0003:0400}}Bartolo{{TAG:0000:0003:FFFF}}{{TAG:0007:0000:08000000}}{{TAG:0003:0019:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}}
Yawn, che sonno{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:001B:}}Eines muss ich {{TAG:0000:0003:0400}}Kofi{{TAG:0000:0003:FFFF}} zugestehen...{{TAG:0007:0000:14000000}}
Sein Kaffee ist effektiv.{{TAG:0000:0004:}}{{TAG:0003:0006:}}Glaub mir, {{TAG:0007:0000:08000000}}du möchtest mich mor-
gens nicht erleben, bevor ich Kaffee
getrunken habe.{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}BWA HA HA HA!","{{TAG:0003:0009:}}Ben sabah insanı değilim, o yüzden
{{TAG:0003:001B:}}{{TAG:0000:0003:0400}}Brewster{{TAG:0000:0003:FFFF}}’ın bir fincan kahvesi olmadan
günü çıkaramıyorum{{TAG:0007:0000:08000000}}{{TAG:0003:0019:}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} Uykum var{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}."
5,006,"{{TAG:0003:0001:}}I swear I'm not slacking off!{{TAG:0007:0001:}} It's just
a pain to get back up after I've had
a break and some coffee!","{{TAG:0003:0001:}}Creo que el café de la mañana
se me está alargando hoy
un poco más de la cuenta{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.","{{TAG:0003:0001:}}Je suis innocent !{{TAG:0007:0001:}} Je faisais juste
une petite pause, et j'ai pas réussi
à me relever !","{{TAG:0003:0001:}}Avrei delle cose da fare...{{TAG:0007:0001:}}
È solo che alzarmi da qui dopo
questo buon caffè è troppo difficile!","{{TAG:0003:0028:}}Ich faulenze nicht, {{TAG:0007:0000:08000000}}auch wenn's so
aussieht. {{TAG:0007:0000:14000000}}{{TAG:0003:0014:}}{{TAG:0007:000A:}}Der Kaffee hat mein Ner-
vensystem außer Gefecht gesetzt.","{{TAG:0003:0001:}}Yemin ederim kaytarmıyorum!{{TAG:0007:0001:}} Kahve
molasından sonra tekrar ayağa kalkmak
zor geliyor, hepsi bu!"
6,007,"{{TAG:0003:0001:}}I have a lot of stuff I still need to
do, but first I need to take a bit
of a coffee break,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0001:}}Me quedan montones de cosas
que hacer{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0000:0004:}}Pero me estoy dando una pequeña
recompensa por todas las que he
hecho esta mañana,{{TAG:0007:0000:0C000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0001:}}J'ai plein de trucs à faire, pfff,{{TAG:0007:0000:14000000}} mais
d'abord, un petit café.
{{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0001:}}Ho ancora un sacco di cose
da fare,{{TAG:0007:0000:14000000}} ma prima ho bisogno
di una pausa caffè, {{TAG:0005:0007:}}!","Es gibt noch viel zu tun heute,{{TAG:0007:0000:08000000}} {{TAG:0003:0006:}}aber
eine kleine Pause wird einem alten
Mann ja wohl noch vergönnt sein!","{{TAG:0003:0001:}}Daha yapacak dünya kadar işim var
ama önce kısa bir kahve molası vermem
lazım,{{TAG:0007:0000:14000000}} {{TAG:0005:0007:}}!"
7,008,"{{TAG:0003:000F:}}You think I won't be able to sleep
if I drink a cup of coffee now?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Heh.{{TAG:0007:0000:08000000}} I'll be just fine!{{TAG:0007:0001:}} {{TAG:0003:0021:}}I've even fallen
asleep while DRINKING coffee!
{{TAG:0003:0002:}}GAHAHA!","{{TAG:0003:000F:}}¿Crees que,{{TAG:0007:0000:08000000}} si me tomo un café
ahora,{{TAG:0007:0000:08000000}} luego no podré dormir?{{TAG:0000:0004:}}{{TAG:0003:0026:}}¡Tururú!{{TAG:0007:0000:19000000}} {{TAG:0003:0021:}}Soy capaz de quedarme
dormido con la taza en la mano.{{TAG:0007:0000:19000000}}
No me provoques{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}¡Ja, ja, ja!{{TAG:0007:0000:08000000}}{{TAG:0003:0025:}}","{{TAG:0003:000F:}}Tu crois que j'arriverai pas à
dormir si je bois un café
maintenant ?
{{TAG:0003:0001:}}Hmm !{{TAG:0007:0000:08000000}} Ça devrait aller.{{TAG:0007:0001:}} {{TAG:0003:0021:}}Je me suis
déjà endormi PENDANT que je
buvais un café. {{TAG:0003:0002:}}HA HA HA !","{{TAG:0003:000F:}}Dici che se bevo caffè adesso, poi
non riuscirò a dormire stanotte?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Nah,{{TAG:0007:0000:08000000}} non ci sono problemi!{{TAG:0007:0001:}} {{TAG:0003:0021:}}A me è
successo pure di addormentarmi
MENTRE bevevo caffè! {{TAG:0007:0000:08000000}}{{TAG:0003:0002:}}AHAHAH!{{TAG:0003:0001:}}","{{TAG:0003:0006:}}Was? {{TAG:0007:0000:14000000}}{{TAG:0003:0000:}}Du meinst, ich kann nicht
einschlafen, wenn ich so
spät noch Kaffee trinke?
{{TAG:0003:0019:}}Ich hab mein Leben lang so viel von
dem Zeug getrunken, dass es so gut
wie keine Wirkung mehr hat.","{{TAG:0003:000F:}}Şimdi kahve içersem uyuyamayacağımı
mı sanıyorsun?{{TAG:0000:0004:}}{{TAG:0003:0001:}}Heh.{{TAG:0007:0000:08000000}} Bana bir şey olmaz!{{TAG:0007:0001:}} {{TAG:0003:0021:}}Ben
kahve İÇERKEN bile uyuyakalmış
adamım! {{TAG:0003:0002:}}GAHAHA!"
8,009,"This café will throw you out if you
fall asleep, so {{TAG:0003:0006:}}it's a battle of wills
while gulping down coffee!
{{TAG:0003:0024:}}Probably be better if I just went
home and slept, but{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}who does that,
honestly? {{TAG:0003:0002:}}GAHAHA!","{{TAG:0003:0006:}}No sé por qué sigo bebiendo café
a estas horas en vez de meterme
en la cama como un niño bueno.
{{TAG:0003:0024:}}Pero es que me gusta.{{TAG:0007:0000:0F000000}} {{TAG:0003:0002:}}¡Ja, ja, ja!{{TAG:0007:0000:0F000000}}{{TAG:0003:0025:}}","Si je m'endors, {{TAG:0000:0003:0400}}Robusto{{TAG:0000:0003:FFFF}} va me prier
de m'en aller. {{TAG:0003:0006:}}Alors je suis bien
obligé de boire du café...
{{TAG:0003:0024:}}Je ferais mieux de rentrer chez moi
et de dormir{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} mais je vais
sûrement pas faire ça. {{TAG:0003:0002:}}HA HA HA !","Ho un gran sonno, ma se mi
addormento qua, mi buttano fuori!{{TAG:0000:0004:}}{{TAG:0003:0024:}}Forse dovrei andare a letto, ma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}
preferisco restare qui e continuare
a bere caffè! {{TAG:0007:0000:08000000}}{{TAG:0003:0002:}}AHAHAH!{{TAG:0003:0001:}}","{{TAG:0003:0006:}}{{TAG:0000:0003:0400}}Kofi {{TAG:0000:0003:FFFF}}hat mich mal rausgeschmissen,
weil ich hier eingeschlafen bin!{{TAG:0000:0004:}}{{TAG:0003:001C:}}Aus Rache sitze ich jetzt hier die
ganze Nacht und trinke einen Kaffee
nach dem anderen!{{TAG:0007:0000:14000000}} Wäre ja gelacht!","Bu kafede uyuyakalırsan seni kapının
önüne koyarlar; o yüzden {{TAG:0003:0006:}}kahveyi
höpürdetirken irade savaşı veriyorum!
{{TAG:0003:0024:}}Aslında eve gidip uyumak daha mantıklı
ama{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}kim yapar öyle şeyi? {{TAG:0003:0002:}}GAHAHA!"
9,010,"{{TAG:0003:0001:}}The best coffee beans are the
{{TAG:0000:0003:0200}}Blue Mountain {{TAG:0000:0003:FFFF}}ones!{{TAG:0007:0000:1E000000}} The balance
of flavor and richness is perfect!","{{TAG:0003:0001:}}Uno de los mejores cafés,{{TAG:0007:0000:08000000}} si no
el mejor,{{TAG:0007:0000:08000000}} es el {{TAG:0000:0003:0200}}blue mountain{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:1E000000}}
¡Qué sabor,{{TAG:0007:0000:08000000}} qué aroma{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}!","{{TAG:0003:0001:}}Les meilleurs grains de café sont les
{{TAG:0000:0003:0200}}Blue Mountain{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:1E000000}} C'est le parfait
équilibre entre goût et parfum !","{{TAG:0003:0001:}}Il miglior tipo di caffè è il {{TAG:0000:0003:0200}}caffè
ristretto{{TAG:0000:0003:FFFF}}!{{TAG:0007:0000:1E000000}} Un'intensità da paura!","{{TAG:0003:0015:}}Der erträglichste Kaffee hier ist die
{{TAG:0000:0003:0200}}Schonröstung{{TAG:0000:0003:FFFF}}.{{TAG:0007:0000:1E000000}} Die schont auch die
Geschmacksnerven!{{TAG:0007:0000:14000000}} {{TAG:0003:0002:}}BWA HA HA!","{{TAG:0003:0001:}}En iyi kahve çekirdeği {{TAG:0000:0003:0200}}Blue Mountain
{{TAG:0000:0003:FFFF}}olandır!{{TAG:0007:0000:1E000000}} Tatla dolgunluğun
dengesi kusursuz!"
