entry,label,EN,ES,FR,IT,DE,TRANSLATION
0,001,"{{TAG:0003:0001:}}You're looking very regal today,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}What a majestic crown!{{TAG:0000:0004:}}{{TAG:0003:0001:}}If you're holding a gala at your
palace,{{TAG:0007:0000:0A000000}} I hope you'll invite me.","{{TAG:0003:0001:}}Hoy pareces todo un miembro
de la realeza,{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}.{{TAG:0007:0001:}}
{{TAG:0003:0005:}}¡La corona es muy majestuosa!
{{TAG:0003:0001:}}Si tienes pensado celebrar algo
importante, {{TAG:0007:0000:0A000000}}espero que te acuerdes
de mí. {{TAG:0007:0000:14000000}}¡Me encantaría asistir!","{{TAG:0003:0001:}}Oh, quel look royal, Votre Majesté
{{TAG:000E:0003:}}{{TAG:0005:0008:}} ! {{TAG:0007:0001:}}{{TAG:0003:0005:}}Et quelle couronne !{{TAG:0000:0004:}}{{TAG:0003:0001:}}Un bal sera-t-il organisé au palais ?
{{TAG:0007:0000:0A000000}}Si c'est le cas, j'espère avoir
l'honneur d'être invitée !","{{TAG:0003:0001:}}Oggi hai un aspetto davvero regale,
{{TAG:0007:0000:14000000}}{{TAG:0005:0008:}}.{{TAG:0007:0001:}} {{TAG:0003:0005:}}La corona è sublime
{{TAG:0007:0000:0F000000}}e ti dona tantissimissimo.
{{TAG:0003:0001:}}Spero tanto che mi inviterai
{{TAG:0007:0000:0A000000}}quando organizzerai una serata
di gala al tuo palazzo!","{{TAG:0003:0001:}}Du siehst heute ja aus wie {{TAG:000E:0006:0600650069006E000800650069006E006500}}
{{TAG:000E:0006:1E0072006900630068007400690067006500720020004B00F6006E006900670020007200690063006800740069006700650020004B00F6006E006900670069006E00}},{{TAG:0007:0000:14000000}} {{TAG:0005:0008:}}!{{TAG:0000:0004:}}{{TAG:0003:0005:}}Besonders deine Krone ist schick!{{TAG:0007:0000:14000000}}
{{TAG:0003:0001:}}Falls das dein Partyoutfit ist,
bin ich hoffentlich eingeladen!","{{TAG:0003:0001:}}Bugün çok asil görünüyorsun,{{TAG:0007:0000:08000000}}
{{TAG:0005:0008:}}.{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}Ne görkemli bir taç!{{TAG:0000:0004:}}{{TAG:0003:0001:}}Sarayında
bir davet vereceksen{{TAG:0007:0000:0A000000}} beni de
çağırırsın umarım."
1,002,"{{TAG:0003:0001:}}Your outfit today is great!{{TAG:0007:0001:}} {{TAG:0003:0005:}}The only
thing you're missing is some tulips!","{{TAG:0003:0001:}}¡Ese conjunto que llevas es genial!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Tan solo te faltan unos tulipanes
e irías perfect{{TAG:000E:0006:02006F0002006100}}.","{{TAG:0003:0001:}}Ta tenue d'aujourd'hui {{TAG:0007:0000:0A000000}}n'est rien
moins que magnifique.{{TAG:0007:0001:}}{{TAG:0003:0005:}} Il n'y manque
que quelques tulipes !","{{TAG:0003:0001:}}Stai benissimo{{TAG:0007:0000:0A000000}} vestit{{TAG:000E:0006:02006F0002006100}} {{TAG:0007:0000:05000000}}così!{{TAG:0007:0001:}}
{{TAG:0003:0005:}}Ti mancano solo gli zoccoli ai piedi
e qualche tulipano in mano, eh?!","{{TAG:0003:0001:}}Uiii, siehst du heute toll aus.{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Das Einzige, was dir noch fehlt,
ist ein Strauß Tulpen!","{{TAG:0003:0001:}}Bugünkü kıyafetin harika!{{TAG:0007:0001:}} {{TAG:0003:0005:}}Bir
tek birkaç lale eksik gibi!"
2,003,"{{TAG:0003:0017:}}Oh?{{TAG:0007:0000:14000000}} Does that outfit mean you're
graduating today?{{TAG:0007:0001:}} {{TAG:0003:001D:}}Congratulations!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}You must have studied a lot.
With you as my inspiration,{{TAG:0007:0000:14000000}} I'm
{{TAG:0003:0015:}}really motivated to keep up with
my own studies,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0017:}}¿Oh?{{TAG:0007:0000:14000000}} Que vistas así{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}}.{{TAG:0007:0000:08000000}} ¿significa
que te gradúas hoy?{{TAG:0007:0001:}} {{TAG:0003:001D:}}¡Felicidades!{{TAG:0007:0000:1E000000}}
{{TAG:0003:0001:}}Seguro que has estudiado mucho.
Eres toda una inspiración para mí.
{{TAG:0007:0000:14000000}}¡Me haces sentir más motivada para
seguir mis estudios,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}!","{{TAG:0003:0017:}}Oh ! Dois-je conclure de ta tenue
que tu reviens d'une remise de
diplômes ? {{TAG:0007:0001:}}{{TAG:0003:001D:}}Félicitations !{{TAG:0000:0004:}}Ta détermination m'inspire. {{TAG:0007:0000:14000000}}Je file
me plonger dans les livres et {{TAG:0007:0000:14000000}}à moi
la connaissance ! {{TAG:000E:0003:}}{{TAG:0005:0007:}} !","{{TAG:0003:0017:}}Oh?{{TAG:0007:0000:1E000000}} Non mi dirai che {{TAG:0007:0000:14000000}}oggi è il giorno
della tua laurea?!{{TAG:0007:0001:}} {{TAG:0003:001D:}}Complimentucci!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Devi aver{{TAG:0007:0000:05000000}} studiato tanto!
Sei un modello per me.{{TAG:0007:0000:14000000}} Ora anch'io
{{TAG:0007:0000:14000000}}mi sento motivatissimissima.
Farò del mio meglio,{{TAG:0007:0000:0F000000}} {{TAG:0005:0007:}}.","{{TAG:0003:0017:}}Nanu?{{TAG:0007:0000:1E000000}} Was hast du denn da an?{{TAG:0007:0000:14000000}}
Hattest du heute etwa deine
Abschlussfeier?{{TAG:0007:0000:1E000000}} {{TAG:0003:001D:}}Glückwunsch!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Da musst du aber viel gelernt haben!{{TAG:0007:0000:14000000}}
Wie inspirierend!{{TAG:0007:0000:0A000000}} Da kriege ich auch
gleich Lust aufs Lernen!","{{TAG:0003:0017:}}Aa?{{TAG:0007:0000:14000000}} Bu kıyafet bugün mezun
olduğun anlamına mı geliyor?{{TAG:0007:0001:}} {{TAG:0003:001D:}}
Tebrik ederim!{{TAG:0007:0000:28000000}}
{{TAG:0003:0001:}}Çok çalışmış olmalısın. Seni
örnek alınca{{TAG:0007:0000:14000000}} ben de{{TAG:0003:0015:}} kendi
derslerime daha sıkı sarılmak
istiyorum,{{TAG:0007:0000:08000000}} {{TAG:0005:0007:}}."
3,004,"{{TAG:0003:0003:}}There's a certain poetry to the way
you look today,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}What I mean to say is that you look
refined{{TAG:0007:0000:08000000}} and lovely.{{TAG:0007:0001:}} {{TAG:0003:0015:}}It suits you.","{{TAG:0003:0003:}}Hoy desprendes un aura de lo más
especial, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Me refiero a que hoy llevas un look
la mar de refinado. {{TAG:0007:0001:}}{{TAG:0003:0015:}}Creo que te
queda pero que muy bien.","{{TAG:0003:0003:}}Il y a quelque chose de poétique
dans ce que tu portes, {{TAG:0005:0008:}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Oh, ne prends pas ce que je dis de
travers :{{TAG:0007:0001:}} {{TAG:0003:0015:}}cette tenue charmante et
raffinée te va comme un gant !","{{TAG:0003:0003:}}C'è qualcosa di esotico nella tua
tenuta di oggi,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Sì,{{TAG:0007:0000:0A000000}} sei davvero mooolto elegante
e raffinat{{TAG:000E:0006:02006F0002006100}}!{{TAG:0007:0001:}} {{TAG:0003:0015:}}Adoooro il tuo look!","{{TAG:0003:0003:}}Oh, dein Outfit heute ist ja ein
Gedicht,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Damit meine ich,{{TAG:0007:0000:0A000000}}
du bist heute wirklich hübsch{{TAG:0007:0000:0A000000}}{{TAG:0003:0015:}}
und es passt zu dir.","{{TAG:0003:0003:}}Bugünkü görünümünde şiir gibi
bir incelik var,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.{{TAG:0007:0000:1E000000}}{{TAG:0003:0025:}}{{TAG:0000:0004:}}{{TAG:0003:0001:}}Yani demek
istediğim{{TAG:0007:0000:08000000}} çok zarif ve hoş
görünüyorsun.{{TAG:0007:0001:}} {{TAG:0003:0015:}}Sana yakışmış."
4,005,"{{TAG:0003:0001:}}Where are you going exploring
today?!{{TAG:0000:0004:}}{{TAG:0003:0005:}}If you're trekking through an ancient
{{TAG:0005:0005:}} civilization,{{TAG:0007:0000:08000000}} please let
me know!","{{TAG:0003:0001:}}Vaya, {{TAG:0007:0000:0A000000}}¿vas a salir hoy a explorar?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Si te topas con alguna antigua
civilización que vivía en {{TAG:000E:0003:}}{{TAG:0005:0005:}},
{{TAG:0007:0000:0F000000}}¡que no se te olvide contármelo!","{{TAG:0003:0001:}}Alors, on part à l'aventure,
{{TAG:0005:0008:}} ?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Tu vas explorer les vestiges d'une
civilisation disparue près
{{TAG:000E:000A:0600640065002000040064002700}}{{TAG:0005:0005:}} ? Hi hi !","{{TAG:0003:0001:}}Che zone hai in programma
{{TAG:0007:0000:0A000000}}di esplorare oggi?{{TAG:0000:0004:}}{{TAG:0003:0005:}}Se scopri qualcosa sull'antica civiltà
di {{TAG:0007:0000:03000000}}{{TAG:0005:0005:}}, {{TAG:0007:0000:0F000000}}fammi sapere,
ti preeego!","{{TAG:0003:0001:}}Was erkundest du denn heute?{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Die uralte Siedlung „{{TAG:0005:0005:}}“
etwa?{{TAG:0007:0000:0A000000}} Hihihi!","{{TAG:0003:0001:}}Bugün nereye keşfe gidiyorsun?!{{TAG:0000:0004:}}{{TAG:0003:0005:}}
Eski bir {{TAG:0005:0005:}} uygarlığında
dolaşacaksan{{TAG:0007:0000:08000000}} bana da anlat olur mu!"
5,006,"{{TAG:0003:0001:}}That's such a great outfit you have
on.{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}The green hat and the flower
design on your dress are so cute.
It's just the perfect thing for your
personality,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Estás {{TAG:000E:0006:12006700750061007000ED00730069006D006F0010006D006F006E00ED00730069006D006100}} con ese conjunto.
{{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}El sombrero verde y las florecillas
son una maravilla.
Creo que son de un estilo que te
sienta de fábula, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Oh, quelle tenue adorable !{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}Un
chapeau vert et une robe à
fleurs, c'est ravissant !
Tu t'es réveillé{{TAG:000E:0006:000002006500}} d'humeur
bucolique, {{TAG:0007:0000:08000000}}{{TAG:0005:0008:}} !","{{TAG:0003:0001:}}Che tenuta graziosa{{TAG:0007:0000:0A000000}} che hai oggi!
{{TAG:0007:0000:14000000}}{{TAG:0003:0005:}}Il cappello verde e i fiori sulla tua
camicia{{TAG:0007:0000:08000000}} sono deliziosi.
Il look perfetto per la tua
personalità,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Was hast du denn da Hübsches an?{{TAG:0007:0000:14000000}}
{{TAG:0003:0005:}}Der grüne Hut und das Kleid mit
der Blume passen gut zusammen!
Das ist genau das Richtige für
jemanden wie dich,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}.","{{TAG:0003:0001:}}Üstündeki kıyafet çok güzel.{{TAG:0007:0000:14000000}} {{TAG:0003:0005:}}
Yeşil şapka ve elbisendeki
çiçek deseni çok sevimli. Tam
senlik olmuş,{{TAG:0007:0000:08000000}} {{TAG:0005:0008:}}."
6,007,"{{TAG:0003:000D:}}What happened to you?!{{TAG:0007:0000:14000000}} {{TAG:0003:000F:}}Did you
break every bone in your body?!{{TAG:0000:0004:}}{{TAG:0003:000A:}}I suppose{{TAG:0007:0000:0A000000}} if it's just a fashion
statement,{{TAG:0007:0000:08000000}} that's OK.{{TAG:0007:0001:}} {{TAG:0003:0009:}}I was just
worried you'd hurt yourself.","{{TAG:0003:000D:}}¡¿Qué te ha pasado, cariño?!
{{TAG:0007:0000:14000000}}{{TAG:0003:000F:}}¡¿Acaso te has roto todos los
huesos del cuerpo?!
{{TAG:0003:0027:}}Ah, que es solo una cuestión de
moda,{{TAG:0007:0000:0A000000}} ¿eh?{{TAG:0007:0001:}} {{TAG:0003:0009:}}Bueno, mientras no te
hagas daño, a mí me parece bien.","{{TAG:0003:000D:}}Qu'est-ce qu'il t'arrive ? {{TAG:0007:0000:1E000000}}{{TAG:0003:000F:}}Tu t'es
fait une octuple fracture, ou quoi ?{{TAG:0000:0004:}}{{TAG:0003:0027:}}Ah, ce n'est qu'un déguisement ?
Pfou, quelle frousse tu m'as fichue !
{{TAG:0007:0001:}}{{TAG:0003:0009:}}J'ai cru que tu t'étais bless{{TAG:000E:0006:0200E9000400E9006500}}...","{{TAG:0003:000D:}}Cosa {{TAG:0007:0000:0A000000}}ti è successo?!{{TAG:0007:0000:14000000}} {{TAG:0003:000F:}}Ti sei rott{{TAG:000E:0006:02006F0002006100}}
ogni singolo osso del corpo?!{{TAG:0000:0004:}}{{TAG:0003:0027:}}Beh,{{TAG:0007:0000:0A000000}} se è una nuova moda,{{TAG:0007:0000:14000000}} nessun
problema.{{TAG:0007:0001:}} {{TAG:0003:0009:}}Ma vederti così mi
preoccupa. Dimmi che stai bene!","{{TAG:0003:000D:}}Was ist denn mit dir passiert?!{{TAG:0007:0000:14000000}}
{{TAG:0003:000F:}}Du siehst aus, als hättest du dir
alle Knochen gebrochen!{{TAG:0000:0004:}}{{TAG:0003:0027:}}Oh, ist das etwa die neueste Mode?{{TAG:0007:0000:0A000000}}
Na, dann ist es ja gut.{{TAG:0007:0000:14000000}}{{TAG:0003:0009:}} Ich dachte
schon, du wärst schwer verletzt...","{{TAG:0003:000D:}}Sana ne oldu?!{{TAG:0007:0000:14000000}} {{TAG:0003:000F:}}Bütün
kemiklerini falan mı kırdın?!{{TAG:0000:0004:}}{{TAG:0003:000A:}}
Gerçi{{TAG:0007:0000:0A000000}} sadece moda için
yaptıysan{{TAG:0007:0000:08000000}} sorun yok.{{TAG:0007:0001:}} {{TAG:0003:0009:}}Bir yerini
incittin sandım da korktum."
7,008,"{{TAG:0003:0026:}}You're looking particularly heroic
today!{{TAG:0000:0004:}}{{TAG:0003:0015:}}I feel like you could save {{TAG:0005:0005:}}
from anything!","{{TAG:0003:0001:}}¡Hoy te veo la mar de heroic{{TAG:000E:0006:02006F0002006100}}!{{TAG:0000:0004:}}{{TAG:0003:0015:}}¡Estoy segura de que podrías salvar
{{TAG:000E:0003:}}{{TAG:0005:0005:}} de cualquier amenaza!
{{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}El destino te depara grandes cosas.","{{TAG:0003:0001:}}Oh, tu t'es vêt{{TAG:000E:0006:02007500040075006500}} de l'étoffe des
héros aujourd'hui !{{TAG:0000:0004:}}{{TAG:0003:0015:}}{{TAG:000E:0003:}}{{TAG:0005:0005:}} peut dormir sur ses
deux oreilles, {{TAG:0007:0000:0A000000}}{{TAG:0003:0001:}}{{TAG:0005:0008:}} est là
pour veiller sur nous !","{{TAG:0003:0001:}}Hai un'aria davvero eroica oggi!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Sono sicura che potresti salvare
{{TAG:0005:0005:}}{{TAG:0007:0000:0A000000}} {{TAG:0003:0001:}}da qualsiasi {{TAG:0007:0000:0A000000}}terribile
minaccia!","{{TAG:0003:0001:}}Du siehst heute aber heldenhaft aus!{{TAG:0007:0000:14000000}}
{{TAG:0003:0015:}}Als könntest du {{TAG:0005:0005:}}
beschützen {{TAG:0007:0000:14000000}}– {{TAG:0003:0001:}}komme, was wolle!","{{TAG:0003:0026:}}Bugün tam bir kahraman gibi
görünüyorsun!{{TAG:0000:0004:}}{{TAG:0003:0015:}}Sanki {{TAG:0005:0005:}}'i her türlü
tehlikeden kurtarabilirsin!"
8,009,,,,,,
9,010,,,,,,
